cid,text,time,author,channel,votes,photo,heart
UgxYt-FhsZKQaxoH9YJ4AaABAg,"►Business Analysis/ Management Consulting course: taught by me and an ex-McKinsey consultant: https://wisdomhatch.com/management-consulting/
____________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",15 hours ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,10,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyGiuybvvle2jf91wt4AaABAg,"One query : You keep on saying that don't invest in FD, or keep money in saving ac.
But for banks, saving n fd are cheapest source of income.
So if all people stop fd n saving, all banks will be in trouble :) ?",41 minutes ago,Milind Dharap,UCYxkP2oQdzb3zN5v1WvVJzQ,0,https://yt3.ggpht.com/ytc/AKedOLQF2lLBssBoGYkAb1ZN_wgNsMoVoXgYG7oMUTXjfQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZkNdLiHzUQhx4U8V4AaABAg,I entered Zomato at 140😑,50 minutes ago,Kalki,UCXLP9c7ri6GRWv3dtaG1DsQ,0,https://yt3.ggpht.com/ytc/AKedOLQG-QUAir5RNfmmLZuRnLpYExt6Tc7Qc6mC_b1VUQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZCY5epeepzR-iWAl4AaABAg,"Stocks are crazy cheap in India.

Zomato is  a penny stock trading at just $1 and few pennies.

😊",54 minutes ago,Kejriwal saara punjab tere naal,UCCcSXFu6IvAqj6NhQXqpcGg,1,https://yt3.ggpht.com/ytc/AKedOLQjcXVh-slFFg_PPUTkgfq_vaepA4m8D1FB4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBsGJncSLImPCOzi14AaABAg,Finally!! Identifying such stocks and showing the live investment was your USP! Please continue to do so..,58 minutes ago,Lijo varghese,UCBnIFxI11YD62FVm0ALccOw,0,https://yt3.ggpht.com/ytc/AKedOLStf5aiLEjKDU3M1V8kA9O57kmlcSMOTuJQVDdx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6lqTwHZUhjRy_hwB4AaABAg,Thanks,1 hour ago,Divya Alok,UCd7um5BJATQBvTfNAPGvRhQ,0,https://yt3.ggpht.com/ytc/AKedOLSdPQCvWlpTyjAMBiFtwKUpzIurV9ddwd6u4MNVPg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9kK0Mk12i9VGBfJJ4AaABAg,U keep copying others and speak.  Copy cat,2 hours ago,dheeraj bhagwan,UCmQYhCZh-aTnlhcLypDZ__Q,0,https://yt3.ggpht.com/ytc/AKedOLQheC0zt0YuQ_Sjp1HE2vFbMHTwqAWz43OLzisgqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDvkEpRKr50wAtwbR4AaABAg,Can u plz upload a video on hydrogen energy,2 hours ago,Manikanta Bejgam,UC4HQo1Lzydj1v8V8Yexq1nA,2,https://yt3.ggpht.com/ytc/AKedOLTtXqy-U80PaZOYdGLFJywZ5e2F2cxvbmEE3Mewpvs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwU7CT33StQB4Ls_t4AaABAg,please intimate whenever you are taking out positions from any of your stock,2 hours ago,ganesh byale,UCr8IoTvrE28gylUStCuU5xQ,1,https://yt3.ggpht.com/ytc/AKedOLQS7Uw3scTl0bA0-o7_yFijYPrWfRCVg1OUkpDIeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGT1cIdHkKq_5YnDJ4AaABAg,"Akshat, could you come up with a video on Nazara!",2 hours ago,suyog pande,UCRlUa9KBjThLfsLI1ZvvNvQ,1,https://yt3.ggpht.com/ytc/AKedOLTz5ilu6a-mm1tNcF99PnyW2qe5Dyq6aYHP9z2-1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoxEVKJxfaJkZyfjN4AaABAg,"Hi Akshat.. was following you since last 7 months. You are very hard working, talented and put up a lot of good content. But the problem with you is that you don't accept when you are wrong and try to explain your point. Someday markets will teach you to be humble.",2 hours ago,Mahesh Sultania,UCRU_gvnc0Yb4iXjw0sbjfBw,1,https://yt3.ggpht.com/ytc/AKedOLSW-KiVcd1emcGX4dFJtR-oXCvoCSt6xdVoFB9K3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKuObYr-UqRUTNuMh4AaABAg,ZOMOTO  fundamentals are week please do not invest,3 hours ago,Ashwin Kumar,UCDutRzb3dDBgHcZ3Q9OL0Fg,0,https://yt3.ggpht.com/ytc/AKedOLS2FfhXUS33QtfHmJLh6_S3kmSGY6OE4uLseA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzxvf7agV7H8iiCNqF4AaABAg,Its Bad stock please the fundamentals,3 hours ago,Ashwin Kumar,UCDutRzb3dDBgHcZ3Q9OL0Fg,0,https://yt3.ggpht.com/ytc/AKedOLS2FfhXUS33QtfHmJLh6_S3kmSGY6OE4uLseA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyJT_JHMD8wn7ovDd4AaABAg,What a coincidence i owe zomato idfc bank and recently bought au small finance bank😂,3 hours ago,Sakshi Khandelwal,UCg1gj00MpFdeoDCiBnlVVBg,0,https://yt3.ggpht.com/ytc/AKedOLQsFkLrSpU9JhgkgfKCFo0c2vkn4UQr7LZ4pgJRDQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvK3_xksawi6sMQlV4AaABAg,don't you think AU share price  evaluation is too high as compared  to other banks?,3 hours ago,karan soni,UCV_1JNqbOOA4YLkAu6H2_yQ,0,https://yt3.ggpht.com/ytc/AKedOLQ2KFMDD54Hk-yGyRafDU3dG2ExhO1PAstrwSUpyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_JN1xSdwqy3jfOat4AaABAg,Sir any thoughts regarding yes bank.??,3 hours ago,sameer khan,UCNVadRbpkY6VCNvvVWQZQCw,0,https://yt3.ggpht.com/ytc/AKedOLTTkKxmCIuOdiJnTiVBRQpObwEcya4jDCDw6s8j=s176-c-k-c0x00ffffff-no-rj,0.0
UgycpJ8EFRNaRle-vdh4AaABAg,"Hi Akshat, Thank you for investing video. I am following and doing investments in minuscule quantity.",3 hours ago,Narasimha Murthy U,UCgpeviMyu95aaOhZ8WtWBJA,0,https://yt3.ggpht.com/ytc/AKedOLRPxav8PyHhJ5FWxi7oJnkvrhw0YL-5O-xHtA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJnOCwjeEr8FkZWpt4AaABAg,"Zomato and Paytm are shit stocks,in our investor meetings these are the most mocked stocks . Over valuation,heavy losses,and prior investors cashing out after making a fool out of investors . Rather we should focus on established steel and finance (not fintech) sector stocks",3 hours ago,Dev Singh,UC8ydWdQ_UEzEwTJ-DudZQAQ,0,https://yt3.ggpht.com/ytc/AKedOLRRnHfLjnAJzM1PV6qNq4uU3J0ne34WnNpr1g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLjBUjaV_OcwyJU7x4AaABAg,According to sec 6 of competition act...such merger of zomato and swiggy may not be possible,4 hours ago,Manav Garg,UC4nKOgywkC6-d-nVXwxbHgw,0,https://yt3.ggpht.com/ytc/AKedOLRJejgmKIgk24y4Jt5EmpT4NwPlPzKKkKbSuNudPw=s176-c-k-c0x00ffffff-no-rj,0.0
