cid,text,time,author,channel,votes,photo,heart
UgzhgItZc2OLXyXaHFt4AaABAg,"►My LIVE COURSES:
https://wisdomhatch.com/
_____________________________________________________
►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100",4 weeks ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,11,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyP9vuz2D4EnSpI7yR4AaABAg,Can you please make a video on IOC and BPCL.,2 days ago,Marun's Blog,UCAxt_1aQLeqai_HfFbKJgLw,1,https://yt3.ggpht.com/NTF9eejpq5uE0rxY981fNYwphyAtt35juh_AcBhcT7paTCi3uWH-jmNMwG3Y7T45mhUP9WBkMg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4XfSJgrqJ76oSgCF4AaABAg,I really feel left aside hearing and seeing several testimonies from people on profits they make from crypto/Forex investments. Can someone please recommend a good expert that can trade on my behalf and generate profits for me🥺🥺🥺,2 days ago,Stephanie Kaka,UCnDGDcqqU-GxP3g0jqxlyjg,65,https://yt3.ggpht.com/ytc/AKedOLSmh2sziwViFHox8gCSJjY36XwPS3vxFWRmrfqy=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUfzLf8xOW4cDS5pJ4AaABAg,"Akshat, What are the things that you see in the online software for investment purposes from Indian to US market or any other market ? As zerodha  in India.I am in UK and looking for starting investment in USA.",2 weeks ago,Anuj Chaturvedi,UCI1H-qE8JamzWSCa4jx50aw,0,https://yt3.ggpht.com/ytc/AKedOLSBJ0i3xZamezVoit375kFspYhXw8HtaPkyp3_hfA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGmemjsrqJy2r8Ytt4AaABAg,I think R systems international is a multibagger too... Can you please make a video on analysis of this stock,2 weeks ago,Vishal Kumar,UCoY-MjRxRoRJ22g1O54TBvw,1,https://yt3.ggpht.com/ytc/AKedOLQxSNlwOJK-ufnx1Gp4NsCHHN31oR5xy4WESdnBsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUr2owFYXkaEKEJod4AaABAg,Most time having knowledge or insight about a particular activity can as well be a pleasing exercise. I can boldly say that forex and crypto trading is one of the profitable money exchange services that elevates investors and their financial status,2 weeks ago,Williams Smith,UCLZNqyQ_kPIeirF2YaaCpXA,42,https://yt3.ggpht.com/ytc/AKedOLQ2Io5gPWUoDxwO5iauyTFm7SDPXLg1VfkqrYWbFg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiMTdy-akNSlch9Ot4AaABAg,Are you talking about us stock,2 weeks ago,Tarak Patel,UC6VrurELU3kkl12NNOrn9oA,0,https://yt3.ggpht.com/ytc/AKedOLSoCjNu5kdYqKenShz2nOEsjCcw6aDodjBUNYJmeg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugylz-x7BD4YxdtBBlN4AaABAg,Please refer how to invest in us shares,3 weeks ago,Mr. RJ Diaries,UCkgplHEeGA6hDu-ByRZZKnQ,1,https://yt3.ggpht.com/ytc/AKedOLQgQeJD0W9iNenW-_yeofkOLu90LWKNBQZHGtE_=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQG2BnTkNFvJ2aqiF4AaABAg,Please change ur background,3 weeks ago,Avinash Tadvi,UCSeDGpi9al7JxbtDFKSCryg,1,https://yt3.ggpht.com/ytc/AKedOLRRG3y3pmyoHrvLMYEAPRY8iamHcvyKJeko87U-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxS7vAdDn5ryvhp0vR4AaABAg,Pleaze cgzng background of u,3 weeks ago,Avinash Tadvi,UCSeDGpi9al7JxbtDFKSCryg,0,https://yt3.ggpht.com/ytc/AKedOLRRG3y3pmyoHrvLMYEAPRY8iamHcvyKJeko87U-=s176-c-k-c0x00ffffff-no-rj,0.0
