cid,text,time,author,channel,votes,photo,heart
UgyKZpD2MAz1m55pxZt4AaABAg,"►Ace your fundamental analysis with Tickertape!:
https://ttape.in/tQ8PHO7jQgb
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►For personalized classes on stock markets, please check: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,14,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk8DLpgyBW1hEmtoR4AaABAg,Koi to bta do konse stocks hain. Yaha Internet slow Hai.. Sirf comments read kr skte hain,2 months ago,Rahul Aswal,UCZrrpuh2vJwvB-Kfy9JkxcQ,1,https://yt3.ggpht.com/ytc/AKedOLQ1bBaVdf_MwkHLMHi37xGHNL46M0CmPBTmrLsq9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhecU7_AtIisBzd3d4AaABAg,Hey Akshat. Thanks for the video. I am about to invest my money in stocks for the first time. Does the stocks you have in this video are till relevant at this point in time?,2 months ago,Rohit Sharma,UCfeNXnYWLz6nwHWs_hw8lWw,2,https://yt3.ggpht.com/ytc/AKedOLTBa8o7xuEmwBUUNIMCI4HyId-oRZRbgDJwcVR6EA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxik5iGdEZoCgXFdx14AaABAg,"Akshat, I am not having confidence on Whirlpool.",2 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,1,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwNjCKJ0ze3n7oEzN4AaABAg,Can you please also make a portfolio of 5lacs.,3 months ago,rajeshrana706,UCiSfW7iQhTG39qMuevXFjZA,0,https://yt3.ggpht.com/ytc/AKedOLQug44xyValywnKPY_1PMqRhlY2eyz2JsuYUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzE2mI-m2U6KVaPboZ4AaABAg,Very helpful and really a confidence gaining video.. Thank you,3 months ago,Pradeep Pawar,UCgcRncSQeyOHADPD2goJKaw,1,https://yt3.ggpht.com/ytc/AKedOLQbJxmyNOUfHLZuMOuOqSOwMDB_81yySxYs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdoIFGxtQ-F-tNCgl4AaABAg,Rupctrce ok,3 months ago,Suresh G,UCXs4-IgUOGMCrr7003uAf1g,2,https://yt3.ggpht.com/UFRsHQe-znjEme12p-80UZTRLPMsAXRo1FV5jZaDpoT1SAA-7ejFdPD1JnfWLIJVfsyKo-LWnyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4rcCOV121DscRe1N4AaABAg,Loved the video akshat sir😊 you are the best 😍,3 months ago,Dr.Neeraj Patidar,UC7DoUH472UG_Y2MV3nedy5Q,1,https://yt3.ggpht.com/ytc/AKedOLTYTCRGJwKqAvi4zWef5aDLrr3s8ibGcuPgCECHXtk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7YPV9WODxZaDCvzJ4AaABAg,yes,3 months ago,Ram Sree,UCjZEW7UQiB-EMu2tqMdhthQ,1,https://yt3.ggpht.com/ytc/AKedOLQRZwZrCHCPkNhftU_NttrwQBLs2yAGZRrorCFJpYA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwzt00BKHX2EmOE6214AaABAg,Why not even single IT stock ?,3 months ago,JK,UCcTp2IC2KqP9O8yQpFsVidg,1,https://yt3.ggpht.com/ytc/AKedOLTpOq5QmuTLzw6HecELKmPNykvXYjj-3lKUGQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0Cj6IpZeMCN6VOzl4AaABAg,Hi Akshat iam planning to invest 1l in this portfolio.this video was out 8days ago by today all stocks are up 1-2%.shall I wait or invest now please suggest.,3 months ago,Sumeet Karapurkar,UCXqOe2uugGWwaEChPOW5esA,2,https://yt3.ggpht.com/ytc/AKedOLTtEIXqVsSrpbqiHAuLgV9EzHbFn59msTSI7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJaOJOUQ_FPlAUTxZ4AaABAg,"I would like to see a video from you on ""How to EARN 1lakh today"" 😀😀😀",3 months ago,Deepti Das,UC248u5PA6D_Jqr85allthBQ,1,https://yt3.ggpht.com/ytc/AKedOLQQL03_xsB5pOy29VAKISb0B-7dRqXQyQdllQHjtw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyW1wqpqngO8URHHB4AaABAg,for how many years we should invest ??,3 months ago,Nishant Bhardwaj,UCTnhnTnhMFJQ8V9qBOpooGw,2,https://yt3.ggpht.com/ytc/AKedOLTH325P8prMeSWBEHi-JajOwYnALBILkuZ5hLh3=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNOYPeSU380-oXVCB4AaABAg,Superb video 🔥👌,3 months ago,_SAHIL_,UC7w_k-rHB_5T22YVBLt1KNg,1,https://yt3.ggpht.com/ytc/AKedOLQOcQau_ee8TIzOu8WIl6PMDOqM4hL9KSQhrAQJyTb29Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxxT2MsvwVxGn6yp14AaABAg,Plz guide investing in startups,3 months ago,giass,UC_Jot7RhWTUfZlv10FlElbA,2,https://yt3.ggpht.com/ytc/AKedOLS0LSoJK8GCbv9RgwinR_2cyBBVWVh-p-luCeCL=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkqhuzQv4unCqJ1zt4AaABAg,"LATENT VIEW ,KPIT AND BIRLA SOFT WILL MAKE 1 LAKH TO 10 LAKHS IN 10 YEARS",3 months ago,NETKE,UCF8Yl70woe2Pu7pWJpt7u1g,2,https://yt3.ggpht.com/ytc/AKedOLS-sjK-ZNyD-D-Q46y2D5-eQVMAdE9dVSjOL3L3z3qkIbDGOeNdg_p5IYQ4PuhI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3wRA3EI-YzB-yaFt4AaABAg,Can u make more of these live investing videos,3 months ago,mathew kanichay,UCjloQe6SNBwkyfq2Tzctu3A,0,https://yt3.ggpht.com/ytc/AKedOLQDinflg_S77ZzQcL-d1K4_BS_1qEpX3bQkLlDIiw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEw3mUw3M8mccl-CF4AaABAg,Can u make a portfolio for 10-15 lacs for a vision of 5 years,3 months ago,varun pratap,UCf-ee-dO-18ldciiLg-RQ3w,0,https://yt3.ggpht.com/ytc/AKedOLSvybaDrYw9mz7YiXfQUAw7fppgb8Qm_UklUw4VEA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGMTpN_3qo5YFW6Hx4AaABAg,"Sir please explain in Hindi language
Your video watch twice of time..",3 months ago,sunil shekhaliya,UCoX5n3Lb2RaZ76bzYIVxUUQ,0,https://yt3.ggpht.com/ytc/AKedOLTziT6Yu1gBNUpXThEm1wsH6yYj5U6n7Ybz2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWOD1GhHd__kqmdVx4AaABAg,"hi akshat!Big fan of yours! I've a little over 3 lacs and want to know if I can invest that (basically, more than a  lac suggested by you)?",3 months ago,InsaneTraveller,UCGv1_07bN28yD2xYwVg808Q,0,https://yt3.ggpht.com/ytc/AKedOLR-pfx8q63v1ekQ_wuifPe3RTvbR84gBRhbU2pq=s176-c-k-c0x00ffffff-no-rj,0.0
