cid,text,time,author,channel,votes,photo,heart
UgzNhz1lGxtTJe5X0yh4AaABAg,"►Discord Link: https://discord.gg/zionverse
Reach out on Twitter: https://twitter.com/thezionverse
_____________________________________________________
►For personalized classes on stock markets and cryptocurrencies, please check:
https://wisdomhatch.com/",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,15,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfDadD59mYuUO_jsV4AaABAg,Playing  metaverse games can also lead to financial loss & every time one can't win.,1 month ago,Charanjit Bindra,UCtrtGveskOAM3VN5alaxYqA,1,https://yt3.ggpht.com/FbqsSTzLmalwc1UH38FKecYxnOS086rtd2G7BWCGCrg9JIbFEsa8N2aMHQ_dKvHjtmi8w1miZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXwmkJFVZM-APaCdB4AaABAg,DEAR SIR YOUR ALL VEDIOS AUDIO IS SO BAD SO ENHANCE AUDIO SYSTEM,1 month ago,narendhara kashaveni,UCIf6Z5RFhcIMcUnUmzB5W4w,0,https://yt3.ggpht.com/ytc/AKedOLRg518-fZn-Gfq45u-gMvCoZr4XUu0iyyGvqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiCRPPdjGI4a5xLyp4AaABAg,A Super Futuristic video. Awesome.,1 month ago,Rajeev Kapila,UCRrlS0KrL2rrVmCo13nj8xQ,1,https://yt3.ggpht.com/ytc/AKedOLS6dCcvr1mtoh2BL7C6JPIxQKrw8NyEEI88fvITrQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugye5bBajaULy-6FI4B4AaABAg,Please reduce video length,2 months ago,bring happieness,UCvIG4RLKafY9d-tMMf7Z5Iw,1,https://yt3.ggpht.com/ytc/AKedOLRsl50dhd6jvcRQEBUCLQSHEwjiSWSmR167xw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_lolQ2YENb6CcH6J4AaABAg,Please do some more videos about some other real games options,2 months ago,Don't Know,UCYya5rIPPp-lCjmoo0arV2A,0,https://yt3.ggpht.com/-D-mu33M8yHNAj4LXBrfOWh9BtgMsYtaVpBwet8t2JwZhpyL0ddWI4xeNRSuc_0-NttCf5fJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHK33OHX6avbotWLN4AaABAg,😮😮😮🤔🤔🤔😱😱😱,2 months ago,Sujay Paul,UCgMRhIp4wxdfXaxlVBI5EPg,1,https://yt3.ggpht.com/ytc/AKedOLTpazFs7_9v7SyXedBkbdwFwnZz30qCvp_hogJmCYS6O1q5Wc05tpFZF4igJW8C=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5mq0SgbXwJ2tuB6B4AaABAg,"👌Good work,thank you.",2 months ago,Alex Manga,UCzi1w-TdtLHiR-7EO2zAxWg,0,https://yt3.ggpht.com/ytc/AKedOLQCF9pt09UXS_y4E0fLM0aYTdsKdC_EvnOFIMQH=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMh6shs7PdXDJvz2d4AaABAg,"Zionverse was discussed as to be a boom stock in previous video.
Is Nazara technologies one of the leading Indian gaming platform also has some concept of metaverse imbibed in their growth strategy ?",2 months ago,Vivek Mehta,UCNVw0NEs--2tlcGGVyjIiVQ,1,https://yt3.ggpht.com/ytc/AKedOLQwxZOvbufsFy8nzJzWSGARJlNqO_4tv2sTBk7PxQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_w2rRnvrEDq88py54AaABAg,You have a new subscriber for talking some interesting concepts vof metaverse,2 months ago,laxmi kanth Gurram,UCjX50TfAKXAPao4Xw9cXbxQ,1,https://yt3.ggpht.com/ytc/AKedOLRm-SB5Cnzn2txcJEZF03M9agdGFRCYUCNrnw=s176-c-k-c0x00ffffff-no-rj,0.0
