cid,text,time,author,channel,votes,photo,heart
UgzFKFBtHeyLsyQg8AR4AaABAg,"►I teach about Stock Market and Cryptos in my course, you can check it out here:
https://wisdomhatch.com/
_____________________________________________________
►Check out Golden Pi for bond investing:
https://goldenpi.com/sign-up?rc=02e00496f2afe740&cid=AkshatShrivastava&utm_source=AFM_AKSHAT%20SHRIVASTAVA&utm_medium=YouTube&utm_campaign=AkshatShrivastava",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,18,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC9cSTucbppSyYvyp4AaABAg,Crazy how this video was so accurate 15 days BEFORE the invasion,4 weeks ago,drifter13,UC83t4Br-DO7bUlMwTNnV3NA,0,https://yt3.ggpht.com/ytc/AKedOLQKNjrt4NSpWfkegKhDq5_LiBjw5CNmj4367Lsq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwo8swDcJ0EWCV31yh4AaABAg,It's eye opening video,1 month ago,Mukeshkumar Patel,UCY5HOiWFjuGGNCVEgdR0MEw,1,https://yt3.ggpht.com/ytc/AKedOLQg_EiMaTzGav0O7Pgw2TeHMLK6XnLqiHsDgObW5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxM3xJuuTgXWU2nskZ4AaABAg,"Hi.. I have a general question.. If third world war broke out in the upcoming years, Will stock market continue to run during third world war time as well ? Do you have any idea about the stock market whether it will continue to function at the third world war time or not ? Pls share",1 month ago,ram,UC9jv2ui6voCGrMsrn2MjpSg,1,https://yt3.ggpht.com/ytc/AKedOLSto1h_Fo0ah6wj34Xi4YzUe1A8mfYOxJ9gQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxP2v2WcUKxILCOlYd4AaABAg,Hey Akshat so how many financial apps do you use?!,2 months ago,vjhardy100,UCrTbUpGLh4y6sQZtTBZG7VQ,0,https://yt3.ggpht.com/ytc/AKedOLTGz6KHJNY-5NsNLWzrw0Bdnpm1aQtOhOkuCg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrnzXYbyHttNEkEct4AaABAg,What about Bitcoin??....it will go up ig ...coz fiat currency will fall,2 months ago (edited),Aman Raj,UCzg-MORSk6pmXvt9v4pB3OA,0,https://yt3.ggpht.com/ytc/AKedOLSg7M85Hmi5TUiBhYwGqX6UKY7vBE2MO9mdMmnB=s176-c-k-c0x00ffffff-no-rj,0.0
UgzM0ra8g5rFEqN8Y3R4AaABAg,"Very very faltoo logic. First thing there is no war, secondly this is not the reason for market crash. He is saying nothing substantial just creating panic. If we follow such useless advice we can never create wealth and we will sell in panic, instead such crashes are opportunities to invest more.",2 months ago,Bunkaar,UCsnF9nuC_glkhhTVCTSw4-w,1,https://yt3.ggpht.com/ytc/AKedOLQ44YtNRZOSuTNuQ3uMS8w-1VAU3hm2pf0zuHKnUFMgL_bSvTjWqQ-RP2waCc81=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVMiOyf6a-23D-ca14AaABAg,"Clickbait, and Slower than Internet Explorer...",2 months ago,Kriss J,UCSUliGdVjq9AwwlnBy0eYSQ,2,https://yt3.ggpht.com/ytc/AKedOLSifgMI_vUYvBnuPaccEVab1CxnBhZpNCAOor9amfkmUq4NOu4aUmnh5pZPNTRm=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFECCTdTHM2tXDAgt4AaABAg,It's all nonsence....,2 months ago,A B.E,UC3n461puNW-pedVKIj791Yg,0,https://yt3.ggpht.com/ytc/AKedOLREHyYjxc0UvfwzIZK3xkF9epboSA94CyTiu4gR7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHjiS90ZVfGvCJGmB4AaABAg,"sir, videos are very informative. please do more vdeos on indian stock market.",2 months ago,Prasad B,UCkdBwHIam8IOGRzNvQdgjXQ,0,https://yt3.ggpht.com/ytc/AKedOLQekggVfxRM9F3fGfIXO6KKt9j49kgaJT3nJ_AnxB1ZxPHQaHZm_vb9L3BOILcE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaQx4LYuZws2_rzGp4AaABAg,Hey,2 months ago,Lydia Torres,UCduyW8LLD7g0oK4kJRwz7TQ,1,https://yt3.ggpht.com/l7YV71MKQhyGVCuoio8-woBA3LSKKGpC2vz64R5-Al0xu7TtmnE78I0CM0pZt1ZIxMbSi26y=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWrThxCPaRRdGIZYR4AaABAg,"Hi Akshat,
Can we also sell bonds on Golden PI?",2 months ago,Nikhil,UCmVKvjrBtgLGNxet-5yY9Bw,0,https://yt3.ggpht.com/ytc/AKedOLTiiA6ArcY2z_QUzpSBDz-y_9v_HoaRAD5BOEL6VQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzN-GTjjETEuoJtth4AaABAg,What about silver,2 months ago,vinay kumar,UCuWhS8VHG-mSRtsfokWrbEA,1,https://yt3.ggpht.com/ytc/AKedOLR-pd_-lc9i43K2uet8SYQUAfMsfJa5Ztiuv4xTDf4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdMbdoAuGxyTVC2CJ4AaABAg,6:48 Correction: Iraq's invasion of Kuwait. 🙄,2 months ago,Abhijeet Dey,UC-xjuRLopo9daOTR3vcbxcg,0,https://yt3.ggpht.com/ytc/AKedOLQuxEogleapP-cMhBpmnp_fKLjjMK0du-wKUSb_Pg=s176-c-k-c0x00ffffff-no-rj,0.0
