cid,text,time,author,channel,votes,photo,heart
UgxIXY4Q86E_EEikArl4AaABAg,"►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: https://bit.ly/Akshat50
Code: Akshat50
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Cryptocurrencies on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,7,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxpml0NtFkQKJvP2lh4AaABAg,"@Akshat Srivastava. Let us assume that Bitcoin exchanges across businesses increase to 99 percent from only 20,000 (as pointed out by you). In this case, do you think it is safe enough a medium for human civilization to carry out transactions. My question is to understand the safety and security of Bitcoin looking at the future.  Regards, Sunando",2 months ago,Akash Unplugged,UCSkj-Tpv3qh1AZRoBCwiXdg,0,https://yt3.ggpht.com/ytc/AKedOLQDN1JF8E0yTRDwXl5GYWQM0dPye9mf41CYxfir=s176-c-k-c0x00ffffff-no-rj,0.0
Ugytro_--JcNCWZKpjJ4AaABAg,Good information akshit,2 months ago,Laxman Mudaliar,UCoX5PIlCCv3lixi9tPWAplQ,0,https://yt3.ggpht.com/ytc/AKedOLSR8LFPY8rmP3it_r7-svA8fjyFcuhYbcui1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkYuM8H1bNRuz66D14AaABAg,THIS TEAM ☝️☝️☝️ARE GOD SENT,3 months ago,INVEST WITH 👉JOEHACKZ012 👈ON TELEGRAM,UC8nA2VJgvuculeNnXJfl2oQ,0,https://yt3.ggpht.com/xl1nY6FYLIiLF9OsQkYb65EwLJHwL66exJ06QCDuQgvzTfPrnkrtkFXBeteboqrX3_fpF19s=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7HLEv-AgrGFHPMYZ4AaABAg,THIS TEAM ☝️☝️☝️ARE GOD SENT,3 months ago,INVEST WITH 👉JOEHACKZ012 👈ON TELEGRAM,UC8nA2VJgvuculeNnXJfl2oQ,0,https://yt3.ggpht.com/xl1nY6FYLIiLF9OsQkYb65EwLJHwL66exJ06QCDuQgvzTfPrnkrtkFXBeteboqrX3_fpF19s=s176-c-k-c0x00ffffff-no-rj,0.0
Ugww9iGqmVXzazRyHaN4AaABAg,👆👆I WAS BLESSED BY HIM WITH 6BTC TODAY 💯,3 months ago,MESSAGE 👉JOEHACKZ012 👈ON  TELEGRAM,UC9cEaI3MPD9pFFE1_tm8ndA,0,https://yt3.ggpht.com/5nyFbS967wP_IzSKNshBtlAxG47Him0z0HyEebOET_kOLiagZd9oZcV9YjxBsxoayCXG80g8bA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLSi7mj7xKS464pzJ4AaABAg,👆👆I WAS BLESSED BY HIM WITH 6BTC TODAY 💯,3 months ago,MESSAGE 👉JOEHACKZ012 👈ON  TELEGRAM,UC9cEaI3MPD9pFFE1_tm8ndA,0,https://yt3.ggpht.com/5nyFbS967wP_IzSKNshBtlAxG47Him0z0HyEebOET_kOLiagZd9oZcV9YjxBsxoayCXG80g8bA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqAD1rrHV3AWzMHDp4AaABAg,"Hello, one question to every bitcoin supporter. the amount of energy used in every transaction of bitcoin is damn high.. Right now, ieach Bitcoin transaction consumes 1,173 kilowatt hours of electricity. And it is increasing . So is it really something gonna survive longer?",4 months ago (edited),saurabh tiwari,UC5BPboGzcIHv7S46WCqdvOA,1,https://yt3.ggpht.com/ytc/AKedOLS-gKuB5CwYeN_tdAni4z6scflFhACFj7k7jlwxxhY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIJiXgQV1W2aF9VZV4AaABAg,"INVESTING IN CRYPTO NOW SHOULD BE IN EVERY WISE INDIVIDUAL'S LIST, IN SOME MONTHS TIME YOU WILL BE ECSTATIC WITH THE DECISION YOU MADE TODAY.",4 months ago,Boroteo Custodio,UClY4wi-pv6bjyxsfYkCB3vw,34,https://yt3.ggpht.com/vSRl4Z9Gdpr4hT8z2wW2mfALJ8lxQGAjOzJ_8T5uVw8PPzWG2kHmoLN2UNKmaxBoDtNS4Xu-ow=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWoB3el1OgJJySq694AaABAg,Great video! Really loved it!,4 months ago,Sabuj Chattopadhyay,UCxUz7-G-kDKQS2iEfrPiFmA,0,https://yt3.ggpht.com/ytc/AKedOLRTc9da8npkJiyJc-GEkfePGvgPdqb0Q2WYmGrJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfwA1waJIrVKsB_yV4AaABAg,"Tapering is basically the central bank slowing it's speed on the ""money printer""",4 months ago,yahya ahmed,UCzbuKY7lGIDvF0WE9UY5dfA,1,https://yt3.ggpht.com/ytc/AKedOLSR9dRax08adb3MKPlJ2KVb7BHDaXv6FKnA7VCG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVUuNqoyo7_Zqgcqp4AaABAg,"* Please Reply *
Which is the best platform to invest in crypto which have more features, least cost, in Indian Rupees? How to recognize the crypto as private or public currencies?",4 months ago,Legend Don,UCgt1uKX8_qUgHnLkC15TyUQ,0,https://yt3.ggpht.com/ahWig92KVpkkL2HKvO4sYfO444VEtA6UPnQPaoVAQ1IQkQaVQnGVctWuBonvAs8OT8AxiOAb3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaoHPNlFm4E7LR5yV4AaABAg,Kotak Mahindra. Bank  accepts cryptos keep a eye on it,4 months ago,Nikhi,UC8qoyip7WQYp5ij1BHXvmsw,1,https://yt3.ggpht.com/dW1L45LpJN9wQi2ZEDIE3EwencmAwFlE1C7rPHOD64RTJyMfC-620vfUoh0QQpEzE72aKxuh=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8t-pBWkU5lqzAfex4AaABAg,"Hey Akshat, could you please do a video on BITIQ?",4 months ago,E S Sanjay Kumar,UC-1-Z4Obs_0RIG2UV0cRv_Q,0,https://yt3.ggpht.com/ytc/AKedOLSKxXs02Byrvm1yj6A-JGy__REzm9Y-ZVAqWwDlrQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6U_MK5L0Fv1F57aV4AaABAg,"If Indian government could get rid of debt over a decade that will be 8th wonder of world. Lol 

1. It is possible only if we could manage to bring 10-20 unicorns every year continuously for decade. 

2. Government should focus on SMEs which is a key sector boosting GDP.

3. Tax rates should be healthy. No one is fool pay their hard earned money.",4 months ago,Aashish Jangam,UCRy91T_rKgWBiTL6pj72RQw,0,https://yt3.ggpht.com/ytc/AKedOLTJwImWAg_Zmh9j2Q5KsE-6Bwf7dmCVjLw9bw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOUWw1DeqpO_od7vd4AaABAg,"Hi Akshat,
Simply put, A short way to define it would be:
Tapering is the gradual slowing of the pace of the Federal Reserve large-scale asset purchases.",4 months ago (edited),Tushar Bhattacharya,UCW9leEzgh-4hWRfQCY2KAuA,1,https://yt3.ggpht.com/ytc/AKedOLSVboIuOyOHZPKtMIeSRYwJPXF98bSfBhtYJg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfDZS3Y_j-s3u_aTp4AaABAg,"Sir since VAULD does not classify as indian crypto currency exchange, Please refer us to the best exchange where we can invest for crypto as per the regulations",4 months ago,kushal gowda,UCzztevysc9c-JCwLoEHbPew,0,https://yt3.ggpht.com/ytc/AKedOLRUqGgK_GAMG5uyq61ssD8S1JDyASGz7Cwo9WZZAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZUft9tfyS3wjkY9F4AaABAg,"What do you mean by effective tax rate being 43 for india, hearing for the first time ever....",4 months ago,Akash Agarwal,UCvDYGNmBF_WadWcXpwSP8ag,1,https://yt3.ggpht.com/ytc/AKedOLQZNfxuztKCjYRy7O90qaCevHe8i45vp3XsW0lLRg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyx-2OBwVbvzUxIGQN4AaABAg,"Hi Akshat. Liquidity increases in the market due to quantitative easing done by the government. This leads to high inflation which can be harmful to a country in the long term. The next step for the government is to reduce the liquidity and suck the money out of the market which is known as tapering. This is mostly done in phases, so the country's market is not shocked by this.",4 months ago,Mohammad Jagora,UCa6dOdzJmmKgaRfZSshTPoA,0,https://yt3.ggpht.com/ytc/AKedOLSQlA9x-NznGXLYQM8VaiguFwc90Lv527CETsfIdORMJ7PYl1KtErvjp5BopVJU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjKso2_Jgu2-2jn9l4AaABAg,"Funny answer for tapering is measuring with the tape how your belly is growing big. Eat more and increase your belly(inflation and printing more money) and inflate. After knowing the belly is big and fallen to diseases, dieting and measuring   with the tape and weight. Unfortunately once the belly becomes so big( with corrupt fiscal policies), it's difficult to tape.",4 months ago,K A,UCpfPXP-d4I0bkhxJpQVOOAw,0,https://yt3.ggpht.com/ytc/AKedOLSHeQjYzSY-aemLozziWf4wNxM8eMOMrL_5Aw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIXY4Q86E_EEikArl4AaABAg.9VPxX9vE_149VPzf3Xy-Un,"Tapering - It is the process of slowly pulling back the stimulus provided during drastic times( Recession,pandemic,etc)",4 months ago,PEC19ME036 Yadhu Krishnan,UCWwMa6lHgpYXDDqCbxgfUdA,3,https://yt3.ggpht.com/ytc/AKedOLTc-34cCVWo7l5nRAj7JlQDVLGI_kT3B0KFZtON=s176-c-k-c0x00ffffff-no-rj,0.0
