cid,text,time,author,channel,votes,photo,heart
UgypMlpMj6a1cFMw9fp4AaABAg,Batteries not included.,12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,1,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoOQhhcirY9F2B3Bd4AaABAg,where is tesla???,14 hours ago,VINOTH KUMAR NANDHA KUMAR,UC2kTTn64IucCzYK6_9BhvNQ,0,https://yt3.ggpht.com/ytc/AKedOLQXgPPqNk4-3QEHDX5ZoKS7L-_QHP_-iJ6s3w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8ERr9GFwLI6VUrbd4AaABAg,"yes zero emission is green, but as someone said power for the manufacturer,  steel presses and moulds to make parts, as stated already mining for batteries (disposal at end of life), all these processes are the same as conventional cars, so being being zero emmisions doesn't mean it is also carbon neutral, the carbon footprint is still the same as my petrol guzzling vehicle",17 hours ago,PJ Train,UCIPbYbQSa0NipSKdBfWXTKg,1,https://yt3.ggpht.com/ytc/AKedOLQEo9_Ot947GsKFPTUFDCAmDEysF-SfF6j0UPN4Rlni67dl4d1Y4l3kAAQX2SXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQM2xifTrszLRd-5l4AaABAg,Nice background beat,19 hours ago,Paul George,UCLZ-76paBhV-8IPY-iB69YQ,0,https://yt3.ggpht.com/ytc/AKedOLRX6js_CDHcg_hFIifMhu2LwhJEkgMGST-0UA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwThxnseDionuIP4sl4AaABAg,Where is the power coming from to charge all these EV's?,20 hours ago,orac229,UC0CyWWRpNbv4bJhpJJ6NYaA,1,https://yt3.ggpht.com/ytc/AKedOLTU6ovQnbmWM3_-i9w99OomnqgHiHdTr7fuwMq0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZ8KFwzC2apWs5lsV4AaABAg,Way to NOT research your subject BEFORE making a report. Then there is that pesky Click Bait Headline - a lie. PLUS the real story headline is totally different. No wonder you folks are considered a joke and have no credibility...,1 day ago,R.A. Monigold,UChegiDNmJiCM6IfG71aKiVg,1,https://yt3.ggpht.com/ytc/AKedOLTSd846dR9mBXX1Zuni1oUI83zl_DjpIUnloinUvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwyM6l77_PbDOdqzZ4AaABAg,"I have a 2020 corvette z51 and an audi etron electric for my girl. I could care less about that Bs climate change crapola but electrics are awesome even before gas prices doubled...electric cars have instant total torque and the vehicles are fun to drive. The audi has a cool jet turbine sound as you accelerate and for sports cars evs just need to make it louder.

Ill be at the ny auto show to see my next vette which will be a z06 ...",1 day ago,Jonathan Brown,UCLHjAc-HNcIKA-4MVNCp8lg,0,https://yt3.ggpht.com/ytc/AKedOLS3M-6AA9Y_M7bG_rf6qQltKdRv9BEmq8iOAxGJ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx31FOw_y2OkyKHcMl4AaABAg,"Even if we were riding horses, these nutjobs would still complain about emissions. YOU are the excess carbon they are really trying to get rid of.",1 day ago (edited),NO J in DOJ,UC-Ze0jo9Z_UxuFoVSXlpONg,0,https://yt3.ggpht.com/ytc/AKedOLQqhXv3_06A1TghP4rSURL0ewwxuFhq3seHQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxL8TW0uu9Zetm7qzt4AaABAg,"When those with the loudest voices tell us(the general public) to go green, reduce THEIR house size, energy use size, jet size, yacht size, and overall pollution emitting size.  Then I will follow.",1 day ago,Dori Tos,UC_8mDH3fLSi0cCrXK4RApyA,5,https://yt3.ggpht.com/ytc/AKedOLSsKuOtU_JfdyrMc7qq5vDN9hiuEEd_6z4f3DoO=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpT77JpSzDtjNd0aB4AaABAg,1:19 Hey! Micah Muzio from Kelley Bluebook. He has an awesome YouTube channel.,1 day ago,R Menon,UCO43lDqwCH_gWw2NZRw0K4w,0,https://yt3.ggpht.com/ytc/AKedOLQTa6zuuqKb4Le-pTeoXynEi1vSh3r_tzc7bjdxdw=s176-c-k-c0x00ffffff-no-rj,0.0
