cid,text,time,author,channel,votes,photo,heart
UgzFepXiyQ3egi65AVt4AaABAg,God punish them for the looting,1 hour ago,Dimitre Dechev,UCaXwhvFKaYj-fR5Io9xMRVA,0,https://yt3.ggpht.com/ytc/AKedOLSVh9qSZZIV8QbyTQYvi9V-u4iFxPk1mPYDGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDcYk6GUkSbypQXzR4AaABAg,"Honestly speaking.. I am from South Africa my self but in another province.. I really don't pity some of the people from KZN. Reason is they have been responsible for the Xenophobia  attacks  and kills of enocent people in the past year or months. So, kama has a way of dealing with things. What goes around, comes around.    I am not happy it happened but is it was coming AmaZulu for your nation. People years and prayers got heard.",3 hours ago,Philadel Philadel,UCfstobx0HocNN-IrDf9i3xA,1,https://yt3.ggpht.com/ytc/AKedOLSc1lkVZPhGaIc3y2wlhUHzjTN-fzjTsxV8aQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4wbskWhJWOfj-hp94AaABAg,The news presenter is stunning.,3 hours ago,Nishen Devan,UCZVqv4_Yitqia0m9f8R518Q,0,https://yt3.ggpht.com/ytc/AKedOLS5fEaOygEi5i31TX_7wPD1AM_2lrpQo-pNFw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw86eIFzzigzryaMbh4AaABAg,"Please don't blame global warming solely, address old infrastructure from decades ago that the govt does not repair, drainage, housing etc.  The current govt stealing all the taxes.  Address that and see a change.  I am someone from the outside, looking in.",7 hours ago,Sue Elliott,UCKljEhb0YiB0u-m82lXxZHQ,1,https://yt3.ggpht.com/ytc/AKedOLQFWMC7Emi55zGhUm_hVV1h4TudyFbM_wIGxg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyd0uwmeQryRl2JnWl4AaABAg,at least they have water now.,8 hours ago,Jay Gab,UC-CtZfTj9Jt_dyVk4wLW09g,0,https://yt3.ggpht.com/ytc/AKedOLRrneyslAgbx8HBXZpfCx7w13SicHFnBYWOMg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxnw3TKhNtbzkWwGol4AaABAg,Municipality of eThekwini...thank you.,9 hours ago,Musa Dindi,UCxQSGHLcNp1DziPOWb3avNw,0,https://yt3.ggpht.com/ytc/AKedOLQoUPqrAUBfrQ5UsYE8RDg-LC59WgcrdfPTVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUxthiuB78z6mOXuB4AaABAg,Call operations dudula for rescue,10 hours ago,walker T and T,UCV1AWcZh0_lhbSFvGzbStxQ,0,https://yt3.ggpht.com/ytc/AKedOLSXBycXc9ybT8FF1ib4guuYyK3v5vuT5IBN-hXoa2J88j9HyowFHZxyAXkN3D-9=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgXybyRIumt39eeq94AaABAg,How can i sympathize when KZN people are so hateful,14 hours ago,Paul Themba,UCOv30icZE_hLUG7vTA17xmw,0,https://yt3.ggpht.com/ytc/AKedOLQPXLFgIGRYOvGnXU1WAnxehaKfMlZZH87qhBjWjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrjJ-EtIYEYv0X53F4AaABAg,death toll has passed 1000+ & counting..South Africa hasn't got the infrastructure due to poor governance & corruption..,15 hours ago,Feyaz Sewkumar,UCbsSvxC4e1Sh0hORF3f7i4A,2,https://yt3.ggpht.com/ytc/AKedOLQciWw1eNu7RmBG_yk-c5llr4Vp1zAdALkvZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVIsiSPKZ247TvGU94AaABAg,This is sad.,19 hours ago,AJ Rockin Shockin,UC-h6EwmuVTSzis6wm4dHYEg,1,https://yt3.ggpht.com/ytc/AKedOLRdfrtge1es_X7x5LQGwAyaerZwVTxFCgIby8Q2aA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyP7wNocDbfWo2-Hkp4AaABAg,The poor still live the way they did in the 90's.    Shocking,1 day ago,Yvette van der merwe,UCIXlMPDcOuoBx2b8gxFWidw,2,https://yt3.ggpht.com/ytc/AKedOLTT8qo9wAzn4pBwXq1-uSeYNyHI8gko6Ay9Dw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzI3FgOQC25r2oY40Z4AaABAg,I never thought I will witness such in my country let alone KwaZulu Natal my heart aches to the core,1 day ago,Ntando Qulo Ntuli,UCXVTUk_I0LocbUjMeAYqdOQ,5,https://yt3.ggpht.com/ytc/AKedOLQBiJ3eO02945cEOT2iq1BabDjwcKP6yWttw2DoBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzF0vt5fXFuRRoHuxF4AaABAg,"I'm in KZN, and in a process of building.
I only found out today that the structure is still intact.

I just saw a small bridge that was washed away.

I think I saw about 4 homes that got destroyed.
For people outside the province,who might not be aware, certain parts of KZN, like Ladysmith were in a process of rebuilding homes that were destroyed by floods early this year,and then this.
Condolences to families that lost their loved ones...",1 day ago,Feez The Deal,UCoG38lajenrOX8Xn8WKlHZA,3,https://yt3.ggpht.com/ytc/AKedOLSHdoSXqKsZS2nzuu1zYaqOGaYfvke0K3SHtHf6EgqOQHmUNwPUJOKLPlnHqrdU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGwNrkP2TJ1NiAjfN4AaABAg,She's gorgeous,1 day ago,Guyindran Govender,UCT6VTjJuKkKArjoaHUdsmSw,0,https://yt3.ggpht.com/ytc/AKedOLTTi5KIkOBtnE_SgaYYRWgAhJ71FC9EOxrYcA=s176-c-k-c0x00ffffff-no-rj,0.0
UgycU55Q-mfvWqJdJfN4AaABAg,My prayers to all God bless you.,1 day ago,kelley taylor,UCy6EaVNJ9lxigDpoBS-xzXg,1,https://yt3.ggpht.com/ytc/AKedOLQtG0jPYioi6cHls6F3wsPtq6PFqLPckPhUc4Q=s176-c-k-c0x00ffffff-no-rj,0.0
