cid,text,time,author,channel,votes,photo,heart
UgwnVJ_jYuSPYBM9uZR4AaABAg,Thank God someone told this. Biofuels should be developed as opposed to electric appliances,19 minutes ago,yash dodderi,UCF6siVJUG5MWMU7w32G0V5g,0,https://yt3.ggpht.com/ytc/AKedOLTgfuoKItiIbaHIj7HfJ31nc9oiyLx-ukPGBB-JxNs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEaMgSCyFdblxnRR14AaABAg,Say that to developed world or at cop summit.,1 hour ago,SWARUP The Best,UCKhsSt7vo6hWyJppvAimxlA,0,https://yt3.ggpht.com/ytc/AKedOLSBcGrNm67K__G0n2JzLQVP6_xdfXh__cnYGA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyyk2C66hQRZcM3Q7V4AaABAg,"There are some who have turned their backs on the path of freedom for want of self-discipline, and yet they have determined to enjoy the fruits of freedom. If you would have the reward of the path of freedom, you must understand that there is a process that is called for, a very natural process like the transformation of the wheat or the kneading of the dough–the cycles of life itself. The essential ingredient is always the individual and his sacred labor. The process is the alchemy of God forming and reforming himself within you.",2 hours ago,Mykola Rieland,UCxRE0G_YJXdEASsFBxZIuUw,0,https://yt3.ggpht.com/ytc/AKedOLRFNrj8_OwfvQ2NPUyqszdwPxHnGhTIVaZ5gs0b2w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4WwXdDwz9ebVJUVp4AaABAg,Don't let China have a monopoly over anything. That is more serious than climate change.,4 hours ago,Cuckoo Nut,UCMrArLn2XkPvPP-AeU_sjlQ,0,https://yt3.ggpht.com/ytc/AKedOLS36hNOUsGFesqg5htL47BxQm6yBC0Tgxg_Tfac=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxn3A1k-tO9aoc8zyN4AaABAg,"It is no good complaining after the fact. BMW saw the writing on the wall and did nothing about it. These are just the death throws of the ICE market, as they struggle to survive in the new EV future.",10 hours ago,Day Dreamer,UC_uoYvzaIG8X-MCiMlJQmqg,0,https://yt3.ggpht.com/siTiOs2Gjem5QGP1rZHMXm4UUcsLtOFup3GZn56CQAoVaOq7uUodzohMCt2jzmmSuxgS_tE7OQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIdlhyhjkin6bW2rB4AaABAg,"A lot of countries don’t have the hydro capacity or the infrastructure to go all Electric, and those that do like Canada, as soon as the Electric cars reach about 65% market capacity what the government hike hydro rates on citizens, that’s when the fun starts.",12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,1,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzY222_-_93oneDg0F4AaABAg,"BMW.. CEO. is a smart man.. 👍👍
""Never put all your eggs in one basket.."" 😁😁😁",1 day ago,Storm Trooper,UCSA5AwFj1mwJ2mzxg_tRrZg,6,https://yt3.ggpht.com/ytc/AKedOLSdu3LRQc4Txk-fGaXM_BrdAHCQAll__rWqaX0G3OrRVtvAGcSQanU2Y14rHP0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyB1loagXYZYhmFjl4AaABAg,ahh BMW support oil from Russia👏,1 day ago,Pr@wnstar,UCnLwmOtoMp0_6TMmm2s5-UQ,1,https://yt3.ggpht.com/ytc/AKedOLRVLgffhQRmWrL6OYoctugP9mRxP57pqmnfIv1k_-upWnCm1x37F3VbzdbGsLt5=s176-c-k-c0x00ffffff-no-rj,0.0
UgweE9K7ddA_nSdJOoB4AaABAg,EV is just hyped too much. Its better to make ICE more Eco friendly rather blindly pushing for EV,1 day ago,Raghu Veer,UCS1gGmTkN6WoGAZ4ubqI19Q,1,https://yt3.ggpht.com/ytc/AKedOLR9238VUe-S2nOYomnbuiwJyR2eQ0Zrkl-CpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzflcD3ku2UjJzWwnJ4AaABAg,EV supply of raw materials are mostly from🇨🇳🙂,1 day ago (edited),Johan Taharin,UCLR2OuGAmYRQD0m3eDaYUqg,4,https://yt3.ggpht.com/ytc/AKedOLSwz-mnhCpbPVaa3VZvbZ3LEtqB4hciacOXmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpEUvca8isEvRiMzR4AaABAg,I think Putin chips on hydrogen is better option instigate letting oil rich countries bullish price hiking it’s getting to a very unaffordable level besides environment is also a concern for past decades I haven’t seen any significant difference in petrol engines to make it more economical on contrary mileage is getting low.,1 day ago,Shubham dubey,UC9s8pmeEhH-6XkojGTuCTKA,0,https://yt3.ggpht.com/syXGbZbnPbwZ5RqyvtLKUC9dLnOGqnPy-dux-qLHyaHCNKgBZtgcS3G6j1l0RckGWPAydTwX0A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3VxOOhD3rOAOFScB4AaABAg,Dinosaurs 🦖 never see the next big thing coming ☄️,1 day ago,bluerocker27,UChH2WeDIpNnJ1am3EbyqeXA,4,https://yt3.ggpht.com/ytc/AKedOLSzHRpD6XUR-T4HHRoSBdQ59nTeKaAy78wb5NQn=s176-c-k-c0x00ffffff-no-rj,0.0
UgyppUYq7naP7mjC1ZV4AaABAg,Just remove that bugs Bunny grill.... it's ugly as shit man...,1 day ago,Harishankar Kaviarasu,UC9ZDh1xUlYYxb-jBRMbPNTg,0,https://yt3.ggpht.com/k3XFtq2NPuY4Az-eITajjxEL-Iu_602bzkmwrurkfpYC8UdwU9CeYSQNZdMynKysCng3dzHJjYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyCoHJ-LMCFpAKHNl4AaABAg,EV cars is future ...,1 day ago,PANDITJI. PUTIN,UCUmSFdDvGciGgilp4ECQ6gg,4,https://yt3.ggpht.com/lZ8i3GP3J1-UkDUBqiuJ4pyaFEA7PXKiFKwPmehUkdbbVfNGLL3nOcCyyC9JFaHHuKtjOb_8Jw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk3X6VvDs5LNelXBZ4AaABAg,"I prefer my petrol car rathen than hyper-priced EV imposing expensive repair costs, as she consume about 5-6 liter/100KM with less than 250€ yearly maintenance. If we see the past two/three decades, the efficiency of car engines hasn't been improved greatly. Instead of focusing of EV R&D, why can't automakers engage in R&D to reduce the fuel consumption drastically and air filter improvements to make affordable and least emission combustion cars.",1 day ago,Anegan Nanda,UCVI0JUmReYvgqCRa4eb5h4A,5,https://yt3.ggpht.com/ytc/AKedOLTBDeUHmHz0w1bBMnyROOVS76cpSzPHWlKRmQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxu_4WLtOqMG5ZfEdJ4AaABAg,WE PAJEET FROM SAPAR PAWAR PAJITISTAN DONT USE CARS WE ONLY USE DONKEYS AS TRANSPORTATION RAMRAM RAMRAM,1 day ago (edited),HAI I’m PAJEET PATEL 2,UCWzwvsxEaQDXQSMOoSYKlUw,1,https://yt3.ggpht.com/6Xu7WNWfsihKWx6mEoI-FaFYlMomXaQXzgiSkBUijhjkB3xrP1cCbOgUecYv9zIRvLD-h_oUVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzysBztwXeLhXcUPQB4AaABAg,Where is Ms Palki? Haven't seen her lately doing report.,1 day ago,Jessica Hilario,UCq-s7_6po7d36NX2JIdiA1Q,0,https://yt3.ggpht.com/ytc/AKedOLRviGB8pJ0Uf8OEukoT3c6eRnfKAVRAzQkwog=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5UIhXfcxQujJZ05Z4AaABAg,"Divestment into Green hydrogen road transport will not eliminate use of the combustion engine.

Why are main garages on main arteries of every city, town, village not providing a service that converts petrol and diesel engines to green hydrogen engines?

This necessary inclusion for ridding future generations of the poisonous troubles present fuelling economies cause is a vital piece to global fuelling divestment.

I have personally contacted all main garage services and not one provides this conversion service. To improve the good health of nations throughout the world it is very important that we reduce our dependency upon fossil fuels. Conversion garage services in already established garage services is key to the improvement of road system safety. Road system safety is very much about the improved good health of city, town, village, inhabitants.

BAN FOSSIL FUEL USE AND IMPROVE THE ECONOMIC ENVIRONMENTS WE LIVE IN.",1 day ago,Lee Morris,UC8rJguOSnbu4mXnuUpbg-AA,1,https://yt3.ggpht.com/ytc/AKedOLRmI9L31jcjfXXKW0lvEp1rgYAZbGVXtzLvoQ8trA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7AS2_JwU__DCLW7R4AaABAg,All for green energy but there are exceptions to every rule.  ICE has a place even if it is just a small percentage.,1 day ago,TOSStarTrek,UCV8KrfIjDVFD0THi7YdTbJA,3,https://yt3.ggpht.com/ytc/AKedOLTxFFDUS1VWQXRd7_yvhIiIJ4LmHw8qEs5Ypv9z=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZaz8vk67SV3humlZ4AaABAg,Bro I have uploaded video about Pa-jeets,1 day ago,Lets do Genocide to all Chindus and Homos!!!!🐖,UCyeCxWSRjQhcJnwzBT9Vf8g,0,https://yt3.ggpht.com/sZkFlgKQ7fPDD9W2U9y9CoIrlniyib3HBr2tC4F8P0r3MyF6owwgHWrSFiptrbbD2NLGFoOl=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk3X6VvDs5LNelXBZ4AaABAg.9_q5VlfNP8i9_qYw4N3RrB,"Engine efficiency has been increased greatly in the last 30 years because of engine management systems! It's one thing I don't mind so much on newer vehicles, it's all the driver management systems like automatic braking, air bags, internet connectivity and now cars have 100-200 computer systems, interference engines, cam phasers that are the most unnecessary and driving vehicle prices up. We need to go back to simpler vehicles that are built to last a long time. Insurance is costing more to fix all this new garbage and we don't need all these fancy gadgets....that's how to be easier on the environment.",1 day ago,iam smiley,UCRiV4yv4R8L9FevOwsBqA1w,0,https://yt3.ggpht.com/ytc/AKedOLROs5xtNSLAqb3CTQHi-z_tyEppDnl5uIG77_yZf1E=s176-c-k-c0x00ffffff-no-rj,0.0
