cid,text,time,author,channel,votes,photo,heart
UgxUh7BKGDMmRLhMddx4AaABAg,Our country leaders have something to learn here,1 hour ago,Kwisa,UChtKcQD6Be2QyDMKTpL6o0w,0,https://yt3.ggpht.com/WR1G3tjfnn7b9z3S3v-7TZ4Bb3YOmluzi4AX4DXzFPqTZwNF_8FvADdxCzQexIs8z4CRz23y=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoTxU-jznZQ4RsxiR4AaABAg,Will the same bankruptcy happen in other democratic countries like India etc. ?,1 hour ago (edited),Argon David,UCFqFPmLOfCNQFsoUFtflIbA,0,https://yt3.ggpht.com/ytc/AKedOLTyZj4hKLLPztVmjMZOq81wj_Z8KavekU61uk8dEmw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxid2ncvETs3Nxd0414AaABAg,All Srilankans should make strong & sound move to INDIA ! its the RIGHT THING TO DO...,2 hours ago,deen ally,UCPGnbdW33iVDFa_vbm4_HFQ,1,https://yt3.ggpht.com/ytc/AKedOLSqkvQVW2ncNdbrARPLNgaZJY7DoNY-IxkYYvWvpPRHJe8RUolN9_CNDd6Po3B_=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYt-RPKat-yoRXnfV4AaABAg,Corrupt government + Greedy China = bankruptcy.,4 hours ago,HOE 1968,UCd6PT_Hb_ZD1YKFNnUjKBYw,0,https://yt3.ggpht.com/ytc/AKedOLTW9f62Breexn2WeinWA53ge5bPRwd0Njz2FQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkTJJ5Ny8sz9f2INV4AaABAg,"Just two years ago, the vast majority of the Sinhalese voted for the Rajapaksa brothers, who are war criminals and fraudsters. 

Why are the Sinhalese complaining?

They should wait for the Rajapaksa brothers to deliver prosperity and splendor, as they promised in the last election manifesto!

They may deliver prosperity and splendor in 2122!",6 hours ago,Raj K,UC8kJVECdO4Rf97qp-nkeSsA,1,https://yt3.ggpht.com/ytc/AKedOLRZY-nENDMdiIWr-5b5K5s46e6Ye2McoKBD1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrWV7UchBe1jwbY154AaABAg,"When they are forced to ration idiots, they will finally achieve the dream of becoming the next Singapore!",6 hours ago,Raj K,UC8kJVECdO4Rf97qp-nkeSsA,0,https://yt3.ggpht.com/ytc/AKedOLRZY-nENDMdiIWr-5b5K5s46e6Ye2McoKBD1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvwO8lriLjxXGDhh94AaABAg,Zelinsky biden eu GUILTY,7 hours ago,elisabeth salmon,UCUJuLWDhmJPId-qyVKIzmPg,0,https://yt3.ggpht.com/hCrwUPgzKOarKkv2NxBOWAcn3nkbeLowlsghyfCumIO3hOR7uJe18YKEmRxRJyCSdeN5ODZZ_A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCdPVo01a5KMvX7s54AaABAg,The rajapaksa are war criminals and should be locked up,7 hours ago,jay575,UCJ0lDR0QbkXGRmaInx1OlfA,0,https://yt3.ggpht.com/ytc/AKedOLQCembnDO8qloPAjHFn1BuQnY9cnq-1fDTzhw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6_dhsR-06b1A4a8p4AaABAg,This is what you get when you receive China's money.,10 hours ago,Tân Lê,UCzZi-4FqDP4vRMztXEGJvPA,0,https://yt3.ggpht.com/ytc/AKedOLRtmilcx16Xxi1_NUzzsfbU3O88c-anCMfTtg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4M6ekpy3XjYDlCit4AaABAg,Ur karo varosa China 🇨🇳 par🙂🙂,10 hours ago,Swagato Chowdhury,UCcUAhAfDYydzDnc1gjfhKvA,0,https://yt3.ggpht.com/ytc/AKedOLQmAze7XkeKI30hYZ865b1Usyju-RIZvEuOaQ=s176-c-k-c0x00ffffff-no-rj,0.0
