cid,text,time,author,channel,votes,photo,heart
UgzvG8JWYh_FzUJ8Ef14AaABAg,"Brazil, another Revolution on the way.",12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyzs0RgQII1A1TH3-l4AaABAg,"USA prints Billions of dollars but its currency never devaluates.
World suffers due to Americas imperialism",12 hours ago,prak syxre,UCp2MG7lafN_8vQevAG_wE7Q,0,https://yt3.ggpht.com/ytc/AKedOLSqEqF-pS6azGgDcERce6AtGEEdqFOxrv5iwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg,"<I appreciate you and your content, Technical Analysis is good but I find It truly confounding that major crypto youtubers just look mostly at pure T.A. and completely ignore the bigger narrative of why BTC pumps/dumped and why the future outlook will be even rosier than it seems. It's kind of irresponsible to ignore the fact that each ETF launch so far has caused a major dump at the peaks of BTC but recently seeing nice upside move. We were already on shaky footing with historically low volume and almost pure whale pumps, narrowly avoiding a long-term bear market. More emphasis should be put into day trading as it is less affected by the unpredictable nature of the market. I’ve been day trading crypto for 2 months with Madison Callaway daily signals and insights and was able to make 17 BTC as profit from my initial 8 BTC...",16 hours ago,Mckinley Tucker,UCpNOVy2foRa2swH1F_1el7g,67,https://yt3.ggpht.com/ytc/AKedOLRN9BPtBfYuy8jPFoZdopUrFuqYqSoXEkTDTCSm=s176-c-k-c0x00ffffff-no-rj,0.0
UgwW0wK7yAjdkEi7-ot4AaABAg,Covid bs has caused debt with most countries.,1 day ago,Phil melb,UCH25gwqzc-Ku4OEEPO_YeQQ,0,https://yt3.ggpht.com/ytc/AKedOLSLkI7BX-EGGq_o4YGZfGGg_3aucF1yaDMGOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeUKA0EKYtUESIBO14AaABAg,Wts INDIA,1 day ago,ashish katiyar,UCH_l6V_QeYxZwHT2FP0EzRg,0,https://yt3.ggpht.com/ytc/AKedOLTy-2wp_MQlnLWlK3Y_wxgYTGxZFKNwkx68tOuIpw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZxqH07jnNMBg9KqN4AaABAg,70% to GDP means can't ever pay off debt!!!  Bitcoin is the only savior.,1 day ago,Richard Prat,UCS2kVfNMZfeQ3LIGQVv4HTQ,2,https://yt3.ggpht.com/ytc/AKedOLQCsxlyvH5YsgATBMF02Ew65i_SJe-Klba1Ww=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOjMhX3vLXeyZgMJp4AaABAg,Everything is because of india,1 day ago,ANIMEEE,UCUELyHxFNOFhad8aprg9Deg,0,https://yt3.ggpht.com/TuxLvRNnPanG6Fs9aUiCCoZ80plpjKcBfDQ51bVYGBOPtvdm0MX60kgaEUwsfakUIdH15yMby94=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf3DGJTmQ2wphWILZ4AaABAg,All because of india,1 day ago,ANIMEEE,UCUELyHxFNOFhad8aprg9Deg,1,https://yt3.ggpht.com/TuxLvRNnPanG6Fs9aUiCCoZ80plpjKcBfDQ51bVYGBOPtvdm0MX60kgaEUwsfakUIdH15yMby94=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxssf7UoEG4R4CT1J14AaABAg,Still better than Sri Lankan’s and Japan’s debt ‼️‼️‼️,1 day ago (edited),t a,UCH4jy6_wBbq3So6WdqOZcRA,6,https://yt3.ggpht.com/ytc/AKedOLTxukLbLSup-Dsly2RJbyADIJjI_5r_S7jKfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgymZOKaW3ZOcjqzUEF4AaABAg,aunty report on india inflation also,1 day ago,Ana Realiam,UCy8fdjkTABKS3MehuYnxRhA,3,https://yt3.ggpht.com/ytc/AKedOLSVUzopLtgS_Zhrfeq0X0eb6FJ79dCngxCDUw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzu9Lw1gkGP8aVsxL94AaABAg,"One thing I have noticed about WION is that when it comes to China, India and Pakistan, it is very biased in its reporting. They are definitely not impartial then.",1 day ago,Covfefe,UCy14VrjtCOVX2QusWZP95-A,0,https://yt3.ggpht.com/ytc/AKedOLRG7nwsxHp4YWL6kL_uipYZ-P86IDuYP6FC_om6=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzn3-uX2o4MXRq8Jj94AaABAg,BRAZIIIIILLLLLLLL LALA LALA LAAAA,1 day ago,Anonymous Saitama,UCJG_OBorVMq_C-GzGjYwYpg,0,https://yt3.ggpht.com/ytc/AKedOLTg5PQ7aMO9mZkluCz3-b-_DWBUS4Vz4Mi9eQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwOFEk_10cB94k75p4AaABAg,While India's public debt is 90%?,1 day ago,China Forever,UCwYFJ5r9DI7Rc876VQIsPgw,3,https://yt3.ggpht.com/uhESAb92t-TdeQUlmNM9DghWy2mW7-QQS12srz0yRCTfKZJyxSdaPBvCEMvRU9IRSLqHNdhtgg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyLFXbcE8tcEmDH7x4AaABAg,Yet better than America,1 day ago,Madhusudan Chari,UCEXbFHXsqUL0f9MaNBGTbAQ,2,https://yt3.ggpht.com/ytc/AKedOLSNt-b5hYuAV68NzRzBOHEx-mlPRp3rzu8dyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDy-YKLtpFf-LUFdt4AaABAg,"Brazil should be Regional superpower with economy of 3 trillion....
Hope Brazil government handles it....
Love from India ....🇮🇳",1 day ago,Prasanna Ighe,UCV8hfH0w65PqYFr4Bbgf8lg,16,https://yt3.ggpht.com/ytc/AKedOLQlwiD56qoBj-iOg8lZWvH26F5xmy5hvzwJUvSod2Fj7rWw4kYhpRfIvXbuN7Kg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQiNgN3bYoMsDgvaV4AaABAg,Just print more money......Problem solved!,1 day ago,Stan Sbornak,UCQXC98O2qpII8ZuVOP2F3CA,2,https://yt3.ggpht.com/ytc/AKedOLTKRilH35Ccf1Toom7Uuxb8wgtSbfkt4oDXEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rg_bTi05O,up <:elbowcough:,16 hours ago,reach Madison Callaway VIA telegram Madisonway7K,UCIX1JL4tXIdns9B5xkqdyNQ,0,https://yt3.ggpht.com/ytc/AKedOLS3n3YZIjauNWEeBqd3ih8yflij8CAR-5NCfZ-4=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rh2vODJji,"I just made <$19,000 last night he was awake when it dumped with the help of Mr Madison, i call him signal lord for his good job>",16 hours ago,Nicolas Kelley,UCOI7mjOtGrgKuZi4IW-VMoQ,0,https://yt3.ggpht.com/ytc/AKedOLRUHjZF00c4FoZJskQSqfIhsjGC6H57o0sZcrqN=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rhDBnHP0f,"I have  thought of <bitcoin investment lately, thanks so much for the information and update on Mr. Madison's daily signals,I really hope he will also guide me with his daily signals as well 🚀🚀>",16 hours ago,Ira Masten,UCed4_szY_CZB1hKRNlPNJyw,1,https://yt3.ggpht.com/ytc/AKedOLQRqQtGfJf9jiTRBcRPiP7tqxerKWM6zxt-q51R=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rhI4mnozd, @Ira Masten  Madison Callaway helped me understand the technical analysis. I can now look at the current chart and predict where the market will go. he is definitely the best professional trader I know<>,16 hours ago,Nicolas Kelley,UCOI7mjOtGrgKuZi4IW-VMoQ,0,https://yt3.ggpht.com/ytc/AKedOLRUHjZF00c4FoZJskQSqfIhsjGC6H57o0sZcrqN=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rhUnBgs3C,">This is the kind of motivation i needed to switch from hard core hodling to trading was my first significant profit trading with Mr. Madison's guidance and signals, <",16 hours ago,Roger Gooch,UCIgu1NKq2_zcI72RHRacISg,0,https://yt3.ggpht.com/ytc/AKedOLSM1DMIDceXeLwscsGXnYtK0cE6c3SpOhQf5lsN=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaazN72wohixAAFsN4AaABAg.9_rgWPIG1tt9_rh_9LxohK,"Even though i am yet to try trading with him,> i sure will. My brother never keeps quiet about Madison",16 hours ago,hubbert klopmann,UCoM5UWktj5dVaIYC_r-tknA,0,https://yt3.ggpht.com/A6pY8pxtQpuU34ooSwRslgR29Ggcr7yf3Y64alYoQU5RTpzrSUEkHWZY4og2vx0lMnLBYtzysw=s176-c-k-c0x00ffffff-no-rj,0.0
