cid,text,time,author,channel,votes,photo,heart
UgyxRj5Dg7QjBQeKBz54AaABAg,"it the right of the people to have guns no matter if they have a felony conviction or not our constitution is not governed by law, it cant be violated by any law and any law that does violate the constitution can be ignored by law",9 hours ago,Kenneth Baze,UCfa0FEfVe2BM8SFD8VvYFWw,0,https://yt3.ggpht.com/ytc/AKedOLSXTobYngtVkEIbPFdQ0S7ZYrQKt1lV7rOFAzbJiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmqNMCExXbSdJKjCF4AaABAg,Carry firearms in America is not your business. If you don’t respect our constitution do us a huge favor stop move here by they way our breakfast is contain BEEF 🥩,11 hours ago,texas bluestar,UCZ17mTrMPTVguuo1VENgWAw,0,https://yt3.ggpht.com/ytc/AKedOLQMZR0u0ZzoImNKpXSKizDN0QA3fiYK6dGWaA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5GVTZuLvei8I39NN4AaABAg,"Why didn,t he goafter donald trump ..",14 hours ago,Horace Mckenzie,UCAAFnn_X9Mjyd5PeycJaOqA,0,https://yt3.ggpht.com/ytc/AKedOLQgUSE0J26DzteSZfkA8Z2cZeWwfQqWLPqk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWjBaR9Tdd-1RZE6h4AaABAg,As somebody who lives in NY I can tell you that NY has some of the strictest gun laws you will find and that didn't stop James. What America needs in not more useless gun laws but a focus on mental health issues. America needs to take mental health issues more serious and provide treatment to those who need it,14 hours ago,The Paranormal Alchemist,UCHDzGSezaD_2nWbMWWjT6tw,0,https://yt3.ggpht.com/K4RR_XNFtHGOF9aYAMUsF4SDut5Ghh1rdU1geHTrQydbzfBFrzyG_fgQPd7RqH1QHDdYaGs8JdE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8WFxwPVEvoP3n0CJ4AaABAg,"so when terrorist is christian he is just psychological depress and a poor soul. Double standards, and you blame hindus for agression.",16 hours ago,Adarsh Bharadwaj,UCl6xFz-R27AFUp5c4akkbyA,0,https://yt3.ggpht.com/ytc/AKedOLQ4irnKTE4Y-GTEyFfC12Ik4a8Itc5ySErRSbf2=s176-c-k-c0x00ffffff-no-rj,0.0
UgypPmfbHnduBb802UF4AaABAg,Bail? He should be given death penality,21 hours ago,Albert joe francy,UCESvawBk7pLt1pqeFSHz7pA,0,https://yt3.ggpht.com/ytc/AKedOLQuLRkzFUmKg51bKq5YxPYsxTuRsVm7AeMOsz7H7Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9zHEoBojLsDiTUQV4AaABAg,We still do not know the motive??? He made no attemt to conceal his identitiy before the act. all we hear is the bla bla bla,22 hours ago,redrobiin,UCIqAROrvBvygG7TcVKvKuyw,0,https://yt3.ggpht.com/ytc/AKedOLSw3BMirYAXgLmMXgh98yDDkz2IfpAkxSPkBpXAHA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzc2s8wDRnbXVf2aMB4AaABAg,black lives matter,1 day ago,Rahulk Naina,UCIP0ckAsb2GsNHMbn5sJaGg,0,https://yt3.ggpht.com/ytc/AKedOLTWfCzpc-TglV6Bp33A3XrC1XjvtxjW0EQcqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwa7usstyXkFLMn-lV4AaABAg,"The suspect was identified by a Muslim, without whose help it might have been difficult to apprehend the suspect.",1 day ago,Nafis Anwari,UCSQ9pxXwVAE1RklYsJcOsrQ,0,https://yt3.ggpht.com/ytc/AKedOLRsDoqbV5MagDTNhmJJ3OVB76wp8Ar6gIiymbyKrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhMmGQBIdtpKKAlm54AaABAg,"If police shoots him, there would be another BLM protest and burning buildings. Reminds me of peaceful community in India.",1 day ago,Artimuos,UCmG_0NRq8RgilHX3ShsIohQ,0,https://yt3.ggpht.com/ytc/AKedOLSITGV2gjZyxIeFglIkApM7DuWkfz2Y9SR07KNT1A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8BKQ1q9p1D3xGQxx4AaABAg,Free him black lives matter 🤣🤣🤣. New USA,1 day ago,Priyesh Pandey,UCaIpvpWW_jYRGdbzerRm0Xg,0,https://yt3.ggpht.com/ytc/AKedOLRVGE4FhBgD3DCY7s5SQZKi-wEKNa4WKrwSDg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBH2STkH8FWUpbnf94AaABAg,Guns in America are not going anywhere.,1 day ago,Stephen Imagod,UC4uv1g3YFLaaO_bvSj33O3g,0,https://yt3.ggpht.com/ytc/AKedOLR0mLRNRAvp36Sl-r04n8FSY4svHekDaIQQbQ=s176-c-k-c0x00ffffff-no-rj,0.0
