cid,text,time,author,channel,votes,photo,heart
UgwErJG8zOUn26KeJMR4AaABAg,Even cactus 🌵 can't survive due to human,23 minutes ago,USA:Syria Japan Iraq war criminal,UCYaEpk73K3TGddAEbMH2Edw,0,https://yt3.ggpht.com/ytc/AKedOLSs2QQR69yD0wtjVnbAqYokYYvFriaPAp9vrAw8_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxs1iF4gkPueztZ9RB4AaABAg,This is rather a prickly situation since climate change is normal and natural.,34 minutes ago,Glenn Llewellyn,UCjwtDM-PnL-i_YcpfCXTUMw,1,https://yt3.ggpht.com/ytc/AKedOLTppWz-IVEp-O2t2sy3bDSvVgeiF2494nqTLVOl=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvE2AsHLPmbzhc4ZR4AaABAg,Really ? Heat ? Cacti? In the desert …😂 I wonder how cacti survived 7 times co2 when the dinosaurs were around .,1 hour ago,Boombumppop,UC4zMNkqjaeacViS2fezAo2g,0,https://yt3.ggpht.com/ytc/AKedOLTBKB9nDitLnBXqCpCoCOaEzLH_ROCbQ4tvVyOGSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDaJTx19dasimYCqJ4AaABAg,"Cacti are pollinated at night by Batts , an interesting fact that shouldn't be shared with American Dr FoulCHEEZE or ccp's Dr Mezwid Nature

BlessUp INDIA 🇮🇳 and Wion StaySafe
🦅🏆😎",1 hour ago,J2B aka ChampionBwoy🏆,UCuSfc9o1XaIWR2U2T9dl8yw,1,https://yt3.ggpht.com/9ck1fMRF_hb0SdtNnGnW6NziwT7-vps3bttJh0Ad92jVlEQXGrd-MFlEp5gvQKDYiHygIDTB8g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkQcN-_eKhMGrlgNp4AaABAg,Bull 💩,1 hour ago,Diana Howard,UCly6_llfWYT5-hNqrnsveYw,0,https://yt3.ggpht.com/ytc/AKedOLSx_wsKrNQvL1i-HO815x7ZWLbjznCUKi0NHw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx72ppc3hBPWEkGWIB4AaABAg,Please make a video on f1 racing in India 🇮🇳,1 hour ago,Nikhil Nande,UCsl31wk0WDegZVt5wJA0s4g,1,https://yt3.ggpht.com/ytc/AKedOLRcEn9rWQvahOmdMQ5av5SroEqpOdncf24MTAq9Uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmhXqLdPdaXv5DRVt4AaABAg,"Cacti and mosquitos, who needs them?",2 hours ago,R P,UCLCGxatkfrVvlYQqohy6DkA,0,https://yt3.ggpht.com/ytc/AKedOLRKNX0RztGMJJAMSvulM13TSrN7Y9HzOLyyM37wOw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy8FRwYTv30leAlXF4AaABAg,You should probably hurry up and pay a huge climate packs that’ll make the world a cooler. These globalist people are a joke,2 hours ago,Jeremy Talcott,UC9RbNXAgiKXDVtqBoVSyqcQ,0,https://yt3.ggpht.com/ytc/AKedOLSX05FKdsznEHZppIUmxdxT4rKxhZQXiIt9hA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWi5rMDYrgGUffvDt4AaABAg,alyson le grange ❤️❤️❤️!!!,2 hours ago,Paladin88,UCD4Qu2UqluG8jihi_Fzwetw,0,https://yt3.ggpht.com/_A-eInrQJeRAU-gTRU6c_yoMftEfr9xGHwd75CQwqV54J28oGyODfVF6G9Na3BC5TVZwZovNmQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwYmnD4ruBpoCfJEN4AaABAg,Heat or chem trails?,2 hours ago,Heather Huffy,UCPJuRRbJ0DTbrt4baAJyGfA,1,https://yt3.ggpht.com/ytc/AKedOLSByj38V4646EJmG__dlHm0V5tLuOo330VZ8b5sgiAJxR5kCrW0wdQIMLzU79M0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxs1iF4gkPueztZ9RB4AaABAg.9_tQvPHKISP9_tSJZ1HtSv,I see what you did there😂,22 minutes ago,Abhirup Nath,UCHJ71k3NUtUkZGJ10fox2YQ,0,https://yt3.ggpht.com/0WeKh51KKzT_QKpNeCqSeOvedQ6lY2uNxlGZxysGYZuGjzUqr3vSO-59R8QwTqK2L0ROJ9kNXVM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxs1iF4gkPueztZ9RB4AaABAg.9_tQvPHKISP9_tUPLYcyBP," @Abhirup Nath  
Yippeeeeee!",3 minutes ago,Glenn Llewellyn,UCjwtDM-PnL-i_YcpfCXTUMw,0,https://yt3.ggpht.com/ytc/AKedOLTppWz-IVEp-O2t2sy3bDSvVgeiF2494nqTLVOl=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvE2AsHLPmbzhc4ZR4AaABAg.9_tNZoMtTQC9_tPeJt4dCI,The species of Cactus we have now is very different of what they used to be millions of years ago,45 minutes ago,Ajay Singh Rathore,UCpKavNcO1hVT2DjKFkWeI7A,0,https://yt3.ggpht.com/ytc/AKedOLRXdJQdMUm7677xQbNcmk8Nn0LqoGaYsRTKAIs0=s176-c-k-c0x00ffffff-no-rj,0.0
