cid,text,time,author,channel,votes,photo,heart
UgzdbWcAcSsUmb2pJdJ4AaABAg,"You UK goes to hell or graveyard,who cares about it.",3 hours ago,Wkris Wkris,UCq4eQF3qDTHosnPl2J8058A,1,https://yt3.ggpht.com/ytc/AKedOLQqR3d6TcLSpnabUVvLnIDBc6EZOd7IeG_j-MES51wUkEPlok55kOMMxxxOyyH4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5SwO2rRdc_99QCcR4AaABAg,Yo hofresi transporte por cobi yo dueña usted politica,3 hours ago,Marta Tavera,UC2Ydj3wdMlU0yUUq0K80Hcw,0,https://yt3.ggpht.com/ytc/AKedOLRGVzN0rTYhPX1z1byTehEaJ6vc2ZrizmnXOw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJjJC7w0EJ_5nbmBx4AaABAg,Cansada politica fama dañada,3 hours ago,Marta Tavera,UC2Ydj3wdMlU0yUUq0K80Hcw,0,https://yt3.ggpht.com/ytc/AKedOLRGVzN0rTYhPX1z1byTehEaJ6vc2ZrizmnXOw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzgru2evUAcIQqXLnN4AaABAg,"Lol, the Tories are secure as ever, ain't no one with the support to challenge them.",8 hours ago,Pax Britannica,UCzcGaLbbkd0rKPSOKuCraaQ,0,https://yt3.ggpht.com/98H_sak1ZoWVykHCYzjk5ZSbogxTwxJbpkGkpX0Um8RPkLBv46qYQRQINMvESldnZPaPeFoW9gE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlAnzxOFCQJUgKuMp4AaABAg,"The longer it goes, the more voters will they loose. That's what they get for being biggots who choose US sanctions before their owns voters wellbeing. 
+50% rise on cost of living before the end of this year and another 50% next year. Will be interesting to see how their voters react when the reaity hit them",10 hours ago (edited),Nathlie Majskolv,UC-2tXM4gO7b1fj5Btenm--g,0,https://yt3.ggpht.com/ytc/AKedOLQdur5gWPPF1ZB73uvyxRcwJor_x76dkhzHeMwx=s176-c-k-c0x00ffffff-no-rj,0.0
UgwftVS8jutrbFjH5ZZ4AaABAg,Thick people will still vote  for the tories back in in 2024.,1 day ago (edited),Wilma Flinstone,UCBnXjaxP4VHjkTacNhywTNA,0,https://yt3.ggpht.com/ytc/AKedOLT0HjgWTe1Uv2piSl4_zmoRNS3UeiL0586H5d040YSM7LeiVi1EO4w8OlpBJson=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdrVwO_N2t6s33nLV4AaABAg,"Tories will still win the next election in the UK as those older Tory voters and Brexit supporting voters who vote Tory will still be a large number of the electorate in 2024 but not from 2025 onwards.

New Labour and Keir Starmer will lose the next general election as they seek to be more Tory than than the Tories on many policies. Tories seek to gain at the expense of others that is also the aim of bandits and bandits is another definition of Tory.

Meanwhile there are voters in the UK who vote Tory to punish groups the voters don't like even it means the voters will be worse off and these voters could be seen as being stupid.",1 day ago,Safir Ahmed,UCIIn6PWHjxSpFNXF0zm11Tg,0,https://yt3.ggpht.com/ytc/AKedOLRCDFmbKBqb666xTk9wTXSPOatws1VbmOIErg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxr7_uR31l2x1uj8ph4AaABAg,"It's not just the ""partygate  scandal"". You are just being kind, so as not to embarrass me too much.",1 day ago,Will Hall,UC0SgQmu51KnvS41PKhnpQUQ,0,https://yt3.ggpht.com/ytc/AKedOLStTyCVpTA6rizKhafZAbcPeG7YGIECxIj2x2YY79pGKDeVJ356-G82mEHUHCoY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8de7fcwQ2HJMp5EV4AaABAg,At this moment Labour don't have a chance.,1 day ago,iceman,UC85CHtE35ZdwXAmQWUbeMTQ,1,https://yt3.ggpht.com/ytc/AKedOLTUq_GQF2nlezGLFz1AlpH22iAuLW3UmJ9aUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEvj5GuyMjuNTs1Dx4AaABAg,"Supporting NATO and US to sanction Russia is Driving the nation to bankruptcy, supplying poor quality of weapons to Ukraine, Raising oil and Gas prices. Do not go well with citizens. Le pen will win France Ben Johnson Joe Biden will loose elections",1 day ago (edited),श्री Vijeye Devuni donofhr,UCYZnD2YS8pAR_97i5QF7yxg,0,https://yt3.ggpht.com/ytc/AKedOLS0tqjrbXFLp3uvfHODiyu8nP5rPRElnpjSNjuk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIjgHjB6W3TWonD8t4AaABAg,I certainly hope not because i'm not a fan of tyranny.,1 day ago,Fat Larry,UCfxMUWUvDk58TVX91D78vPw,1,https://yt3.ggpht.com/jCACc19daxlEC1GY39JpESDRwftgf_z4TEModrzxvB-A-Ziex9wEwVyWmqg7iEOlyzko-Y-6aA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzj3iY0ESEKghrJIzZ4AaABAg,"It's Tories Johnson everybody, looks like the editor was in a hurry 😜",1 day ago,Abhinav Vishnu,UCybmntZ3wXA93tTLreXBUsQ,0,https://yt3.ggpht.com/ytc/AKedOLS8ShE4NnoSizsDDc7QsUIelhPR4aPA6TUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrabWF2vlWYOf9mIR4AaABAg,I won't be voting in the next election. None of the parties interest me anymore. I was a labour voter.,1 day ago,Salford_Rez,UC2cpUiuVPuQRp7C5WmI0vMA,0,https://yt3.ggpht.com/cwtt7ME92Wd2GlLTVqbhLrp3haGOkXuHA_1uaAoM0YjOBjRehBB69610p99XWl30rO7jvQ9qVQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7ylk33BrkR6K3qWR4AaABAg,"Conservatives and Labour are a Globalist uni-party, beholden to the WEF Great Reset agenda",1 day ago (edited),Kristian La Vigne,UCQ9BHvrcnBFk5zzIwGeGNlw,0,https://yt3.ggpht.com/Hna81L4Z2LZL9O5nY0ZwT3FXCH02bQ4gSBdwoX1VTstKbPckZOaQqQ6ELm_N6Qm9qNdooec53w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNfGoFOqtVX477ZJR4AaABAg,"I really have know idea who I will vote for, the whole system is flawed. 
it is like asking me if I would like a kick in balls or a punch in the face.
I am almost hoping for a Brewster's Millions type situation, Non of the Above!
I guess there is time and things could change, well they most certainly will, but for the better is my hope no matter how vain.",1 day ago,Puppetmastersfool,UCPE0OB8z2P06M0aEvF63eiA,1,https://yt3.ggpht.com/ytc/AKedOLTRPzaw8jOJ5d-yB4yXLP9IQ7WnvZgWX6zgRB48=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN16-sF904JLArQmN4AaABAg,"With wars, the wealth of Nations is in showcase in the form of lethal aid. Saying that their would be refugee and food crisis is stupid. As we can see, money and food is not a problem to NATO. When billions of dollars ia spent on weapons, their will be no food shortage even if the war will never stop.",1 day ago,Jack Dale R,UCsxEsj0BLCLSBkfnmqIa3fg,0,https://yt3.ggpht.com/ytc/AKedOLQZa1UjJZ5ynGpRYtR_xr0h4q2EH_sR0HhxyT90=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1n92xDXzdjliMAr94AaABAg,To answer Wion’s question : guess we will have a better idea in three years time. What is happening to this channel ? Is CNN your new partner ?,1 day ago,Kevin Waters,UCHdkaPfQu2ncOfSfg8vBtDg,1,https://yt3.ggpht.com/ytc/AKedOLQ-yiL-4N_th2BOJDJYYiagcbibofUttIDa-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlidWxiVG7hh4kZoF4AaABAg,To answer Wion’s question : guess we will have a better idea in three years time. What is happening to this channel ? Is CNN your new partner ?,1 day ago,Kevin Waters,UCHdkaPfQu2ncOfSfg8vBtDg,1,https://yt3.ggpht.com/ytc/AKedOLQ-yiL-4N_th2BOJDJYYiagcbibofUttIDa-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaZWGbI3BPiZMdrw94AaABAg,Does it even matter? The World economic forum is the nwo,1 day ago,dil tom,UC0m2zyyAu_-989fRcgLdPpg,1,https://yt3.ggpht.com/ytc/AKedOLSaiq08mBvOBP0qo79PuYOD40kgQ89FmWMPmQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_mvpJa3IyI-ITEwx4AaABAg,Because Boris is doing wrong to russia and destabilizing the eu he is a silly man a puppet he is not showing any leadership so the lanour will now convert all Britain to Islam because of Boris stupidity,1 day ago,Shantie Maharaj,UCADyzZkffNRtZ5ge4EFecqw,0,https://yt3.ggpht.com/ytc/AKedOLSwABV8ttVv1cEJKBUg0X_2jNtlB2IkZTxugA=s176-c-k-c0x00ffffff-no-rj,0.0
