cid,text,time,author,channel,votes,photo,heart
UgyoOsl60MRCha1Qnfd4AaABAg,They have so many people they can't get it in control it's so sad man let them be so sad my prayers goes out to China,10 minutes ago,Agnes Kuni Brown,UCmWbIs4EOz2_2wUT4_DjkMA,0,https://yt3.ggpht.com/ytc/AKedOLSZggooTvpdWiBXbgVOhMKeMIGm4HhSgLBPSA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMp2HD3JhCbI1yXH54AaABAg,so this is why we cant get any ps5's,13 minutes ago,Mike Longwell,UCUlsaK72Zyx8Dc01OTLVpkw,0,https://yt3.ggpht.com/ytc/AKedOLSg4XTaWCaGzH72AEQTBPJlTthV7TrWO57qYdxNErjZh7Kar2saPGDpJOvgzY1g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDFRWuuPXQMPhSXup4AaABAg,"Where's the ""Vaccine?"" ....oh! that's right, the Communist Party forbids the import of any Vaccine...only theirs may be used..",13 minutes ago,firebir11,UCviPps2L6zj11xAk_TqKhBA,0,https://yt3.ggpht.com/ytc/AKedOLS392Cn6ZPt1QiztP4VfPu7bxhbEtN2KVNG2A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzX17w0os5pmZopm0F4AaABAg,They want face thats all...to prove to the world they are the best...but in actual fact...nobody thinks they are the best,18 minutes ago,PET LEO,UCd_vnmo9alUFovG8Ysr3VBA,0,https://yt3.ggpht.com/ytc/AKedOLRRCSCaA6neEh2GMK9ZG-rLVBtA3D5QNnt5Yw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5PyH2qG7656cN2hp4AaABAg,Wow what a wait for my noodles this is taking way to long,18 minutes ago,gregory frie,UC3U6_UreEqzbW_Ya63H132g,0,https://yt3.ggpht.com/ytc/AKedOLQG1HWkoXJwqH2xbNf-UtxNavARoYmDvk3XVw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx12IGhap6x48MjvTF4AaABAg,Don’t let them take away your guns. Let them try this sh-t in the US,28 minutes ago,Brian Happoldt,UC8j-pmGtkho24TP3UPGynKg,0,https://yt3.ggpht.com/ytc/AKedOLQr5lfFumSQgYzR878gX8ZvnutIO1y8KSDN-g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIJ66LXaD3gbCnhqF4AaABAg,Why wear a mask & be angry u Dummys?,32 minutes ago,Mike Oxlong,UCyU-njfu0z70IpiqXRjlRVA,0,https://yt3.ggpht.com/ytc/AKedOLQS-d-dO7E-Jq3E8_KHxp78DrN_C-QlWRJeCeXYRkAswWWKzHGaWFlqsIVY22b5=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7rXGc9gPTcCVjPv54AaABAg,"I feel china has over produced covid items, forced to use it on its people….no country kills its own people that too twice for 1 man",34 minutes ago,Sandeep Chakravarthy,UCrL7pQq0EKlQhLVWxnJQ5jA,0,https://yt3.ggpht.com/ytc/AKedOLRgpd_S_dit1_I2ysaeLglYga75pRr5sETVHBzhNQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgycjgYqKDFurQ7fDt14AaABAg,"During 2nd wave in India, these same people made fun of Indian deaths.  How karma hits back",40 minutes ago,Debajyoti Nath,UC8433VcIP6A4fjaBpFn3TwA,0,https://yt3.ggpht.com/ytc/AKedOLTRcrTAMkMqfjNxeGaOwXOKmdRksQpY9gPFb_VBJg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0J7iQIhZ_yNjouxF4AaABAg,China on that population control!,45 minutes ago,Brittany M. Robbins,UC5wgbdRTYchjI4XNrbTyAvw,0,https://yt3.ggpht.com/ytc/AKedOLQlIuB5ryE9QpYuc03rfqZTlXarqO4WRccku1SNQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDfNsEVFmqXREBYYR4AaABAg,absolutely E V I L....... who is to blame ????  W E F ..... breakdown of society and businesses to BUILD BACK BETTER  ..... God help us all,53 minutes ago,Lizzie,UCoY78FZlEezyuNMFa7ce0-Q,0,https://yt3.ggpht.com/ytc/AKedOLTVLsrQWRFz5p7wLBokS7M95IXE6k3v8aX2Vw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwInuCf7kKw7N9M0Vl4AaABAg,What a nightmare to be pulled out of your apartment 😰😰😰,1 hour ago,Justin Elvis Official,UCbniZ1MpWkERMrwWt6BgSOQ,0,https://yt3.ggpht.com/m7VLNwzQFtvL8EkF_5Y_QWihTGwFLzOQ6e-6bTK5S4hqb3DchUeRTx4ll0jE3QPaHMHv1ulf=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbXPHOZQjPa2FTSlp4AaABAg,9:18 MMM I love a dosing of chemicals with my fried onions! :D,1 hour ago,VintageToiletsRock,UCmHEyL8jsvrbO5hcNE2FyIg,0,https://yt3.ggpht.com/ytc/AKedOLRUD-FWfdQUX_D985cfX8-4vpHfc_CktQ7kJg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCyJVgu9Y3nEqufLR4AaABAg,May God help Shanghai  residents,1 hour ago,Justin Elvis Official,UCbniZ1MpWkERMrwWt6BgSOQ,0,https://yt3.ggpht.com/m7VLNwzQFtvL8EkF_5Y_QWihTGwFLzOQ6e-6bTK5S4hqb3DchUeRTx4ll0jE3QPaHMHv1ulf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz17t8coYT8dmjTZnN4AaABAg,The government should stop focusing on their delusions that the U.S are out to invade China and quickly deal with actual crisis in the country.,1 hour ago,Hong Qigong,UCfHkNoYPM1rWTiVRE5fWq5A,0,https://yt3.ggpht.com/8iSH2ikhgZ-nBd1rc_PpU0fTx_yIeUARSwGHKb8hpUa6kLtAzzYpAf2EUcXAjma5_ZuKoHhpDg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKnGvIYeYBVCjh7V54AaABAg,"This is just dumb. If you want people to follow your rules, you need to persuade and incentivize them, not force them with violence.",1 hour ago (edited),Lala,UCw84JWc0nCSWN59uNnfJzNg,0,https://yt3.ggpht.com/ytc/AKedOLRtb6oFrG5Xp7SeECJs0IJVwXBwRwFeI2vtl_V9Nw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyjg18SUMS-I3O8pj94AaABAg,india had similar lockdown where same things were happening our media did not report that,1 hour ago,Amit_ Achrekar,UCzfnPn5HjXgpVlHCcGA7EmA,0,https://yt3.ggpht.com/ytc/AKedOLTfRud0jrPXyueR9h8eOA4FCWve8Zt6WYx4kw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqaD6LpOGTTbVpM0B4AaABAg,"And yet, despite all of this, I sense that the next CCP sponsored ""happiness poll"" that they'll conduct will still have the vast majority of its citizens scoring themselves as ""very happy"".

I wonder why.",1 hour ago,David Wholly,UCgCEqvaC4nveGrnOT9_j_zg,0,https://yt3.ggpht.com/ytc/AKedOLTy5QOdOqdmOzj6tjU5KkeSk-C2WKNNLKjp-A=s176-c-k-c0x00ffffff-no-rj,0.0
