cid,text,time,author,channel,votes,photo,heart
UgxlnE_Ga8ZDqmXOebR4AaABAg,"Instead could have given to anybody 


Stupidity (sheer) 😂",34 minutes ago,kanishK Chauhan,UCntOWWu6TR4li8DnHgge5lg,0,https://yt3.ggpht.com/ytc/AKedOLRRgxZ3eDprFTril1Wm8LKSnh8lCdVAgKLIlfvFrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX4yRPmG3OIdIrc854AaABAg,Well done Russians. And Indians should follow.,35 minutes ago,Snow Kol,UCYpu942csHaBvw_044t8czQ,0,https://yt3.ggpht.com/ytc/AKedOLSXwBYuaNBZ7xcz2e2NiaAGeqHYNfu60cnyCf8v=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAoBopKEoIYm8XYTR4AaABAg,"She managed to make a mokkery of the general russian population that is struggling financially, that she cares more about material things than doing the right thing and speaking out about the invasion. What a clown.",45 minutes ago,Z O,UC5GakB9f_cGtQ0pYtGF77AQ,0,https://yt3.ggpht.com/ytc/AKedOLRuHus_kWJ6OxXVo9-kJFJHml8K6aa4UqCgQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIBaKd22cjwuG8Y7F4AaABAg,PUTIN PAYS THE RUSSIAN INFLUENCERS OFF !,49 minutes ago,Tom Goddard,UC1UvhdTpBixpRmtUmjaamww,0,https://yt3.ggpht.com/ytc/AKedOLSzI9nokGrcM0J4nT5myh3n9AOWhTHQ7dOOcQW6=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHmXZWD5icSkGlOad4AaABAg,"If they destroy their own bags that they bought.....how is it gonna effect Chanel?

If they were destroying chanel stores or boycotting thats a different story.",1 hour ago,Dave,UCk2k0nvDHIZLqavI0DHONhw,0,https://yt3.ggpht.com/DSVV1GYlbPyFX8_wD8Cz6cbv1kafcndihRz9xVxTAB5bb5xQC-mZtI4bSnsLC1gNVZ4V31Bv-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBdCi18tI5pnCqqGB4AaABAg,I am currently unfollowing any account on Instagram that want to sell me their lifestyle. I am fed up of all these people dancing and acting a fool. Influencers are gone in my book.,1 hour ago,tjpm,UCTgw_UNxGa8IHIdW3XQ2JYQ,0,https://yt3.ggpht.com/ytc/AKedOLRqO6hkqAOv9qB8H2PRBypzxS6zHavaKUWYo0oNHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUlGaYpJZp98Xj6b54AaABAg,"Your reporting is not fully correct, is it conscious from your side ? Chanel is requesting Russians outside of Russia to sign a paper that the products of Chanel will not be delivered to and used inside Russia. They didn’t just close the shops in Russia, they try to cancel Russia. I wish Chanel will never be allowed back to Russia",1 hour ago (edited),Элина Камалова,UC_f8_BtB0R2CKaD5DyV4adg,0,https://yt3.ggpht.com/ytc/AKedOLT6qDkx2QrdR-XX2XT31wsod488agNWDvGbgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4M_ON7TrsAriTgr14AaABAg,"Russia, you are not invited to the party anymore.",2 hours ago,Yesindeed126,UCCw2YF29LmPsnC5O5JLS1DA,0,https://yt3.ggpht.com/ytc/AKedOLRqDkTXXWAlqJHBHFtSLeI5rkdyMKvNZI4BVitA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5ADAv3AR0f6KesA94AaABAg,Same entitled attitude as thinking another country is theirs.,2 hours ago,469!2782G 5690,UCONdMpuhBlYr6CNL__OC-pg,0,https://yt3.ggpht.com/ytc/AKedOLQQzzDEybp9YmF3QNVHs4daUaRfdcBQLHZsCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyONxohhM1FesVw2gd4AaABAg,"I spent around 1,000 on a bag but that is made of high quality materials and made to order. I still have it after 5 years. Functional and sturdy.",2 hours ago,The Random Guy,UCn2IlqCA18V7SUKFlDLbRTQ,0,https://yt3.ggpht.com/sqoNCoebtASRNHCuMTCFJyrF9UnXs5IGjrivPBgn2oQ9PJ-NoF5ic7kOJ-CZv6NtUwY-wMXBSw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfLduUL5b72cst1lR4AaABAg,Some of us know russia is innocent but come on stop embarrassing your selves u look like beggers,2 hours ago,Imran Ghi,UChXPzb5xFPN5jVEzp3zD-rA,0,https://yt3.ggpht.com/ytc/AKedOLQCwlr5qG80ylXfRC-YeZjSMLUVFDzjinglew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-7GADiOAR-ipAw994AaABAg,"While admittedly funny is also completely irrelevant. Good for them! Look much better this way. On the other hand, good luck eating those chanel purses",3 hours ago,Rastrisfrustreslos Gomez,UCxTOo6HRHsL5z9z-b4YT4qw,0,https://yt3.ggpht.com/ytc/AKedOLSD7Dxdu0KTeCN3UZfByQdRNnuIVYWE4RVSsbQc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6QUnxgeUW_mFH1Ch4AaABAg,Sure go ahead. Slash it up.,3 hours ago,Adrian802,UC6qS2RC0U-iUSUYmHKa71dA,0,https://yt3.ggpht.com/ytc/AKedOLR2fPs628FlI6s71EoXqaq4ZuY53UgXQDzzcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAVOhYcfF16_x4ndF4AaABAg,You are nothing but a prosti of the Russian oligarch!,3 hours ago,Fra san,UCGsbfJk-3vQYD-hxGxHG6OQ,0,https://yt3.ggpht.com/ytc/AKedOLT6xAn4WvIQWg_YVklyxYnK5gjnHRPw3bu5FkTz=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFXmk_e9vmq3gvC-J4AaABAg,"This is so idiotic,people are dying but these air heads are worried about Chanel bags 😒
PD  Chanel has your coin,Chanel doesn’t care about their bags once they leave the store 😂dumbass",3 hours ago (edited),Ares Marte,UCW-4iNnUy-chMHWlYhk2BdA,0,https://yt3.ggpht.com/ytc/AKedOLTkEvpcR1Kp-prEdVo714pYkt0ncHY3cvFIqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAihvpEjMrFZG0Pdx4AaABAg,It'll be a while till they get their hands on any more...,3 hours ago,Will Kerslake,UCvIhXj2z2IbkQuwPeAK3z2A,0,https://yt3.ggpht.com/ytc/AKedOLRqXS1He-TZAZznOQDMcm4HOIKlO8exzBev7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_GqFAENkCRvEGJZR4AaABAg,The real question is what kind of a moron pays 7 grand for a purse.,3 hours ago,sogerc1,UCEDvIqBNMO3fV51gJlSYq-g,0,https://yt3.ggpht.com/ytc/AKedOLRB2N1E9S1OKtfF1_fH6hddpixPc4tRRJIVLOoB=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEE0lgHfDZ0-UIf8x4AaABAg,No issues.. These blood suckers are no more required. They can go to hell. Well done Chanel,3 hours ago,Dan Valgerion,UCVODOMTxNk5ZwBhgKx8BeYQ,0,https://yt3.ggpht.com/ytc/AKedOLSCqsyhBOo2voG9QVYM0H7jXXTQ9l1s_0cu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8iQG2W2lACHr0xqR4AaABAg,People need to find happines in simple stuff and not luxurious things,3 hours ago,Good Shot,UCc1WahweYvki5GSi1PGvKUw,0,https://yt3.ggpht.com/ytc/AKedOLRYW4DBb0glo1l3j-PL-9SFpVD2EXXzJVYcwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDEK1TAQed9SFLJqd4AaABAg,Good to see russia is cleansing itsef of the west,4 hours ago,justin blake,UCTT-y5aIcxc8ALT4lXa3iAQ,0,https://yt3.ggpht.com/33_tdTZrhvhYtz2n7x8guNvRdoSeqep_IkxE_4-u06IyP5RambGN1tes1JeBChObJ5WqZv5XoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrWBJp_CLo0E26KUN4AaABAg,You can buy 1000 pcs of chanel bag worth $10000 each and burn it who gives a damn.,4 hours ago,Mark Andrew,UCg9ZFcn5iMAk46BUa_lID7w,0,https://yt3.ggpht.com/ytc/AKedOLSYQKF8-Z147_XrJpy0RXqhiLfartVkyZdUEe7bEw=s176-c-k-c0x00ffffff-no-rj,0.0
