cid,text,time,author,channel,votes,photo,heart
UgwRIRQW5pKxyEwdpjF4AaABAg,Very exciting seeing destabilization.,1 minute ago,Dennis,UCJz8jGRQKUvkl9OeZBTXakQ,0,https://yt3.ggpht.com/HuIIiCoe4lvOvLAvLgOPF0jY-V_1gzSFX7JjGOgAZmoVHXL_DjG4Y5wrtfLBN-ad68MoDD37Tw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0Gb17NxvMCo3uUZd4AaABAg,Crew serve weapons are authorized.,3 minutes ago,Dennis,UCJz8jGRQKUvkl9OeZBTXakQ,0,https://yt3.ggpht.com/HuIIiCoe4lvOvLAvLgOPF0jY-V_1gzSFX7JjGOgAZmoVHXL_DjG4Y5wrtfLBN-ad68MoDD37Tw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyg9M3_c36DASAfum94AaABAg,Where's the sucide BOMBERS. Wimps.,3 minutes ago,Dennis,UCJz8jGRQKUvkl9OeZBTXakQ,0,https://yt3.ggpht.com/HuIIiCoe4lvOvLAvLgOPF0jY-V_1gzSFX7JjGOgAZmoVHXL_DjG4Y5wrtfLBN-ad68MoDD37Tw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaNxP19zoKN_wtoRR4AaABAg,They've been fighting now for what: 2022 years?!? This ridiculous religious BS fighting will never stop... Good Grief Ppl over there... Religions of Peace & Love my A*S*S!!,5 minutes ago,Santiago Murillo,UCPGmpqV0P0hSuu3CQAcT1Xg,0,https://yt3.ggpht.com/ytc/AKedOLSpHM-_c7aJMuLIFbFVXZxCKjQH-rxE9sodbgD3=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxn80QGt2OLNcCPqUl4AaABAg,You are really misleading viewers ? Infact last year Israel has started war after attaching the same way during Ramadan killing over 2000 children. Really disappointed how you really hate Muslims around the world . I had followed your channel for being honest reporter but you still have your bias . Are you afraid of zionist israel . Not talking about the righteous Jews,8 minutes ago,nadera amini,UCSljYa6yV8Tv2lZEAoO-o5g,0,https://yt3.ggpht.com/ytc/AKedOLSdo4xEye3aa1eFhqd6v6ho5_uJ3q-AgYSJsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFy9-9JT6CTc8AHvx4AaABAg,Look hpw much they care about ukrine and not about palistine,10 minutes ago,Ali Amjid,UCryqsUcw_CIjrNxsRgfwV0g,0,https://yt3.ggpht.com/ytc/AKedOLS459-4OYyBqIUf-zMfcyR-0ecOL4aiVZdWcA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOdbRfm2dhqHSWnt94AaABAg,Don’t defend zionist Israeli police !!!! This is not your best coverage,11 minutes ago,nadera amini,UCSljYa6yV8Tv2lZEAoO-o5g,0,https://yt3.ggpht.com/ytc/AKedOLSdo4xEye3aa1eFhqd6v6ho5_uJ3q-AgYSJsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNieELIXwbvdGLfAl4AaABAg,Wow in the Bible God says many times pray always for the peace of Jerusalem. Wow Lord your word is true..,24 minutes ago,Allison September,UCIslWTMaqRrCajsCJxjWFVw,0,https://yt3.ggpht.com/ytc/AKedOLTKtIANHszxm9W5cJeV4RHoqg_l5GUIMLD-LGWV8w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNGHafLmqJvHAoXO54AaABAg,My Belief system is Better than your Belief system.  Infidel! Hahaha!,40 minutes ago,Joel Mosier,UC53-B4aFTnIhQbxOrBnupQQ,0,https://yt3.ggpht.com/ytc/AKedOLQCkR19z5jWS6rmqGWBozSRAt-0gpBugmoqmhj9=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVbn6EBrdFwRVjset4AaABAg,Free Palestine!!!!,45 minutes ago,Bec Khan,UCl2atOg0MN95mxf0tQ21OqQ,0,https://yt3.ggpht.com/ytc/AKedOLRHM5wxO97J9gJMhh8i1i93Qo3chsTkhlxrKCPyuH4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwU0j-FJkC2qu44MfJ4AaABAg,My respect to Israel police in handling these jihadis .,1 hour ago,KID,UCbG-LRHtqO5XdNUNPVhqi_Q,0,https://yt3.ggpht.com/ytc/AKedOLTgSZpxPeY1Q0dix3IvRzTwDhG-7KjLfnrSyA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxavf57N72Gyjn29w14AaABAg,"Isreali brutality at its peak.
World must condemn every evil act of isreal.",1 hour ago,Taai 2022,UCunxuOC_f00cw2sDAU-1bxA,1,https://yt3.ggpht.com/ytc/AKedOLR7J5EOyIWI_dtC8dTITiCMD8MeUVw0AFb1hXFflWlRXqLYcckA1r4ZdY5y9-RP=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmbPhZ9LR6p1nXxQV4AaABAg,Now the world leader are sleeping  Ukrainian they wher awake,1 hour ago,Ashraf Mohamedy Mohamedy,UCDFUrdDEsTpvXGIxi2KWZeQ,0,https://yt3.ggpht.com/ytc/AKedOLTZqFc1cvahd3pQLisl2zk1aVgaf94REtt_5w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPP70OzNGDkI_q6K54AaABAg,"During Ramadan how could be a person act upon such injustice by Israel soldiers.  

May our brother's and sisters in Islam  steadfast.",1 hour ago,Elizabeth ML,UCA-oPAUDSkJxDFPhScik3dQ,0,https://yt3.ggpht.com/ytc/AKedOLTeuke3K7o-onGxEX38TgMD4zMDwNX3KXOBWRm11aah-U_jknTRREmD56_d_O53=s176-c-k-c0x00ffffff-no-rj,0.0
UgwX4-1IP7kkjH7L3F14AaABAg,"May our Rabbil Alamin Allah SWT 
Change and make (them Muslims ) All those Israeli soldiers who has harmed  the Muslims performing Salah in Madjid  Al- Aqsa . So that they themselves will understand how does it feel the way we muslims does .. Allahu Akbhar ..


It seems  be reoccurring act of violence by Israel soldiers ,towards our brothers and sisters in Islam.",1 hour ago,Elizabeth ML,UCA-oPAUDSkJxDFPhScik3dQ,0,https://yt3.ggpht.com/ytc/AKedOLTeuke3K7o-onGxEX38TgMD4zMDwNX3KXOBWRm11aah-U_jknTRREmD56_d_O53=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZ91gB6wFzyoDSXe54AaABAg,Is this from Sweden 🙄😄,1 hour ago,kent nilsson,UChp_DES-Y5hvK_q8enlY7LA,0,https://yt3.ggpht.com/ytc/AKedOLSQk8meynlMKBW4xHNhjvfHD1gmb7LY1jG6LA=s176-c-k-c0x00ffffff-no-rj,0.0
