cid,text,time,author,channel,votes,photo,heart
UgxFUinnh8S9gzjPetF4AaABAg,The pandemic will never end. Always a  new virus discovered,1 hour ago,vofff,UCWr8MX3RVqKYtwz1AzBAHkA,0,https://yt3.ggpht.com/ytc/AKedOLTDbSulLRbAuqIkRAOsgr57IfkZRa6P0S6M1vJ7=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgBxjhpa63-H3t-Nl4AaABAg,"The height of pharmaceutical companies bribing news room. 
We don't need covid medicine.",7 hours ago,Visolo Thro,UC8Si2OaWYcnCgrVnpgFTUtg,0,https://yt3.ggpht.com/ytc/AKedOLQjtSXvSHzCXlnMJkQSkROjMGyakG7pma-d7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAQNgfc2DJ3CuVL4B4AaABAg,I wear a mask and socially distance from anyone except family. Make your own health choices and don't whine to the government when you get sick.,7 hours ago,David Renwick,UC9FXZL6D6UKy-5bOLth72MA,0,https://yt3.ggpht.com/ytc/AKedOLTU8peazSIzzIXnnwMGIXp2-iqWGkud4lujow=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFIM09PAdt1Cb8K5d4AaABAg,Covid virus is a trillions dollar business of the imperialist /fascist US /UK/China and the connivance of the corrupt officials of WHO who has bribed of millions dollar.This disease is just a mere pneumunea and then making their own terms as Corona virus which derived from the US/UK biological labs,11 hours ago,Mario Sismar,UCWw1Kl0xYZgZpVAEQ0O2iCQ,1,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzFSvc2JP2rnBj0mp4AaABAg,The pandemic will help to reduce the world population drastically. That's the whole plan.,11 hours ago,jimmi hendrix hendrix,UCLq3Kwnajf8fXUmn8vnahug,0,https://yt3.ggpht.com/ytc/AKedOLRTPDX75KoWGWDZXfzNmwmmnlEGRyqMR_KplSvH=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzzVbTTulpSR-bVcZ4AaABAg,U.S. poo- poos all this  Very few are wearing masks. Worst may be yet to come.,12 hours ago,Robert Mino,UCe1v7BSKcNnbIvAvVBDSGMg,0,https://yt3.ggpht.com/ytc/AKedOLSqijok9TD0f4yDcsksYHP4jhNPm8kizACjag=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEb13XB0dn-WyTyjx4AaABAg,"Coronavirus does not effect indians because of ayurvedafood eaten by indians
Only foreighners die",12 hours ago,ganesh raj,UCdUfF406VARd31jK-w4VU9A,0,https://yt3.ggpht.com/ytc/AKedOLQrwhZ4rWSRJ6qrifzd3C1igDl71YGCp9bj5huFShJJ_E4JNWFH2gIdi7Tav6HB=s176-c-k-c0x00ffffff-no-rj,0.0
UgyANN1SWNJHkIGfanx4AaABAg,Again,13 hours ago,Froilan Bacelonia,UCgozV67pVbRPeJqLOZSjEsg,0,https://yt3.ggpht.com/ytc/AKedOLRPXwhFjpYZzrc_DY-YpHRGfpXPUhfM-wJgKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxoRCEaSoFDnbIhjB4AaABAg,china's mutants.. they started just this month with massive lockdowns.. see shanghai's spike yesterday and now,13 hours ago,Lynette Francia,UCimKBFpkdjR8tRNuGh_Vr0A,0,https://yt3.ggpht.com/ytc/AKedOLSU3ZLl8HO8pK4etTn2-JPBg37xdrFSLlWbmg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1-5F--0n89qnbrJt4AaABAg,"water has been contaminated with SNAKE VENOM!  BOIL/FILTER/BOIL AGAIN, AND CHECK ON INTERNET TO GET RID OF SNAKE VENOM!  THAT IS THE ""covid""!  THEY LIE!!!!!!!!!!  IN US, THEY LIE IN THE NEWS, TELL TRUTH IN MOVIES!!!!!  I WORK FOR SWEET GOD ALMIGHTY!   PLEASE BECOME A CHRISTIAN!  REPENT TO JESUS CHRIST/PRAY KNEES TO SWEET GOD ALMIGHTY AND JESUS CHRIST/READ KING JAMES BIBLE=DAILY!",14 hours ago,Rapture Angel,UCLq-Ea9ZEQolgRh-PnpDgww,0,https://yt3.ggpht.com/ytc/AKedOLQv1X-k32PkxSOdmmIAzg99TGWteqqFas_Nxg=s176-c-k-c0x00ffffff-no-rj,0.0
