cid,text,time,author,channel,votes,photo,heart
UgzpcRzeYOUCgZynkWF4AaABAg,The fact that so many Twitter employees are quaking at the thought of Elon Musk being their boss brings me great joy. I really hope Musk buys Twitter.,34 minutes ago,Dipto Sarker,UCFvdJdCqDCNHRCTcRemv31Q,0,https://yt3.ggpht.com/ytc/AKedOLQ-QjI1ovW6a3-tHtau7AV8oux0iORCNhi5We35-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyr0tyViBy4YzKZvF14AaABAg,"Full quote:”Jack of all trades, master of none, though often better than a master of ONE.” If you quote something, quote it in full WION!",1 hour ago,muhammad gangat,UCi0DL1rtbVxs-TU3UiieTLQ,0,https://yt3.ggpht.com/ytc/AKedOLQ-EI9yq7ykqzPzM0fWBQ86tH_jFtaXXUJgcaoY3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoqketwHkNmgpYZKt4AaABAg,"To the Leftists, Progressives, and Bolsheviks it appears Elon is Darth Musk.",2 hours ago,Willard Musick,UCGucDO1LeZi5Nk81Cj7CH0g,0,https://yt3.ggpht.com/ytc/AKedOLSlyLULqeyA7bHmKHiO-7aRoiwCv4L_GFC39w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz16V-58LZsB_UKx2N4AaABAg,What can you do on your billion if one day you will die?,2 hours ago,Ellen Tan,UC3acS2WqU0ZM8eE06yN9WEQ,0,https://yt3.ggpht.com/ytc/AKedOLRBhoocP2nZNnfy1tSy9nYDLpehSBgH96W9DU3EwEWy33a1ilRKslE31vtUUDS4=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWGZoXfFM_pAAP2z54AaABAg,I unsubscribe because of this video. What is your agenda? Do you want to become the news media that we tried to avoid?,2 hours ago,Test Group,UCHLf7SNE3v2U2WQ1Dwo-Zpg,2,https://yt3.ggpht.com/ytc/AKedOLQmS_bc4_wfrE9eMkpMh_AmijixiMYkcaUNriKGWjzPZJ0Dls4hjM0A2aG0_YM3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNY-ZLi4W4NxH4cJx4AaABAg,"The full quote is  ""A jack of all trades is a master of none, but oftentimes better than a master of one"".  Everyone leaves out the most important part of the quote.",2 hours ago (edited),Roarshack Studios,UC-Tzj0LrSenVrug5lde2rVg,0,https://yt3.ggpht.com/ytc/AKedOLRAp8zM-NLmX7x6D228_NaXSlCr71P_X_tlFbLS=s176-c-k-c0x00ffffff-no-rj,0.0
UgxilvoI5NRX_MLVhKt4AaABAg,"For some reason Wion always takes a negative line on Lekin, one of the most impactful person with unparalleled achievements. The only one to achieve rocket reusability, planning Mars colonization, biggest rockets and affordable satellite internet, single handedly pushing the entire industry to sustainable transportation and energy...

It'd quite jarring though I agree with Wion on most other issues.",2 hours ago,Raj Ind,UCrNa_wtzZhQT3xf1duwJa4A,3,https://yt3.ggpht.com/ytc/AKedOLS37OhZrb5wV5rpF5UF5UGoIp3tIXeAwUTA8A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyU3lTY3TDHTaSK_L54AaABAg,WION is biased,3 hours ago,Kiran Duvvuri,UCUElhgD0g6BfpXyXN91Xi9Q,0,https://yt3.ggpht.com/ytc/AKedOLQThqNAfe40gSBeC97Ssq-SR5gjVYgX_kIptA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf-IxU3u5ddE8aB514AaABAg,He's just a man..or is he?!,3 hours ago,SC,UCDaua8OZ6J2zcKLwwOj5rbA,0,https://yt3.ggpht.com/ytc/AKedOLSbJhQL3MRKr9jP3kFHbNbItGKIeZMCmsj4sIjaHQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIcLEPSONUd6VVzwp4AaABAg,Complaining about Elon not finished something? What have YOU done for humanity?,3 hours ago,Amy R,UCEidi_KmCtCbjNCRO-SZ2FQ,0,https://yt3.ggpht.com/ytc/AKedOLSUPW_vagqkDvuzvJ6AdPL1jGpPFtLcL-642DHCgg=s176-c-k-c0x00ffffff-no-rj,0.0
