cid,text,time,author,channel,votes,photo,heart
Ugzl1O_elJ3q9OyNcod4AaABAg,The only people concerned about Musk taking over Twitter are the tyrants who want to control your mind.,2 minutes ago,texasviking1,UCJ5_2MPTLUSFXztFMWLI4Zg,0,https://yt3.ggpht.com/ytc/AKedOLTnjJmhNtSXdNLJms4Vk4Ry9Mvj9mpr98ZEog=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_veKww7JL-g2TBTl4AaABAg,You seriously smear your credibility saying Elon is the richest man in the world.,16 minutes ago,Dawna Werbeski,UChWX3pMGnHj4AQbfm8Qvrmw,0,https://yt3.ggpht.com/ytc/AKedOLQdgkD0rwj2pvwqqBCWwoAB2fnD3gOa6bELbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPSWTt4so_HnD2Tph4AaABAg,Make in India sale in World,16 minutes ago,आनन्दसुत्रम्,UCQK-jLwhT4yLipVENEdEcBg,0,https://yt3.ggpht.com/QZE10juUsDUN6QPjQvzdpOcoOoVNOAB5FwKzT89JRca24D7Vh1vUdpAg91oWkRt3Fk4kCo31_Ws=s176-c-k-c0x00ffffff-no-rj,0.0
UgyV6XekFeKcB-Y1YEp4AaABAg,"Correction, are you sure he is the richest man on earth, Even Putin alone is 2 times richer. Just because America said he is the richest?",25 minutes ago,Ease Claud,UCFlBqBI9OvsGFRRK_ZaTnFA,0,https://yt3.ggpht.com/ytc/AKedOLQdWoOrnUR0D8cLDL23sKxjeiHVVAvY-QnkdFa3=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq532sapHG_2CI44F4AaABAg,if this white ass wants to make green eart then start making those cars in india.. why do u want india to import them from usa? make green earth possible by manufacturing vehicles in india itself,30 minutes ago,PRATIK REDDY,UCWrYUHij8cxUdwrpdszCCRw,0,https://yt3.ggpht.com/ytc/AKedOLSALkn6C4Ujt9-qY2ueg8l2EWfmSEzxeMKF-tMNbg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKV31RQMvjb6jcX8J4AaABAg,Good he got a broken nose in India...,34 minutes ago,rajantrs1,UCzeu_qUQeXQNXPdBJt8H5cw,0,https://yt3.ggpht.com/ytc/AKedOLSSGR9iBXx0A0SDcN-4zofOljyYLaUzv_ybCg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyntwjrQaHYW_q0BRx4AaABAg,Apparently the authoritarians and the narrative builders are quite scared :),1 hour ago (edited),Love,UCtb1dY6uyN8KZUOn1if1USg,0,https://yt3.ggpht.com/ytc/AKedOLS0OHkZMAqlPGOYnhc4lMaV7rqGt4BL_sMIpZOqvg_ayo1DWeoV46r7LfwbVC--=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdHfhYV6krNqDn_4B4AaABAg,"This is getting sick .
The world can no longer make a proper decision if it has nothing to do with money.  This will be our end. 
ABOLISH currency!!
For balance and survivals sake.",1 hour ago (edited),Ninjah Voan D,UCkvFN4DkosPVCsFZrY9TyWw,1,https://yt3.ggpht.com/cDUiLiPPfV3Ko194MOY7F0NsCI7dDx0JrX2PCY7UEAjDGyDa8ouS1xrj9jC6WvCRoeNTKq6VeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8C3SZKMCcnbLQQRp4AaABAg,Only the enemies of Freedom are worried.,1 hour ago,Defend Liberty,UCqU43jyMycBlAZZy5w1yMeA,6,https://yt3.ggpht.com/ytc/AKedOLRxO-JWHGAhkljahpmIrKTfmH3tedpi0bO7Lw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAehEuXCRLveLXDwJ4AaABAg,"I don't understand this position of Indian government to police/regulate speech.
If you want Tesla to expand to India, elon's ask is simple. Subsidize.
Any dimmvit would also ask the same in a new market.
& Building a factory without any promises is shooting yourself in the foot.
 I really don't get it, if you find his Twitter feeds offensive/charged/directed nobody is stoping the government from tweeting a negotiatiory deal.
This is like children policing ,..o you can't use this words against me.
It's plain stupid.",1 hour ago,semprfy s,UCF3gamYEnrMydReKz7m-D1g,1,https://yt3.ggpht.com/ytc/AKedOLS6HCP4nGx_Oy4yoBdGZ0qEMT0Iyyb5G8AY9w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_K42fcHs-yTFzY_R4AaABAg,When communists and terrorists can write more than president of USA - this DOESN'T spark any concerns. Awesome!,1 hour ago,Ged Agnors,UC49N6Bw_oRqWNnidSwSxbZA,0,https://yt3.ggpht.com/ytc/AKedOLQJzp8tf7kS7sSUm2xHgaMYmAKsJapjdvIxx-neCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV5j40InSrcYfhgRd4AaABAg,this reporter would 100% spread her legs for a man with elon's money,1 hour ago,Bobo Jenkins,UCSgnJtM44h1OsPCVErooaHA,1,https://yt3.ggpht.com/ytc/AKedOLT3c6ksV58OYludnCxzEmR2avzg_XjQx5_uKw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3-7XqgKCgDxuS_HB4AaABAg,I'm starting to dislike elon Musk and other American MnC companies but still can't do it.. they are glued to us until we find a domestic solution.,1 hour ago,thebossviews,UCBZtmpG1WJ9odt_Etx8U1aA,5,https://yt3.ggpht.com/saawNpd7-RCpoxYPd3W7xAqrCTK1yg25faiTfmObfHjppmohF8RcDP9vcgnGoWpc9rTANkPv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyphMpeBDfU9OdTQ2p4AaABAg,"I don't think Elon Musk is the problem, I think he is the solution. Millions agree.",1 hour ago,Kirk Smith,UCSwRpS2mjxBKA0kRN2mtqbg,23,https://yt3.ggpht.com/ytc/AKedOLQMZrVTMft7UE1eQ_4uV9JM0aMiWUxSsNqAFIPA=s176-c-k-c0x00ffffff-no-rj,0.0
