cid,text,time,author,channel,votes,photo,heart
Ugx9706TqxhqZJxVCxZ4AaABAg,"Wion forgot to write ""far right"" before Le Pen",1 hour ago,Sarita Chatterjee,UCLIEcS5rR7RsiGoCvalmmWQ,0,https://yt3.ggpht.com/ytc/AKedOLRJueXPjXpxWc-eGsLDSsR_EVHi4b4cpLB3JuOnag=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSn11YUQC4kpPtYIZ4AaABAg,"A woman in france, impossible",2 hours ago,NPG,UCtAc_nd6M6J8h0FFK596mbQ,0,https://yt3.ggpht.com/Vw_AFr6SKSvj9vKX4QO4UiehsEVbqi_azBzwZyW3QLF89XGHEQtNcTLyhYyXFB5Ppc1ugkJgzg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_8MmaB-JFRERNm8p4AaABAg,In my opinion. This election is meaningless the WEF has already chosen there prodigy Macaroony to win. It will look like Macaroony has just scrapped by the win when the true fact is that he has lost. Don't be fooled this election is all show.,2 hours ago,Sean,UCLPv8Isk0ZZL5XhsAEompaA,0,https://yt3.ggpht.com/ytc/AKedOLQgvXG9LknqRX2cqBkoJ2ExcNoCS7L_ZKgVLS-Cow=s176-c-k-c0x00ffffff-no-rj,0.0
UgySNfiQ4bIHQBGAd814AaABAg,"Macron  good  for India , Le pen is a Chinese supporter",3 hours ago,I am Legend,UC1Fr2trAkOwJooxWOfYhlCQ,0,https://yt3.ggpht.com/w8gazVkUCAXU4ioTpCCCeFGzNJ7WVkWfYjaXR_xEiGhedVXsLsC-cCBCvMHvyeca5OWIFMI1NA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUDpX2UWeP45KxtnN4AaABAg,"I can't believe still exist french people voting a criminal like macron as their president
It' s a shame!",5 hours ago (edited),benedetto Lionetti,UC-bCQmzi0g6Dl-oKSpPOk9A,0,https://yt3.ggpht.com/ytc/AKedOLRA6pl0oHaXi9xBKB3uCohstsexXFUsHKgyvg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTE8UbzCyk2nkoAYl4AaABAg,Its time to Re-shape the country for new hope and perspective of new security and stability of France. I hope she will win!!!,7 hours ago,Pathfinder4604,UCQ3ryX0TVCK-XQ0sotfszRw,1,https://yt3.ggpht.com/p_jWyOFGAZgkbX_GXoAuGmbT7mB41xZF3zFA6s39lk8TM4a2_KnpPNCqUgSJbkUZskbHj38ehQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyvs8K24wjmo422H5B4AaABAg,"Humans are powerless when they believe they can control by military, treaties and other items that do lead their hearts to Christ. Humanity is a train wreck coming. Despair is the name of the Tomorrows coming, till the End of Time.",10 hours ago,iNdUsTrIaLrOcKeR4U,UCQI29ZxOZc83R7_8FOMfroA,0,https://yt3.ggpht.com/ytc/AKedOLS2FlwAl3BoxIX8qT9WMTotL1Dv676jW8VJBtYJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAkwk5bKtkNpFUV3R4AaABAg,LE pen❤️🇫🇷,12 hours ago,lawra kumar,UC929Pj4Z1NAlRm6zeclxaiA,1,https://yt3.ggpht.com/ytc/AKedOLS5for5A4hYTbm6POhN173VXuqMPUm2dHw0y_gDV6LuHyFHNTNlr1KkdaaCBzf4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmSdq2NJkGCffzR9J4AaABAg,"WHY YOU NO CAN LOOK TRUE. AND TRUE SAY TRUE. DON'T TRUE SAY WRONG.
AND DON'T SLANDER.
ALLOH HU AKBAR
ALLOH HU AKBAR
ALLOH HU AKBAR",12 hours ago,DUNIA cak kinco,UC1CY0wLVsHWT0hzYPJT_mmQ,0,https://yt3.ggpht.com/Q9sdqKtXKjJUfVvw2Zz4D52nSE0iRw-oThUL4oCBFKqakNfvpJylfgHC-hggoID3GrZWfkcVbUk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1HbnVP8B82_NYGKR4AaABAg,It's 50/50,12 hours ago,bonvaicu,UCMcHYI4bLAu7O7whHDKVlkg,0,https://yt3.ggpht.com/ytc/AKedOLS0RPJcM_6yMJbOIZObLmiYiLUAqN0mPX-ryw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFLHxsJ7JJbdG5MDJ4AaABAg,As of last night vote predictions were Le Pen 50.5 vs the banker boy 49.5,13 hours ago,LC KoolG,UCJFBOQnyXj-DZvyeGAyHTzw,1,https://yt3.ggpht.com/ytc/AKedOLSjgqbUzCfl4PZAJUyW6H2rTFYf0GaBAb_N2z1sfgD9oqy4xBp_DR3ZGUdtVBL0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeP-jp1FIyGFNzXPZ4AaABAg,Marine le pen🔥 🤟✌️,13 hours ago,Roshan,UC2gnxCYkbAtkMTalNmUZiUQ,3,https://yt3.ggpht.com/VoEYzCGWxNmeA_nbx6kJAOMOp4XxlyrYVs0NSTF37PxZBpXL5OW1x5xCQfcmNssbBTpbrNjT=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrGKBP6RZMHxSuN8d4AaABAg,Go Le pen,13 hours ago,New Idea,UCpxMcDMxTskUrReC4HPHYew,0,https://yt3.ggpht.com/ytc/AKedOLR8Ei0fcYmzwPb2BOT7oxXAutfEK7CfR8klarkFSg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_pgAqm4keg9nZd9R4AaABAg,"If they re-elect Macron, they deserve the continued neo-liberal misery and U.S. control of their foreign policy.",13 hours ago,Katrina Garrett,UCw9cBHmpvHb4IqB0Szbk7gQ,1,https://yt3.ggpht.com/ytc/AKedOLTlNIX9kfi7x4WP90VrLaOXzdoE9Kru476vbpY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuH-dD9qFq114nMs54AaABAg,"Macron and his government are puppets of the World Economic Forum. Founder, Klaus Schwab said so himself.",15 hours ago,Libertas,UC9wnNsH9ebVugn2UovP3SQA,1,https://yt3.ggpht.com/ytc/AKedOLS0_psxAXisEAR8NgUUohAxu7TyNcY4v5Xelg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNYQxEZ9e6r5JYrOF4AaABAg,le pen or do you want to get lockdown like in Shanghai?,17 hours ago,Edgar Torres,UCDB9Zzbmn4QvDqqNZgIZGWg,3,https://yt3.ggpht.com/ytc/AKedOLTix8Klq6yBQofWckDkk6w-PaOwQ3g0CtkN_bU0zg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzvEZU0Gd2XClRlfX14AaABAg,Vote Le Pen!!!,18 hours ago,Carter,UC9kjZPcivdXV-BGmgeWZ1cw,9,https://yt3.ggpht.com/ytc/AKedOLRjnQr6XZyG13HVqGioCXq2yTUyqreORYp2ftxSng=s176-c-k-c0x00ffffff-no-rj,0.0
Ugycvm9xON0yvV5LAr94AaABAg,I want le pen to win 🥇,18 hours ago,Gabby,UCBB1IygKm4LMt04UtSVIoJg,13,https://yt3.ggpht.com/ytc/AKedOLRD5mK0UT6OKiixxq5Qa0rg50HFeRsBVF9KGQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHsH6xPWaJJGY_c9x4AaABAg,"Would it not be timely to discuss why there are so many NATO troops within Ukraine? What will be the fate of those already captured by the Russians? Why are Russia and its allies attacking with so few soldiers? How long will the Ukrainian war weaken NATO's and America's defense capabilities? We can already see the economy. What if you have a back bigger plan? Let’s face it, the NAO and America are running out of stock. Russia has not yet used its advanced military equipment and Chinese industry, nor do we know whether they have stepped up military production. Taiwan would fully tie up America’s potential. North Korea is just waiting for a signal. Who will protect Europe heading for a deep recession?",19 hours ago,Lorinc Szabo,UC390ObhMrn7j3xxCNVgloQg,1,https://yt3.ggpht.com/ytc/AKedOLRWYg04niSh_QELi6zGMVUiePHKjJEqzSB0ww=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUFnlcPTZ3v7YwIth4AaABAg,"Not a fan of his, but really hope Macron wins",20 hours ago,J Smith,UCf09akpJTZ6ElLP2D-2sh3Q,4,https://yt3.ggpht.com/ytc/AKedOLSZ7uRxtZGETXUtXgqVKXz9dV_uxnit0mBJOuDD=s176-c-k-c0x00ffffff-no-rj,0.0
Ugycvm9xON0yvV5LAr94AaABAg.9_rU3ePc13e9_sRtvJC8Wb,I want your mom to win 🥇,9 hours ago,Ivo Dimitrov,UCdT-AkkaxShvuRy6g8jm0Yw,0,https://yt3.ggpht.com/ytc/AKedOLQM-3MuthjdU2H_IU7BCGqTeuZ3yapOwGUQKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwL5I8F20N8Akj9pFN4AaABAg,watch out for china they are still looking at France,21 hours ago,DAN makintosh,UCS_9XJ38gmkyyfUsSaJWsMA,0,https://yt3.ggpht.com/ytc/AKedOLSXsmzdcyaVU0VNQLuzJvQml1bW0K7QfLgPSuWN9UEH76OlEdTp8yRcvG4GEmN8=s176-c-k-c0x00ffffff-no-rj,0.0
UgzH7ZqdQPU_JwMf__14AaABAg,"Emmanuel Macron is  a great Leader, who in their right mind would vote for Le Pen, she's a wacko like Trump.  Also each and every Nation near and around Russia MUST JOIN NATO NOW!!!!",22 hours ago,Allenaxp,UCEd3QIv55gK_RL8WUw68uMA,1,https://yt3.ggpht.com/ytc/AKedOLQj60-l1leSCGnRZISjiVSUkGxyj_djGGiQnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbldLQuzY0KBIxG3F4AaABAg,Will France remain a puppet of the USA?,23 hours ago,frljoki master,UCxQ0nZKYr6ufgGMP0GAswQg,0,https://yt3.ggpht.com/vQ-bMSjPaQB5ZLr8OTN3DgQOTu4LEr9U3A4bn-t42iK2hwEUq86Q91s5nPj5MsTvb9s8A6AO9g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-FzHFw3BpmGTDijZ4AaABAg,ABAJO LOS MANDATOS MACRONIANOS ABUSIVOS CONTRA EL PUEBLO.,23 hours ago,Cjvkck Uhlgugoj,UCzPp26iQXeMRzczoSbYfsEA,0,https://yt3.ggpht.com/ytc/AKedOLTsXN-D_5D4m2D21CWMiKER0hLMilmsIaxLlA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMg_MDPglvzNASUGF4AaABAg,The way he forced vaccines like animals no way from florida freedom,23 hours ago,Carolyn Kernan,UC0rJ7fDMsGhKsiSeX_uBeVA,0,https://yt3.ggpht.com/ytc/AKedOLT9IYRR7w9xIsVWU6lm2cduCMOAdhEsC9VLUdf5dbRwqSbPquDozmOResxgcKBd=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyg1AchwXAo9n4hPR94AaABAg,He will win in the close fight.,1 day ago,Kusum Mishra,UCl94jMZrjTtN1WkC2qvy_fA,4,https://yt3.ggpht.com/ytc/AKedOLScO_rTfNCD0DCeWOLRLO8FpSuc4PZpl4g8_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvLCmfBSItPG64dWl4AaABAg,"Emmanuel Macron is what France really needs He's a great Leader, who in their right mind would vote for pepi le pen, she's nuts like trump.",1 day ago,Josaphat Daniels,UCB31kmtYTfU-MkSgmBu9YgQ,10,https://yt3.ggpht.com/ytc/AKedOLRBID2gkQ2twNfxVXoqyziYzpT7oJ_MOIADtend=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaL-uUy2RpzNXmlm94AaABAg,If omicron wins good bye freedom....,1 day ago,Ovidiu Odiviu,UCSkC27VYPqmP_X_bulKpYfw,9,https://yt3.ggpht.com/ytc/AKedOLRwNzZUphYrsawe35YBYyeMAJVo3T62WuSE_F7yNg=s176-c-k-c0x00ffffff-no-rj,0.0
