cid,text,time,author,channel,votes,photo,heart
UgzOQS1CDIN9MiNMb1d4AaABAg,I'm pulling for the Lady to win...,1 hour ago,Dan H.,UCLzb6m_5HY_JISISzjsEPxA,0,https://yt3.ggpht.com/ytc/AKedOLQa634ABY84BS9IxNkcnmh9qa8XqB3t9Gtid7EH=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzQnHN8tSVNfcZU8N4AaABAg,Rubbish report ...Macron has had more hate for being biased towards certain groups ...Even threats .,2 hours ago,immortal Dio,UCKyHZ5z8hpvVDA0qWiIDXLA,0,https://yt3.ggpht.com/ytc/AKedOLT8Ko77IEb6ndcH5DuqXzYaIAokDwmHildQS6HmtA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5-ViSeU60qMPrjxJ4AaABAg,Macron is accusing Le Pen of what he is himself. An authoritarian vaccine mandate dictator graduate student of NWO  Klaus Schwab.,2 hours ago,Joe Beef,UC6fActPjjmBbqnWYzS5_ayw,0,https://yt3.ggpht.com/ytc/AKedOLTQ64x_X_mAV1EgShgmqi2tyG3HTHce8XDN8Nvl=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiURJkS6S0JKm8Dm54AaABAg,I hope French voters give Marine Le Pen a chance! I'm am praying for Le Pen. Long Live Le Pen!,2 hours ago,Martin Lopez,UCqNxbApC8YaDBckw3E5Xc9g,0,https://yt3.ggpht.com/ytc/AKedOLS0vR63cuTsvtKl1IwsWokuyU-w5kOpuH0SloOhWsL9DEVhcO66Qb9KOLk9P35F=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhtC3gX81ogw_Ueg14AaABAg,"Prey that le pen wins and she can start reducing the stain of Islam in their country.
The French shouldn't have to worry about walking through their cities and being attacked by some backwards foreign regimes trying to infiltrate their democracy.
Deport all foreign criminals",3 hours ago,Bobby Bastable,UCDg-IGJoVi1AgkjNP8thSkw,0,https://yt3.ggpht.com/ytc/AKedOLTVpMmHCCx7SNsGmDktzKU3V0Y_KpVPBHHCvg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlGyAKILwg8riM5FJ4AaABAg,"There's no way Germany will allow Pen to win, vote rigging at its finest!",8 hours ago,Ex animo,UCfrRZPduvfh-AlSzKrwp0LA,0,https://yt3.ggpht.com/ytc/AKedOLRV9K4_-g2yGe0xPXfBwyseQUI79IvO6fHwLrRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpMFMbmYTKffGGxAV4AaABAg,Follow on 🔥🤣🌎🇬🇭❤️,10 hours ago,K.o.j.o_ID,UCzo7IMlmwV2Ho_6Uly8Tu6w,0,https://yt3.ggpht.com/IadN5hWK6QvjsNK7-vEevHSusutjsymjy18HAUlSwe-bHtKbe6MA9q_Sm-ytd9-j53svyghY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxpo1KhiT11bNDLsDp4AaABAg,Le Pen!,14 hours ago,Kenny Lam,UCZjkp8U3NM-AG4lSUK5X1Ag,0,https://yt3.ggpht.com/ytc/AKedOLRWlXKuGysLl2r8YRvKPO-CEM5XZoogLxmVa2pVzfw0nkNK7C-JFyQW5GcEfKta=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYU6-zyXmvUGjFeYZ4AaABAg,Mélenchon ✊ Macron and Lepen 👎👎👎,15 hours ago,El Passeur,UC8dsdyBjVRlwqxWN-FsU6zg,0,https://yt3.ggpht.com/U_5u4_xdGgl8D2kgRvhxVzmz7R7dLmg811cjOK8uT93N6oLYmZ_2UCvbVcfoCyl6_ImQCvgMSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsSH2fd64nqt536EJ4AaABAg,"Macron and his government are puppets of the World Economic Forum. Their Founder, Klaus Schwab said so himself.",16 hours ago,Libertas,UC9wnNsH9ebVugn2UovP3SQA,1,https://yt3.ggpht.com/ytc/AKedOLS0_psxAXisEAR8NgUUohAxu7TyNcY4v5Xelg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzX39AK0e6AK5qtpcl4AaABAg,Pen is a terrorist !!,18 hours ago,Heartless Love,UCTyIFjo8Nsur1Wm9IGw7I7g,0,https://yt3.ggpht.com/ytc/AKedOLQBPXumFbv_wQJL_pQXYNMdohWwH3ixmXKPELER1w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHqfWf3qpfX721zBx4AaABAg,Same problem as america. Address the little cheating issues and le pen will win.,21 hours ago,Frank Fucwit,UCI-bScCZMzh0JjeoTP4VZyg,0,https://yt3.ggpht.com/ytc/AKedOLQoVEYXgSdZle4zvxzdVztHA-0miv928YTa1fkl6ZlDI8HrbmsqXti3bBb_Mw0L=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_Am3W0kASAUFMI654AaABAg,Macaroni scumbag Le Pen winner!!!!!,1 day ago,Rollo Kline,UCcWG3HxhcbljMgggQ2gkSZg,0,https://yt3.ggpht.com/lmTsbxtGAUa2ymV3H71KQntV6ccBrkzJYoi34KQnN3_q215CVmYttl-PNKrYF2gB7X9tCX4bgA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzi9JBzXUh4zwiw-pB4AaABAg,how to lose   an election by marie le pen  i intend to take france out of nato !!!,1 day ago,David Collins,UCRs2r2uVb0b4XNK8IhXRfQg,0,https://yt3.ggpht.com/ytc/AKedOLTqBVlrHkiFA0A9Q6P3fNPnG5ktzB-TNVdTzd0HvSrcdNOljqa4ESkVawfuFHi2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz44-wmLe3j6S2WdHJ4AaABAg,Macron will just scrape thru and win another term,1 day ago,Ganesh ram,UC6EeXD44_xRJQcBtekrmw0g,0,https://yt3.ggpht.com/ytc/AKedOLQHB6ypEJ_y5mL0nu7K1d0ciooJgl43Ao5INakNOg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxr90J_3Vm0dVgyXGB4AaABAg,How can she have extremist views if almost half the people vote for her ????,1 day ago,AP,UCWaUV0eVKroobp8WCVPH-5A,0,https://yt3.ggpht.com/ctn0_G8CpfvnYfqjB_pADI-WSfL6UttbZYL_hyDA1DZMBTodjqqUxvq6ZNXRBpnKL3-roBCNgw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyamtlZ0p4a3BbNebp4AaABAg,Seems covid is gone for now as they are not wearing masks. I hope they won't start locking everywhere down when covid re-emerges,1 day ago,Samuel Oluwagbenga,UC1yTJeK7rCWSABOyUgyCL7Q,0,https://yt3.ggpht.com/ytc/AKedOLSarGw0B3I_K3wtWcuC6kR3fCxPXwoROPmrgA1l=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPuLwgq3ME3qNLKex4AaABAg,Manny Pacquiao for President,1 day ago,Kursk Wunderkammer,UCP18lLiqNqRo5HpTIsVRCDw,0,https://yt3.ggpht.com/ytc/AKedOLQFZBpChN7tTi20UKuK1XTajMA86v94xgrHCA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1U3zBOU1fGWxMKxF4AaABAg,MARINE LE PEN the new france president 101%,1 day ago,john cruz,UCcxwJnHTbl3YSv-ST5eZd0Q,3,https://yt3.ggpht.com/ytc/AKedOLSmAXPHp7nfD29cZRc59RYS3jM-xGTYd1HuCti6OCm8focTi_AdqrXoZWQ7rLyD=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvJb54fqJlaC0dhw94AaABAg,Marine to win. She must beat that globalist macron.,1 day ago,Tom Higgins,UCz_fuSyphPmoXcKf2c6Ih_A,0,https://yt3.ggpht.com/ytc/AKedOLTgqp3OjnhLvnr2HaRyAJwji8YP7oCNS2XJnQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWAebVAW8rmDiwCzZ4AaABAg,"She's fighting an uphill battle.
The French don't want a woman as President. Even political enemies will unite to try and stop her from getting the vote.
They're misled misogynists who will unite for selfish reasons.
Its time the Elysée got a brave woman to tell them to shove it.",1 day ago,John Davies,UCVAbDwDvtWLOhJ-PziofOVw,0,https://yt3.ggpht.com/ytc/AKedOLRnb_3CYUo6HacdEPjaDL7_sbppKBc-qA8LQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqDAXxv2qo7pDdoN14AaABAg,After leaving NATO France could implement its foreign policy which is solely based on the geopolitical interest of France and not based on USA's,1 day ago,USA:Syria Japan Iraq war criminal,UCYaEpk73K3TGddAEbMH2Edw,8,https://yt3.ggpht.com/ytc/AKedOLSs2QQR69yD0wtjVnbAqYokYYvFriaPAp9vrAw8_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9OyvgIYl4JoXLKiB4AaABAg,Le pen 👍,1 day ago,Nobita Nobi,UCfTQiUquZMMvqK5fzqTAkYw,3,https://yt3.ggpht.com/5c8-1UUgcLnkaPBhfCcGpzkRiM0P2MFPDCggzh4BAFMFJicBm8a5y5uwK164Xmluv-JrvC2w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0rmxTA7iQGEQuw954AaABAg,MARINE for the top job!,1 day ago,Paul Faigl,UCAnEvakSamsDLqDkaWnXfGw,1,https://yt3.ggpht.com/ytc/AKedOLQ9KchvSVDs0Bqw6mhZJ8muksGAVuOgH9_w4FrW=s176-c-k-c0x00ffffff-no-rj,0.0
