cid,text,time,author,channel,votes,photo,heart
UgwTqlmwoattgJYtsUl4AaABAg,Is WTO ok with that ? I heard we need their approval for that.,12 hours ago,Stinger,UCElL0nrhNSR5pG9ITjqZ2Rg,0,https://yt3.ggpht.com/omPwBtucR12c917TvbrU5zZ72BdHP5zJnCnU9wKcEUaw-6vbKSEFPt4GWgHf6WdCFk2pLsJAtEE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQO6FAEsvxb04IOp54AaABAg,"Rejects AFSPA, abrogation of articles 35A and 370 in Jammu Kashmir. Demand plebiscite as per UN outstanding resolutions.Rejects AFSPA, abrogation of articles 35A and 370 in Jammu Kashmir.",18 hours ago,Golden Shamrock,UCaHAV45uQ5Oxj2tepU_PTGw,0,https://yt3.ggpht.com/ytc/AKedOLRKP3lKdlOn6JxUOoUEhh7LsUppjfyA5QmIjA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugys02p6sU8qGNwvjpR4AaABAg,"Zelensky has cost Ukraine huge damages costing more than $600 billion, and countries used to buy wheats from Ukraine now buying from India and other countries!

Guess Zelensky will feed and support his people with  weapons and ammunition, and because of a dream to join NATO!",18 hours ago,Neo Freshair2021,UCZC7utf6I62E-PSLradnuHA,6,https://yt3.ggpht.com/ytc/AKedOLRj1MrUKHIzRM6or8FDd8_BjRZZhL2ldkz6fgGl5KFafGZSR3oZqUSRrgDMSrHM=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuIEmvOUJQO5Imj714AaABAg,"we indians should also provide food supply for the uk, since they were happy when we gave them food, we can go on without food!",19 hours ago,Ezio Auditore,UCT2f1rh0B5fptovfLkSxShw,0,https://yt3.ggpht.com/ytc/AKedOLQl0rhmAJdWNuTH6TTPIqx3nQfTLp5X-xmz-fwbsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyizEAyKK9_BWyCDeN4AaABAg,Excellent news about the wheat,20 hours ago,AffordableWebsite Rescue,UCpUNypuPCn2sS096LChQGKA,0,https://yt3.ggpht.com/ytc/AKedOLQMikEkWVYwQT3Q2noP4v0f9-jsu-1P3qcgNgkAsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHW7Q-_KWsz5TXQfF4AaABAg,Get ready fir WW3.   It’s coming.,21 hours ago,Cin Coy,UCDa5M57fBbrpMk2eW_0-rYg,0,https://yt3.ggpht.com/ytc/AKedOLTADHFFeeAznVaHc16zCYyP_Z14Csnowp5oZWkQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6mK1RwGsYFXNcE4Z4AaABAg,Great news indeed India is a beautiful country,21 hours ago (edited),Kay Muldowney,UCW86biUMpCfT9jWd-6CFR8A,11,https://yt3.ggpht.com/ytc/AKedOLRwfdGqMwgrCW6cyxNc3l5NbhsPbu1KmBp4pw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_vK0_w5OKoHN3mAJ4AaABAg,බල කරන්නේ නෑ . . හිත හොද කෙනෙක් ඉන්නවනම් ..1k හිනෙට යන්න උදවු කරන්න 🥰🥰 මේ දුක දන්නේ you tubers ලාට විතරයි😪,21 hours ago,Unbox Malli ™,UCIBDbBj3Mx5uy6n6L1VnJJg,0,https://yt3.ggpht.com/Hf3CKqW-MJ7AR79MlETtOVEBOUM6rcXv0RHK6nw6E4orU3JiFtVj3xx8YNdy7G0W_GJSuoaLBg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyoL2fUlXUsinaJYt4AaABAg,WION OH WION LIKE EVERY OTHER NEWS AGENCY OF TODAY YOU ARE JUST ANOTHER MOUTHPIECE.,22 hours ago,Naod Yosief,UC2KSsVPz8VPOASaw_XGJcpA,0,https://yt3.ggpht.com/ytc/AKedOLTumPAoyOh3zeNicZkVOZ4YKBJw5WAdwVkSug=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyxn7BeuX4MWPRn9JJ4AaABAg,Amazing 😀 this is great news for Indian farmers,22 hours ago,Anuj Raj,UCok8ujv7_nKOTAJHDopCBJg,10,https://yt3.ggpht.com/ytc/AKedOLR_PSphNr-hb-69vW0ibOz5_q6TUGkXIePOeN6cBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNerEK4WG3ikrF1nR4AaABAg,When is this channel going to report the human right abuses going on in India ?,22 hours ago (edited),kevin Anderson,UCnc7MAOkVpEOPtahdg617UQ,1,https://yt3.ggpht.com/ytc/AKedOLTcGjIFyB_NRk_QGF3cv6yE-lnzaQCMJlqTglCqxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyceyexzWT05XbVLDB4AaABAg,"Is that a tractor pulling the ship on sea? Seriosuly Wion? What kind of credibility is this using an internet meme to broadcast your news? If you can't get current actual pictures, then show some old pictures of the ship. This is disgusting coming from a reputable news channel like Wion.",23 hours ago (edited),Sathis Kumar,UC1Apk2sC5Dt5knBq0wYFT1A,2,https://yt3.ggpht.com/ytc/AKedOLR-YTxdkRxP2AfGEDC4UNvCT93aCR1oCOOW0iZL=s176-c-k-c0x00ffffff-no-rj,0.0
UgxU0EnYZEMM_-OcIlV4AaABAg,"May I know why Wion hates China so much? Every news about them is negative from Wion. Is it just the border issue that get's you riled up or is there something else?  They have brought 800 million people of of poverty. How many did India bring out of poverty? Their cities of so advanced, even the so called developed countries lags behind. So what is your problem , really?",23 hours ago,Sathis Kumar,UC1Apk2sC5Dt5knBq0wYFT1A,3,https://yt3.ggpht.com/ytc/AKedOLR-YTxdkRxP2AfGEDC4UNvCT93aCR1oCOOW0iZL=s176-c-k-c0x00ffffff-no-rj,0.0
UgziaYxYEU4Thj8uqsx4AaABAg,a day without open defecation is a day wasted - pajeet Patel,23 hours ago (edited),HAI I’M PAJEET PATEL,UC0XV6p9NDhr3pGEKgwjk1DQ,0,https://yt3.ggpht.com/qz47GrVJxLIcoWRni2MRzEr5aoT7_hMQzcXECQRkDWULcvDmeXzqD5XUKa9CgEluSH-Q6o490g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfNnu8EwtMsJsmWhZ4AaABAg,"ஜெய்ஶ்ரீராம்,,,",23 hours ago,Malar vannan,UCoGfVbRXpEoiCSFVOgSrpLw,8,https://yt3.ggpht.com/ytc/AKedOLTjuiA5imxitF34nO8ZZ9ZwISvCNlVFhy_bz5aVsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrwQ5vz0h7K2NexVR4AaABAg,Good,23 hours ago,pratik Khandagale,UCVZlo1Jc9L2nnciByoNUCEA,2,https://yt3.ggpht.com/ytc/AKedOLTOiZU0fX-SiJaNT3imOE3dJjuJk7cv_qp_eSrIjw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTqlmwoattgJYtsUl4AaABAg.9_sBsL9OCBK9_sYraMse-p,we don't need their permission if Egypt is accepting it directly,8 hours ago,S̷h̷u̷k̷r̷a̷c̷h̷a̷r̷y̷a̷,UCWXq5su73kjK_J_xVBVjx4g,1,https://yt3.ggpht.com/ytc/AKedOLSRtva1ygN1io04OTieg4IJp5Pd24V9JfQMyFCmFw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQO6FAEsvxb04IOp54AaABAg.9_rXgglz-yQ9_sOrHUWmhZ,Our constitution doesn't allow it🤣🤣🤣,10 hours ago,vinay singh,UCkqhsB5wtz9sNtNNUwIw5Tg,0,https://yt3.ggpht.com/ytc/AKedOLQWdoCuieNRyZXg3wML6PDVDAlo4XuRjl-50JRU=s176-c-k-c0x00ffffff-no-rj,0.0
