cid,text,time,author,channel,votes,photo,heart
UgxNYbgGzPP03dyCZi14AaABAg,Ok I like her. She’s cool. They just need to give her more camera time and she’ll be a favorite. Palki will be back guys. She still does gravitas plus on the weekends which I love cause I learn so much from those small segments palki does,50 minutes ago (edited),Wavveytae,UCnGjN86dY5bgeD7C8xC8lfw,1,https://yt3.ggpht.com/Sk7Eqzr65Mw3ZEq-WFwTVMQtyAEHShaSEkcmhjQgr6qSQ-RGl6uJx2nV4PsqNrpX3wnmdNYcew=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfpT5uEOuPqNtlKQx4AaABAg,Where is palki,2 hours ago,Isaac Omondi,UC0qlm-ZqukDSL-gnucox3Sw,0,https://yt3.ggpht.com/ytc/AKedOLTg48AmAGfCMtdeZZBo0LSf5OEykQXnS9zg5snOq6NS5O3mpVCkRZcj9ijR0toK=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5nHdYqreH1ghI14V4AaABAg,How the hell does anas Malik manages to be everywhere at once,4 hours ago,Panzer of the lake,UCaX1On0K93DF0jTKIqnwo_w,0,https://yt3.ggpht.com/ytc/AKedOLRVh0j6RHLXlcnCv3xv906a5r0Dac1Yp4lptSbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXKGhHOEZuAsmlalN4AaABAg,Every Defect Indians seeing on USA . America learned it from India,5 hours ago,F Piedade,UCNBlLXX5nJ2VhgiZaiTea8g,0,https://yt3.ggpht.com/ytc/AKedOLSNYSk81MvjSff_J_-2-Ow97T1peZxAoDm8OfVJU7bQttGiGM2ceoBFysQ8v2B6=s176-c-k-c0x00ffffff-no-rj,0.0
UgzejM0mAcSBFbm-Yrh4AaABAg,Keep up the good reporting on Biden and Camellia Harris,7 hours ago,Michael Maxfield,UCvmq9TQfO8-wqOBJGSq_HOw,0,https://yt3.ggpht.com/ytc/AKedOLSmjMBPuPlJTM7DxAAtw_vJaoVcjDBFq_4YnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLDE5I1GWcOlMCTAR4AaABAg,That's not what's causing inflation. Inflation is caused by these governments printing money. The United States is put 3 trillion dollars in into circulation. We gave away money to businesses to everybody and now there's spending that money causing inflation. The United States keeps putting off the pain of a depression-era time. We need to let our system balance itself out and not bail anybody out. If we let it collapse it could be over in 7 to 8 years but now we keep kicking the can down the road and it's going to just be worse when it happens. The only way we can reset the world's monetary system is by going back to a gold standard are silver standard our wheat standard where our money is backed by something other than Fiat currencies,7 hours ago,Michael Maxfield,UCvmq9TQfO8-wqOBJGSq_HOw,0,https://yt3.ggpht.com/ytc/AKedOLSmjMBPuPlJTM7DxAAtw_vJaoVcjDBFq_4YnA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw79D8FkO57IuV9qch4AaABAg,I'm wrong Rwanda is a Christian country,7 hours ago,Michael Maxfield,UCvmq9TQfO8-wqOBJGSq_HOw,0,https://yt3.ggpht.com/ytc/AKedOLSmjMBPuPlJTM7DxAAtw_vJaoVcjDBFq_4YnA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9OfrmnpaPc6Nzs1x4AaABAg,Don't you think the migrants from Muslim countries would be more comfortable in Muslim countries? The UK's a Christian country Rwanda is a Muslim country if I remember right,7 hours ago,Michael Maxfield,UCvmq9TQfO8-wqOBJGSq_HOw,0,https://yt3.ggpht.com/ytc/AKedOLSmjMBPuPlJTM7DxAAtw_vJaoVcjDBFq_4YnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLgbVO-dOQZtEX_W94AaABAg,We have a big problem with that in the United States. People illegally crossing the borders and coming to the United States looking for a change from the country they're leaving. The big problem is they get here and they wanted change this country to be like the countries are leaving. They have tried to turn the Minneapolis-Saint Paul area into little Somalia they've turned Miami-Dade into little Cuba it's crazy. The Border region with Mexico they've turned into a drug field gang area. MS-13 out of El Salvador has destroyed the inner cities in our country. We now have so many people that refuse to work living on the sidewalks up and down the West Coast waiting for handouts right next to help wanted sign. We have the lowest unemployment we've had in decades and yet we still have people living on the sidewalk because they expect the government to give them something this is something that was imported into our country from a belief system of people that think the government should take care of them. I do not Blaine do United Kingdom for trying to get rid of this disease out of their country. I know that seems rough but the last time I remember in our country that we Face tyranny the American people took up arms and drove them back out that's what these Asylum Seekers need to do. You overthrow your country if the country's not the way you want it. We need to arm the Asylum Seekers and send them back to their country to get rid of their dictators,7 hours ago,Michael Maxfield,UCvmq9TQfO8-wqOBJGSq_HOw,0,https://yt3.ggpht.com/ytc/AKedOLSmjMBPuPlJTM7DxAAtw_vJaoVcjDBFq_4YnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOfHXO0CyW3dNrY8d4AaABAg,Where is palki sharmal I miss her,8 hours ago,Jahziel Serrano,UCFWT_uGcdIHInGyBtTDsSdw,0,https://yt3.ggpht.com/ytc/AKedOLRiNTvzjFhgK-SZROw0PvtVHkXDoMtgWAVLEkSfCo5AwCrVQqCE5JyEi6MF60X6=s176-c-k-c0x00ffffff-no-rj,0.0
