cid,text,time,author,channel,votes,photo,heart
UgwV6dKtjpK_fq2eWyJ4AaABAg,"I find it a bit racist to say that ""China exported the Wuhan virus""",28 seconds ago,igor,UC82xFuuPiD_KrkS5N2aEuiw,0,https://yt3.ggpht.com/ytc/AKedOLReSGuSZ4NIU9KzdeyctCPNGktAwBycoxXGvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxewA5LuuhFxI7EtWd4AaABAg,That Bretton Woods deal has hurt the whole Third World.,2 minutes ago,Coding,UCmzaHRPnleehODdrS-akC7w,0,https://yt3.ggpht.com/ytc/AKedOLSoZ9swqW0gVCYat4NSTj5OUzduEFmwAdUVXPWbXUmFWZ96-aP4osj9r-Bs9Mbr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_eMMtT6hQEr96RQl4AaABAg,India will face the same fate due to the way their treating their minorities esp Muslims. Karma will make them pay.,3 minutes ago,Bright Future,UC_HY1JcmAGej9p9IXJCKyXA,0,https://yt3.ggpht.com/ytc/AKedOLRDWlnUeJFQtpZRjLjcYNmADTGK79Fg-37d50P2lhkmWSTr8G467Ux8htQnZeIy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3PfRF3qKTRVB4BmB4AaABAg,This is very accurate salute to you maam,5 minutes ago,enjoylifeQatar,UCKaJxDLH0gLVDRIGnnw4NMw,0,https://yt3.ggpht.com/ytc/AKedOLQT5yTG6ZEfxfMZ6tvD8qdAagzKna0zQIvHy9sWeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAjWEZS22MIXiCvY14AaABAg,Sadi,5 minutes ago,Sanjay Yadav,UCq8l_FZqPorw0B4qLnSZ17w,1,https://yt3.ggpht.com/ytc/AKedOLTbcQ9BG6IQlzcEMC-9wRd11wN-seaT9UgcZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyLpg6J0Yosf_hlsd4AaABAg,"Moral of the story:
Never take a loan from China!",5 minutes ago,Tasha Gray,UCI0GsFhHTM5Ww91hNu1aH1g,0,https://yt3.ggpht.com/ytc/AKedOLTEo6B9vgOi2HYUCzjTCKyGegllvFDm56LVGuQV3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuecigoIBTtqE2mLV4AaABAg,New democracy important to build their country and world have bigger problems,6 minutes ago,MALAYSIABABIBANGSAT RAKYATBABIHUTANPARTYSULTANBABI,UCo3wy0Oz0fHR26V7QL0YnXA,0,https://yt3.ggpht.com/LCF87MheO8zpa1sw_CH2mDzje5QXguIwoaIdRmUZcp-EkFiBvMoAajIPTZ6QUBCh7YrXNdmH2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIFvf-cTBMmQaOiwl4AaABAg,"Sri Lanka needs grants, Maybe it will organize its economy.",6 minutes ago,Brian Abrom,UCyAU7Fqh7hsK39shcEAxrzA,1,https://yt3.ggpht.com/ytc/AKedOLR6P6Psb9Fd9UpZ2BqWcDogmOlxtqcIBbM-iQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfxMgTAbohb0ysHft4AaABAg,Chinese Loans helping Sri Lanka. 😍,6 minutes ago,Sourav,UCt-4OGzNz_j-6wmRIcJwPgw,0,https://yt3.ggpht.com/ytc/AKedOLSHqQFj3d_BYmpyesg2iD3fRBuduwwIKZv-DDfasg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxge6MW_jLQ_kJa0YF4AaABAg,Sree ki Lanka mein aag laag gayee,6 minutes ago,Bright Future,UC_HY1JcmAGej9p9IXJCKyXA,1,https://yt3.ggpht.com/ytc/AKedOLRDWlnUeJFQtpZRjLjcYNmADTGK79Fg-37d50P2lhkmWSTr8G467Ux8htQnZeIy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7eCgfRtMkFjLB-JF4AaABAg,Corrupt politicians + China = disaster,6 minutes ago,marabaya donx12,UC8vSegvBJ3Avh7UwJt12J4w,0,https://yt3.ggpht.com/ytc/AKedOLTADWlo1gCfZifoLHT7H1b91P6c6VNtAcVcZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzK9CjR0ALygiJLnVR4AaABAg,China is not  make bankruptcy it's politician the still  the money from  all the project and the Bank And more,6 minutes ago,vimukthi,UCOM5xY4DSt5Vu5HRHc43j5Q,0,https://yt3.ggpht.com/ytc/AKedOLQ6Swl05ISzHdmnoupFVBZVBlh6JbJT3Ad89lm5AR2A-zQ9mcj2ajXn6YY3Dljr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-77-4UzeprBM6YF94AaABAg,Country no gas oil come bigger poor education down and more under corruption and more to come show back this impact make a bigger down to come need show what for this situation and bigger tuk tuk taxi and more and small country,6 minutes ago,MALAYSIABABIBANGSAT RAKYATBABIHUTANPARTYSULTANBABI,UCo3wy0Oz0fHR26V7QL0YnXA,0,https://yt3.ggpht.com/LCF87MheO8zpa1sw_CH2mDzje5QXguIwoaIdRmUZcp-EkFiBvMoAajIPTZ6QUBCh7YrXNdmH2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMg0KG3CAyUdHKv8x4AaABAg,Lucid and trustworthy analysis.  Thanks Ms.Palki.,8 minutes ago,Ramakrishna Gunturu,UCRsz2-V0pGTOrEG5vomaeGw,0,https://yt3.ggpht.com/ytc/AKedOLTHu7tf1eg1Bclpq5md02f5MTWjK_03NwbZwJ1qGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfT9D76Bgaz4H3Rpl4AaABAg,Corruption,9 minutes ago,wisely star,UClGHNB6sbWQFV9MKi_30iCQ,0,https://yt3.ggpht.com/ytc/AKedOLRUh7ukdUNKqQee23QwRTJ1-teVmp7anDeVzQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpGexdyKTpix3jy7Z4AaABAg,"20-20 Bn $ import. 13 -15Bn $ Export. They used to cover up the difference using the forex gained from tourism. When that dropped, everything gone out of control. There are  only 2 ways. Either decrease imports and save forex drain. OR increase exports and gain more Forex. Until that happens. no matter how much money is given as aid / loan, they will reach back to square 1 after a few months. This issue was already there ever since korean war but everyone pretended like its manageable.",9 minutes ago,akshay pradeep,UChlfkPdTpISEJyxbirxzN9w,0,https://yt3.ggpht.com/ytc/AKedOLQ9ixeDaISbULulfEaEVuPjWhEu3C5qtwr7twzRdn0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCYNbD74AEJtgitiN4AaABAg,Lol I agree with you but India is also responsible this xD,9 minutes ago,Holden,UCVbDQRUCRB_aLQHYTL4Regw,1,https://yt3.ggpht.com/ytc/AKedOLSuw1We3Xt9uKozgqq4P-qjbQHwC6Wq1qbyVRevLg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTvG7XpT6xx4l4pWN4AaABAg,Srilanka  & their politicians are illerate  & want to become  reach with help of  China..........My appeal to Srilanka pls sell your country to India .....we can atleast sleep at night....,10 minutes ago,Jaideep Ghosh,UCsPXVgcGxAp4EoDlTngw1wA,0,https://yt3.ggpht.com/ytc/AKedOLQBqcOSoeBYhV9vWDoPNOHqCuICyVDVdiTk9Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7PnrjHHOfa1IITvp4AaABAg,Looking awesome with saree  ❤️,10 minutes ago,TK,UCMKBc4ubX7aLdulWGPtr3hA,0,https://yt3.ggpht.com/66sjWQRHpNXPwZYO0ZIEnbkrmgHrbY9eJiQw2RkwUdjsw3H1nx28LWY9-kXEgdBHJbN70ocH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1wET5NikCjd-bmoZ4AaABAg,She looks very nice in a saree.😊,10 minutes ago,MURALI MURAHARI,UCBjdax2G_GjQQQsWGzA2c8Q,0,https://yt3.ggpht.com/ytc/AKedOLS0-hskiCoFUe4XHyrTf5Is9OV1CsdLQadUpVAaQQAorYBdWfjErYRc4TrUN5Ji=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjFoANv0rO_BKE8lB4AaABAg,"Attire is different and looks good,being Indian",11 minutes ago,Palanivelu senthilkumar,UC6wS-FSYU8Em72B5PUqd8Cg,0,https://yt3.ggpht.com/ytc/AKedOLR2FkMha-eTyta2L0_YC0S3uWuJX0Znowl3vg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxusjZ1HZIvoBu8tG54AaABAg,"Ur presentation , par excellence ❤️",12 minutes ago,IDREES MOHAMMED,UCny0i2F4NTG957CBzSBOp7Q,0,https://yt3.ggpht.com/ytc/AKedOLQJcKcBhizyY1NsHkHDqpFPontHMmV32Q7RaA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHBkhd8TwyLkpETvl4AaABAg,"If India votes for Kejrival, this is what will happen... with all his freebies and communist policies...wake up people",13 minutes ago,jyothi devakumar,UCQmhLtoNiC6HIXv52p0uqVg,0,https://yt3.ggpht.com/ytc/AKedOLSyoEF5zv3rb3GF1AcYYqXcigpnM5sZyGwEmw=s176-c-k-c0x00ffffff-no-rj,0.0
