cid,text,time,author,channel,votes,photo,heart
Ugx8wMsSH2tSyN4JNGx4AaABAg,Chinese people having tast of Chinese medicine.. this what they traded for wealth & economy..,45 seconds ago,sandeep balkrishnan,UCCkBjGt1oMCpxjFZmR-MPRg,0,https://yt3.ggpht.com/ytc/AKedOLQtoqT_IIsZETDpSxGLLUuzKwuS6a9NNPaMyA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFEDOYpk_GEFDHMlV4AaABAg,Let's hope America isn't next,1 minute ago,Angel Pongrakthai,UC5IJbJXYa_LNsp78STCoT3g,0,https://yt3.ggpht.com/ytc/AKedOLT36wBHWujYMgYnr4Y3o0yLLRbkV1zlr-2rRTFZjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlBMGTjNNMc8KS19d4AaABAg,Stop eating animal,2 minutes ago,Pearl's Koffee,UCK3PK2AswAESmfL12vXrTAA,0,https://yt3.ggpht.com/ytc/AKedOLR6YfhgRUasSda8_RQ8ldNvwjHw8RvYzg7vJHOu=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcBKEBAxY65RXs9gJ4AaABAg,"Just a suggestion, the best move for those who protest and are assaulted would be to rip of the mask and face shield of people in hasma suit who assault them. Better to hug them. Let love and Covid spread😆",6 minutes ago,Jibber Jabber,UCdIRT_nmN5JkTkH8dIF2XeA,0,https://yt3.ggpht.com/ytc/AKedOLRf0feB9uuB9bg_fsI2oHRtLkGp8n2YGmVD3__jeQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJ3D00eXLg4lpzqeR4AaABAg,Where are the dead on the streets? Only those hurt by the police... N W O,12 minutes ago (edited),The Pale Horse,UC4ffQU1ROFbwQtOUBaaElhg,0,https://yt3.ggpht.com/ytc/AKedOLTqlbS4RNlP_6PmlsVpYCW_5oG4e03CCHCHrYry=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR6uERE4Q9azBcI-B4AaABAg,Coming to every country soon,12 minutes ago,Eyes Open,UCLKbkkZBr2tuw-W8wiam38g,0,https://yt3.ggpht.com/GThd8CL6JGF-ogOpCmFo6Kk4vw12zKZAEoAcPKZhRNr3AbGHvpmm_-rZsnXh3E6VpHq_Y15g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNNCl6KUMppPaLFbZ4AaABAg,"Encouraging ALL Nations to repent of our sins, turn to The MOST HIGH YAH, believe & have faith in YAHUSHUA HAMASHIACH, and keep the Laws & Commandments. Genesis - Revelation!",20 minutes ago,Shawn,UCDVBrnYBjnBcQi5jVoyBCoA,0,https://yt3.ggpht.com/ytc/AKedOLSbNLtxO9rGM0RGPDf_skV9tVHGpbx1ZnJsLSoLiA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxab_cjaQpgbEekN5x4AaABAg,There is no reason for this except illuminati control...so glad I live in Phoenix az...no one cares about that bs virus,20 minutes ago,Jessica Rodriguez,UCf8ZBzheiUTqOed2Sz8wNmg,0,https://yt3.ggpht.com/ytc/AKedOLTx9OAZxHQ7zg4zy2TuGirHghmE1kgPgEkvYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgydOL-R1ZADRe9Lpzx4AaABAg,"First covid virus developed by China biting back China again .
2nd Putin invading Ukraine 🇺🇦  have their tails beaten with their flagship battleship laying at the bottom of the black sea.
Swarms of bees going after soldiers and flooding of Russia looks like somebody higher up is helping Ukraine",30 minutes ago,Anna Solatan,UCyYEDsrR3KnTr2Vn_nXXCdg,0,https://yt3.ggpht.com/ytc/AKedOLTwyMzYxCpbkyVyLA9V0T_DlOjxUTijn6toMw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqoHthBfRNWceQ0Qp4AaABAg,"Aside from the 2020 election being compromised, if people keep voting Democrat, our country will be next. Yes, it will happen because the Dems want socialism, communism. It’s sad knowing many “woke” liberal college students don’t even know what the constitution & bill of rights is.",43 minutes ago,Mike Smith,UCTQebZnmdu4Jqvz5R_JNbSg,0,https://yt3.ggpht.com/ytc/AKedOLTDaqtIzBXTzBcmb4yzF0ACwumWW3yGCOTyzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWATLznTVaIMbCMqd4AaABAg,"First of all stop calling it a wohun virus that’s racist, xenophobic and wrong in so many levels. Ik it started from there but stop this disgusting mind playing games Kaur because that country has a rocky relationship with your country. Journalists and news channels shouldn’t represent their government or how they think. Shame on this channel and shame on that lady palki who thinks she knows shit and doing something so great with her slow English.",57 minutes ago,palpa tine,UCb8VUdOK2EuE8gaPKgSDm5A,0,https://yt3.ggpht.com/ytc/AKedOLSuil3_pqdmHA4lqiFSV4nLQyLkB-jK4R26XA=s176-c-k-c0x00ffffff-no-rj,0.0
