cid,text,time,author,channel,votes,photo,heart
UgzgWWiUYQAErECr9Yx4AaABAg,"Haha, instead declare that UK will put own white people first, rest can go & drown in English Channel
But, no, these white clowns also want a moral high ground as well🤣🤣🤣",16 minutes ago,Love Kanaujia,UCyuUb4wR0y53X8RNNEH6LGQ,0,https://yt3.ggpht.com/ytc/AKedOLQklzeGvc0OVxeB_SqG77UV6YpAzuCfPkjaiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgymWO0ttyyaJbBwnzd4AaABAg,BoJo is a giant assole.,17 minutes ago,Ayan Basu,UCf7gDItjBa0JnQI2Epi9s6A,0,https://yt3.ggpht.com/ytc/AKedOLQqOfR5AOMtuCnzxVBsKAeWWlLUMNLNV_bY2nXE8w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvvzfPyyAPWP9zSQt4AaABAg,Murderers of civilizations worldwide are now taken over by jihadist. Just few more years and all these will be converted by force...,17 minutes ago,ketan shah,UCYPd5aT3CynWSwYU3IDvc7w,0,https://yt3.ggpht.com/ytc/AKedOLQbp7-r4HKEFVv-bfF_E11jk_QH64D2repNrA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_1Lt8VDdEkqtEyod4AaABAg,"Innovative my ass, this is exactly Trump’s stay in Mexico model but in Africa and at way more expense. Hands are getting greased",18 minutes ago,Boris Buliak,UCGDFOgL11e-OPKpqZYF8p3A,0,https://yt3.ggpht.com/ytc/AKedOLT2nN1aMkzRlZbldgtJRPkHA5MxMo9FnLJm5Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXgBcYRpuAtF3B6m54AaABAg,But Rwanda is overpopulated anyways! Why would they take asylum seekers?? There must be a payment per person. Bringing back slavery...,18 minutes ago,Willem Van Riet,UCAwNtDeA82JEvYD8Ra0Yh0A,0,https://yt3.ggpht.com/ytc/AKedOLTYf5PZCkWg3vu29YbiYjC5lXMzHNAy4zhbguc5kQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyScWlFsSNK3oJgM8p4AaABAg,The empire is alive and well I see...,20 minutes ago,Willem Van Riet,UCAwNtDeA82JEvYD8Ra0Yh0A,0,https://yt3.ggpht.com/ytc/AKedOLTYf5PZCkWg3vu29YbiYjC5lXMzHNAy4zhbguc5kQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAJqvlB1oeYMFR6Ip4AaABAg,Did Priti Patel forefathers went to UK legally or illegally? She is trying to lick the most about her British masters!!,28 minutes ago,Jahney Chriast,UCpdzW-lyiTuDdtpR3ruKIzA,0,https://yt3.ggpht.com/ytc/AKedOLS04VJFPTnoR9Qe74N1PjevQUk49zYYrnLPvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyOeGZIwniXHnlw094AaABAg,"​@UCE4WF2PJXVd3-r3B7hXLW3w @Mellow Monsoon .. oh, did you say my education has failed me??? Honestly can remember amidst all the nonsense you spoke. You certainly don't aspire to scientific thinking if you can't even acknowledge all the atrocities that India commits against its own people",47 minutes ago (edited),Christine Weir,UC6sLU8bGIt9bSqNhbSlXC4w,0,https://yt3.ggpht.com/mIIIg1aX1KSNPYqWv0HxYWllIhcxaH6ZrK30l5aTQuEoLgctuWyjOt-ZYpaewstTPBs88ZSS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxoj_yWBXkLqOfAYW14AaABAg,So this is perfectly acceptable from human rights point of view?,49 minutes ago,Irin,UCK-38EbdIy9LU2L27Bgb3Zg,0,https://yt3.ggpht.com/ytc/AKedOLSwe-F9xprZwwJmtUt7ULmkE6aS7HjpXsAZEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmaJ5i_l5tPgFkNQN4AaABAg,"Hoping no Austin Closed the dial.. in case.. hoping at least the East India Company was left out from this buisness...
If only Parisi could stop sharing..",53 minutes ago,Antonio Pacelli,UCURSg2h9I_vEEomW2m7DfWw,0,https://yt3.ggpht.com/ytc/AKedOLRbaHw1igpX1ZU5637pbYxUICV1jwqRVBu3Y2aR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvKrCFlFZpG-tNJC14AaABAg,"Sending their terrorists operatives used in Afghanistan and Syria to Rwanda ??
The asylum seekers should stay where they find peace.",54 minutes ago,Uganda Life.,UCmuW4djY2P18g9QxVYyngxA,0,https://yt3.ggpht.com/z9MiLRqYST5wqwccPdWC4gvLMBiF1hpqoW1jaIK4rqYF7zLgiYF7fr3k_X_rRofHuFLNu6aIXMY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzP4dCglgaBWNxpV0J4AaABAg,"I don't know anyone who is outraged about this, apart from the lefty media.....",55 minutes ago,dan dare,UCbD8lFkqI1vlClETcLMgPQQ,0,https://yt3.ggpht.com/ytc/AKedOLT39w2lQprh4H9lAKhs5akkzUSY8Om5q9vNm-tA9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAovdvpesQSKDoPkZ4AaABAg,"You can bet the Rwandan president receives a tidy sum per immigrant under the table.
Congrats to preachy UK for finding this underhand way of dealing with human rights of a miserable people.",1 hour ago,Kamal Hans,UCXKjz37BTRQeYhFqulN7Wjg,0,https://yt3.ggpht.com/ytc/AKedOLRcsU8GmeWSznbQTKXYAZUAC3ftxZ-1EYIQM1n-9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmoubBKW7vKpsduj94AaABAg,"What's the fuss ?  The illegal  migrants have no right to arrive  on our shores!! and exspect to be given money, homes ect...We never invited them!!  Anyone who thinks  it's wrong must be crazy""  Why should they  be allowed to invade the UK....",1 hour ago,Kyia Krishna,UCQoDUL9QzjJE6vAw_ddyd8A,0,https://yt3.ggpht.com/ytc/AKedOLSifgMI_vUYvBnuPaccEVab1CxnBhZpNCAOor9amfkmUq4NOu4aUmnh5pZPNTRm=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzbpal8l4emK6iFpaN4AaABAg,"People have got this all wrong the intension is not to resettle migrants its just meant to make the journey 9,965.2 km longer.",1 hour ago,Eman G,UCIuq9eCsSpE3pPKXqQneBKw,0,https://yt3.ggpht.com/ytc/AKedOLTd8qaCAjKkJYKYPZYGKkY0xlBjdH_blMqLvA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxfguwy1P6l4uaBY7N4AaABAg,"shame on Rwanda for taking migrants as commodity. Africa's leaders like Paul  Kagame, says one thing and does the opposite.  It's expected to mistreat their none white migrants in Europe,. what UK is doing the fast way to free up space to their prefer migrants.  I'm more disappointed with Paul Kagame government. is Paul Kagame puppet leader who is free to say what he likes as long as not implemented?",1 hour ago,Misha,UCuf_l-LHXLG7QDuxsGt5zTQ,0,https://yt3.ggpht.com/ytc/AKedOLR4xn_r05eZzY3ZIXuVDwFrn_M0JVH2lrTlgKU08Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAEt1372Sn7UAqdwZ4AaABAg,"this is only Africans I guess , not white.",1 hour ago (edited),Pincode Chuks,UC0jF5voOCmDVj_PlMA1uvjw,0,https://yt3.ggpht.com/ytc/AKedOLRu326Xag6wMxuPibD9gK-XRuPn1icU-ctUIw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUE7Gtt5mJGARFcQB4AaABAg,Good on UK !,1 hour ago,Annetta Jensen,UCWBSpKOvbxbewoA7ZvjGYcg,0,https://yt3.ggpht.com/ytc/AKedOLSYge_DhEuG3FMVMVDb-NAUIIy8wdGWc2STkEfn=s176-c-k-c0x00ffffff-no-rj,0.0
