cid,text,time,author,channel,votes,photo,heart
Ugyr_uWgMj_BV33WikZ4AaABAg,Whole country is worse than a circus,14 minutes ago,Vibhu,UCk8yNfzo9wh2lHYuORi2lBA,0,https://yt3.ggpht.com/ytc/AKedOLRndeUhPDKP23Hr2zEosOSR5ZTkiTpKyiAvzNXziUY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSKpqM1qCIsZ1OcBh4AaABAg,where is palki when you need her 🤣,18 minutes ago,UTKARSH RAWAL,UCCar7W8Oh7cFclTNwtpx2JA,0,https://yt3.ggpht.com/ytc/AKedOLTVRmNRDy4JRLA3QuKfdibJ9Als1G3hiK_pWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTrMF39qj15CuSKlt4AaABAg,2:26 what was that 🤣,20 minutes ago,Manorama Sahoo,UCX1j1yF_w4gOxWeyHc0NE0w,1,https://yt3.ggpht.com/ytc/AKedOLS5jOvH7IBKrnlmk5PqDgNeBnrImslBZ3XKSYJb6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyK8prGvV-ufOrVYR4AaABAg,doesnt fawad hate wion ???,23 minutes ago,Ayaan Mukherjee,UCMGlhnxw63is9l-6pDzUvYw,0,https://yt3.ggpht.com/ytc/AKedOLQwgYAwOvxxMC-M2g7xW3Pvvz63dwbAQtp4wQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMy7G7NcC-ZA3Yz0x4AaABAg,"Exclusive interview with jokers like mawaad ! What's wrong with you, wion? Maintain your standards !",25 minutes ago,SxK Cinema,UCfM0pnVkqGJH0lLbmXlOlKQ,0,https://yt3.ggpht.com/ytc/AKedOLT_Vc4zXA4r5CEMiZPBgA0dt1LylKPibvBr2-6M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3bePhJ82TSPK6fVB4AaABAg,"WION's new show-"" Comady Nights with Fawad""😂😂😂😂",28 minutes ago,Pushpinder Badoni,UCcs6QC59LAQ1pHv0Jyamb2g,1,https://yt3.ggpht.com/ytc/AKedOLSJNOpZ88sMif7PDwnYMxqKP_R3PYtLbETHgQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzpv6w7cTLTdOTghAx4AaABAg,You call this journalism?! Sometimes I wish Indian media was half as neutral as Pak media.,32 minutes ago,P S,UCH4MzwId6LI0wiVjmIjzTng,0,https://yt3.ggpht.com/ytc/AKedOLTDeDyEq28CDbh4Wa2FQi6bPr9U-sdwjqFqzRbqMg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3wJPTy8LhNe2XeHR4AaABAg,How do they have 11 billion ? Whereas nice country like Sri Lanka is defaulting? It should bd other way around,36 minutes ago,Chirag Mehta,UCf0VY-DtuOqq3w_BiDNZVYA,0,https://yt3.ggpht.com/ytc/AKedOLQM3vJ0Pay6ME4rAHzyY7DS42BwUGfwUqcxuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYIYOeefuKwr8MWzV4AaABAg,"If country like Pakistan uses Nuclear Weapons then blame USA for this,

CIA knew that Pakistan is working on Nuclear Weapon.

And the crook AQ khan stole Centrifuge designs while working in Belgium.

Not only that but AQ khan with the help of Pakistan government sold Centrifuge designs to Iran and Libya..",41 minutes ago,Rusty Shackleford,UCNpThIT3MPdFm8LeKAKUutQ,0,https://yt3.ggpht.com/ytc/AKedOLTVr6sk19NXdb97DmglHnkmssTWRAAnp_Rl6tPLoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVP1nxKqox0R7YJUB4AaABAg,"this pig, banned wion and giving interview with wion itself",47 minutes ago,vyuha karta,UCBP7mpG2wOBCz4vGZ1ZY60w,0,https://yt3.ggpht.com/ytc/AKedOLSOnsxa6IbwLgpNGPBsjEsjJGIMvFxGualQhCi0=s176-c-k-c0x00ffffff-no-rj,0.0
