cid,text,time,author,channel,votes,photo,heart
Ugx9Y6GT8YRJEi-UNMx4AaABAg,Please IMF reject Sri Lanka's request. Only then will these ravanas learn the true value of money.,5 minutes ago (edited),divyanshu bhandari,UCnQgkltk3g4BOjlRqfy5lBw,1,https://yt3.ggpht.com/ytc/AKedOLS8o58_i-kUNcr7Rhl6r3cGEXDvYyRzxMDzMg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_h5H_uakVr7FYPTx4AaABAg,It’s time Sri-Lankans take a leaf from French Revolution.,24 minutes ago,Yuuri Shibuya,UCpcP2R2POdt2Cr8fscKHyqw,0,https://yt3.ggpht.com/ytc/AKedOLTUeorK6fMHOOV_RH8sV6nF0vobRFxc2JzRI_nx=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE9WCuQRTiNSDYuI14AaABAg,Pm Modi first reduce inflation and give food to hunger Indian do not become humble doner,25 minutes ago,Sarvang Thakar,UCqdM7K_Uh4gmoAyyBFwdyrw,0,https://yt3.ggpht.com/ytc/AKedOLRg62EpcZaOwRj0e7f97NS-BOBNF3HBykGE7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_sBary5hSBzMjv354AaABAg,"India should keep its OWN National interest at the forefront.
It's a sad situation in Srilanka.
Rajapakasa MAY take a U turn once they are out of trouble ..we seen that in PAST

Ask China to take a Hair-cut 
Where were their head when they borrowed from China @ such high interest ?",28 minutes ago,SM,UCBLTORp8MBuXNUmqBPBc3qw,0,https://yt3.ggpht.com/ytc/AKedOLT0duphb8d5ybMLDRjcc40mNrzQYlPdxemL3HFv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVJAp0jyUP4nrm6PF4AaABAg,Corrupt govt eats money and asks investors to get ready to take a haircut. 👏🏻👏🏻👏🏻👏🏻👏🏻,28 minutes ago,Yuuri Shibuya,UCpcP2R2POdt2Cr8fscKHyqw,0,https://yt3.ggpht.com/ytc/AKedOLTUeorK6fMHOOV_RH8sV6nF0vobRFxc2JzRI_nx=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLn_pwvb1OfZribIF4AaABAg,Myanmar and Nepal also should make a deal with Belt and Road Initiatives lol as Srilanka and Pakistan are already enjoying with the devil's plan.,33 minutes ago,khkeyho,UCywvZja_ZOPw1WoYpt17F6A,0,https://yt3.ggpht.com/ytc/AKedOLQNChkyZA9ThDEbpR4IR8aVqJb7Bs38fwnqyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsA-Hrau2cH9M98a14AaABAg,China s hlp mang lo ab 😂😂,41 minutes ago,अंकुर गुजरे,UCIt3lJn04f8Hq-kyk0V5LZw,0,https://yt3.ggpht.com/ytc/AKedOLToa8wTNrc_5ZDYNv08CyhDOiEQyTBTlqOsXQYVbw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0TitJpA3Lpbe_YJV4AaABAg,Join the Indian union and all your problems will be gone in a jiffy.,50 minutes ago,vikas varma,UCz3iKfaNczlWu_fyKH7E5Vg,0,https://yt3.ggpht.com/ytc/AKedOLS5BapkvsyrPx1FmX3giWPWLUr6J-SaMWj6c9exag=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQlZ-aCCRNht2KV7N4AaABAg,"FROM THE TIME OF ITS INDEPENDENCE FROM BRITISH RULE, THROUGH ITS NEGLIGENCE,  INDIA WAS INADVERTENTLY BEHIND THE LANKAN CRISIS WHICH TOOK PLACE ONE AFTER ANOTHER IN CEYLON.

BECAUSE OF ITS CLOSE PROXIMITY WITH INDIA, THE INDIAN SUCCESSIVE GOVERNMENTS HAD A MORAL AND DIPLOMATIC OBLIGATION TO INTERVENE IN LANKAN AFFAIRS AND ANNEX IT WITH INDIA AS A STATE, AS SOON AS POSSIBLE, AT LEAST FOR THE SAKE OF ITS OWN NATIONAL SECURITY. 

BUT, BECAUSE OF THEIR SELFISHNESS AND FOOLISHNESS THE INDIAN POLITICIANS REFUSED TO DO SO.

LOANS TO LANKA IS NOTHING MORE THAN DONATIONS, BECAUSE, IT IS HIGHLY UNLIKELY, THE CASH STRAPPED LANKAN GOVERNMENT WILL EVER BE ABLE TO REPAY THE LOANS BACK TO THE CREDITORS. 

TO PUT IT BLUNTLY, THE LANKAN GOVERNMENT IS IN A PRETTY SIMILAR SITUATION AS INDIA, WHEN THE BRITISH EAST INDIA COMPANY OFFICIALS LENT MONEY TO THE CASH STRAPPED INDIAN MONARCHS, WHO WERE UNABLE TO REPAY THE LOANS. 

AT PRESENT, THE INDIAN GOVERNMENT IS STRUGGLING TO BRING DOWN THE RISING FUEL PRICES AND GENERAL COST OF LIVING, HENCE, NOT IN A HEALTHY FINANCIAL POSITION TO CONTINUE DOLING OUT LOANS TO THE LANKAN GOVERNMENT. 

BESIDES, WHAT MEANINGFUL RETURN THE INDIAN GOVERNMENT GET FROM LANKAN GOVERNMENT FOR ALL THE FINANCIAL HELP IT IS OFFERING.

 INDIAN FISHERMEN CURRENTLY LANGUISHING IN LANKAN JAILS CAN ANSWER THIS QUESTION QUITE ELABORATELY. 

WITH A CLEAR VISION FOR THE FUTURE, THE CHINESE ARE HELPING THE LANKAN GOVERNMENT ONLY TO TO GET THEIR FOOTHOLD IN LANKA. 

AS A FIRST STEP, THEY MANAGED TO BRING HAMBANTOTA PORT UNDER THEIR SWAY. 

UNLIKE THE INDIAN POLITICIANS, THE CHINESE POLITICIANS ARE QUITE SHREWD AND THEY WILL. IN NO DOUBT LOOK FORWARD TO FURTHER ACQUISITIONS IN LANKAN SOIL, WHICH CAN BENEFIT THEM IN A LONG RUN. 

IN SHORT, SLOWLY BUT SURELY, THEY WILL SURPASS INDIA IN ESTABLISHING THEIR AUTHORITY IN LANKA. 

IF THE INDIAN POLITICIANS REALLY WANT TO HELP LANKA WITH ITS CURRENT ECONOMIC CRISIS, LET THEM ANNEX IT WITH INDIA WITH OUT DELAY, BEFORE IT FALLS FURTHER INTO THE RISING CHINESE DEBT TRAP. 

THIS CAN, IN NO DOUBT PUT AN END TO THE INCREASING CHINESE PRESENCE IN ITS SOUTHERN BORDER. 

BUT, WILL THE INDIAN POLITICIANS HAVE A VISION FOR THE FUTURE. IT IS IN EVERYONE'S GUESS. PERIOD.

ANYBODY WHO DOESN'T AGREE WITH THE ABOVE COMMENT CAN REPLY BY ALL MEANS.",55 minutes ago,Sam Sams,UCNHrKtWb23MXqmtR11SulDA,0,https://yt3.ggpht.com/ytc/AKedOLSvPg5dtnIBRCgPwSdKIlWmhY12NVwgS2QbCA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8wzt_KYGWyQSamdR4AaABAg,India shouldn't help. India should only help its people. Let the Western pigs help them,1 hour ago,Jack Faulker,UCXwMisMVf9BqvBCa2vuU9bQ,0,https://yt3.ggpht.com/ytc/AKedOLSGjK5Xt2Oww3SqpOLDq3pALK_NO_7IAQPEFw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOY2Q-ty9-NWnON9h4AaABAg,"India should support srilanka in every possible way, rice, wheat, minerals, fuel etc. Provided srilanka becomes permanent part of union of India.",1 hour ago (edited),Sainadh Satya,UCWHSj8VEItNkUBt75WuNtRQ,1,https://yt3.ggpht.com/ytc/AKedOLTGMkDmhvkZLb3xbbRK7oyaMoRaVpypOsVxXO978w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR8G_6kgKVTqBgXtB4AaABAg,Is there a way US can just disappear from the map?,1 hour ago,Giddyupman,UCk6o4iyZGc1997Jz7CYUe0Q,0,https://yt3.ggpht.com/ytc/AKedOLQU42JYgp6G1JbpHC5Nxafa21-vCCPurMsHMQKUAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJA8h_O3nx4zvTYVx4AaABAg,"Never ever milk a venomous snake.If done, it will bite you back. Now, atlest we can see Lankan Navy not shooting Indian fishermen because their guns are empty of bullets! 😅😅😅😅😅",1 hour ago,mudaliyar nz,UCNMVWcXJfo3elTlkrC7mwwQ,0,https://yt3.ggpht.com/ytc/AKedOLRuZ0gB7W8d8PMj4rwsn_rgiESpJXb_yU5ecw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxhj8EfqyY2tAlzu3d4AaABAg,"Who in their right mind lends money to anyone who is known to NOT repay their debts??? 
It doesn't take much intellect to work this question out.",1 hour ago,Annetta Jensen,UCWBSpKOvbxbewoA7ZvjGYcg,0,https://yt3.ggpht.com/ytc/AKedOLSYge_DhEuG3FMVMVDb-NAUIIy8wdGWc2STkEfn=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMD9MEw7TdvC_-D3p4AaABAg,"Putting off the inevitable.
What happens when that borrowed money runs out AGAIN ?
Obviously, loans are not the answer!!",1 hour ago,Annetta Jensen,UCWBSpKOvbxbewoA7ZvjGYcg,0,https://yt3.ggpht.com/ytc/AKedOLSYge_DhEuG3FMVMVDb-NAUIIy8wdGWc2STkEfn=s176-c-k-c0x00ffffff-no-rj,0.0
