cid,text,time,author,channel,votes,photo,heart
UgyMMMmZYVyC0KyaMi54AaABAg,I am really Blessed by the Grace of God because I am getting increment daily so for me no inflation no killing of increment i am here safe by the Grace Of God. My God is supplying all my needs.,3 hours ago,JOSHUA IMMANUEL,UCurTDatKWZ3x-hs8gzHIyuw,0,https://yt3.ggpht.com/ytc/AKedOLQFdcxoROd7FyY8QBh0cRrxMhZQZLqTEkx8Jo9x=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNCxXKyeotEnzXo1J4AaABAg,Send more weapons please!!. We are winning here against the Russia!!! Together we can do it!!. Ukraine is free for US. to investing your own future! I will win the War!!! and i will give all Russia oil to US. government. Thank President Joe Biden! Americans beloved man! Thank you for take care Ukrainian people!!😀,4 hours ago,Volodymyr Zelenskyy,UCdfPzyGkF0ucPuD24RiwNAQ,0,https://yt3.ggpht.com/ytc/AKedOLQhcPj53bfPeZ04_pZ8Hq6njPALZgaIKOqLX6Q3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSj4QGqCACUIW90ap4AaABAg,Borders are opening. I love my job but I'm seriously tempted to to take foreign work again.,4 hours ago,Cuckoo Nut,UCMrArLn2XkPvPP-AeU_sjlQ,0,https://yt3.ggpht.com/ytc/AKedOLS36hNOUsGFesqg5htL47BxQm6yBC0Tgxg_Tfac=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUg0VgpN53XhOwf9N4AaABAg,EVERYBODY is reaping EXACTLY what they sowed. ZERO EXCEPTIONS. ZERO EMPATHY.,5 hours ago,John Doe,UCNFDUULrXkMRz3FKKligYFQ,1,https://yt3.ggpht.com/ytc/AKedOLS_QIvF4fxhZQ26QuqY6aGlI-nIEfwCp7CO1NPWqRPI8MJkad9D_-y6t2Gzyd4S=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHJy5GziD9LQEMhCx4AaABAg,Difference between China/Japan & India. We work harder to punch out the numbers. There is no go slow program in our hearts.,6 hours ago,Garry Lum,UC6YbqeLK1GF6CcFVEmUPP4A,0,https://yt3.ggpht.com/ytc/AKedOLTER1p3Wmkgc03tHcJ5LpRdahdy6qjeFLmnQQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9o47o4rU198WUSPl4AaABAg,Companies like TCS gives 1% increment whereas inflation is around 7%..,9 hours ago (edited),Gen-Z Multibaggers,UCg4rIDEtF0Fg7Zid2kXcWQA,1,https://yt3.ggpht.com/ytc/AKedOLTP4Ta_Va1ArnvYII8OPY2m8Ica5C5wyC6Bm4snuVSnVDiCOVBpJHx8qX3AkvOX=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyhp38eVrgxViRnuK54AaABAg,"in india they will increase roughly 10% which will reflect as not more than 7k monthly pay . so employees alway interested in resignation than appraisals. 
employer always prefers outsiders than own team increments 😂😂",10 hours ago,Rahulk Naina,UCIP0ckAsb2GsNHMbn5sJaGg,3,https://yt3.ggpht.com/ytc/AKedOLTWfCzpc-TglV6Bp33A3XrC1XjvtxjW0EQcqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAIhF6Jc_hVhfxycp4AaABAg,"Who knows why? Where have you been actually?

A World Depression is Evident. No escaping it. How does one prepare?

The TRUE Climate to Change your desire to be here.",10 hours ago (edited),iNdUsTrIaLrOcKeR4U,UCQI29ZxOZc83R7_8FOMfroA,0,https://yt3.ggpht.com/ytc/AKedOLS2FlwAl3BoxIX8qT9WMTotL1Dv676jW8VJBtYJ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_pjFArRMuYrCIVYt4AaABAg,"Advertising has us chasing cars and clothes, working jobs we hate so we can buy shit we don't need.

Chuck Palahniuk, Fight Club",11 hours ago,raju guide,UCGgMtBGw3uaM1gxcYVRtfhw,0,https://yt3.ggpht.com/cw_2LK-24vCJBHHc6-dXrg71sFR-sMXJes9pRzAE5sA-G8j28dvnCUxe23vojv6tNDm4ByHo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw712SZ-LUon505jXJ4AaABAg,Everything is soo damn expensive 😶Hard to survive being a salaried person.,15 hours ago,Ps,UC8HzYUq981h74DzvL-ST4DA,0,https://yt3.ggpht.com/UOJ9XBZ-Xtw1-ovZhXBhj6xqxJDQiWrvO8BF6xkXoKF7V6fdDtpy_N00V80pm1_g0n8MH5xMQNg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl_s5ecrX5KAWb3at4AaABAg,America 😡😡😡😡 helping Ukraine makes world suffers more,15 hours ago,Dev Sanjay,UCVJVpsqFSbe9SPtxoqaTAoA,0,https://yt3.ggpht.com/ytc/AKedOLR0sAgTKLPMjWKk_OmNLHLqEE7_5lIx72_VAMI5lg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxrd_fNJiWiS4BJgut4AaABAg,Season for hardwork,17 hours ago,harsha vardhan,UCtojLaUWNH-nUILEtuqajrg,0,https://yt3.ggpht.com/ytc/AKedOLSC1xRdfcIUXhQadmsqFjuL1N4fE-t6UivCqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgLuHQFfpVHQTJJg94AaABAg,😞😞😞,17 hours ago,harsha vardhan,UCtojLaUWNH-nUILEtuqajrg,0,https://yt3.ggpht.com/ytc/AKedOLSC1xRdfcIUXhQadmsqFjuL1N4fE-t6UivCqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2xaVgbwpycRzxN0J4AaABAg,"Acts 20:21
King James Version
21 Testifying both to the Jews, and also to the Greeks, repentance toward God, and faith toward our Lord Jesus Christ.

*Did you know you’re part of the ultimate statistics, 10 out of 10 people die. One day your heart will stop beating and you will be dead! The Bible says you’ll then be judged by the holy and righteous God who created this universe.(Hebrew 9:27)You’ll be judged for every word, thought, and action in your life.(Matthew 12:36-37) Will you be innocent or guilty?

*Let’s check the standard, the Ten Commandments. Have you ever lied (even a “white” lie)? (Revelation 21:8) Have you ever stolen anything (value is irrelevant and includes downloading or copying movies illegally)?  If you’ve lusted, you’ve committed adultery in your heart. (Matthew 5:27-30) (1 Corinthians 6:9-10)

If you’ve hated someone, the Bible says you’re a murderer(1 John 3:15). If you’ve done any of these things, you will be guilty, and end up in Hell. God is perfect and He hates sin, but He sent His Son, Jesus Christ, to die on the Cross to take the punishment you deserve. Then He rose from the grave – defeating death. (Luke 24:46-48)

Repent (turn from your sins) and trust in Jesus Christ to receive forgiveness and everlasting life. Read the Bible to learn about God and how to live. (Acts 20:21) 

*Do God’s will, plan and purpose in your life; these are above and beyond, immeasurable compare to your grandest dream.

* We obey God’s moral law the Ten Commandments because we love our Lord and saviour Jesus Christ, the Father and the Holy Ghost(John 14:15) (John 14:1-6) (John 14:16-26) (Mark 12:30-31)  with all our heart, soul, mind and all our strength, and we believe and have faith in Him; also we Fear Him with reverence with deep respect. 

Job 28:28
King James Version
28 And unto man he said, Behold, the fear of the Lord, that is wisdom; and to depart from evil is understanding.

Living water.",17 hours ago,Repentance: The Missing Link Of True Salvation,UCftMPdejAFv49FnDhUDKyqA,0,https://yt3.ggpht.com/ytc/AKedOLQHpp_5bBRBWs3ITjpV_7Lh1gs5skCVpQinqye-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcSbWCzY7qS7xRKMR4AaABAg,"Rejects AFSPA, abrogation of articles 35A and 370 in Jammu Kashmir. Demand plebiscite as per UN outstanding resolutions.Rejects AFSPA, abrogation of articles 35A and 370 in Jammu Kashmir.",18 hours ago,Golden Shamrock,UCaHAV45uQ5Oxj2tepU_PTGw,0,https://yt3.ggpht.com/ytc/AKedOLRKP3lKdlOn6JxUOoUEhh7LsUppjfyA5QmIjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsCa611_SZN4MjJzJ4AaABAg,"Thanks to ""quitting streak"" and evil ""vaccine mandates."" Somehow, that always gets left out of this dystopian scenario!!!",20 hours ago,vootamu1,UCWPirx3hbAgB9e9xKkNXaDA,0,https://yt3.ggpht.com/ytc/AKedOLRvqI5LJ11qo2RcgUQEsaaBZN6TjTV8e8U8d_fA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy89Td4jqBiHmhfEzl4AaABAg,I read this as spoil your excrement and was so confused,20 hours ago (edited),Tourmelion,UCCZcTJAUp82lcpC_yJMbWgw,0,https://yt3.ggpht.com/ytc/AKedOLSzXYhoEK2fwACAYlowfa16iXAUg3tA0rpGwUm5=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgS5hJSqWbI9CDq8R4AaABAg,Wheres is PALKI ????,21 hours ago,Dr Mengele,UCbCcWjMkOtyDBl1vDTWzs6w,2,https://yt3.ggpht.com/ytc/AKedOLQBrbofI-ICGgiV6MrbesLe6Pa59JfeNN0oJHE4DMP6BjV__yXBhve_od9xcDYc=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLOzkEf6jIMFbCa0F4AaABAg,As long as it doesn't ruin my excrement I'm okay with it.,21 hours ago,Margarita Magdalena,UCugg1TtppZtOJgQ8mYiCfnQ,1,https://yt3.ggpht.com/gEtSkMDJP3TWEzQHXYDBTO9VSO8Js83vxInKz_2GEyM1OEhYNKtcmpg-zvwIkkJ6IF9Mf9lR=s176-c-k-c0x00ffffff-no-rj,0.0
