cid,text,time,author,channel,votes,photo,heart
Ugx84o3DjyYf2bM0qsx4AaABAg,Don't politicize Harry visiting his grandmother.,1 hour ago,Witek Michno,UCm4nlmlEsxbCgrTUuO95yJQ,0,https://yt3.ggpht.com/ytc/AKedOLRtZc1xzLCCVSpqtIVdV8Uh41UQIqx5ctWpbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgycF44xKRq6V355lFd4AaABAg,"As Forest Gump's mother said, ""Stupid is as stupid does.""",1 hour ago,J C,UC4HoquoXJFoxtK-LV9biR1Q,1,https://yt3.ggpht.com/ytc/AKedOLQeefco9mzA7aQ0bYg_BzwNZx-K4sinPIRbjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwluGo9F_keRTKyCdt4AaABAg,Suits !✨,1 hour ago,Krishnapal Mori,UCyyAlxKSgFQNp5NY9AsyycQ,1,https://yt3.ggpht.com/ytc/AKedOLQgXXCyXE3gr4TZVv_r8OzRTClkVjB3jstelzRmSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoPywxS8AbZ5mWIvB4AaABAg,What a lie he is he wants his money for showing up at the Invictus games. He dose not give one damn about these people. Btw he was only a toy soldier. Y after he Betrayed his country that he should even be allowed to show.,1 hour ago,Sherry Dykes,UC1yL2m61X4PUsN4XnfIAC-w,2,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmOlhuKAhEmUpYFOV4AaABAg,Why even report on these two idiots.,1 hour ago,martytube821,UC8cuBSCHjs5hqSd8oot3oOw,0,https://yt3.ggpht.com/ytc/AKedOLSdnV8ryKCdLe-i8O5AznmSdd8qUYCiIieEpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQVMr9AOlZW6Mhrq54AaABAg,Always great to see our fav Royals. ❤❤❤,2 hours ago,Cher Del,UC9180jXP8mNtmAhbegGPrxg,2,https://yt3.ggpht.com/ytc/AKedOLStytOruIh_6vn4H5i0KLjvwjnv535utXe4r4NR2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpXrEaGBP0AmrELBN4AaABAg,Good to see the couple in public appearance...again..💖💖,2 hours ago,The Mother's Hand,UCn8sV89a8zhhkG4JtpIf_RA,7,https://yt3.ggpht.com/ytc/AKedOLQjENfpBvLA-JHDQsN3EfqRG-nbzM9hI68Kn0jG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdPGwLDjXieEANmrR4AaABAg,Calling him Prince harry when he left his royal title already is funny. He should be called Harry since that's his name and he is no different than any common man.,3 hours ago,Just Some Guy with a Mustache,UCHEKimK0xiJjcZW62gjlJ_g,5,https://yt3.ggpht.com/vVq2ZuRJe4WCPwEBnAsA_Gn9SKTjiFTEV9wLBBf-3z3HfQs3d1Q-dm8GFQds-0I1aGQB10bDRg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcTmV4iaV35l1bD6d4AaABAg,They haven't been missed.  They are vile the way they treat their families!,3 hours ago,Sparkle,UCGjMFzX9w_fqmJ1z-fAUytQ,0,https://yt3.ggpht.com/ytc/AKedOLSpZKhG6M5Cc_izMlq_6WJvy5h_bCVMgQrcOrRQBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG4fLHZoIRbjZRu1Z4AaABAg,"If you dont care about this games-INVICTUS GAMES, started by Prince Harry for wounded service men and women, then you dont appreciate the military men who sacrificed for your freedoms which includes freedom of expression.. and so you are to be pitied",3 hours ago,Iheoma Nwakpadolu,UC8djrlgH8b2qhm4e8CHMqkA,5,https://yt3.ggpht.com/ytc/AKedOLQQSD1nfT0K9UxVWGb0T_RJ5A2mqzkFznaupA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4ZFnhG_0Nxw1Q82N4AaABAg,Who is Harry and Meghan ?,4 hours ago,kaleen bhaiya,UC3R24zjWdki-lI6tlTtmzzA,7,https://yt3.ggpht.com/ytc/AKedOLTPCOSjbyXG_pwlf2zhG7H-6VqqAXIa2J-8Am7Z5Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOaZTxZ-7klv9TgWd4AaABAg,The grifters trying to gain relevance by visiting grandma before attending an event that will fill their personal bank account. You could have talked about the veterans instead. 👀,4 hours ago (edited),Carolina Hill,UCbdBcGyDHdE3QKsGz9S0Jbg,9,https://yt3.ggpht.com/ytc/AKedOLRCU2QYVl7lKgbGnSAnIoJLB2j2LwoIRxwYxiSmkw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlLr_IrQ-vqRWHZTF4AaABAg,White are racist will be,4 hours ago,fetri,UC-1qcItKdRl6vV6uI5IAuYw,0,https://yt3.ggpht.com/7Z_G--JZ8VZtqS4lDb4iazSVYRXw9rvHc-ICc86IpF5L9ozOLpSU3ArljoJ82T7Ne1v_kjJd8-o=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHyk7mlRB7kldLPZV4AaABAg,"Of course they will decline to comment..
The most leaks come from them...
This time, they were totally taken by surprise too..
Kudos Harry and Meghan!!",4 hours ago,Hephziba H,UCu3O1DEq3dQ7b7ypMqcHdwQ,7,https://yt3.ggpht.com/ytc/AKedOLRX4Avk2GQ94znANJbRfDwLGPfygtNDo8bBUw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugztu--VPjQWkmen68h4AaABAg,Who cares there no bodies now. You can't have it both ways. Get on lone and buy a ticket like Iike everyone else.,4 hours ago,Robert Sullivan,UCccz8ax-T0VkZOG6LZETRtg,3,https://yt3.ggpht.com/ytc/AKedOLRKX5L5bZMjRvBRzfdT84Mez5BdbN_DWC4OIQ=s176-c-k-c0x00ffffff-no-rj,0.0
