cid,text,time,author,channel,votes,photo,heart
UgyYEnmHeV4nVwT9URt4AaABAg,My fairytale only with hemsaroya in it...,7 hours ago,Ady iskandar,UCLD4sXUf8X58Xwr-1vBguUw,0,https://yt3.ggpht.com/ytc/AKedOLR8sIG4lnhi6hQAkBt8ZPGERLhbeSHzrJhEsw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6Df_AjFi9v5cXCT54AaABAg,I have seen this in stock photos and loved it. Glad to know the actual place 😍,9 hours ago,Sun Shine,UCO8_qY11APxjhwp3XmLlqdw,1,https://yt3.ggpht.com/ytc/AKedOLSikUGVGGsAwTHPMqS_xyigPe2gvN6F5_2pldag=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6KRwiS573UQ0T6th4AaABAg,No...sex transfer ...in any case.....,10 hours ago,Suphia Ahmed,UC6nttC00Taw8aAWqq6z25pg,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7QcRbn2jbrpx7oE14AaABAg,Beautiful 😍,10 hours ago,Lizzy Sony,UCfpe5la-lrTdrP0HYvF81Ig,1,https://yt3.ggpht.com/ytc/AKedOLTT6U--so2QrWV7uS3KA2DJ_cEV8svd-yPGlw=s176-c-k-c0x00ffffff-no-rj,0.0
UgycGKPsMw76eyV5RJJ4AaABAg,"Soooo beautiful, thank you for sharing this, it made me feel like I'm actually in that place.",10 hours ago,Gigi Salamangkera,UCQbAZR5QXipwimtvjEr4s1A,1,https://yt3.ggpht.com/ytc/AKedOLRwadxiP5YGb5dgp-XFdYSrl5rjLFFmSpoJgQIt=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-Bjd2-PW4UTBihdZ4AaABAg,😮👌💖,10 hours ago,Aa M,UC__e9HOhWL4sJMJ_oaRYD_A,0,https://yt3.ggpht.com/ytc/AKedOLQQrMzTJjUh21YsjBbyYkaMtgKhFq_G6Jk85xq8KQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcbOpI1CeZ8v-Obfx4AaABAg,Beautiful  ! Food for the soul.,12 hours ago,Kalyani S,UC_VByGC0IzFZNCKqNRtBvsg,1,https://yt3.ggpht.com/ytc/AKedOLT3kfRjZsjqLGNIht4lEoQO_FUqmKvHMgZ_Vw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzFgna0QvjYyMyNCIZ4AaABAg,Don't tell the Americans they go and start  shooting at anything that moves .. trample on all the plants and drive there 4x4 thew the woods chacing big foot,13 hours ago,Enfield,UCnHYwedYqmaR9SYtwp6kgYw,0,https://yt3.ggpht.com/ytc/AKedOLSpCyBG0O-xc7QwpH_gjT0cjwOjAo73g2tIl99SvA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6SOHuypL5NZwAzWt4AaABAg,Stunning and Breathtaking view 🤩,13 hours ago (edited),Krutika Shah,UCYXjz69JUlFI6P3QLaP1HTQ,1,https://yt3.ggpht.com/ytc/AKedOLRROTeInb0ed40rHHyj55hYwei3_GyArQf8TGmUKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqTGPvmfea70i5gXN4AaABAg,It looks purple to me! Very pretty!,13 hours ago,Sweetface Lola 💞,UCWOadvrS8Zmdc35OMELj4Pw,1,https://yt3.ggpht.com/bhfbZv1klY5ze4cIFcV6umKauv5NmSMSSVwj5dBibnOM8OJ2AOScMgY8Wm7DwT91TuLwyYJHkEc=s176-c-k-c0x00ffffff-no-rj,0.0
