cid,text,time,author,channel,votes,photo,heart
UgysG6AdmHRRTXBttz54AaABAg,"WION's judge to Criminal: Are you the culprit??
Criminal: No sir
WION""s judge: Okay, you're innocent.
Well done WION!",14 hours ago,Burn Knuckles,UCZFDSrHzPyMaxwlO4gkjyiQ,1,https://yt3.ggpht.com/ytc/AKedOLTZ_fHKoFMSylKqfF2k-PItv86u5RQtMcyfSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyqHSCjU5reTrMu-14AaABAg,WION full of shit this time,16 hours ago,Taj Islam,UCHM1X_cwdddoMPJwX7JOOUw,0,https://yt3.ggpht.com/ytc/AKedOLSTLtZi74hWtLEN37KfkRCRTwUh-HdXm3RN8uSUOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOOApyjpcWXBl18e14AaABAg,"Imran Khan, what an idiot this guy is, he started behaving like these radical Islamists, blaming the UNITED STATES for every mishap in the country. Is he trying to appeal to radicals? Until recently, I was impressed by this guy's dedication and love of the country - seemingly?",22 hours ago,Mac Dee,UCnIrKp_fd_mb83AczcjX5ng,0,https://yt3.ggpht.com/ytc/AKedOLRXQCKM5VCmKgV6GPxVom2x7Wznnuyls3K3dCwn=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiFDjOfvj8kziEmUB4AaABAg,Will the Army chief and Americans accept foreign interference? Please let use our common sense.,1 day ago (edited),Fido Did,UCVW8fUfy-ncTFYhgIK4UggA,1,https://yt3.ggpht.com/ytc/AKedOLSr0EayzjOggF0vTPIc6ywYJpJ0T0uH-JnCdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEPeXZsV-ejtPGSrR4AaABAg,Pakistan v/s Pakistan 🤦🏻‍♂️,1 day ago,N B,UCGZDF6_otc2PgblvZ-_HoyA,0,https://yt3.ggpht.com/ytc/AKedOLQ2wgToT0cc3DNDCgUDVSmfaDD_Pk20Y9JAfirOBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZWGowmxirLeymekd4AaABAg,"Pakistan last 75 years: India is our enemy 
India: Shows mirror",1 day ago,N B,UCGZDF6_otc2PgblvZ-_HoyA,0,https://yt3.ggpht.com/ytc/AKedOLQ2wgToT0cc3DNDCgUDVSmfaDD_Pk20Y9JAfirOBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhG9hrVSgZoObSKCV4AaABAg,"Never believe any politician who claims foreign interference.

It is always proven to be a lie and nothing more than a paper shield.",1 day ago (edited),Ge Mail,UC3XoJ77-jjW_cfK6z8rCrxg,0,https://yt3.ggpht.com/ytc/AKedOLRxHasE4fdR9WbHEDdEa3om6oi0axgpmNr2Hg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrnGbKeXeJ31A27-Z4AaABAg,"Yanukovych
Gaddafi
Saddam Hussein
Patrice Lumumba
Thomas Sankara
Salvador Allende
The Shah of Iran

Need I go on?",1 day ago,Darnnel Jones,UCLjUFN6y6W_t7XsF5-gwS8w,1,https://yt3.ggpht.com/RX_JgOa9g2qNaoAey1dfPbdVKaduPTCj5Z6jlJ04PYIcLvvohYTv6cP_OV8j0zQkajGlHKoRIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyZ2svoPhAvuyOwXV4AaABAg,USA is renowned for acting in self-interest and meddling in other countries internal and external affairs.,1 day ago,M C,UCcxdmSacaMlQgcLjWMj5Jbw,0,https://yt3.ggpht.com/ytc/AKedOLSC8F_OdrCq7zchFGa1t70hL0_P4IrARtGmPQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4cq1qQNol7OFnaxl4AaABAg,Imran should be charge for corruption.,1 day ago,jimmi hendrix hendrix,UCLq3Kwnajf8fXUmn8vnahug,0,https://yt3.ggpht.com/ytc/AKedOLRTPDX75KoWGWDZXfzNmwmmnlEGRyqMR_KplSvH=s176-c-k-c0x00ffffff-no-rj,0.0
