cid,text,time,author,channel,votes,photo,heart
UgyGmo7-u1fe4RPscyB4AaABAg,"how can india feed the world poulation, when it can not even feed its own people?",2 hours ago,Raymond Duggan,UCycNYQ7VHXUCklTLmo_LRLw,0,https://yt3.ggpht.com/ytc/AKedOLQvjRYiH9-Uiwd7mK9-G7XFXaq2vn0dSwi3wErB8A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_5gr8q1lrluM7kih4AaABAg,Mark my word. INDIA is country who will develop peace in the world. In INDIA they feed you till the last bread they have. They have no hidden politics when it comes to humanity..where western countries just look at profits and posh life. INDIA will never disappoint anyone in the future. Becasue she is the simple and honest mother who will feed and spread peace in this world. China had chance but no one knew China also so untrustworthy and looks only for profit. they are like small children fighting for toys.,7 hours ago,shubham wani,UCHSK2vCMBHRsSBtqpgn5mrw,0,https://yt3.ggpht.com/ytc/AKedOLSJhFO52Abfb9XR9rLB20lKKgAnHJmxEB0DcsdPHg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8Gsdag8d_lzY6xZB4AaABAg,"I hope India prioritises Middle East, African and South American nations. Even China has refused to release its own grain stocks to EU. The developing, lesser income world should not suffer because of something happening seven oceans away.  Let EU+UK purchase wheat from Russia in rubles, if they want to.",7 hours ago,Curious Curo,UCyQwBpR86ReDZ5hoaIdxDOw,1,https://yt3.ggpht.com/ytc/AKedOLR3HopgUWqI-USt8p1-0Gj36QT7t8Ir5o4ZQv_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6znBsyMEY6oTlvRp4AaABAg,Rice as a sole diet isn’t going to cut it.,12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4CteHuMhpTy-2BZJ4AaABAg,In a few months India will be starving along with Africa so they better save some of that food for themselves.🤣,13 hours ago,Rodolfo Cisneros,UC2ZDdW20YZua7XirYflAeXA,0,https://yt3.ggpht.com/ytc/AKedOLTiv0k6pBpNgLqYj8J4VcZnUyZL9865OQevNQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxupVGSaOA8Bq3XapR4AaABAg,"The amount of grain India has is over filling which is good to put that to use, thank you for your help india",22 hours ago,Koi Yujo,UCnbhfUDST7DbVsrb1q1Cymg,0,https://yt3.ggpht.com/ytc/AKedOLSWaWKL8vlGHVbdkLwJgN8FQDK1fD-KSh32-q1RFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzR5qC8oIx9wV6cNxd4AaABAg,"India has also all the weather conditions of the world natural to it to grow any kind of the crop, absolutely India can feed the world....",23 hours ago,dîamônd hûe,UCtztbae0YnR2Ab2LishxPRw,1,https://yt3.ggpht.com/ytc/AKedOLSjZavxlkbOEcG3Z3U8HrFcwSUVO18RSrXoa6AraA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCbZKd89myMIEuzil4AaABAg,"God bless India, ordinary Indians and Modi Ji. The last few years have shown us who should be the world's moral police. As they say, actions ALWAYS speak louder than words.
Jai Hind from Nigeria.",1 day ago,Peter Agbese,UC9pneqdm1AoAT1fCbfvhntQ,8,https://yt3.ggpht.com/ytc/AKedOLRl9oYdHATIgVCuDuORIDVjHjF2hFHpsWh3Eg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwY9_6raomkxgpTHZZ4AaABAg,People don't understand the plan behind the evil govt.,1 day ago,Kelvin King,UC6m-aAkl6U_1Xp3NkGLOAqA,0,https://yt3.ggpht.com/ytc/AKedOLROud5ESY2qwaVkNCo53oXKKgneZlGaaGSWtw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKiwLru4twCMnLF_94AaABAg,Now this is an excuse for food price rise in India that they are feeding the world.,1 day ago,Kelvin King,UC6m-aAkl6U_1Xp3NkGLOAqA,0,https://yt3.ggpht.com/ytc/AKedOLROud5ESY2qwaVkNCo53oXKKgneZlGaaGSWtw=s176-c-k-c0x00ffffff-no-rj,0.0
