cid,text,time,author,channel,votes,photo,heart
UgyYnxJYxHoH1p0pyzd4AaABAg,"We know that good masks can help, but they are not available, so wearing bandanas over your face is useless.",1 hour ago,Witek Michno,UCm4nlmlEsxbCgrTUuO95yJQ,0,https://yt3.ggpht.com/ytc/AKedOLRtZc1xzLCCVSpqtIVdV8Uh41UQIqx5ctWpbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYLTpiTlOFFwoKRRZ4AaABAg,"Canada, especially Toronto, is masked. Fear has been internalized.
Beware of obedient people- they are the antithesis to society's respect towards freedom of choice",1 hour ago,I B,UCUplUHsl2yh4AeOBMvotLmA,0,https://yt3.ggpht.com/ytc/AKedOLSjUQTMgfbPKTKyEr2BPQv3Zy06V9gEDYW-rw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf5lF_3oIfVGEewCJ4AaABAg,I've been living a normal life since after the 15 days to slow the spread bs. But the effects of the lockdowns have effected everyone especially the poor and working class.,1 hour ago,martytube821,UC8cuBSCHjs5hqSd8oot3oOw,0,https://yt3.ggpht.com/ytc/AKedOLSdnV8ryKCdLe-i8O5AznmSdd8qUYCiIieEpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqHKhR6N8BAFERWOx4AaABAg,"You appear to have not received the news that masks don't work. Period. It is stated on the box which the masks are bought. It is FAR more important to wash your hands to help prevent contraction of the virus. Not only are medical disposable masks not rated for viruses but PROPER TRAINING is needed for donning and doffing the masks. If you are wearing a mask and touch your mask...you have just cross-contaminated it. You might as well take it off at this point. 

I was at the store a while ago, standing behind an older man who was wearing a mask. He pulled his mask down, pulled a hanker chief out of his pocket, blew his nose, put his mask back up and then handed the cashier his items. Another employee there would literally pull his mask down to speak then put it back up. He did this with every sentence.

It must be difficult for you people that craved mandates to cover up, then to have it all dropped so suddenly. Remember ""follow the science""? Turns out it wasn't science, just what they WANTED you to do...and you went with it lock stock and barrel.",2 hours ago,Bob Harritech,UCQ1acagL_zzveNo8jBBGCDg,0,https://yt3.ggpht.com/ytc/AKedOLQ2SUVub7Ev5UBupHwjRppxQPXWUAtfUUcU0QMgrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfqlASWE_GjWJztld4AaABAg,"wuhan virus is on free run in home ground, chyna
japan is scared for nothing🤣🤣",2 hours ago (edited),abba jaan,UCwwpnoo10_S98KsDeuovdag,0,https://yt3.ggpht.com/GtuCgjGTkTY9YYqhEZIE_ZPa6Q951m8CLhA33qH6LwKbAMDmY6_u2C11b1k5CW7ROnj_LqSQ98g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXtJtU_DRdJJLCdXV4AaABAg,"The truth.of the matter....
Crushing the ""Trump Economy "" was the whole point. And just as the 1918 epidemic was devastating this man made pestilence could not match it. If we are to believe a + 99% recovery rate ""disease "" requires a shutdown then the common cold and flu shod also be a lock down moment.. I'm just saying...",3 hours ago,stiv joz,UC6QSPVIsv3gtto4s-oskhRQ,0,https://yt3.ggpht.com/ytc/AKedOLTzFF5uV6wLBm9qHchMdGTPLNRlQkaVKvrDUA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1RQnVZyekaEgsztB4AaABAg,Yes it appears so,4 hours ago,sea dog Diving,UCwI_sRPsEE5peuz81QZe-Tw,1,https://yt3.ggpht.com/ytc/AKedOLRjm_UFkjzI3v2gnMAxl93eRLUUl0sBovEtaI3v=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHvZiOTXne2TbDkfJ4AaABAg,If you want to wear a mask by all means do so but not everyone feels the need to. During the whole pandemic they were discarded in public trash cans and on the ground. For a virus so contagious that sure wasn’t very safe. Besides when supplies shortages start your healthcare workers will be needing them. So please use them wisely.,4 hours ago,Katie Stans,UClk0DAk4Xadh6ou-ClMjoJw,2,https://yt3.ggpht.com/ytc/AKedOLQeBIctXEPgLixXp2eSL82J3S7ddI2wV4O6-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq2oXa-jRqEP8Hiit4AaABAg,"Too early,wait for ten years b4 we unmask all people....",4 hours ago,Armpac boy tv,UCEIMV3iVRBZkuMb8qZ_Km9A,0,https://yt3.ggpht.com/dMYozoGaOcL_tQgnXH1mT8tErA_oGlpVegiN9jJ3B6VSDP0nwvWSrhN0j02yG-7IHpAWFSf9ew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx588f0bDDdI-EXwqN4AaABAg,!!!! PLEASE WION TRY TO UPLOAD VIDEOS IN GOOD QUALITY EVEN THOUGH ITS 1080p IT STILL HAS A LOW BITRATE !!!!,4 hours ago,Ashwathama,UCFO8yFtjcPTTWtT6se4_p0A,0,https://yt3.ggpht.com/RXNMVHORYDTdbtfex_esj-vjklFH_XUtTNZdVKlM-w18m_InI6i8hH3RavAHj7eh1o6adWmD=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrH8SiDbay_KouLbt4AaABAg,"I'm in Canada and people still walk around with masks even when they are outside walking down the street by themselves. I still can't get on a plane, train or bus so life is nowhere near back to the freedom once we enjoyed. Canada will never be the same, Trudeau is a drama teacher turned prime minister who is a member of the World Economic Forum agenda 21 is in full swing and we got 8 years to go.",4 hours ago (edited),The Woodsman,UCoKuZNi4Qu-NQZYY2-ptD4g,0,https://yt3.ggpht.com/ytc/AKedOLTGjMAsBgxMQovx_yqaRHyjEOXN-_lQLPXJS2wl=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7A2l3xwrUPSe61Ux4AaABAg,"Please can we force Biden to keep wearing a mask, but change it to a full-face diaper....? 
Because.... he earned it.",4 hours ago,Mike Snyman,UCnePICrlhEgrBK3yEb7SCQA,2,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwl2c6m2b5pyR7SA4V4AaABAg,Stop lying  you are a old white women thats why you wear a mask,4 hours ago,End Times Clips,UCbgA5lU64FLPKhSSoCHi58A,0,https://yt3.ggpht.com/RAu5QSwXEZxCp3uz0QM0UsD5ZsvTSM1vMDmVK5TloemfjQj2csUVLMmj3m0IwVyXn9dTpXFH8-4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwM6NSUrXX9obOU2hR4AaABAg,"ah yes, Marxism.",4 hours ago,BonSang,UCbc50tOT_Dmmj90nMOb07rA,1,https://yt3.ggpht.com/ytc/AKedOLRCP2Oq9OjW7qCJaRKLWYwO5UNWBHKQVw8geUEoaXQxCgfrFLVdVdoHsWl9gQ0X=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9SuiPIW-RosUuF994AaABAg,Haven’t worn a mask in over a year.,4 hours ago,JustJakeReviews,UCV3SRmsEQZnRyEUWkv5LRJA,1,https://yt3.ggpht.com/5y5aDwU5OzZK86zQMXHud8F9iNIF0eUqKLn-ubo50V1W3nFIso648nXgAXQ2eMVeb6zVSEmrVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkU5UA1ErMKPKk89t4AaABAg,Already have thank you !!,4 hours ago,Jason Robinson,UCi2lsNRgOWsDYgsJ_fjfhjQ,0,https://yt3.ggpht.com/ytc/AKedOLTFaPfA53EVCbE-9y9pIi0hYKnLQ29W9ZvGWc1bKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrE4EQvGQfszve-Od4AaABAg,No masks here for over a year. Kids have been back to school for 2 years at the end of the school year in May. We did have a spike after the kids went back to school but that’s gonna happen. Restrictions don’t work. Eventually you will have to let people go back to life.,4 hours ago,seaside princess,UC2i1GI-iccgAxfqzBKJEjnQ,4,https://yt3.ggpht.com/ytc/AKedOLRFn-uBiUUvwcrIh9XLefMrskS2-QZM2lgVkJPhKeD-yUPACdcBWX2a_2nEomqa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7A2l3xwrUPSe61Ux4AaABAg.9_t11mH61cC9_t1Qp9IfNt,I guess you thought you did something huh,4 hours ago,L B,UChB7jMtnBFPiVHh-FqSTTMQ,0,https://yt3.ggpht.com/ytc/AKedOLQc6HSptFZxn06FFZ2TSPGsdGQFRGUWWprtSA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7A2l3xwrUPSe61Ux4AaABAg.9_t11mH61cC9_tD-agO9ic,"Don't forget, he was wearing TWO masks at a time just recently.",2 hours ago,Bob Harritech,UCQ1acagL_zzveNo8jBBGCDg,1,https://yt3.ggpht.com/ytc/AKedOLQ2SUVub7Ev5UBupHwjRppxQPXWUAtfUUcU0QMgrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZ-o63wLMkzKO0U-x4AaABAg,Wear a mask if you have the urge to bite someone!!!!!!,4 hours ago,Raymond Candiotes,UCQBuTQg0ROuUsJaCzg_nNjA,2,https://yt3.ggpht.com/ytc/AKedOLQaR8RJOiGEFWGOQwOMXJNeRqZH2HSoBOYnWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLpf4vIBnhazchUNJ4AaABAg,When will we go to pre Chinese vi*** era,4 hours ago,Jhansi lakshmi V,UCJ5mp-wXxxpVq2ib4h1hZDQ,2,https://yt3.ggpht.com/ytc/AKedOLTYMkNzKGW1NOtnCO1tzMsOAlGxeOdnJzgh9kkgVdzzucamV9LN2EMM6WOs5a1I=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh5ptxf8CMFrGmaJZ4AaABAg,next there will be one called Megatron then deceptacon 🤣😂😆,4 hours ago,blue god,UCoptFtwMYT9pCg-W1BuaqSA,1,https://yt3.ggpht.com/nKgfwjKczI-IgGW68OpiA8j9yiqvZ577P26-73T3DnKv5TPxOc1XubZKw2tXYoskh1Cwlo2afg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugww36AoX8verI-d-cJ4AaABAg,future-mask off,4 hours ago,blue god,UCoptFtwMYT9pCg-W1BuaqSA,0,https://yt3.ggpht.com/nKgfwjKczI-IgGW68OpiA8j9yiqvZ577P26-73T3DnKv5TPxOc1XubZKw2tXYoskh1Cwlo2afg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRjY_P2XD8EX1MJSF4AaABAg,EVERY 10 MINUTES A NEW VARIANT COMES OUT OF CHINA...YOU DO YOU THINK!!!,4 hours ago,norm lor,UCfodNgDZhKPTJqZ6cgO0-4w,3,https://yt3.ggpht.com/ytc/AKedOLT2NQJegLxQmcUvWdJK1Tw9w7-wCXpT2rH2Wnn5o0GdTfXqrsdom1ULmxw3UJxC=s176-c-k-c0x00ffffff-no-rj,0.0
UgymSuaNvz6KoN-CaJ54AaABAg,Are we being complacent? No but we're definitely being manipulated. I had no idea human females were quite so shallow. But the proof is in the pudding. She can't read the package insert. Men are obviously better at that sort of thing. Who knew?,4 hours ago,H o t r e t a r d e d c h i X,UCmISVMwrS6tzqsp9QiWV-Aw,0,https://yt3.ggpht.com/f7uTPFBV2PQGYnl052KxmvmexQAjvVII-Lv8czQ1uVhrzeKcssOdDpKuC8d1gkNblQFbBh2GLW0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZAKYcJq5FDUEf4ol4AaABAg,How long will this virus survive? People is tired of wearing mask. People should be free with nature but virus don't allow. What is this virus? Is it bioweapon?,4 hours ago,santosh kumar,UCZxQy4lxi1tln8PAjUs-TwA,0,https://yt3.ggpht.com/ytc/AKedOLSCoxBtUwNdh2WXI7Vj6xpeOFI8_7JDRrm6Mw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJkwWfI6jpFLtvsrh4AaABAg,i think India should copy China with Zero covid policy,4 hours ago,Popeye,UCJiFld7Gr4MQPlYQ8oLT2mQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwA3cCD0AmLmpT_0xZ4AaABAg,"Politicians and other 'important' people stopped wearing masks months ago.

Masks are for the unwashed plebians.",4 hours ago,Cape Orb Observer,UChl_rC_UN_ZQg0JCh6iWMGg,0,https://yt3.ggpht.com/xl88h8sEUOyJgMtoG1coVRGHYKB6PwmC0_NQ0XL9rI801R_68bWhubAI8Szr1PPbRObVo4NbCg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxupNcTkL8sOd7zhTJ4AaABAg,There was a covid thing? Was wondering why people were wearing masks.,5 hours ago,ᛏᚱᛁᚴᛦ,UC0vrcmwL-X7GlHZICXCRZSg,5,https://yt3.ggpht.com/Feu1I71nwvhk_ZU_8A6zGV2Q4o31FwSa4wMLsYg-5_MeC8CadboJbV2MVsrbusFGaLHbmNKaBQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxyg2MCtg77vkMx2nF4AaABAg,"New York area is generally maskless.  New Jersey deaths have fallen 60% in six weeks.  Transmission remains, but testing rates have plumeted.",5 hours ago,BreatheIn BreatheOut,UCOiQ0ej8muHsKAWifa9JgDQ,0,https://yt3.ggpht.com/ytc/AKedOLTUaaHa3_miZzCHYMXzMOP95v9eq-MEl-8gNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCz61mDS7IeakCSox4AaABAg,TYRANTS THINK THEY CAN CONTROL A VIRUS 🤣🤣🤣🤣🤣,5 hours ago,Catania Momma Italia,UCu1l-bTKHG73rxUt_fseutA,4,https://yt3.ggpht.com/ytc/AKedOLQ_m6FbvJz57CaIDizZdARwntMNkka1JENKNYV9Nw=s176-c-k-c0x00ffffff-no-rj,0.0
