cid,text,time,author,channel,votes,photo,heart
Ugzy_tpOEIs4jHUn2Zl4AaABAg,"Stop lying, clash means when two side come together. Israel came into the masjid not the other way round.
Shows the white west supporting other white people. This is not racism but another way to allow apartheid regime (Israel) to succeed because it too is white",8 minutes ago,Jack Thumberstone,UCfxRURleJfKuAPK5uklWMXg,0,https://yt3.ggpht.com/ytc/AKedOLTQYOtPKVI2Queke-ov0WexZheoSc2thpdVNDjo6Ca1uIElDg_ugxdn2th0FNrn=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDHnMkR2vWwB-6z9p4AaABAg,"It's not quiet moral to call occupied people 'rioters'. The zionists barbarians are to blame.
No more zionism worldwide.",25 minutes ago,Fouad Jaar,UCeuxlEhk8u1L2h8qzRWZrAw,0,https://yt3.ggpht.com/ytc/AKedOLRN_i4mnaQzzWXi-VCjl40cULXdQkXeo-z6tQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsIJC7rasmbAyqsQN4AaABAg,Insallah we are winning in We will win Israel also ☪️☪️☪️,38 minutes ago,Pathan,UC3_F0xMdXw_cudjTUshpUwQ,0,https://yt3.ggpht.com/ytc/AKedOLTEA8Iq9Zs4h62uBcFfjF69y7521SHFCmG6ZA9JwyyuYRsS-B5ze_kmtGTR3_ZR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOQPvpIdCEvjpGXxR4AaABAg,"Islam has no peace because they deny the authority of the Prince of Peace, Jesus Christ",39 minutes ago,A Colley,UC2xCMulqvK8FMCNp3pOnQXQ,0,https://yt3.ggpht.com/kSdbEOC1nZSHyiucba9AmJ4uqfF_0_x3w2_hDlUKMixc6llgfrZiX1SPQtkQOgRW-NliAIJOqQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy28VUeRTHRgxVXBMZ4AaABAg,"‘Worshippers’ routinely stockpile large quantities of rocks and slabs of stone inside there to attack security forces. It’s not a secret that al Aqsa is used as a stronghold. ‘The mosques are our barracks, the domes our helmets, the minarets our bayonets and the faithful our soldiers...’
— Recep Tayyip Erdoğan",41 minutes ago,Sonia Azam7 OFFICIAL,UCCYL6DsMeNiWlAxSSuTYo6g,0,https://yt3.ggpht.com/ytc/AKedOLS2NHSv9Jx_a43eVreTvrX77P8z1czfRd3LKmIMHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxqtxTY4Q92iNrs0V4AaABAg,"On the first Christmas Jesus Christ came from heaven to earth through virgin birth fulfilling prophecies.
On the first Good Friday Jesus Christ gave His life willingly, died on Cross fulfilling prophecies.
On the first Resurrection Day (also linked to Easter) Jesus Christ raised from death proving He is God, fulfilling prophecies.
Jesus Christ purpose doing above is to save us from pre-existing sin, satan and eternity in hell, and provide free entry to eternity in heaven to all who repent of sins in Jesus Christ.
Jesus Christ coming again in future to judge every single person, fulfilling prophecies.",45 minutes ago,RM K,UCtRXzwk1dyUASHSXHaonNhA,1,https://yt3.ggpht.com/ytc/AKedOLQ1HiCL-j4DQnplVO5E4gHDaBEbCWVXkBZ1FQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlM2bSahVbLvZp7Sl4AaABAg,Respect for Israel increases day by day,50 minutes ago,Y G,UC_kcNUGW8k_UY3xhvPyQPqQ,1,https://yt3.ggpht.com/ytc/AKedOLRXRhw4QUrxp0JRDDkyb78STAswO7_QbV80WW03qOk4LU2aJyHU8wvdiSS0tR-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBIl1KA4j6eGzoT7V4AaABAg,"Palestinians to Israel we are coming, Israel to Palestinians you are wellcome wth the beat then Palestinians we are running Israel you hve to or face the music.",55 minutes ago,Edmund Mawlong,UCK2eVeb-CIVyHgCXgRAF3mQ,0,https://yt3.ggpht.com/ytc/AKedOLQpKMtCLRnAFI-8Ayr3NWOblwiAB2QLKSaFcQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4Uk9HZGC2FiKTi3h4AaABAg,"One Day We Will At Your Doors 🔥
InshaAllah 🤲🏻
Just wait 🦁",1 hour ago,HAN EDITZ    •   313K views   •   3 hours ago,UC-qOKz4DZIRcnS9NBHIaw9g,1,https://yt3.ggpht.com/MBXdjHjDEUwxyZ20ev-MZY69d8OY1EQAnlS8-MjXLX8RXQQwl19Z8B2IVzq_UjiK22ZU8oyjfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxK5HUrdsV733NOeN4AaABAg,Free Palestine ! free Ukraine !!!,1 hour ago,Bambam KIT RING,UCAFdn4xoOnFTbrSQLPv3q7w,2,https://yt3.ggpht.com/EeGKindEXZnlh78PQ2VEdjhKaQtH4RdE9pV4D2ZoEaMWOme8qBKhqn037NLrf5H41T0xmsWF=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZlgRazxP-7XOLeDB4AaABAg,"""Street attacks""?
""Islamic terror acts"" were the words you were looking for.",1 hour ago,achiad saar,UCKYMH2gmG9DyT09LOSEKZag,1,https://yt3.ggpht.com/ytc/AKedOLR6zxxtLxb9VChv4pXMZ6OxRh9rveuLtmDdZJLK=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzVXpjOR2R9oDkS2J4AaABAg,I see the suffering of the Palestinians,1 hour ago,eddie osofo,UCN7eQXtuX4_huuI98VNt06A,0,https://yt3.ggpht.com/ytc/AKedOLQ6VlqF9HztCffGsRaDQ1_5wizv-Jg5uX2LFg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0XbIGXWE-HgXUAAl4AaABAg,WION as always are baised against plastenians * it is high time u report with bit more justice for plastenians.,1 hour ago,david king,UCy7HiJe1tLobZbKkVgHvKvw,1,https://yt3.ggpht.com/ytc/AKedOLR4Q7sLOXcoE7k098tdYRjp2g9LCmisr-B4RA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxItJEkNfS1Nt1NiqF4AaABAg,I compare Palestinians to Ukrainians. So why nobody is helping Palestinians?,1 hour ago,Witek Michno,UCm4nlmlEsxbCgrTUuO95yJQ,1,https://yt3.ggpht.com/ytc/AKedOLRtZc1xzLCCVSpqtIVdV8Uh41UQIqx5ctWpbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgweKwLGhJMcbf7klQ94AaABAg,Peace loving community..,2 hours ago,basha,UCwcyk5rMSTWmZV5VXqQlu-Q,1,https://yt3.ggpht.com/ytc/AKedOLT58xMyse0i3jAoETzU8cJRHnzquR9SM3n_NQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEsqTFQ_Ex6LlZ7VB4AaABAg,You have Ramadan and Passover at the same time in Israel and there are riots.  You had Ramnavami and Ramadan in India and you have riots.,2 hours ago,Srikant Sunkara,UCLYi2eys9svJJgqx_2bGbMQ,0,https://yt3.ggpht.com/ytc/AKedOLQPFiQwv6xaRtsz-STBUryxtM0CjzCvg2w1M-QNfEc=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxK5HUrdsV733NOeN4AaABAg.9_tMZlJGuKO9_tOGvScNL-,Free earth from isla m,58 minutes ago,Father Of Jihadis,UCTUKAffujgmH0ncMXgrE_pQ,0,https://yt3.ggpht.com/n2q5l2eVay86vnR2cBN1eiQl8UDDg7XEK9Yn10c-N3YuhiRZq9JDQ8a7AbRZQAlQ3VIe1Hgp-NA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxK5HUrdsV733NOeN4AaABAg.9_tMZlJGuKO9_tPKdHxfRJ, @Father Of Jihadis  Israel Troll,48 minutes ago,Bambam KIT RING,UCAFdn4xoOnFTbrSQLPv3q7w,0,https://yt3.ggpht.com/EeGKindEXZnlh78PQ2VEdjhKaQtH4RdE9pV4D2ZoEaMWOme8qBKhqn037NLrf5H41T0xmsWF=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxK5HUrdsV733NOeN4AaABAg.9_tMZlJGuKO9_tTf-TJL0Q, @Bambam KIT RING  ji Hadi troll,10 minutes ago,Father Of Jihadis,UCTUKAffujgmH0ncMXgrE_pQ,0,https://yt3.ggpht.com/n2q5l2eVay86vnR2cBN1eiQl8UDDg7XEK9Yn10c-N3YuhiRZq9JDQ8a7AbRZQAlQ3VIe1Hgp-NA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxItJEkNfS1Nt1NiqF4AaABAg.9_tJETu8jEK9_tSE_SMKEV,"I am not Muslim. But it's about humanity and our lives. I am Christian, not Muslim and not Jewish.",23 minutes ago,Witek Michno,UCm4nlmlEsxbCgrTUuO95yJQ,0,https://yt3.ggpht.com/ytc/AKedOLRtZc1xzLCCVSpqtIVdV8Uh41UQIqx5ctWpbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxItJEkNfS1Nt1NiqF4AaABAg.9_tJETu8jEK9_tSOlcUti6,"There is new religion, they call it science. Go for it, I didn't.",22 minutes ago,Witek Michno,UCm4nlmlEsxbCgrTUuO95yJQ,0,https://yt3.ggpht.com/ytc/AKedOLRtZc1xzLCCVSpqtIVdV8Uh41UQIqx5ctWpbw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1FV_Tj-DBwLqORsl4AaABAg,I've been kicked out of 109 bars and it's always the bartenders fault.,2 hours ago,Kurt Knispel,UC1ebJiXuF6ihyXmF3PoSuPg,2,https://yt3.ggpht.com/ytc/AKedOLQqNrwiBZjpVrBtOEkaFeg3PWssQw_oS5hvnw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3nlzYFw7RrZMeyZt4AaABAg,I LOVE ISREAL 🇮🇱🇮🇱🇮🇱🇮🇱 FROM KERALA STATE OF INDIA 🇮🇱🙏🙏🙏🙏🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉👍🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🙏🙏🙏🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,2 hours ago,God's grace,UCnEe_a28POMIuh816zD5Kkw,0,https://yt3.ggpht.com/ytc/AKedOLQUiZ1r-znvqbjT8RSVfGv5jQW4MgNU5KFOfsTxA1NhFNw4yPGMpWuwyuc7msrH=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCk40J4N-aRgLxjGh4AaABAg,Is this what America called WAR CRIME?,2 hours ago,Datu Ameer Mamadra,UCIdSr_kHCBlK-jeYvIAwJmA,0,https://yt3.ggpht.com/ytc/AKedOLS6snlHLkd6rxuN3n5skX5bkuixsqND-WGS32noPQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZQjObPwMs34xx3EF4AaABAg,We will not live happily and allow others to live happily.,2 hours ago,Mridul Kanti,UCcwSKQekQAKzqjB2Y9-fZog,0,https://yt3.ggpht.com/ytc/AKedOLQ6kmxdH9PIwDQ1jeBVEPzkNeqKIvZCFtBY_oilrA=s176-c-k-c0x00ffffff-no-rj,0.0
