cid,text,time,author,channel,votes,photo,heart
UgzyNhJI8WjWhtfShYF4AaABAg,Audio is gone from the ppl interviews in the beginning. Ww,1 minute ago,Vincent Horvath,UCOrViqf6NQJhJC9JBO-tvFw,0,https://yt3.ggpht.com/ytc/AKedOLTUAukKnJFFcvi5xW45dgR-trUTi3YSWHy5YnsDwbJcquTnOeiffpkOqVkAW_RY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaMbM_qR5yWY0KDp54AaABAg,How about Indian builds I'm those areas then the cities won't be so populated...They made the country disperportioned ...,2 hours ago,Lynn Jackson-Martin,UCI3J7cUXhUQla76MLCyg78g,0,https://yt3.ggpht.com/ytc/AKedOLSY3-mXa-fc7JViLbS1p6lY7PmG4cpfm5po6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjWH8XFoxR6im9zap4AaABAg,Monsanto has always been your problem.,2 hours ago,Kalena Maxim,UCHxH01pOf6OnkJnwzvAkxnw,1,https://yt3.ggpht.com/ytc/AKedOLQqlTfjHAW4Kej65ipE129HayFshEuVbmnN7g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpTsmfJYVfxXLZRaF4AaABAg,is it just me or was it not audible,3 hours ago,Darkness,UCuPopnkZnUvgXRpTCl1dAow,3,https://yt3.ggpht.com/ytc/AKedOLSecUsdy00-I-Sw4AmmeqMBJ6qW7Fz0gFYFSL7v=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQa3d_LUTz2_11_3V4AaABAg,"a very large capacity for trash talkers on the internet , cause they see themselfes where they see themselfes only when looking.",3 hours ago,Cosmin Coco,UCbPUm3dd7LkzKkCYi_gPP1A,0,https://yt3.ggpht.com/Yecs7B8NyKn6iyJna85A_089mypeuTAcPZJFQke8df9y-4kGByVNRhxH0fRrilrOajQLcXTJtw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUyM5ritM0z1x0Net4AaABAg,Good,3 hours ago,shiva rakesh,UCO0aloE31AkwbV9JDsQ-soA,0,https://yt3.ggpht.com/ytc/AKedOLRqbb7sOnZ0aywrUUSB53xLcMfjIVRmqbxMmdvZymM=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQKb0_BohnG_Sctkx4AaABAg,"Don't , Don't !!!...come to South Africa .",3 hours ago,deen ally,UCPGnbdW33iVDFa_vbm4_HFQ,0,https://yt3.ggpht.com/ytc/AKedOLSqkvQVW2ncNdbrARPLNgaZJY7DoNY-IxkYYvWvpPRHJe8RUolN9_CNDd6Po3B_=s176-c-k-c0x00ffffff-no-rj,0.0
UgxI0kKEzm2gO110KMt4AaABAg,"Despite the economic crisis, i keep on earning $26,700 every 10 days recently",3 hours ago,Claus Thrysøe,UCB7rPADvg_9_raKBxTfXIWw,4,https://yt3.ggpht.com/QxjpaXxjwR7KNt9sb2zpDuzB986a5osbwl9WSJITBO0Z5ifAYJgMDo51fdqvgDt6PrSbNSL1GhM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzq89W_IryTffNNzDl4AaABAg,"SEEK the Lord while He can be found, Call upon Him while He is near :- Isaiah 55:6
FOR Jesus Christ is the Way, the Truth and the Life and no one comes to the FATHER
except through Me sayeth the Lord. John 14:6
JESUS CHRIST IS THE ONLY WAY TO BE SAVED.",4 hours ago (edited),Roslyn Janke,UCCPgbFOV2Y-DlHEmS4kaIaw,4,https://yt3.ggpht.com/ytc/AKedOLQRHh2EdL91vmcFpXZMDzwJlxkTOxkT_vBTJ0mUFg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_FbUkgDpfgWUi74V4AaABAg,"If you don't get CHINA to agtee to GREEN ENERGY , all of this is B.S. !!",4 hours ago,Patrick Frey,UCgZy3IGHXbz4lGgOb_Wf0iw,0,https://yt3.ggpht.com/ytc/AKedOLR-xF8xnD4uYtp-PF1_Ojh0qD7AuhDF0PoYWg=s176-c-k-c0x00ffffff-no-rj,0.0
