cid,text,time,author,channel,votes,photo,heart
UgxAKnswILcXOzp3iHl4AaABAg,"It's about time, there is  actually 3 types of uv
Uv a- Uv b- Uv c one if these is a natural bacteria killer found from the colour spectrum radiated from the sun. In the Mccree curve spectrum we see all uv's emitted. Reverse osmosis filtration systems have similar tech.",9 hours ago,Ishmael Cetin,UCZRquVD4xT5p0rVoF9prC1Q,0,https://yt3.ggpht.com/ytc/AKedOLRzHx1TOA_IXqyZ-Mv_Uu2OZDuAJtCTWTtG7z5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIl2Bz5IEG_J4cbtV4AaABAg,I don't believe this. Only people who worship technology can believe this.,11 hours ago,Huizhe Chen,UCXPDmYChl7NpH-7phN2sGbQ,0,https://yt3.ggpht.com/ytc/AKedOLTBywUd_sSCRrzfdn-ZSU7CfnodVgqvvTdNjg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6jC_VKn3lrJuDWIF4AaABAg,"An God said , “ Let there be Light” UV light.",11 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzobfDOR_MSyt1MFyN4AaABAg,...in London?!!! that's BS,20 hours ago,alchemylight07,UCZ3Hel7kdVLDRu04fu-9jWg,0,https://yt3.ggpht.com/ytc/AKedOLTuQVcmtmWtomK2c6QG3MmlBjZVQ_ziUUWHAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzA_c_5-IJNSq8lqh94AaABAg,Due to the economic crisis that always comes up 🇺🇸🇺🇸 the best thing to be on every wise individuals mind or list is to invest in different streams of income that's not depending on the government to create funds💰👍,21 hours ago,Crypto Fiend,UCdjhxIFPYQLTlSoXge-Oh2A,36,https://yt3.ggpht.com/ytc/AKedOLT8YqmJFj7d1eyn4O-pp8LnTQuZa1dNVzWk2F8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLf_QckAhqJok2Xhx4AaABAg,If copper was used in hospitals instead of stainless steel it would mitigate this problem.,1 day ago,Steven Nagy,UCH7yUWoxLA_X3czCloHvlJg,2,https://yt3.ggpht.com/ytc/AKedOLRGN3wi5eOHT8ZJWx6Lf3lYqrtyPf-7ht-izs98YA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxi-e3tXMaLME3s7Dl4AaABAg,Flashback to 2020 then?,1 day ago,Silas Larsen,UCr13xFtWz9L9iCvi6Df2PwA,0,https://yt3.ggpht.com/ytc/AKedOLShaiVgLHiKpnLRQTXOCIp8xDz68xSGxda1vlTsxw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdiKa6rLw51X90ITB4AaABAg,Jesus saves ​ ​,1 day ago,Start Here,UCK0d1S6VF4TqFNJD33ugR5Q,0,https://yt3.ggpht.com/ytc/AKedOLSevZNPSH7QELfOs5Zyh8DDyFQw_nW5NMKrPgxM-iEq4wU0axjsgZRhf36Wj-ml=s176-c-k-c0x00ffffff-no-rj,0.0
UgzExrSCKohiPU_mDu14AaABAg,Wion got Chinese trauma. 😜😜,1 day ago,Leo red,UCbiaN0GdplJLonNiceQwy2w,1,https://yt3.ggpht.com/ytc/AKedOLQ3whKaSk0BUa5k4onByJ-xOwK7H9br4RWf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-Rs-I4BN4-a9LL954AaABAg,"we knew this 2+ years ago, this isn't new.",1 day ago,Kriswixx,UCzbGqZCvGjT7vdwGwNkRjGQ,0,https://yt3.ggpht.com/ytc/AKedOLSmmVMsowfHUdOb-xMC30XG-QD52PB4HkTRFkLqLg=s176-c-k-c0x00ffffff-no-rj,0.0
