cid,text,time,author,channel,votes,photo,heart
UgwTD9r0zt-TMxGjJE94AaABAg,North korea is so healty life their prefer use stair than lift,1 hour ago,jinni Lovely,UCo4uQWloXscEcCH3M8ZBr4Q,0,https://yt3.ggpht.com/ytc/AKedOLRU1_k-x7NnPvBfEdJAjWMzMbJZAxhcTgWEbVNue8Mam-3AOb-Yrg5rf4CMwerN=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNBMND5Zjfri8GUdB4AaABAg,You don’t provide any proof,3 hours ago,C Mukherjee,UC3SDZ9vORkKRfpycXze8I0g,0,https://yt3.ggpht.com/ytc/AKedOLTp7-maFIKNVT41LGzb_k0CxWKv-FBaUCJgHHotTw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWnzXZeYPOnyWVeSt4AaABAg,Imagine waking up an hour earlier for work just to scale down the stairs from the top floors.,3 hours ago (edited),Tofu,UCEy8LRHyraVgSMQOlfZ7XxA,0,https://yt3.ggpht.com/xbFrdb2UETqfrJxLcYm1D6QhU5DyjhGV7770fRTz3NhYGGY0OuNBRtyKq3blEbGzawr6odAu=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOP9jCu0t1OK45BvJ4AaABAg,"28 floor person be like- Reaching the car door, ohh i forgot my car key😂🤣",4 hours ago,LR,UCegPEQhGHr7xIErDuqMpPFQ,0,https://yt3.ggpht.com/VeZIvZHxjj6TpXszrE40Lz_jX9y0L7Ecq_9843-Jv9LrKZFBHE6N93fQUJ96qToi1I3vpV5N_00=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0gFSAW46Lmdf918t4AaABAg,The Lift Only be use if Kim jong Un will visit the occupant Lmao,5 hours ago,Gameplay Tube,UC3ha-lW689j1vo8TOdvi2Gw,0,https://yt3.ggpht.com/q4x1WBqNJP4RbzDg7FRoz5OQOlKeegmCKEbSoZEs3f3ZRmi8KYbrvzssBl4zM3VY_3a_JQAWxUo=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzBGEjOlQrqbb_yPt4AaABAg,"North Korea and Cuba health services are far more better than america 
Anyone who becomes slave of America like japan South Korea are friends and anyone who doesn’t want to follow America are called dictator America hypocrisy to a new level",6 hours ago,SJ VIDEOS,UCC_3KFXmLjgdgbDQHLta8lA,0,https://yt3.ggpht.com/u0olHlRR7wRMfodwzoABXMvDXYhY_KZZQI8HuXwqoiXostbpd8UzZaY43Fkqw4VlQywN3BsxUj4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVlI3X57YmwjSKwL54AaABAg,A nice jail,6 hours ago,Carlos Fasano,UCKCUUqI9JD4TqW-PLgCU79w,0,https://yt3.ggpht.com/ytc/AKedOLSxM41ncCSVFWTvjy3hoLvPckKD_DaEE_GM9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyK4B3p94OGKb0nXQt4AaABAg,"O capitală și o țară peste multe țări occidentale!
Asta înseamnă ordine și disciplină!",6 hours ago,Gabriel Tudosie,UC7WJMlKSF_fDzmc6DmJXMyQ,0,https://yt3.ggpht.com/ytc/AKedOLRgUd7Z2L3Iin-Cncq5xoHqzcDxjiXiPHKJoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzH32cKcPf0dhNrzcN4AaABAg,North Korea is a beautiful looking  country,6 hours ago,Rahul D.,UCNvGUtY_AVIhKLSmvIx7k2Q,0,https://yt3.ggpht.com/ytc/AKedOLT-QgrXZDjz8yi3175WAfmqif34Xtoy9VeGREo9=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWqqR5rVFx5XdbnmF4AaABAg,Lucky me 300 euro overlooking the black sea would have been a write off. No one insures for a war zone,7 hours ago,Garry Lum,UC6YbqeLK1GF6CcFVEmUPP4A,0,https://yt3.ggpht.com/ytc/AKedOLTER1p3Wmkgc03tHcJ5LpRdahdy6qjeFLmnQQ=s176-c-k-c0x00ffffff-no-rj,0.0
