cid,text,time,author,channel,votes,photo,heart
UgxRGX88L8C0EcoG_Vh4AaABAg,Sale😂😂😂,1 hour ago,Aditya Sharma,UCSjI1ALbwC-5ScV-3siU2AA,0,https://yt3.ggpht.com/ytc/AKedOLSsszujkxRKwbinwzyqjU0OCJyRVUgLYunSEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSCMdJicHT8dnYnrt4AaABAg,Lolsss a bankrupt country a manufacturer of terrorist.  A country qhich is raped by there army and politicians. Final.outcome is so very clear.,2 hours ago,PEACE,UCZPmE3rLvVJD2WFYTeDWHKA,0,https://yt3.ggpht.com/ytc/AKedOLQ_bi2hUeRqKRpslkhlRgqP6cjv-86FkPDm-VILPqvL07nlKgtMuxgQT7YqYF5s=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN_4x6tB1edgSCDsx4AaABAg,UMM if you won't increase the  taxes where would money come from in the country.  Rajapaksas did the same thing and now look at  Sri Lanka now.,2 hours ago,Parth Bhatt,UCgUGF5bw4hclAtC2SNLZMig,0,https://yt3.ggpht.com/ytc/AKedOLRGJEJalN5Fhh7QLET7BqpOS0k4e2rSHG5FA89nK0E=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8tnUQcydy7rdQSkF4AaABAg,"Who is giving you , terroristan a cheap oil now.",3 hours ago,Wkris Wkris,UCq4eQF3qDTHosnPl2J8058A,1,https://yt3.ggpht.com/ytc/AKedOLQqR3d6TcLSpnabUVvLnIDBc6EZOd7IeG_j-MES51wUkEPlok55kOMMxxxOyyH4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-e_74J4cIvyKcbzp4AaABAg,why this news is relevant for india,3 hours ago,Angiosperm,UC-8edXMq7aZjK3TImOB4gig,0,https://yt3.ggpht.com/ytc/AKedOLTcFgqpC8R7K_x_UyknQEujKOD6wtGBA0c-vlHVnw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwosvXyMBcM4V4XaBt4AaABAg,Paxtanis love watching Wion. Infact I have heard them quoting Wion news clips in their own News.,3 hours ago,Abha G,UCsR3QMar86gNqD2Y0UbTrAA,1,https://yt3.ggpht.com/ytc/AKedOLRAq82roN9IeX_tUspOWtOOKPioRxY8Gk74d-Zbyz4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv2qfwnTlwqObHSbR4AaABAg,"Oh boy, popular moves like this will spell bigger problem for pakistani in the future",4 hours ago,Albert Teng,UCuxlrg40tqDtkUiWRZKHf5A,0,https://yt3.ggpht.com/ytc/AKedOLTiYNO38pxz0F0Mh7EXOxomEBFCtZG23OE9FQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzF4xyc9g34f3M0EA54AaABAg,"Burning the remaining reserves ,soon becomes srilanka😂😂",4 hours ago,Gyan Flix,UChUvqhdd2_W398PZTbvi87Q,1,https://yt3.ggpht.com/f4Ez8YyQIXd5gZ5xbABFpFTfyHYWkhouCsJkfNSyU0ONHwpmqleMBHg0iBF3_74BWgyXSyBVrQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwh9QW7O-V13GW0Zcl4AaABAg,"He has decided that he will subsidize the prices with the AID from the US, now that he is supporting the US and turned against Russia.",6 hours ago,Mickey 007,UCPt4MlH6L7WyBaTWdw8M6Zg,0,https://yt3.ggpht.com/ytc/AKedOLSLU6MFS_4fdP5ooZIxlVl9loJ-MAYp_Xtp3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxogpD3TbA8JFHGtEJ4AaABAg,"If u don't like the price of gas ,  walk, or take a bus , or buy a bike   ,    and shut up",6 hours ago,Carlos Fasano,UCKCUUqI9JD4TqW-PLgCU79w,1,https://yt3.ggpht.com/ytc/AKedOLSxM41ncCSVFWTvjy3hoLvPckKD_DaEE_GM9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJhk1egMJOHhdSVtZ4AaABAg,"Because of economic crisis and the rate of unemployment, now is the best time to invest and make  money💯",7 hours ago,Karen oneil,UCjDT2f7PcPY6jKT-1CtLh8Q,1,https://yt3.ggpht.com/nAiedErj5wy7T6oDGevpSgC7t5FSAqUILoVH-MB4LgvO3FeH-zR5qJxg7EIDdVcOHbG-vyCHICA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzB58lHdtzsIlQ6XEl4AaABAg,Wow all the crooks have joined together to form the new GRABINET.!!,7 hours ago,M. khan,UCovT1W1UsNfI0SixoQr87tw,2,https://yt3.ggpht.com/ytc/AKedOLRnNkACqOI-DSptEmTIuDU_mmAJi92IcqKGPg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-JzbbUg2Q4OgBe_V4AaABAg,How are they going to pay the forex ?,8 hours ago,curio,UCcj34zEMLBED7s1ljyul2lA,0,https://yt3.ggpht.com/ytc/AKedOLQcB6AW7T755eBYzxE2U66K9HhOUL9UaCC5LQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwINz3_AH1-2ygFHSB4AaABAg,"Dude, Pakistan have to repay it's debt where will that money come from if you are not getting from taxes on oil, they have to take debt with high interest (bcoz no one is giving them low interest rates) so in the end people of Pakistan are just have to more in future for this oil and yes they already have a lot of loans .",8 hours ago,Kunal Chandrakar,UC8YNNJctyfxlePRPoid6Tqw,3,https://yt3.ggpht.com/ytc/AKedOLQTO7E0xTQYOCFXpkElebhks9gnK0haVb2-iCoPwBC8NzTVXU_ZS-fi-Bk7ncH5=s176-c-k-c0x00ffffff-no-rj,0.0
UgxII05Swb4cT7mvmbZ4AaABAg,Get ready to run out of gas. You can't regulate a commodity when your broke.,8 hours ago,James Patrick,UCOo4bI0j5_kiCcdwGsuLcZA,0,https://yt3.ggpht.com/ytc/AKedOLQWUNbb3dz94nYVpLSfQnlC2tzd_fJdGOWXkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFKcpW2rU2YJos1514AaABAg,Poor Pakistani people how to survive inflation rate,8 hours ago,Sheela Devi,UC5zz4L8DrPvCdlE8HkGVwNg,2,https://yt3.ggpht.com/ytc/AKedOLTDm5cDjGeQolfAWcmlN1r5SrLTe9SQCL4F0g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMrI3IwGyaUXTv3_54AaABAg,You mean for his own interests if he raised prices anymore he'd be facing a ghadaffi death.,9 hours ago,Wilfred Wayne,UCYTxUqE0gi4e-1aTMECPYdg,0,https://yt3.ggpht.com/ytc/AKedOLSD89mEkBqeM3ELYPHcXCXUgRQZ_owNUNeBYbTcOulbzcOVRiQPAJWMa7N-RBqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCpr8um681TvZ1dCh4AaABAg,Popular measure like this makes no sense as the Pak economy is already in doldrums.,9 hours ago,U VIVEHAM,UCOryVOrtrXFdtvvfLksM39Q,4,https://yt3.ggpht.com/ytc/AKedOLTBqtX2iKvghXBee4MF7pWLi3x5GpkRAcDi7w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwD7WJk8PenLbjFh4V4AaABAg,"Beggars can't be choosers
                                    - PM Pakistan 👍",9 hours ago,Prem Raj,UC-k0b0DH3dHsYvnZIcYQwSQ,9,https://yt3.ggpht.com/ytc/AKedOLQFdCZCXwtSUOa-qXFR61GhAThGU3cJooyg0rs2d1_hCB55hz5kuRDrzWMGVZmU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqFkMzvhxwcF_10np4AaABAg,"India and Pakistan shared the same border, they should get along well ❤️‍🩹 like brothers....",9 hours ago,Nori Kawakami,UCtd3wRenfaDiQ3U5zyBkcFg,1,https://yt3.ggpht.com/ytc/AKedOLQOOKESdj0i7R5037MCyZcCVL8xu3dYM7V_8brL=s176-c-k-c0x00ffffff-no-rj,0.0
