cid,text,time,author,channel,votes,photo,heart
Ugz2kyKI7pZuW0lq6SN4AaABAg,alyson le grange 🥰🥰🥰… i can watch her all day!!! 😍😍😍,2 hours ago,Paladin88,UCD4Qu2UqluG8jihi_Fzwetw,0,https://yt3.ggpht.com/_A-eInrQJeRAU-gTRU6c_yoMftEfr9xGHwd75CQwqV54J28oGyODfVF6G9Na3BC5TVZwZovNmQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxdobq8zqCk7IOmc4V4AaABAg,An Assembly without speaker shows y I call this nation a Banana Republic of Pakistan ! 🤩😝,3 hours ago,Sanjay Sanj,UCT5o9_YSCIqacEvFQepZrCg,4,https://yt3.ggpht.com/ZYqpavnn1KZKCaE4ASYw2Ym8TeeRymVcEBki6GIzO5WA74sAYiGGcIpOeXiTgEXk4fMEwKl5Xfc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxp76qslky5tX46pQB4AaABAg,Pakistan has only solution it should surrender nuclear weapons with army and appeal india for annexation and join India.,4 hours ago,Truthful.,UCr9PZAiokAdGapytYsVNvRA,0,https://yt3.ggpht.com/ytc/AKedOLQ76E7FnJSmZfdIXSNrT4dbCayRsMVB8oTWWZRAf2X__tuBRAin4KKHyTNmC9RX=s176-c-k-c0x00ffffff-no-rj,0.0
UgyATPQmSYiYz1JXz-d4AaABAg,"Crypto  is the future, lot's of people will kick their legs finding out they world have joined the Crypto space now it's still affordable. It provides a lot of opportunities",5 hours ago,Brown Jackie,UCLdjEnlIVDBVwk5RPePRsug,72,https://yt3.ggpht.com/ytc/AKedOLTPc9lJ9RqpFKDCWx1BzPXq0gNFcLd61SCxJWHq=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjTztnXYTMjDTP9r14AaABAg,🛰🛰🛰🛰🛰🛰🛰🛰🛰🛰🔥🔥🔥🔥🔥🔥🔥🔥🔥🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔥🔥🔥🔥🔥🔥🔥🔥🔥📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺📺🔥🔥🔥🔥🔥🔥🔥🔥🎥🎥🎥🎥🎥🎥🎥🎥🎥🎥🔥🔥🔥🔥🔥🔥🔥🔥🔥👁👁👁👁👁👁,5 hours ago,Hidayati Christen,UC6NnmTfrbn5u555GsrwpWSA,0,https://yt3.ggpht.com/ytc/AKedOLSPq6HNF0juZi7pnKETyCl8UUzWNB1T7HSbUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqmBuGtvT_Qrgsd594AaABAg,"Since 1971, their army & some politicians have gone to extremes to hurt India even at the cost of corroding their nation’s resources. Over 3 decades,  they destroyed their economy & global reputation to inflict unnecessary & relentless damage on their neighbor. Result: bankruptcy & a tag of ‘terror enablers’



Shahbaz an army puppet, the funder of LeT run madrassas and propped by radical religious outfits.",6 hours ago,Rakesh Anand Bakshi,UCipCdxuTdU5767rsi8x0F_A,0,https://yt3.ggpht.com/ytc/AKedOLQamMNhNn0iYPVe8aXGec6Lao0QainaW37tzWnBaw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwrxu19Pl4oggZMvkl4AaABAg,Pakistan is a joke no more a country. They're facing one of the biggest economic crisis but they're busy changing government..🤣🤣,6 hours ago,Rahul Mahapatra,UC6x1Iwx8CwdR8qfScfnndiQ,0,https://yt3.ggpht.com/ytc/AKedOLQLRbc37wr5Vz-Tlz8H5U42ef9PltU9AkkjhieIdw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwY9rM5JLlAepb-WeZ4AaABAg,"Political Crisis Of Pakistan Will Remain Till The Pakistan Exist As An Individual Country ! In a Short, Terrorist Groups Will Join To Solve The Conflicts BY Establishing ISLAMIC EMIRATES OF PAKISTAN WITH Shari'a Laws In Pakistan !!",7 hours ago (edited),swarup.k. dasgupta,UCoEuhaeWbRTVuyBH83_dNvQ,0,https://yt3.ggpht.com/ytc/AKedOLTVEc8rygaFs-rYJlWj580fpCyXOes6LYD9lA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKEJN9zGWl1sEdDeR4AaABAg,Pay the CCP the money you owe .,7 hours ago,Bob Smith,UCgqd6prsRp9at5eFrUaXleg,0,https://yt3.ggpht.com/IZJdcNYQJJCo7O8vh-gnjdZbBxzqaeNBjjxfRG6bqY9FP7QMU_hT6GBew8hGk1eWm6gwvKBe=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwr-NEnwb3833FbGbZ4AaABAg,Old news,7 hours ago,RAHUL PRAJAPATI,UCkmAo45ROm7w4Nkysmpov6Q,2,https://yt3.ggpht.com/ytc/AKedOLQVCli9Hie-YQQmR5QCiC1NzMk1iWg11hmHWkyc=s176-c-k-c0x00ffffff-no-rj,0.0
