cid,text,time,author,channel,votes,photo,heart
UgxsPbWJ3geVzN7elqd4AaABAg,The junkie Imran is the only leader of Islam?,7 hours ago,mozheart,UCHQU5uyjuS5uhYNva7gd2nQ,0,https://yt3.ggpht.com/ytc/AKedOLR_5RRiXj1R8UQyg5catrfxYzBweh_1Z04-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWE3DQ1LnJLB0M3st4AaABAg,It was Fawad Chaudhary that was responsible for banning WION in his country and he doesn't even know he is giving an interview with WION 😂. Wion cant be broadcasted in Pakistan even now lol.,8 hours ago,Just Some Guy with a Mustache,UCHEKimK0xiJjcZW62gjlJ_g,0,https://yt3.ggpht.com/vVq2ZuRJe4WCPwEBnAsA_Gn9SKTjiFTEV9wLBBf-3z3HfQs3d1Q-dm8GFQds-0I1aGQB10bDRg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaTK6Q04RaXJlxr3V4AaABAg,"Joke of the year
Imran is leader of Islam. 
I think imran is father of bullah..",15 hours ago (edited),RK news,UCE2z4puoC6kir6FVxzco2bA,0,https://yt3.ggpht.com/vOqsLdVqJXJ3-10jXsp3wsvHM21CH88IXL54eE4NjgUuBLly_Fs1xJPmxwr72fkK6tZ0Y6MCvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3-lQpQlXbhFyFn2l4AaABAg,They just confirmed! Says Mr. Malik,20 hours ago,Vinod Kumar,UC45dW5vFT14WUmM5bEGC7VQ,1,https://yt3.ggpht.com/ytc/AKedOLRP-2tYUZ2Ei7gtg3IDGlr8L-f9kAli2Ata8g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLRsTq_p-Z6SrRmkB4AaABAg,This fat man wanted to provide internet to Kasmir via satellite with space agency SPRAKO🤣 . Wasn't he the one who spoke against WION on pakistani parliament and banned WION? Why WION is taking interview of this clown?,1 day ago,Shreyansh Gupta,UCO479NJz_EXDyM7L0C16vCg,0,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3H0yBYxaZE95z3M54AaABAg,Leader of Islam? lol. This delusional fellow thinks Imran has become the Caliph! Erdogan will be mad!,1 day ago (edited),Clockwork Orange,UCPebSZ1WmriDRJLH6YmWEMg,0,https://yt3.ggpht.com/ytc/AKedOLR14Itmp-xvs2sBADtT-YnkfmOfn4hQ7Usi8w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6f2bMicYFJXRvz114AaABAg,"imran khan in not wajir e azam of pakistan
not asia 
not world 
not solar system 
not universe 
he is wajir e ajam of multiverse",1 day ago,sunil sabat-04,UCX3V7bAqSVX2OWvOudCGaBw,0,https://yt3.ggpht.com/ytc/AKedOLSrQ8NFZ0pjq44VGrEOp_Lo57VBESNjrQPi-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCsqjc7izgDpcfl_54AaABAg,"from getting ban to taking interview of minister
wow what a inspiration",1 day ago,sunil sabat-04,UCX3V7bAqSVX2OWvOudCGaBw,5,https://yt3.ggpht.com/ytc/AKedOLSrQ8NFZ0pjq44VGrEOp_Lo57VBESNjrQPi-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR6B1HTjOOS-c7ZJF4AaABAg,Omg Imran is now a leader of Islam that’s pak problem,1 day ago,Shantie Maharaj,UCADyzZkffNRtZ5ge4EFecqw,0,https://yt3.ggpht.com/ytc/AKedOLSwABV8ttVv1cEJKBUg0X_2jNtlB2IkZTxugA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVDZNQ5uU2uRS3W9d4AaABAg,Bajwa created this problem,1 day ago,Shantie Maharaj,UCADyzZkffNRtZ5ge4EFecqw,0,https://yt3.ggpht.com/ytc/AKedOLSwABV8ttVv1cEJKBUg0X_2jNtlB2IkZTxugA=s176-c-k-c0x00ffffff-no-rj,0.0
