cid,text,time,author,channel,votes,photo,heart
UgxmrVm4Q6UQFs_qzWV4AaABAg,Terrorists 😆,1 hour ago,Father Of Jihadis,UCTUKAffujgmH0ncMXgrE_pQ,0,https://yt3.ggpht.com/n2q5l2eVay86vnR2cBN1eiQl8UDDg7XEK9Yn10c-N3YuhiRZq9JDQ8a7AbRZQAlQ3VIe1Hgp-NA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS37jUkL4yNOoOPmh4AaABAg,The title “ ppp Contest” 😂,1 hour ago,Niru S,UC9K07MgPS_l7L3xjmjN3SKA,1,https://yt3.ggpht.com/ytc/AKedOLQiBNdL9_sCaFAXUcrYhOC0c1rvTJLH2VaiAF1x=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbPPRrHgYm5YhmYmZ4AaABAg,COMMUNI 💕 🍵 💕TEA FIRST?🚬👀🗿,1 hour ago,Cumulus Terraticus,UC45IvAc8Gq6ccj8Nr2gyt6A,0,https://yt3.ggpht.com/ytc/AKedOLQgKzh4gckCn9vRXl4qc-OBi-6uEUl0RzDAfg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbLcxSCX_eQ01-YzN4AaABAg,Last massange all mothers toung educatioan news business small requieast to massanger,1 hour ago,RAJESH SAVJI,UCeVrv_gYgHJnfAgCuK625lQ,0,https://yt3.ggpht.com/ytc/AKedOLRZ7JWw2SpibhXIHnTTeqkao6_uI2yFDbXINg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOsKoDj7S1fSMBgtV4AaABAg,"Technical education National and domstic campany educatioan dept educatioan news business yellow bmc office Subject India nation and pakitan nation business people educatioan lab testing,case study and manster educatioan demand and supply educatioan news business yellow bmc office advnatge photo massgae bmc office educatioan India nation as per educatioan news business small requieast to massanger",1 hour ago,RAJESH SAVJI,UCeVrv_gYgHJnfAgCuK625lQ,0,https://yt3.ggpht.com/ytc/AKedOLRZ7JWw2SpibhXIHnTTeqkao6_uI2yFDbXINg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdAafys1_RS5bJvoR4AaABAg,pak 🇵🇰 army na mard 🐷🐖🏳️🙌,1 hour ago (edited),Runner626 🏃,UCDQm0gqVhe4Ewgzl1SrSxbQ,1,https://yt3.ggpht.com/ytc/AKedOLT9c-vqdzKeFHGhTAJFPSLSjg1vC4z-mkmTIMfE6yKFFZWLU3dc_Y06FpLeHDGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHdx5x2l6AAnYJ0Pt4AaABAg,bheekmanga 🤲 pottystan 🇵🇰✌️💩,1 hour ago (edited),Runner626 🏃,UCDQm0gqVhe4Ewgzl1SrSxbQ,2,https://yt3.ggpht.com/ytc/AKedOLT9c-vqdzKeFHGhTAJFPSLSjg1vC4z-mkmTIMfE6yKFFZWLU3dc_Y06FpLeHDGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYrj3T-5ehuXvwj_d4AaABAg,alyson le grange 🥰🥰🥰😍😍😍!!!,1 hour ago,Paladin88,UCD4Qu2UqluG8jihi_Fzwetw,1,https://yt3.ggpht.com/_A-eInrQJeRAU-gTRU6c_yoMftEfr9xGHwd75CQwqV54J28oGyODfVF6G9Na3BC5TVZwZovNmQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQi2PwBE59-aJqltl4AaABAg,Pakistan Airstrikes killed 30 innocent civilians in Afghanistan 🇦🇫. Shame on them,1 hour ago,Abhilash Borpatra Gohain,UCYc2WDM4Dau-FVk98Gb1tCg,6,https://yt3.ggpht.com/ytc/AKedOLSUwTp6ptiNCy1eovPrO61XfV74a8S21hpP3MU-D4ybbS47m9xmjKJ-JjbghP1m=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQi2PwBE59-aJqltl4AaABAg.9_tKPlFgdZP9_tLaUQZ5vk,Sab Allah ki marzi se hota he.,1 hour ago,12 Trillion Dollar economy,UCLRuPmSKmTnKGYOnE7ngVwg,1,https://yt3.ggpht.com/ytc/AKedOLRG2uj-ECxX_gts_ohKRV4XIMlYDwz_q-zAtjQS=s176-c-k-c0x00ffffff-no-rj,0.0
