cid,text,time,author,channel,votes,photo,heart
UgyWMVhUJEjWab2o9TF4AaABAg,"Nah twatter trolled him in past. Now, he is trolling twatter back... Also, I support him doing that for a simple reason. Twatter has become an eco-chamber of certain leftist mindsets, that are too damaging for social and mental cohesion a.k.a crazy folks are given a free pass there. Somebody must knock some sense into the platform, even if by trolling it, Elon Musk style.",9 hours ago,Lonesome Lion,UCxYrSDqdjZVTNyWqHHirciA,0,https://yt3.ggpht.com/ytc/AKedOLQRMGLu5oymOTZsNa11kCOe8dyhy8ynaZLbdwZ2ag=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTdal2vlZZyzEnXLV4AaABAg,Elon needs twiter so that he can use it to keep making false promises to investors to inflate his Tesla stock bubble.,10 hours ago,JulianAssange,UCVyETEZk87onyjAfDSWCqnA,0,https://yt3.ggpht.com/ytc/AKedOLRNTTcjyjEsMH26C-t52_KJUKPpgX0q8pjQaA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqjP0CYmY0Zi8Itn94AaABAg,To get back to a platform of FREE SPEECH.,12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzwwdfkHldKzpU_xB4AaABAg,"⬆️ ⬆️ check him out to get the best psychedelic products. He also ships globally 🌎 
🍄🤩",16 hours ago,Kudotrip on Instagram sells 🍄,UC9oOr09f-Ot7QqrV6v1AoLQ,0,https://yt3.ggpht.com/LIgj9j3ASbNXgw3SECThNypwf4NYpjcXFXNSpecQWnuQu1DrQfTQeh6evt0a18vKuKc5cMeJqbo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQaVvJ9EHwSw-Mph54AaABAg,I believe E.M. believes in FREE SPEECH😐,16 hours ago,jt,UClzYV4-XuSDGCth6y305R-g,0,https://yt3.ggpht.com/ytc/AKedOLTOvfxk0sh_7e32J1wqiZzhV70zd4mqY-QkxqBOmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNHTKpMwNah8GCKNx4AaABAg,"What comes around, goes around, So you TWITTER employees hang on to your ASS*S...",19 hours ago,Bronx Zoo,UCz5RPmmwBI6xxMqNeNA8ToQ,0,https://yt3.ggpht.com/ytc/AKedOLQNogzoX-VNBtp4L_wU9vSBRtDGTQH0P-npD6tF=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIE52X8OBVYmyAZuR4AaABAg,ELON will go to GAB.,20 hours ago,Dr Leonard Gustav Anderson,UCSJFK3U_8kXar7XP-DSeeKQ,0,https://yt3.ggpht.com/ytc/AKedOLSZHq4nC2o4F2d0pqo_nYGqh-Ndw2gyln4cqIDG=s176-c-k-c0x00ffffff-no-rj,0.0
UgymrlJv4QPEB0uCMUJ4AaABAg,I just want doge to be added somewhere in twitter,21 hours ago,AJ ,UC68FANrv3MT0kJizh3lD1nQ,1,https://yt3.ggpht.com/vnd4eolA10wHDQoqPEDSGnpmzw_HWNAsnj1WRaAXEnSh_4hzpsr7y1Nq96iColabaO2teCPFYHY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvlYFmYIzddkoYN3x4AaABAg,"He wins no matter what they do poison bill w/e he can sell all and watch it dive down then rebuy for less, or he takes over !",22 hours ago,Mark Jakims,UCJdxAMtssEU4Njj6YD6E-xA,2,https://yt3.ggpht.com/ytc/AKedOLQcpBTs1sIOsXJApiNK1c0fSqCnFfn0GP3gMQWl=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAFUPsrsgo3GsC4Q14AaABAg,"If medias are afraid, Then Elon is making a right move.",23 hours ago,Treat4 U,UC_MA1PkK12bBWxWvyLqUmPQ,6,https://yt3.ggpht.com/ytc/AKedOLR6bNsoQtPAzAjIOIOBsFNMTR-dC6dvR953LQk1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8KTJGlnxW_Wd9xgt4AaABAg,Y.. T is even censoring my comments in this clip.  Need to check Indian media regulations on free speech and file a complaint.,1 day ago,sdm465,UCycA3kN8qHbFLrO3i0oeTIg,0,https://yt3.ggpht.com/ytc/AKedOLTGKQnbp9Ndg-E_l811awvX4LevbqTTI2yzpg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2DNKJA6v56qdh17V4AaABAg,He is thinking of data and control over the tweets in all possible ways....and after buying twitter there will be 'musk'ipulation and manipulation....,1 day ago,S P,UCLKyh5g6C9oo4_CU5l5KCDg,0,https://yt3.ggpht.com/ytc/AKedOLR6s6birl2CEqVS4h58-cN3drrKGi47ULvasA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNwczhDGt3CKMwpMh4AaABAg,He wants his cars to tweet when driven so people can hear them,1 day ago,Mike Foehr,UC9bKAOnNX2f6iaq02Q_nqyA,1,https://yt3.ggpht.com/ytc/AKedOLQ9L9tMNyhAT-VS340TJwIlCwe-W0gAR_lBI4Ra=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFWgE4x5QEv2lLUo14AaABAg,He buys entire Universe.,1 day ago,Vejayanand Ch,UCP5Wg6M4ieNfiHVF8BjsBbQ,0,https://yt3.ggpht.com/ytc/AKedOLRi_Pls9SZUmKqJTKoFOTrVWNd0MxTWfhorGQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzVjOwTZ3qdqd3mR54AaABAg,Twitter has the most toxic people and he should buy Facebook too and kick those baised fact checkers!,1 day ago,Nats Laurcan,UCLMo2BQzMg3WV4Qd5_esz3A,0,https://yt3.ggpht.com/ytc/AKedOLTh06dCmAKmIJEr4ueultAIN9bvneH104xMqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIyiXCMEkHp0iz4OF4AaABAg,"Musk should go buy TikTok and leave Twitter alone.
Or better still, go pick up stake in Trump’s “Truth Social”.",1 day ago (edited),Afolabi Orekoya,UCz90ADf8BvUbTGWRFR1pciQ,2,https://yt3.ggpht.com/ytc/AKedOLRtoNbWzDT-icu7QB7hMsKqI8qT1xQHpwTXMZSFVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAt68NYLi1HbgLEJh4AaABAg,"Please do share the source of those experts and analysts you refer to, I'm confident they not independent and or from the private sector, I'm certain they come from the woke western ""democratic"" elitist petrified of losing control and power through free speech. I'm would gladly own a boring company, be called egotistical and incapable but be the richest man in the world in pursuit of trying to restore true democracy by allowing free speech",1 day ago,Jason T,UC_MCm3qRnrSLmiKmOhwqchw,0,https://yt3.ggpht.com/ytc/AKedOLRbdoKRYABg45iZXpdgLLqTvL5hcbjA6gNl3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH11yNjOS2N8Ek1et4AaABAg,Twitter is toxic,1 day ago,srikanth vijaykumar,UC0HSkYaU4dwBcAJrmU6TqQw,3,https://yt3.ggpht.com/ytc/AKedOLS1skZOWjG5CHBQES--cwqe-W5Oi_EUhlP-yA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdU9Ef2q_j_gUxBeN4AaABAg,"May I give an honest feedback? I don't like such a ""video""-format. When I watch video I need audio-speech, I don't want to watch and have to read.",1 day ago,U Do,UCmvYyjyGXa3k8cTNxy6Grow,3,https://yt3.ggpht.com/ytc/AKedOLTsYVw2FBqTG3W3AgeD-30bclBdqTMf3GVAGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwuuLhxu7uKfqUled4AaABAg,❤️❤️ just do it man,1 day ago,Abc Ppp,UCPQBBrnyI3KrI0o1iZxNhGQ,1,https://yt3.ggpht.com/ytc/AKedOLTkBUF0MjsSqdc1vgzdXUNY369QUall4Nvjgh5jUEbd3MTpkHY1y_UV_REK5b1c=s176-c-k-c0x00ffffff-no-rj,0.0
UgywDGZOFq9oljXBntp4AaABAg,"Musk is just playing out a gamble.  All the hype he's creating with his one-off offer, and the inevitable backlash from  Twitter's investors & the liberal crowd is going to drive up its share value.  He'll then just dump his portion & walk away will a cool profit... 😁",1 day ago (edited),sdm465,UCycA3kN8qHbFLrO3i0oeTIg,0,https://yt3.ggpht.com/ytc/AKedOLTGKQnbp9Ndg-E_l811awvX4LevbqTTI2yzpg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR-clyQu0gH1XrFVh4AaABAg,$43 billion is a steal for the CIAs most valuable asset.,1 day ago,Steve,UC8SZkXALSTJq3aGk88Zu67A,0,https://yt3.ggpht.com/ytc/AKedOLRz2vXinisncBbNChj7A583bEnJmV6QRjVxuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVzsFQuSeciIs56JZ4AaABAg,Twitter is already toxic so.. let musk do whatever he wants.. chill wion,1 day ago,poolverine,UCGWKhAZHdaF0ur0_nWzL3_Q,9,https://yt3.ggpht.com/ytc/AKedOLToMqNJ4kguMPHXTzq2b7VORAST8ziJ6UA8HD0_=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBDe1oxGjkudMEwGx4AaABAg,Post Covid Illuminati already taking over free speech 🎤 world is going to collapse soon … Musk can see that,1 day ago,Earth,UCEvnwAmDJQu-ECQCYRoKA5g,1,https://yt3.ggpht.com/ytc/AKedOLRBhoocP2nZNnfy1tSy9nYDLpehSBgH96W9DU3EwEWy33a1ilRKslE31vtUUDS4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSujZ0Ii02Rth8KdN4AaABAg,"Elon is a face for DARPA, all his companies are owned by DARPA, so is Tweeter & Facebook and the rest.  Elan's Goofiness keeps him in the news to sell shares to generate revenue.  Social media companies are being BANNED/BLOCKED across the world for stirring up, spinning  and managing conflicts.  Hence the drama to make Tweeter look independent.",1 day ago (edited),Solid Hg,UCgECO_Mx6YIu1L9Y3NxzjLg,1,https://yt3.ggpht.com/ytc/AKedOLQmW6L9AES3KesH2Gx9D8t5LQnK-h5rtaci3q3E=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlZS9MKEpWRDzFi9h4AaABAg,"Communism is Clear in the Field.

Democracy and Freedom of Speech aren't Clear in the Field.

Sometimes It feels like Democracy and Freedom of Speech Just made for some certain People. And It's Scam for Other Peoples.",1 day ago,αmï†ß.(অমিত),UC10d-15TUs6j6H592VEBhqw,0,https://yt3.ggpht.com/z0vrZ_7sQU_5hT2KauF4Ph5JMQBm91UUnuXwWuhfmknkUPqGRIFmbEfg39fxqoS9LzYljsgRyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTIkLI73FksukuKpF4AaABAg,this video makes wion look like WW2 book burners,1 day ago,Don Exotic,UCMOJ01NqND_f0c_SWQhBrwQ,1,https://yt3.ggpht.com/d-ir9k2KQGruUkBQILyF1mW1_SUeOvJC1OcdVtcKpv7oz4PscyFsUzPMmAcOePxLtHGc5_Ie3g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-N4D7fkeZFUekKpV4AaABAg,As  a real American citizen for decades I can tell you it is 100% about free speech.,1 day ago,Fierysaint1,UCrxPbp8MSCLjGe56nnDSwIg,14,https://yt3.ggpht.com/ytc/AKedOLRTOCgKA0Z5t8jwyPHCqMcVGW8iOuNZDGJdNDMN=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5U-YxewKX4TrO9ZJ4AaABAg,[sound of Twitter puttering out],1 day ago,texas bellwether,UCQhhuy23w2OIxnSWmCCsV2g,1,https://yt3.ggpht.com/M28LeoAMytKVsjrskv2pHBQMinH6KfuNBxhH0L1QJdlfdm-EXw3kg-j5zBPCstXyRvdcyY-eRw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxw56nmegOtVFmPkqt4AaABAg,Of course Wion wants to sh$t on him.,1 day ago (edited),neurotraveller,UCnHc-uIU9q2xc6_IcVXWRiw,1,https://yt3.ggpht.com/ytc/AKedOLTbtiBrNDLaikseB0dnyYKIOIYjMOcetEbfZAizeg=s176-c-k-c0x00ffffff-no-rj,0.0
