cid,text,time,author,channel,votes,photo,heart
UgytL4Z6uF0xZgc84B54AaABAg,Russia  is defeated,22 seconds ago,Saved,UC5ZEgMt1NAFCqkKgMRI3iRw,0,https://yt3.ggpht.com/yLdZXthrvC24PaNTqnIcSr3u0pmn_qanMTLnOly6a8s6upri5D-8lDYj1aMHLyYC77JZ5BttPA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw82oAr9pLuM2NFuvp4AaABAg,Keep sinking they ship 🇺🇦🇺🇦🇺🇦🇺🇦,1 hour ago,angela sobmer,UCaBfwxJL_rpJzYbh3cqD9RQ,1,https://yt3.ggpht.com/ytc/AKedOLTI5KJOLXzV3EO4QyH_65zCc49LYGmzQBAWjkGnMA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSWA6Te-0ZMaZ6doR4AaABAg,RUSSIAN EXCUSE: Someone microwaved an egg and that was the cause of the sinking.,1 hour ago,Gareth Keenan,UC-EMtxlQ-tkO2bdNmuoUS5g,2,https://yt3.ggpht.com/LX0iR_dtxxTnY4-qSK4LPAEv4P9HuQsMTTZgeldzEaYRU0JTwcWGGLi2EodMrLk4T0GElfaP=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzd59ETZbFDoMre9HV4AaABAg,This happens When a mad launches attack against a sovereign nation without any preparation,2 hours ago,SS,UCmAZBugzRTyJ4Rh_ucKYZoA,0,https://yt3.ggpht.com/ytc/AKedOLQeOkCERcKoTnv3AonsanjdVOZBHKxtDG5esZqRQzmZfeC-xbbK_YxamQE1oQFGnQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxewSuGhKmqGdr5CKJ4AaABAg,Slava Ukraine,2 hours ago,Xxx_trickdaddy6ninety,UC8SST1oIAteExQl0pZ_Xr5g,0,https://yt3.ggpht.com/ytc/AKedOLRlPgHnAl1jNYDaAXkm-SjudPk688sM35hZZZIUIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTiRThsBDKvy9LIFl4AaABAg,"The powerful glockenspiel adventitiously wreck because postage regrettably yell athwart a ragged line. ambitious, staking mask",2 hours ago,zeke chen,UCO7y-AKLMSAds1CGxpQenjw,0,https://yt3.ggpht.com/ytc/AKedOLRHZSWBwnxlY0j_z-tmlAtCfGnUzyA5pwhluA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCcB2fhyADJXqEV7l4AaABAg,Look at putin.  LOOK AT him. LOOK. LOOK AT him.   SUCH A COWARDLY little man,2 hours ago (edited),Robert Franchell,UC1GSHIrOPVh4UtWKX7qsBTg,1,https://yt3.ggpht.com/ytc/AKedOLTiOCkfWKigKdwMiYzscwEVlagDFJVQGzKyOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyNDvMSXPiUXcJTyh4AaABAg,It has been renamed Snake Island Reef.,2 hours ago,Marcus Aurelius,UCYwTMWroUrDzItsUNGVUwwg,1,https://yt3.ggpht.com/ytc/AKedOLSbUeV8micVpHZQ3RY8QQD8RU62YLVHpa4cJw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRODGXHV5WaIY_-n94AaABAg,"Mr Putin, for over the past 50 days you have wrecked havoc on Ukraine! You are a disgrace to the Russian people whom you claim to lead. Your soldiers are butchers who you have cut loose on innocent people. History is full of tyrants like you, including Nebuchadnezzar's son Belshazzar, who treated the Jews abominably. You may remember that he threw a riotous party where a hand appeared writing on a wall. If you turn around you will also see a hand writing on your wall, written in the blood of Ukrainian people - mene, mene, tekel, upharsin.  Any person from outside your tightly controlled kingdom will tell you that your days are numbered!  You have been weighed by humanity and found wanting.",3 hours ago,Edward Sianski,UCrW5WJheqn22XrNbwqrqFSA,1,https://yt3.ggpht.com/ytc/AKedOLTstzZovlOJngDaBU3b1HkZpi8I8sN1BEswyQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyon1atzlphX-q14lZ4AaABAg,Bring back your former host,3 hours ago,Kofi Abradu,UCGjLEAv74mFgSXgIoKdbEsA,1,https://yt3.ggpht.com/ytc/AKedOLRcdenQxniCFLJtZyLc-jtpHj6xLgwEC8z5nDf2ng=s176-c-k-c0x00ffffff-no-rj,0.0
