cid,text,time,author,channel,votes,photo,heart
UgyDGCKXClc8evAQXcp4AaABAg,LMFAO..... Who really cares...... Death to Putin!,32 seconds ago,Not Listed,UCbHM50zzEDnAxvoVlpFRZag,0,https://yt3.ggpht.com/ytc/AKedOLR_jKZPjnEtCMYZsBDdB00d6hRhikMr5t6Ta0F32xhbq-G5rFKq_ZTFdIFM5sTk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTNlyuIQFrsApSfFR4AaABAg,Bet you never seen a supersonic weather storm ….,13 minutes ago,Patrick Fordyce,UCCFQc0WOhENSZ1U62kuqzkQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8S4ZwPrutcB-iaSZ4AaABAg,Puttin welcome to a real time war !!!,13 minutes ago,Patrick Fordyce,UCCFQc0WOhENSZ1U62kuqzkQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6htoLUSnRHzqEhOp4AaABAg,America bring some extra supersonic missiles to the NATO countries for we need to compare them to Puttin’s hypersonic missiles!!!! Puttin wants to escalate so we got to bring in the bigger gun period !!!!,14 minutes ago,Patrick Fordyce,UCCFQc0WOhENSZ1U62kuqzkQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyx9nUuJnwWA2nNri94AaABAg,Dont trust America,20 minutes ago,Amoya Tochhawng,UCz-YFuubkdEAaaKHP2Wm9Ww,0,https://yt3.ggpht.com/vahPDYayLbYi072Udn3KSHv1zziwMC_k612SUNSm0yFkyt50i8gCo98ggOfUGSORt8DZ0Yn51Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3a1kLeNj4FHiJdkF4AaABAg,now I know why Putin must destroy NATO ....,22 minutes ago,Nicola methods,UCZLYfUSnMoSVrnQWyjtMDFQ,0,https://yt3.ggpht.com/ytc/AKedOLRE5ALJesHWsdO51AuUX240tJEinbJjANXro2bfZ-KisLKWWWBvxmvM9HrVrJ4l=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWk9OvdyfYJe8dYmZ4AaABAg,"imagine if Putin can threaten Finland now with his troops busy in Ukraine.  If Finland wait til Ukraine fall,  what will Putin do to the Finland?  likely attack and annex her",24 minutes ago,michel Le havre,UCoGz71khTxl2n_eg1VhwEdA,0,https://yt3.ggpht.com/ytc/AKedOLQlFHnYpYrOQKLC389QeSwkCZgQD3fLxJoymg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLv9OjKA3lA3Nvert4AaABAg,NATO Is a defensive alliance only in the eyes of a fool.,32 minutes ago,Eslomu Zihute,UCKvG0stFMNN8MUK9mpNCoxA,0,https://yt3.ggpht.com/ytc/AKedOLQ3JKgxvEjWxmwkK2AvxztyLv3nYbT_IVwRna0tygU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz98bRr0RCddzHkPil4AaABAg,did russia touched anybody till now? no. So why this rush into the hell?,33 minutes ago,fromika,UCZMHAV8Dqm4GqPZqAQM-EsQ,0,https://yt3.ggpht.com/ytc/AKedOLRJTJCx-95Gab8QD_LodGgviIMd6ieTbiXZcA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrVxWFCU-u2aD2M_l4AaABAg,Nato is agresor can every one see or every body is blind,34 minutes ago,Grasko Gtaudio,UC63D2Iu4buPQkggY0ICITWA,0,https://yt3.ggpht.com/ytc/AKedOLSi4s-0w-6jfyfMALr11OZrH0x4CkNC4kI9LQ=s176-c-k-c0x00ffffff-no-rj,0.0
