cid,text,time,author,channel,votes,photo,heart
UgyLQQjumeCn6YSIkOF4AaABAg,Its coming here folks .... these left wing nut jobs are all for this,3 hours ago,FRINGE MINORITY,UC6R8JLeAHUrl5lfLupk-eFw,0,https://yt3.ggpht.com/ytc/AKedOLRVK9gxy3b04wXUw39w8PeH9uPPM4_UEKo2CwgW-Hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZYOLrfn-UEFaOPNF4AaABAg,"Lockdowns, mandates, restrictions, health passports and censorship = a living hell.

No threat in the world is EVER worth that.

Vote wisely. Vote that out FOREVER.

Reference Shanghai.",7 hours ago,Wild Weasel,UCy9FNCQoBps-EvyETT5ALmg,0,https://yt3.ggpht.com/ytc/AKedOLQFdx7yqBGy1UJ9GbK4rZVogMM79L84TRzsOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLrczJ6zR10XS2-ep4AaABAg,"More deaths, please..",11 hours ago,Fritz Andrew,UCSrY0vm1xO0dUw2DRoAUO7A,0,https://yt3.ggpht.com/ytc/AKedOLQsMv2iH-BjlaHVR8EErJz8pevclIOuEPq1yMrRYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynyBaBBekux4cYLrB4AaABAg,Rivers of blood can never bring peace and that's what happening in China right now.,15 hours ago,Gene Frisby,UC3EiZfrDOD-8TuUmveuj4vg,0,https://yt3.ggpht.com/ytc/AKedOLQuSNJ9VAAefCYeFXeQdllTHL_p-MJt-t2KNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuVItiewJy_32ICDV4AaABAg,This due to confusion caused by the switch from one-child to three-child policy. Many Chinese misunderstood it as a three father policy which resulted in comical and confusing results. Now the whole of Shanghai has to be locked down so paternity tests can be conducted on everyone to help CCP members determine who their real fathers are.,15 hours ago,Clockwork Orange,UCPebSZ1WmriDRJLH6YmWEMg,0,https://yt3.ggpht.com/ytc/AKedOLR14Itmp-xvs2sBADtT-YnkfmOfn4hQ7Usi8w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIc86pP9cGuib30DV4AaABAg,Very happy 😀😀😀😀😀😂😂😂😂😂🤣🤣🤣😂😂😂,16 hours ago,Dev Sanjay,UCVJVpsqFSbe9SPtxoqaTAoA,0,https://yt3.ggpht.com/ytc/AKedOLR0sAgTKLPMjWKk_OmNLHLqEE7_5lIx72_VAMI5lg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPSUG5otjm-K69gUx4AaABAg,Throw china out from UNO. China should be punished by 4o trillion dollar as compensation for victims of virus.,16 hours ago,Vipin Tripathi,UCqKJgyo-pTLGWh1ZM--eAaQ,1,https://yt3.ggpht.com/ytc/AKedOLQdYKzbREyQgQDMFQztCqSEVEdnEpCP18ByoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiaHA9lC27rqHEsSJ4AaABAg,Is the Woo Flu coming home?,16 hours ago,clayton delanie,UCAOgsofsApt8sVHtXhzsmaw,0,https://yt3.ggpht.com/ytc/AKedOLSOV2n5886If_kbE3VsWPQOf3AifDiV4OyuFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaX0ecPaWcw6rmlgB4AaABAg,"Where is ""Winnie the Pooh"" and the great humanitarian Wife, Peng?",17 hours ago,David Hynes,UCvKgb4khY00fjj4VAJuF88w,0,https://yt3.ggpht.com/ytc/AKedOLQktAiFAE864g4ZOgM31QUTCPWC4DnOcLMsVpjxNUk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIIqg3_BDQPRAi-JR4AaABAg,No more china. Get rid of them.,18 hours ago,Bill AndTed,UC6LrD2o1FTpbuEX9juey5-g,0,https://yt3.ggpht.com/ytc/AKedOLR5RwN_O_3ZFDJz9GtQRXU3Jr_Pj8-rJhWy3Tq77fSSlQLBNQDwpozp0kGyKAzq=s176-c-k-c0x00ffffff-no-rj,0.0
