cid,text,time,author,channel,votes,photo,heart
UgyuOV6skJYMcttJwFx4AaABAg,"Ham,  Mahajir (Karachi Walay) Lanaat bhayjay hai MQM per. 🖐️",9 minutes ago,M K,UC9UnQ45lSgvmQ8-kSns1ang,1,https://yt3.ggpht.com/ytc/AKedOLTKFo7TOMq-oEDIc8l6pxggIHGZbNpdB8lz7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKfXhzHghqJJ1d_wN4AaABAg,Lol  😁😁,1 hour ago,Sarwat Pirzada,UCKlln5J4g9EZ988nT-E5Kpw,0,https://yt3.ggpht.com/ytc/AKedOLRhFLrUcBq2Yznzg9HA2tSlvKn8ZA4tt9cxkw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7ZcbuKo_L4xb6ZeB4AaABAg,"nepotism, cronyism and crookism back to it's most corrupt",1 hour ago,EngleHump,UC98_bYJFEk4S8OcNPUGAbIQ,0,https://yt3.ggpht.com/ytc/AKedOLTxyX0Ui-dAcMFxuZURsjylW-wNUuKPe7Ek2A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2AYtg0kBoUj6AdFB4AaABAg,"The slow bankbook monthly develop because chess qualitatively found pro a quickest permission. mammoth, wakeful raft",2 hours ago,zeke chen,UCO7y-AKLMSAds1CGxpQenjw,0,https://yt3.ggpht.com/ytc/AKedOLRHZSWBwnxlY0j_z-tmlAtCfGnUzyA5pwhluA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPy5ZklTCcTnpYQPp4AaABAg,pee pee pee party has most appropriate name for a pakistani party.,2 hours ago,Vikram Bhat,UCZTjrfARt9SWlOEZx-aIGKg,0,https://yt3.ggpht.com/ytc/AKedOLT5LjRlAoIh-HSrmzleeH_TQow9CZeSXvdCpw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwreiaEltYIV6HTfmJ4AaABAg,"We Indian should not comment on their internal matters unless it it effect us directly and negatively.  
We should limit to watch and enjoy as long as it help us positively.",3 hours ago (edited),Subramaniam Ramakrishnan,UCeCCoDL8SfZcl9F8ySKaXHw,0,https://yt3.ggpht.com/ytc/AKedOLQ0soHghRbJVNNoS7IUzXwn7LJ7uDWiO0EnOoX-i-GaMr992pxBCSYj1cz-M4En=s176-c-k-c0x00ffffff-no-rj,0.0
UgyD18QA9BUrlRWtfiJ4AaABAg,Oh Billo Rani kaho toh abhi jaan de du ! 🤩😍,3 hours ago,Sanjay Sanj,UCT5o9_YSCIqacEvFQepZrCg,1,https://yt3.ggpht.com/ZYqpavnn1KZKCaE4ASYw2Ym8TeeRymVcEBki6GIzO5WA74sAYiGGcIpOeXiTgEXk4fMEwKl5Xfc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy57_j5ZUhIlqnTLLp4AaABAg,"If Paxtan's pappu becomes its Foreign Minister,his first decision will be to put Paxtan for sale to the highest bidder",4 hours ago,Varun sriniwasan,UCtVKAYBB-1ty3Njo3qK3xPw,3,https://yt3.ggpht.com/ytc/AKedOLSfcLtqA2N_TLg1qIpA15moavi9Z4rMBpqwLMWvNPU_SNEnvxfFPLyHE3Tibj-E=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBNN0d6a8H5E3bU_94AaABAg,"I can see the mosquitos all over the unShariff head...
So much for the FouRRRannnn minister... an aspiring international player to camp on dollars, dinars, lira... and ofcourse the prizes of international incognito....",4 hours ago,Partha Dey,UCtbb4xeaGsFMHmlb7MGM16A,0,https://yt3.ggpht.com/ytc/AKedOLRmgHgrWjKFweq2X8pbwgaREMCUnssJnU2uDg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6Khk9_jHHdB5FYi14AaABAg,He will do great! He was trained in India by RAW 😁😁,4 hours ago,Ronit Ganguly,UCCVE6v0JIE8vaIXnW0UEyag,0,https://yt3.ggpht.com/ytc/AKedOLRUj7otwHrdwQBpGiHRVOLN7J-h-g3msnDozB0pYA=s176-c-k-c0x00ffffff-no-rj,0.0
