cid,text,time,author,channel,votes,photo,heart
Ugw2uVkNS3aKCoy6Qxt4AaABAg,South Africa is for African so why are black people in south Africa killing each other,18 minutes ago,Alex Edeards,UCOF9lu4U1AKQor18WcklYIg,0,https://yt3.ggpht.com/ytc/AKedOLQ6RteqDLXaCKpnu-8nFVLrHtYJOi6dNmurCgK-8ZLaTT2AyinewyHqtC_ei4G0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYuXYrFG7M3jtyRFd4AaABAg,Shame on Africa,55 minutes ago,Jean Blese,UCAYhtmcLHZY4FdbHhuHyFJA,0,https://yt3.ggpht.com/ytc/AKedOLR0vs0UJ7_hR_JWTMyCBCWauQBYA7h05sCcc6r_jayurouUiLTlzjH_maFhN7jb=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlFFmYviZSWIKUDmJ4AaABAg,Absolutely no excuse. There are not enough jobs in other African countries and there are still illegal immigrants living and working in those countries. Why don’t you hear of Xenophobic attacks there too?,1 hour ago (edited),Bryan,UC_9-Dd2P3oJll3xUrRfQvjA,0,https://yt3.ggpht.com/ytc/AKedOLTy1RSlcbe5CSm_J42ffftnUaxmSgk_bF2mVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhJuPRKIGnrM4Tm5h4AaABAg,"LET ME GET THIS STRAIGHT. THERE ARE NO WITNESSES JUST CAUSAL NON OBSERVERS. AND FURTHER THERE IS NO GOOD WILL TOWARD MANKIND ANYWHERE ON THE EARTH! IT IS TO KILL A MAN....................!!!!!!!!!! OMG. NEXT, THE AMERICAN DREAM IS TO SUFFER FOR A JOB AND ONLY WISH YOU CAN BE pIGEON HOLED FOR A LIFETIME OF ENCUMBERED SERVICE BY THE STATUS QUO? REGARDING THAT YOUR CONTRIBUTIONS ARE ""NUL""L FURTHER YOU HAVE NO SKILL AND DO NOT ACKNOWLEDGE YOUR CONTRIBUTIONS TO BE ANYTHING BUT FOREIGN. I KNOW IT IS NOT AN AMERICAN DREAM TO WORK FULL TIME AND FIGHT FOR ""ANY"" REGARD. UNDER NO REGARD LOOKING FOR WORK IS AN INSULT. IT IS A VACATION A pERMANENT VACATION THAT IS DESIRED. TONGA ARE CONFUSED. COMMUNISM IS NOT WHAT AMERICA IS ABOUT AND NEVER WAS. SO THESE ""WET DREAMS"" OF LATE SLUMBER AND A BRAND NEW VAN WITH $5OO FREE FOOD EVERY WEEK IS WELL JUST A SEXUAL DESIRE IN THE FORM OF A ""WET DREAM"" AND THAT YOUR WOMAN HAD WHEN YOU LEFT HER FOR YOUR COVETED MEANINGLESS FULL TIME JOB. OBVIOUSLY! SHE AIN'T GETTING IT. WHY DEATH TOLL? THE COMpUTER EMAIL A SENDS INSTRUCTIONS TO YOUR COMpUTER CAMERA TO VIDEO TAE YOU AND WELL WHITE MAN DIES OFF. THAT AND THE COMpUTER VIRUS FROM A BLACK WOMAN SOMEWHERE KILLS THE BANK ACCOUNTS. BLACK OWER? YOUR NIGGER WOMAN IS SADLY MISTAKEN ABOUT LIFE TERMS ON EARTH. [NIGGER WOMEN WANT TO KILL A MAN AND WORK FULL TIME AND THEN CREATE BANK ACCOUNT VIRSUS THAT STEAL MONEY FOR MORE MONEY] FYI: THERE IS DEATH TOLL AMONG BLACK WOMEN.",1 hour ago,Dare You,UCrX59Y8Ju34ObIyOJZ2dB7Q,0,https://yt3.ggpht.com/ytc/AKedOLSltHYCGIZm234_VRD7vCjhCBd49hd2FN0YDkTvu9u-aPk-BTAumBmRRmJbNKsM=s176-c-k-c0x00ffffff-no-rj,0.0
UgyarW6pOb9gMgc2JFp4AaABAg,"Get your facts right please interview local South Africans not this human rights groups who have no clue,it has nothing to do with Xenophobia.They spoke of Nyathi what about 7 people killed by undocumented foreign nationals",1 hour ago,Theophilus Mpumelelo Gubula,UCIumRj-3IYuFWfLMTFbX4Rw,0,https://yt3.ggpht.com/ytc/AKedOLRl5YgnSobQkhyyFEpvTsWJegCNKFI2yWRrFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGVPw5K7TVBo4wmqB4AaABAg,"The Nigerian government has a foreign policy for Africa that often got a lot of  Nigerian citizens talking. For instance, spending a total of $64 billion in fighting apatheid while citizens suffered made no sense at all. But as we Nigerians matured in life, we got to understand 'the curse of the big brother' . All those sacrifices over the years has earned Nigeria the status of ""the giant of Africa"" and the world has taken note believing and coming to invest in Nigeria in droves despite the insecurity in the country. Generosity is not foolishness, but it's a form of investment because being selfless always has its pay backs one way or the other. Nigerians are known to be very generous people. But Xenophobia to me shows weakness and lack of confidence because it reveals a lack of willingness to compete. As a Nigerian, I don't have any business in SA and never will. Gone are the days when SA used to be an attractive destination for Nigerians, now its other Africans that see SA as a worthy destination.
So yeah, the purpose of the Xen attacks is yealding fruit for South Africans as Nigerians are looking inwards now. With world class infrastructure springing up everywhere, Nigeria has quickly become the number one destination for tech and entertainment in Africa. Everyone is coming to Nigeria. Xenophobia can continue even as a state policy in SA for all I care, the future looks brighter for Nigeria as an emerging giant amongst nations of the world. Wish u guys luck",1 hour ago (edited),UGO AWA,UCB70fouhmEqYnjZZAeEPY_g,1,https://yt3.ggpht.com/ytc/AKedOLTgJR-E4g4i0CgeF8H3fpO36xlTBOvxeVbjuG6hjw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtTE89DHDkaRS7shl4AaABAg,Which part of the world is a literal shit hole.... You right its Africa,1 hour ago,Ash Wolf,UCn72blSnz-xvwyzPemgyCIg,0,https://yt3.ggpht.com/ytc/AKedOLRf0p9f-Wohdh2eXOII7-cvN6T3I4mEIy8lW0K_=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxk-y9qGEqf_er71BZ4AaABAg,Shame on us.,2 hours ago,JEH Africa.,UCa9Cy_pl-JDlHGXH9HkOrtQ,0,https://yt3.ggpht.com/ytc/AKedOLTb_Blp20FzbBYEjwjBullQpXzi4-SUY8sUTFS-=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXBoH305El0wvTNal4AaABAg,Why would I leave Ghana for South Africa?,2 hours ago,Isaac Asare,UC5KMwK2-iyaqTDAndQEvHLA,1,https://yt3.ggpht.com/ytc/AKedOLTasy1Uxxe3yHfLA0yTmGJX23_Em_jZep8A6CMdDw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxqzp-DrgtyklRq9mN4AaABAg,Elon Musk do something........,2 hours ago,Popeye Sailorman,UCRAdidnyiRsQx9LSyqaQAAQ,0,https://yt3.ggpht.com/ytc/AKedOLQwUbkub4-NKve16hXd5JrqTptzc435nYnO4lCxRQ=s176-c-k-c0x00ffffff-no-rj,0.0
