cid,text,time,author,channel,votes,photo,heart
Ugweb17qbPfOomON8lF4AaABAg,This girl is even hotter than the other one. Mmm.,1 minute ago,Andy,UCD0BuN2yC1L5-dsbtWzwCcA,0,https://yt3.ggpht.com/ytc/AKedOLTvDXrOZ0TZzYu-wI_7juzOKUsCUbrIqgqTSw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyukcegv5imk94Uf4x4AaABAg,These Sri Lankan's were the people who elected this gov as they loved this gov doing atrocities on a minority religion. They were praising and singing slogans of appreciation for killing & destroying innocent minority people ... !!! I have no sympathy for these kind of people .... suffer now and suffer pathetically.. !!!,3 minutes ago,heera1975,UCUklWFyFzVWzfWx5YK-VBPg,0,https://yt3.ggpht.com/FADnNL-sVhD-gdtqlvx3iwWLozCrxQAc81cox0rBCWFVdcbOtow-XbGl6G1OA6jj7ncpx8z0QA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJKphBYzsMJUBgoWd4AaABAg,"If the Srilankan government had maintained a good relationship with India they would not have suffered so badly.
Instead, they opted to become a lapdog of the Chinese.
Anyways, I hope they have learnt from their mistakes",47 minutes ago,Vitasta Blues,UC6HzVYjFhtGu-XNGRPAMQrw,1,https://yt3.ggpht.com/ytc/AKedOLTBwf0vpVTwYMQP6q7AJEMYffPOcs9eTnsW3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiSTemwboq0nr8WoF4AaABAg,"🙏 Prayers for the people of Sri Lanka! To help save money and prepare for the uncertainty of the future, my family and I have started a small backyard garden. We're learning how to homecan, seed save, make compost, and preserve what we grow. Less than 2 years in our new home and we've completely transformed the backyard. We are beginner gardeners, growing and learning along the way. Recently I started a gardening channel to help encourage others to begin growing as well. No time better than now to learn self sufficiency.",1 hour ago,Creative_Grassroots Garden,UC6MBxKArZ2hZa3Fs_7aXQng,2,https://yt3.ggpht.com/uq6FPeiDm5yewKmFAgrIrekza7nQVQ5ItqJXZyInZn8PWIIBM0PsBuXJb3h_Pn6u_-TDadDusAs=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHC5rzphXGljZBTuR4AaABAg,India me bhi ayega jaldi hi. Don't worry . 20-25 jitna jina h ji lo,1 hour ago,Bhanu Pratap Thakur,UCKcpoK5otyFioSRAMxBnPoQ,0,https://yt3.ggpht.com/ytc/AKedOLR6q_3bVht-mfmt6UwV7zf-3LaTmJqxoTn7eg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKxGjHzw01rEeuhFR4AaABAg,I feel this is a perfect example of why countries need to limit their population. They have had decades of extra large families living in filth and squalor. I believe nowadays the average family is two kids. However the damage is already done,1 hour ago,0,UCey8Qxdbcg4_SKpMpRuZQtQ,5,https://yt3.ggpht.com/ytc/AKedOLSo6SJM_6zRZqeyisltPX--s2wnHawNcgMhtkmcOVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHkSvIWoRJxf_HXe94AaABAg,Feel very sorry for Sri Lankans. Why not the opposition parties get together and prove their majority in the parliament? Why wait for until Rajapakshay  family resign?,1 hour ago (edited),S S,UCHSfuxNQ2XZQtwnx6CfLg6Q,2,https://yt3.ggpht.com/ytc/AKedOLR5cTvNHJ0EzEFOW0T532qwsQJ93wg1-g1a7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsDoHMPqAGP-kV75d4AaABAg,Solomon Island will be the next to get bankrupt.,1 hour ago,My Name,UCzxuoDvPzlU_eYvVaNh6h0g,2,https://yt3.ggpht.com/ytc/AKedOLRxlVqZAjOGYSgABk5Azuw6RuFKcc7oubWX7_c3cPOWiABqFTppwFyyysmZUsW9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxo8MuKcNLIbTrKE9V4AaABAg,"Srilankan are paying for their past karma of discriminating on their Tamil Brothers. 
Sinhala Politicians who helped in the exploitation of Tamils are now exploiting the ordinary citizen too ..... 
Sinhala should first shed their superiority complex .... and never believe in only 1 family ever.",2 hours ago,Ramesh N,UCj8cvRRMKiPtBNiD72O_SQw,8,https://yt3.ggpht.com/ytc/AKedOLRCHf0fglK22hyf6JTORZvB0mayZqpWAu9V_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrSU2r1JPXhoQQC2Z4AaABAg,Don't trust on China they will eat u,2 hours ago,ola uber,UCHnBnrUur1fTi9Gyh3UsixA,0,https://yt3.ggpht.com/blNNBIdU6MjATyYxKcKnEP9PC4jGSL3f92p2MO8p--J1fbDDxyEvgFRELNjyr2sJ8Kcnbmo5=s176-c-k-c0x00ffffff-no-rj,0.0
