cid,text,time,author,channel,votes,photo,heart
UgzSOKutzyNQquDUAsF4AaABAg,Salute to Palestine,8 minutes ago,Dark angel,UC357dgApOKs89Eqar8yZF8A,0,https://yt3.ggpht.com/ytc/AKedOLSgIqFL_0uojOEOvJ-R0poLU05I-cP3N7llXEC7qA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6suka7ckONQ8Bn754AaABAg,i must say she is so beautiful and so white too and naturally for a guy a sight to behold,26 minutes ago,b 0zo,UCsX_-h8iMVnfMvnZ-VaQ1uA,0,https://yt3.ggpht.com/Y0ts5xjZcZFOqxOdDE-kgoNADzrQviLIdBT_dJspqmglR90VwoJ6dBqIu5rMt9xN_dFJdiEwTQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG1UEPsD1zwBnq8kZ4AaABAg,WION I respect you Chanel.. Please stop Supporting Terrorist like Hamas.. Israel is Good... Jai Hind 🇮🇳💪💪💪,2 hours ago,Harish Veera,UCCNo9HGcCHaAeJ8RLohA4vg,0,https://yt3.ggpht.com/ytc/AKedOLSmutLEv4NgYa6HBUNSw36JBurMWanL7TnPyhTkQw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT1nsKcyowYKaoPn14AaABAg,UNFAIR REPORTING!  Israel is responding to violence instigated by Palestinians. Palestinian leaders are instigating violence. Raids by Israeli police are caused by the violence. The Temple Mound is Israel's most holy place in Judaism.,3 hours ago,Patricia Wingate,UCFgYYmHRNHUZCRgZVyDaq8A,0,https://yt3.ggpht.com/ytc/AKedOLR9rwCkzpC8ZxRN0t7-WWkKSmaI3CsIxI61Hg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyffR69toODP9S53pl4AaABAg,This is not clashes! This to terrorism by an illegal occupier.,3 hours ago,sawsan mccloskey,UCFE8nNLwslbvWSAq5qlR7lg,0,https://yt3.ggpht.com/ytc/AKedOLRBzkKwdaWf2XbxNf6O9QHaE4IXX6-I-rzB5ouO=s176-c-k-c0x00ffffff-no-rj,0.0
UgwA179fgJbGBHblrC14AaABAg,"Are we mentioning  Palestinian attacks in killing Israelis, throw a rock get a rubber bullet fair trade.",4 hours ago,stu uts,UCdki99GmUsywEeqVxTa2S4A,0,https://yt3.ggpht.com/ytc/AKedOLQseUAcMTarv9mOC7X537dfk74E2Pyh9JZ9PwTz=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1k8H7fDO2zNqjwzZ4AaABAg,"Every year Palestinians ""celebrate"" Ramadan this way. The rest of the year Shias and Sunnis fight with each other. And Islam announces itself as the ""religion of peace"".",4 hours ago,VG,UCWsB9XkPo9B4bDuMwkaPnmw,3,https://yt3.ggpht.com/ytc/AKedOLTF5wPCs4gceUmH6VImpQKrHtcTIvcRB2hPGG5mcgeH5vapsK-VdBM5BqN7gad6OA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwq-H6zvmBzdczrSM54AaABAg,"Here is some interesting information on WIKI....""Although the city of Jerusalem is not mentioned by any of its names in the Qur'an, it is mentioned in later Islamic literature as the place of Muhammad's Night Journey. Post-Rashidun-era Islamic scholars traditionally understood the story of Muhammad's ascension from Al-Aqsa Mosque—'""the farthest place of prayer"" (al masjid al aqsa) as relating to the Jewish Temple in Jerusalem. There was a significant group of Muslims who disputed this connection, identifying ""the farthest place of prayer"" as a reference to a site in the heavens. Based on the writings of the 8th century historian Al-Waqidi, some scholars have suggested that the Al-Aqsa Mosque mentioned in the Quran is not in Jerusalem but in the village of al-Ju'ranah, 18 miles northeast of Mecca.",5 hours ago,Suryadevara Rao,UCBjiZPdrhKXqXcnKchHRkfw,1,https://yt3.ggpht.com/ytc/AKedOLSVPl7gCNN792oYAOXDu0JEpDzjkxZcqmZFWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZ0bHSkP0a3UJNSDZ4AaABAg,"stone pelting community..
wherever Q book following  peaceful community,there is no peace but humanity in pieces..",5 hours ago,Hanmant,UC-KtaaXXrGt526pej-kO2nQ,0,https://yt3.ggpht.com/ytc/AKedOLSK_gY99QEelqkaM3P8aoqeTKvI9nsVJNDuqdVfwQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5eAd8ZP3ubMhlLah4AaABAg,Beautiful Lebanese anchor Ghadi Francis 😍🥰😘💘 Goddess ..,5 hours ago,Joseph Occeno,UC3az1IlvwfhZTdF5LUu4rfw,0,https://yt3.ggpht.com/ytc/AKedOLTStTEzyDvDLzi7K5vsx2IyKr4ZtzGick6cZw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxe7La_VqyAm8LPckZ4AaABAg,Oh please say no to Violence.. !! But Hamas must also understand this.. War is two way/ both sides Just like clap happens with two hands not single.. Israelites and Palestinians must understand...,5 hours ago,Aspiring Aspirant,UClIhHvotM0Dn-_g7duiyQwQ,0,https://yt3.ggpht.com/_8JE3Gp67cm93AXH_c3Eq6Gm0DIGdDG7gLLDZ9zJZIaFZCqYqy7p1KPUCX6oeYO7OhI68XJacw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYrrB5k21TJQv5x4F4AaABAg,"All this shit in the name of religion,,",6 hours ago,Carlos Fasano,UCKCUUqI9JD4TqW-PLgCU79w,0,https://yt3.ggpht.com/ytc/AKedOLSxM41ncCSVFWTvjy3hoLvPckKD_DaEE_GM9Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1bPeZFBwrBxKcewJ4AaABAg,Man I swear I'm not here for the news.,6 hours ago,YoungSinatra,UCSFcbu1rDhs7cnPLIbTZM3Q,0,https://yt3.ggpht.com/ytc/AKedOLSmmEeI7HYypE36bSQ_3F99wb3v0Niy8I4vuo4Prg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxI6gPNesU_HPyOyid4AaABAg,Free Palestine   🇵🇸❤️🇮🇷,7 hours ago,Arian Sohrabi,UCoAD8vbmJvu7xOce8TG1msA,0,https://yt3.ggpht.com/ytc/AKedOLRchkMO32sSg7R7ClTIMfXO3Shknj-YDkY_QYapyQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_TcVhVrqPhtVsmMF4AaABAg,These Killings among themselves have been going on in every year. IT BECOMES A PART OF RELIGIOUS FESTIVAL !!,7 hours ago,swarup.k. dasgupta,UCoEuhaeWbRTVuyBH83_dNvQ,0,https://yt3.ggpht.com/ytc/AKedOLTVEc8rygaFs-rYJlWj580fpCyXOes6LYD9lA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh7dM8A_a0KlF4dTp4AaABAg,The world is shouting about Russian invasion in Ukraine.While te palestine abuso act of Israel on killing almost hundreds thousands but still the nazi /fascist US/UK/Quad eye are blind/dump on the daily incident in palestine,7 hours ago,Mario Sismar,UCWw1Kl0xYZgZpVAEQ0O2iCQ,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPnGeVu6i4iNdBWNp4AaABAg,Tell us the name of reporter 😠 what kind of journalism is rhis whn you cant even give credit to reporter.,8 hours ago,Xavier,UCWwNyr_sV8aH5ZdE1gV9g3g,0,https://yt3.ggpht.com/ytc/AKedOLQlcb1MaSEl1gvZu_PGpJ_GZrJJkiILX5BOLR6L=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwq-H6zvmBzdczrSM54AaABAg.9_sx-QpCv649_tTk_EPQBc,"If you intended this paragraph to be read as an academic statment, then it would be wise to first conferm if ""Wikipedia"" and other such materials are considered ""authentic"" and acceptable by research methodology",11 minutes ago,Arnav Shukla,UC_9WbcIn85rw-WnDLGuDuOg,0,https://yt3.ggpht.com/ytc/AKedOLRqhypSPYXCtkQcKJwxgQp5wh627u9YZY1FrNSgyQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPnGeVu6i4iNdBWNp4AaABAg.9_scoSgqxtM9_sz0jqpdHm,Her name is ghadi francis,4 hours ago,Ashish Choudhary,UCxITuzq5-eqbav2jYr7pijA,0,https://yt3.ggpht.com/ytc/AKedOLQ6RteqDLXaCKpnu-8nFVLrHtYJOi6dNmurCgK-8ZLaTT2AyinewyHqtC_ei4G0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwL4eLvyqfBsIfg0tZ4AaABAg,JOURNALIST  ko 👀👀 hi apni apni LINE😎  😍😘 Clear Kar rahe he sabhi 😁,8 hours ago (edited),Pawan Kumar,UCqExbC5qf3Roipitd-FYfKw,0,https://yt3.ggpht.com/ytc/AKedOLSq60-Hb76zDusC2nL9BS98Ef_MEyngfsyRPOgnhhQOKMmtQNhFZ_qAm4xhXiLp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3-EWGbg4xbxeRz1x4AaABAg,"guys appreciating someone beauty is different than simping. 
Think before you comments shit",8 hours ago,abhijeet,UC0C-1AtBWMhqJxP8vL_JL5w,3,https://yt3.ggpht.com/DmmHbJy4nKa515TivyeimtjMpD_1GxSzzcXU3JsNH7C38yGfiw1y8hz45UIlmr0CrWgbmN29=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyi-AbGi-Po_l4GB9Z4AaABAg,If Israel army are brave then they come to Afghanistan for fighting with us with pashton 💪🙄,8 hours ago,SHAKEEL  Abbas pinno,UCY78HjUXJS5bY1J24E7b0Fg,1,https://yt3.ggpht.com/-yBfMDwhHgwkfPbXRFmvR7xur85u2cllj3VlYkrjgvbc0WxTm_QlMkmAREXE1HqIE1pZIBKB2uw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw60Je-Qaq9O18nelp4AaABAg,Reporter catch my attention is she indian,8 hours ago,Boycott China product,UCwHfAtch_4jrKw7GTqBBBMA,1,https://yt3.ggpht.com/ytc/AKedOLSX74LQrvz5GutK-sgdUlcgcZmQKpSqwNtshhu0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNDK2UTxX-6tLCKZF4AaABAg,"I didn't realize that there is a legitimate and internationally recognized State called Palestine !!!!!!!!!!!!!!
When was it founded and what is its Capital?",8 hours ago,Danny Hughes,UCP9Bnxlb5SsPFw7sKrO4FYw,2,https://yt3.ggpht.com/ytc/AKedOLTm3R_mF9fRijEFZZKbmJvMyghj5ymaWsRY1w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxnmFi6NCFY8guBrB14AaABAg,"Must be Ramadan then...every year Palestinian ""celebrate"" Ramadan doing this.",8 hours ago,VG,UCWsB9XkPo9B4bDuMwkaPnmw,2,https://yt3.ggpht.com/ytc/AKedOLTF5wPCs4gceUmH6VImpQKrHtcTIvcRB2hPGG5mcgeH5vapsK-VdBM5BqN7gad6OA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhBci6ajOBz1CFsCR4AaABAg,Name of journalist? Want to learn journalism,9 hours ago,The Captain India,UC8JTSTsjwvxLVhXV09n4YdQ,0,https://yt3.ggpht.com/ytc/AKedOLR7Rk1WoQcJSDBCjdSq9Ja51kmn1FbS_FWqdPaCWeKPi3qLz4drrcz8R481GeSZ=s176-c-k-c0x00ffffff-no-rj,0.0
