cid,text,time,author,channel,votes,photo,heart
Ugx3cZ4ojo9LsV3wzPN4AaABAg,"Let’s be real, does anyone take twitter seriously anymore? If musk does get twitter all the madness will just go somewhere else. (Probably lol)",1 hour ago,Blast 5240,UC7YatLBtjaAjV-EMmEEbP0g,0,https://yt3.ggpht.com/ytc/AKedOLQFOSZA58Jg7w8HUJ6j5j-m8KyH3FVD5AerOQyxpw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIoEC7Hfrg0ueTq7R4AaABAg,y'all are bugging questioning freedom of speech. Y'all are the problem.,1 hour ago,Sage Opheim,UCg5jXXULjrOWCIlxn9O5ieQ,0,https://yt3.ggpht.com/ytc/AKedOLRn6SJyk1qscq-hNN8u34BYqqb0a4_2E2Pbgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw66eJ5Xb6F1jUQgPR4AaABAg,A poison pill that could back fire cause these companies by law need to do whats in the best interest of the shareholders not what a board of powerful equity firms and princes want.,1 hour ago,martytube821,UC8cuBSCHjs5hqSd8oot3oOw,0,https://yt3.ggpht.com/ytc/AKedOLSdnV8ryKCdLe-i8O5AznmSdd8qUYCiIieEpQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-_at5loa9KNSInnB4AaABAg,A lot of shareholders would be happy to have Elon take over. More people will use the platform for sure. Maybe even Donald.,2 hours ago,Yesindeed126,UCCw2YF29LmPsnC5O5JLS1DA,0,https://yt3.ggpht.com/ytc/AKedOLRqDkTXXWAlqJHBHFtSLeI5rkdyMKvNZI4BVitA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKY60DR3nhhrhS7Qh4AaABAg,"This should be forced, too many people use social media. It cant be controlled by the sort of people controlling it at the moment.",2 hours ago,Yesindeed126,UCCw2YF29LmPsnC5O5JLS1DA,0,https://yt3.ggpht.com/ytc/AKedOLRqDkTXXWAlqJHBHFtSLeI5rkdyMKvNZI4BVitA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxducM3-tAlsNCUPjt4AaABAg,"Elon Musk, will one day attempt to buy the world.",2 hours ago,george emenyeonu,UCCWmGE88bHqrD0fTMiVI9mg,0,https://yt3.ggpht.com/ytc/AKedOLSNaosrN4hSzYfe2-99KexYCaec0QOXZOE3dg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOBO-KzTQYTBZ_n2V4AaABAg,Most people have become a simp for msk.,2 hours ago,Rejoan Bary,UCOay5PbH1IcBY81aFkbZdSA,0,https://yt3.ggpht.com/ytc/AKedOLTJ5yZSWFiPQQV3aEl_O-NVOo5qbnpej_QYPA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmqZdZDUix6DL9ZuR4AaABAg,Elon Musk should save his money.. not worth to buy Twitter.. can start another company with that money. Another things it's revenue isn't great,3 hours ago (edited),Derebail Bharath,UCvVEcHCKZNR93F2mIdyGXNg,0,https://yt3.ggpht.com/ytc/AKedOLQtl_pSSeYspl5Y0uqQ10ZwN_3HYoWoQmG7KMXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAQrNDBjmiRuk6vpF4AaABAg,Wait... So they're price fixing? And they say America is a capitalist country 😑,3 hours ago,Jeannie May Crawford,UC0Vn2qOzdo45YilNMXBIntw,0,https://yt3.ggpht.com/ytc/AKedOLToiRvWLs3drjfplOWhOKigVdNT9D6YSfejKVPqsA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhSjZl2nmbwNTQvFJ4AaABAg,Instead he should creat another company,3 hours ago,jainams special HMT,UC4otHvu39bl7UFoi_xfartw,0,https://yt3.ggpht.com/ytc/AKedOLQ14EEeVQCLo6EdP--9clh5rAEVDyMpLroVW9osR0UA-zyYy62ZuEI6ECRclewk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzWalvUdA6hf1s4Ih4AaABAg,Can anyone explain how this poison pill play is legal? He doesn’t own 15% and I’ve watched 2 videos so far that mentioned this threshold.,3 hours ago,Coder60,UCDb9kiv4CkYo1LTB2-DH35g,2,https://yt3.ggpht.com/ytc/AKedOLTQgIN_G20-PkxcDxzXcl7A5cmMy9n8OKJPJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJiIbhKZD0T628ket4AaABAg,the Democrats we all know use big tech to spit their garbage and cencor conservatives but since they are ruining the country the pushback will grow,3 hours ago,S P,UCFnnCtBlpQsUosDDqltnZLg,0,https://yt3.ggpht.com/ytc/AKedOLQ62YMKqkPF2WgUNMw9s-ufl7q89vxIZDVB3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaHngbxpJ_86285Dt4AaABAg,43 bilion. Enough for Sri Lanka to come out of its economic Woes,4 hours ago,Appu Joseph Jose,UC5JgXpH9oZFms8Bp24GcGbA,0,https://yt3.ggpht.com/ytc/AKedOLRQyq9YuMGDz2IrPGmC3bWk29oGSPpcJl98ZfvlIA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwO2vpTP82n7W8y5_N4AaABAg,Elon musk is for free speech and Twitter And the elites are not crazy about that. Our corrupt leaders around the world try to censor the truth daily🤷‍♂️,4 hours ago,Jeremy Hyman,UC6BY_8DMl8NPK9YAJqfKVeg,1,https://yt3.ggpht.com/ytc/AKedOLQM5oXhetn4VBZ0Wsq0dyUazIQuyn-_NK68HThl=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpLusdN9-gVNMWOlR4AaABAg,just cos she is pretty doesnt mean she is good at reading the news. on the contrary..............she is pretty crappy at it!!!!!!!!!!!!!!!!!!!!,5 hours ago,Julian,UCZ4AFyQMxO00DmfHqH3_0Xg,0,https://yt3.ggpht.com/ytc/AKedOLQpuKP79sp45MAavEgaHvdSPaEq4LJnvc8hcABphg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4p1PmjAFtGQNncRJ4AaABAg,"ahhh, the rich eating the rich.


poverty has so many forms in a world of debt.",5 hours ago,DAT REVERZE,UCNsogz8WhsBh6FqH3XBylVw,0,https://yt3.ggpht.com/ytc/AKedOLQNqrTmwBKitYmPpiUXLkpv1RwRbr7vIRPsVO7YHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxA5kNS1mobuAB8UTB4AaABAg,Elon Musk Paranoia Syndrome on Twitter....,6 hours ago,Fred Sanke,UCYlpbmIrgHF-zMM1UFhDHSQ,0,https://yt3.ggpht.com/ytc/AKedOLSNaE-vpzynPNyKpDAQS25woq1nTJIAur7h-Hc4l_wGjXr9m0Y625X6_FDIovmx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwbfhb6q1qoCKqp7Jx4AaABAg,Sooooo he drops a billion he made in the first hr b4 and gets what he already has😂,6 hours ago,Gambit Odsey,UCmSFFoOa-4ahbHOnfa-DPeg,1,https://yt3.ggpht.com/ytc/AKedOLR9APJFOCOP0ZCdjS8OtORYhG85B0lzztAkt2eXET14nyJjunMoauAo683DXmj3=s176-c-k-c0x00ffffff-no-rj,0.0
UgzW72Bobp6OJuSmzZp4AaABAg,Delete twitter account 👍👍👍👍,6 hours ago,Diluka Prasad Gangabadaarachchi,UCU_FZM8b4g8xSOdVstIfBKA,1,https://yt3.ggpht.com/khxQEi_sVDkjSrJQVKJ4eD3WGD3zWLUhQlI6K_1YsvF5iPaeww1FrWJBt07w4-_MUccT7lc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugydhfq18caGCiztdbl4AaABAg,Musk threatening Twitter using Twitter handle is the thuggest of thug life ever 🤣🤣🤣,6 hours ago,Pithukkuli,UCd-kDrkvBDkCjnzZokbqFyw,19,https://yt3.ggpht.com/8r0LcbPvTNp5IJ96BBqpBNE7stwPHCApaGH0Wi_3fEyZ2RDqb3cgqMZHiODOxDt6E4tCrlAOenY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmTMP3-JWZHSmWnLJ4AaABAg,Twitter already ate poison when appointing an indian who are wellknown for their scams and cheating,7 hours ago,Mahesh M,UC0lt61VbTTwRV_yXYA3OlHw,0,https://yt3.ggpht.com/ytc/AKedOLTdSav4lAeQjBv8ixXB2keNk3c_jKYgYtO_vlheSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUlXZFNbbsDs-gEcd4AaABAg,The type of pill that spies and swindlers takes when their unethical operations have been exposed or when they realize that they're about to be convicted and held accountable during court proceedings.,7 hours ago,Pollytix,UCdxTu0L0IlcwuHDSPoX0leg,0,https://yt3.ggpht.com/ytc/AKedOLRaIkWOHIDYXd8_so8_bEJAtBJBD2HzrUlQE_6kuXLhwfSZDn7onh3cF7dd5cu8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHb-ACa5Z2KDvczoZ4AaABAg,Twitter itself is poison! What can you say! Ban this pathetic app and Facebook along; in India at least.,7 hours ago,whats in a name?,UC39oy-pssh9Bhvr7Lz-UAcw,0,https://yt3.ggpht.com/ytc/AKedOLTlT0yxvp2ZL2XndSM4gNlQSe5KZkS30kcrGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjmJBY91bgYqWnYcx4AaABAg,"Very simple...take legal action against any devaluation of value by current management actions...they have a fiduciary duty to manage things properly...once these woke fools are out on the street having lost their assets (homes, investments and cash in the bank), they'll know what hit them.",7 hours ago,bdunnigan73,UCQcjY_0tjnnvWmYQxDzyzwA,0,https://yt3.ggpht.com/ytc/AKedOLT4wKQKBWZn_l77Ufd2xJbSqYjNadU8JD8D-QJP=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhY_T00rtLRhJ8o3F4AaABAg,missing from your report...the fight/dirty tactics of legacy media and Dem party,7 hours ago,Ravi,UCyxvIP6VR6-CbpPfDlclyqQ,0,https://yt3.ggpht.com/ytc/AKedOLT9c-vqdzKeFHGhTAJFPSLSjg1vC4z-mkmTIMfE6yKFFZWLU3dc_Y06FpLeHDGg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6HbSLOpuc8fGop9p4AaABAg,S,8 hours ago,BlueWarHead,UCdTtT5zJ971m_QZ_fjickNw,0,https://yt3.ggpht.com/ytc/AKedOLS8LZ9jAgWhBnZma-DvoMZCtVCusAl272w4DCpF=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCT2QsKwIaKOOGBsV4AaABAg,"Musk will fight back, Twitter move is illegal.",8 hours ago,KshastraGG,UCOu6RVjCdKeBHbVbYsyw8fw,0,https://yt3.ggpht.com/ytc/AKedOLQGXxE8eQYsY9dWIrlu__75Vo6uZu1edzYn9sPUvg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpR6vmirPhc-phSSl4AaABAg,WION is the CNN of India,8 hours ago,Cece Daily,UCcKiTHq_aka_VqcNniUQOwA,0,https://yt3.ggpht.com/ytc/AKedOLSz1bfBLH62sWyBMIeueJD7QW9UB4v6BfTZqYtXhtg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwATCWkbuvlFVhTrR54AaABAg,"Since his offer was rejected, he should dump all his shares so that their stock plummets and buy them back for pennies. Elon musk is exposing Twatter being subsidized by the government intelligence agencies and they don’t like it",8 hours ago,Rockin Roxxi,UCF8s71fQs7J2pnRdcnwaVZQ,0,https://yt3.ggpht.com/_dwnGsfPa-NZE2t0vQxzOvYDh041rYXjahMuVys0_eyHrzJQ9yvZuQzLe1hBef-MTXQsuwxLsaI=s176-c-k-c0x00ffffff-no-rj,0.0
