cid,text,time,author,channel,votes,photo,heart
UgwVHIuUVJzh_XJ1rK14AaABAg,Are the Ukrainian refugees going to Rwanda soon?,5 minutes ago,Tre Marley,UC4mKebDKAMcPV0ULAUrKEBQ,0,https://yt3.ggpht.com/ytc/AKedOLTMM0lGMNY7criy5_65TDpf0fLRX_Gb1MVz-sb9M8Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiGji6wb5ec2j7cNt4AaABAg,"Outrage??? Well,maybe in someones twisted mind...UK citizens are very happy...",23 minutes ago,Scared Paul,UCtViHW8BsxoQivJJnXRcKNQ,0,https://yt3.ggpht.com/ytc/AKedOLQGyJWrvCNPCoCee27jPiWTTXdcDrDa1JbtiDyG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1ne88I6bkD0yUvXB4AaABAg,Great! The U.K. should have put this policy in place two decades ago! 😁🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧👍🏻,1 hour ago,TheNewblackdog,UC8Gdg8B6nhmOGkUxzMi8ZZg,3,https://yt3.ggpht.com/ytc/AKedOLS5z3A0MP97MVhgJD0knTtk9IvTl46HD2lc2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNWKBFmX36HnZcfIx4AaABAg,"if UN is rising concerns, than it is a sign that policy is good and will work. because UN is a cheerleaders for multicultural Europe.",1 hour ago,Āris Plūģis,UCc8o5TJ6RG1vCOnwlfpRwbg,3,https://yt3.ggpht.com/ytc/AKedOLTcYolRaDdY-7s1XRknIY9MwqjkOsMfkYoO0F2b=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzx1arAoqge83LRwx94AaABAg,Where was the UN when France was exporting their problems to UK?,1 hour ago,Anglo-Saxon,UCJJl1uTetmMGx-O5vzZ1LtA,3,https://yt3.ggpht.com/ytc/AKedOLS0WqTMrT1q5vum2MtL_x1F1EiIKGrEijHmxAIe=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwMU8gtvmdA8BBPHZ4AaABAg,UK is Right on This Issue.,1 hour ago,Saddam Hussein,UCvULcMRhRlPl9nJXZhQiVjw,3,https://yt3.ggpht.com/S6bttg5tLPMjFWRbN1krEH6Ygx4p5QE838GRyq38SXxOYh9IyVhI1bRRiQNAwSrx605r4X4J=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyOHNQA6gvYK1PS994AaABAg,"Where are human rights activists for the kids groomed by the islamic circle tied to the golden triangle in other to be disposable cogs in the county line drug mules, and red light districts?
Seen the asylum seekers create a joke about Germany, it was about Africans looking for Germans to thank them for the opportunity, but he kept on running into islamic followers who kept on telling him they aren't Germans, the punchline was, where were the Germans? Too busy working to pay off the welfare the islamic followers were getting.",1 hour ago (edited),Single Life Form Organism?,UCEXJ63gY0lorpyszuqx3HKw,0,https://yt3.ggpht.com/CqaMZkYzSHdTEujdgwgVdcUITzHkEwrmdnkutjlK6Kl5HV3JeTMXm7vGPkCXQqNG-pCiOxzV=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-9YVOtlTwfYMR-ap4AaABAg,"Rwanda is clean
People are friendly and welcoming
Why would you want to stay in a country like Uk and Europe where the people absolutely hate you. Doesn't make sense
Go to Rwanda have a fresh start clean slate
Its honestly a beautiful country
Would rather be welcomed than to be in a country where the people view you as sub humans
Reconsider",1 hour ago,MissMeWithYourBullshit,UCu7QEQPjc6gEqAinlyV4LmQ,0,https://yt3.ggpht.com/AhskhGY7oZKzcGKyhUWYVVqZuNxPs88NV53JF4YdLVfHoiZ1p7VJti8mKXdFOTu26czrWyK4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEqv3IeSoRfOL6iXV4AaABAg,Should try giving them no money and no housing and they would stop coming...,1 hour ago,X90,UCcLadN_3zr9arnM-eFImzIg,1,https://yt3.ggpht.com/ytc/AKedOLT70DBfI3Eha7-NobPy1m0u5p7dvTf6Rr6oZ3ClHg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9cTEYCoxmhwYbyNF4AaABAg,Hopefully they will send Zelensky to Rwanda,1 hour ago (edited),Mike Riggall,UCLq0Jfz45Q9neglIjfnAXHQ,0,https://yt3.ggpht.com/ytc/AKedOLSczvSD9YnYRkib-370Hl_k8bxUfSxgjcz7UkOP=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG5EuCu6FlkwrEpmZ4AaABAg,"Investing in crypto now should be in every wise individuals list, in some month up sees time you'll be ecstatic with the decision you made today.",1 hour ago,Agathe Humbert,UCm8Vy3LosL8aiAiKHIvp6-w,28,https://yt3.ggpht.com/oyCtD-ZbVKleT83YwR_vurJUB0KOB4O-leundulhx-jaD2fPtAfrf-gXyexl4mtaY3o-xO9Gug=s176-c-k-c0x00ffffff-no-rj,0.0
UgzP93iuXJB-3KmIx7B4AaABAg,"england learn Australia, but it's not the same.  It will cause waste, insecurity in Rwanda",1 hour ago,tam hm,UCBapz6JuUP53IsPxpxPR9RQ,1,https://yt3.ggpht.com/ytc/AKedOLRNS1TTu1MHystIXQN_B5dMDEZN_Mvr97Joi4Nk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzKyniHWhC7M68UwR4AaABAg,"Middle/upper class take…Oh, the humanity, how can they think of it. (But sod those suffering from NHS waiting times for operations, sod the food banks, sod the housing waiting lists for those who live here, sod the increase in fuel poverty etc) my moral conscience is suffering.",2 hours ago,Bruce Grant,UC1jWqYE8dUaFCqma3w42UBQ,3,https://yt3.ggpht.com/ytc/AKedOLTCMDpvVUiuLmJ9Q4ntxOs_iFytHXRoKrzrUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzljUiwkPHXEhFAaz54AaABAg,UN IS A JOKE,2 hours ago,Atheist,UChXLSExMD34eufDOOmcR3rQ,0,https://yt3.ggpht.com/3PbEPc3waIRVhRrJSw65dU8IKjeJ7VyYY_ckGjXsC0RQOb4HW7MT8ij2CvwiHkvdYtewrq0x=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQmUjzSQVbxUpHFkB4AaABAg,Provoking is Necessity for nato,2 hours ago,Madhumita roy,UC9uv7ilzdph1zuj4r6poHLQ,0,https://yt3.ggpht.com/ytc/AKedOLQdYHY_9b8ZShHvPt8eLML43THQYz19qmfBIw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTT0NDLlpPzPw7MM94AaABAg,"They took in so many refugees that London isn't even english anymore.
They decide to say no to more and suddenly they're satan?
Okay Soros.",2 hours ago,Zoomer Waffen,UCbCmWK2ryGq6Ybq3CMlo88g,0,https://yt3.ggpht.com/ajN_KwRLGPMPQWx5EZAcRISYgbmnp0K04HopN2e3d8Ny-iCex8awkeDKBTYi4Oa8TZ0SguqB_yg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtolUMePju22leoz54AaABAg,"Send them to USA, the Rwandan president should to arrested, he's stil mentally colonized",2 hours ago,Moruti Evans Sekomane,UCf2cduFs7wBUVgTCBVse5nw,3,https://yt3.ggpht.com/ytc/AKedOLTIZEFQBrcLyDo2o-odfQCE53kNNXOH3uPaLUegtA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDxwGzB0o9X_Ta-jV4AaABAg,I hope after bhaarath also doing better for peace,2 hours ago,Kotasreenu Kotasreenu,UCeWSetZ64Zm9gF9-Z-iA-Og,1,https://yt3.ggpht.com/ytc/AKedOLQFvW1uFj_P1MWt8se2hShB5qU9RDad4lHx5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhqO0Mi67_8qWamR14AaABAg,Beats sending them all to London...right governor Abbott? But let's hope that aid doesn't disappear into corrupt pockets as usual,2 hours ago,Jan Harkey,UCcoGNKwO_VocJkwWl0pPhVg,2,https://yt3.ggpht.com/ytc/AKedOLTga25TV42slUxKYq9z0FzFA4xKeRXeioQH=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTn4D6Ya6_akF7gvp4AaABAg,Where are all these men running from ....where are the women. ....each nation has every right to deal with these problems,2 hours ago,Voula Thomacos-Lagonas,UCoa-mRKyCjJKPyEIz8zM18A,9,https://yt3.ggpht.com/ytc/AKedOLRCakHQq6otmff6U0m95JB0cq2vkVnSUcZqqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEqv3IeSoRfOL6iXV4AaABAg.9_tICCtoeo49_tSUM26uL7,"Sadly they will start looting and commit other criminal acts for survival...after they pick them from sea,lock them.after identification straight to airplane and enjoy Rwanda",20 minutes ago,Scared Paul,UCtViHW8BsxoQivJJnXRcKNQ,0,https://yt3.ggpht.com/ytc/AKedOLQGyJWrvCNPCoCee27jPiWTTXdcDrDa1JbtiDyG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG5EuCu6FlkwrEpmZ4AaABAg.9_tHJU_ZC5c9_tHoVlN5NE,"my life is totally changed because I've been earning $15,250 returns from my $4,000 investment with DAWKINS MORRISSEY",1 hour ago,Andrew Truck,UCQAHjSqRtd3rBo19sMovneQ,8,https://yt3.ggpht.com/PQJ1WndSc3dhMndq8f0nbvPY1qUQpysFP6xbqFEf4pbckQsgcKXRwQMrZ7r5EwpGMEB9QuO3=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG5EuCu6FlkwrEpmZ4AaABAg.9_tHJU_ZC5c9_tIKXdTmjO,"Same  here, i will praise mr Dawkins Morrissey over and over again because he has great skills, i started with $2000 and after 2week i received a returns of $6,000 then i continue with him ever since he has been delivering.",1 hour ago,Emeline704,UC5J7IlQyK93sXH1S-3sfiTQ,2,https://yt3.ggpht.com/at80x_nzm3B0thCcBF_7szOcQRiSyIS00H9W1rCMtLwhKrjEoSNcFK3t7uKU5tDPl7ZsT5adCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG5EuCu6FlkwrEpmZ4AaABAg.9_tHJU_ZC5c9_tIMAJmBVs,"I heard a lot of investing with Mr Dawkins Morrissey  and how good he is, please how safe are the profit?",1 hour ago,Carlos Hugo,UCQawKti26UIzLu0KCXyJySg,1,https://yt3.ggpht.com/0XxG8uDMe502hraAfQGgKlPNCb6wZiRKRhU5D3TBSqcnHmfeiuccLQs3eq9P9klH4puyiSFW=s176-c-k-c0x00ffffff-no-rj,0.0
