cid,text,time,author,channel,votes,photo,heart
Ugx_dYt0CcSzri3wdYF4AaABAg,"man, i bet India is sweating now, if Putin does then we will hit all of them oil plants and make sure it doesnt flow at all... whatever sides you had taken or not your going to feel the sting",8 minutes ago,Paranoid Times,UCGZhwdG8ZyhkFUPKYyhEMpg,0,https://yt3.ggpht.com/ytc/AKedOLRjSVS98zmYCD8YCv_JftfLMle4hUdT9Qd5J_p9Ng=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMhOhh-K27Y126uud4AaABAg,He won’t. He is a coward. He failed miserably in a 50 day war. He is finishing his country with his own hands.,23 minutes ago,Lib Lib,UCZ3LEuYso4rA-lRvtc6KfTg,0,https://yt3.ggpht.com/ytc/AKedOLR5zU_7tURJNOVcyQ_qzwr2VF16MB7LXyuYKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKAlNi7XwFifuJnux4AaABAg,just Give ukraine nukes that can hit moscow .... if thug putin threat with nukes feed him nukes,24 minutes ago,eagleye,UCbCB3TpXaFvYJuSrb9T6FLg,0,https://yt3.ggpht.com/ytc/AKedOLQEAdk1kSwSBPIy_pHrI9IkyFqtCK7cKKL1uqWV=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6EIWRnNS6tckwx554AaABAg,Ukraine or any of bordering countries are not the target of Russian nukes  probably it is Britain,27 minutes ago,Yuvaraj Gopal,UCGSJrMMLkOlbsqdJYe3AaJA,0,https://yt3.ggpht.com/ytc/AKedOLQkmPecSIRkZwC4PUPydtt5R3LVBKFX1_kboOg3pBJrrIuOZqGsHPBYXpvIGdld=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhCGQw3W3sLeBKZN94AaABAg,Russia has threatened with nukes for decades.. Plans have been in place to deal with Russias nonsense equally as long.,47 minutes ago,T W,UCSEwIUpXMO8qE5OpRfpLc7Q,0,https://yt3.ggpht.com/ytc/AKedOLQ2NQlHYekLh5gNCHnXleTYqdAv5O_3W8RFgw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPPEeBW2HY7ZycXgp4AaABAg,"That would be a suicidal move of Putin, his country would be blown to bits by NATO a bombs, which then would probably follow by the rest of this planet.
Nuclear war is mutual assured destruction.
The sitting on the fence of some countries is despicable, they wouldn't want other countries to not do a thing when they would be invaded, bombed, raped, tortured and mindlessly killed for no reason whatsoever like we are seeing now in the Ukraine.
A hypocritical stance",52 minutes ago,mirola73,UCS8aL5kbuthvQyUhi5t58Ug,0,https://yt3.ggpht.com/ytc/AKedOLQMzGEz7lwN4Kj6Kqj36slXpKHCcMzKPkH76g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQf4dEQHkLMTaCIHt4AaABAg,Russian media said that ship was promoted to submarine.,54 minutes ago,GoldenX,UC8pHaFLDeLQp-HQzahXdX1A,0,https://yt3.ggpht.com/yXHmbCipUmfuZ6Wg6bydnWjZ_B2mscAxaxBMg7dr-nmmcoU-40ZLnW5-N65bjTk2V9jtPE6W=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZcuseeKoyifkD7tR4AaABAg,"😱😱 the EU UK Ukraine is really pushing nuclear war!   Wouldn't surprise me if Nukes go off in Ukraine... but not from Russia!   But,  they will blame Putin.",1 hour ago,Seymore Fact,UCL7BtEYlj52xb_Ebn0tQ6Ig,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3cYIswHEvk1m2lY54AaABAg,We can all choose sides in war but when it comes to nuke that's a different story.we have to protest against lunching nuke but not only for the safety of human but also the safety of future generations.,1 hour ago,Samin Rahman,UCtpEcWiYfNlYlLDBgaQVKOQ,0,https://yt3.ggpht.com/ytc/AKedOLTXDyLwaJgNJnFKK5hxOUpVoGSfCh26k7XIlvqk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3teZjiC-32ol5pVd4AaABAg,Please demolish america using nuke. The world peace will be replaced,1 hour ago,Empire of liars sucks,UC4IYx7mtW6RkoOMd_Uzj6zA,0,https://yt3.ggpht.com/ytc/AKedOLSQK_Rd14iduTNtWzxlQ2tVsNsIHbrub_pbj3thdnoJXkYW6t0SZ4dzE86GEzMV=s176-c-k-c0x00ffffff-no-rj,0.0
