cid,text,time,author,channel,votes,photo,heart
UgzZ_ADVleBDYpRh_Y14AaABAg,You're killing innocent civilians in Ukraine and you turn around to complain bitterly when your people are attacked. How fair?,30 seconds ago,Lamidi Akibu,UCt_ftKqGy-Zl6IJl02ysSPQ,0,https://yt3.ggpht.com/ytc/AKedOLRTQTBzB9MMYwpxaIbEk5pw_QpFPx5yjYicug=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKRmhBBgWLSNq2DVF4AaABAg,"Right! no one killed  in second strike! 
If you Ukraine states they didn't they didn't they are the first to say ""Yes they did""  An excuse striking his own people to justify is killing babies! Torturing and raping women infront of their children!",2 minutes ago,humanitarian4life#,UCOH8y0XSvO7KnrhmtKV9VZw,0,https://yt3.ggpht.com/ytc/AKedOLSwSwhZVpNXul17tMsl1ifORnIqL-HApk3N3pFzdwIe3eFuT6DO-UP4S9jOelsm=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVlC-_1MpIgJGmgfN4AaABAg,"Large Russian cities should be attacked in some fashion.   Give some of the pain of war to Russia, they have caused enough.  Wait till the food shortage kicks into gear.  One person caused it all.",6 minutes ago,mike miller,UCovaNA5G4W7QatStvgGSFBw,0,https://yt3.ggpht.com/ytc/AKedOLQB_3XRJuh3NXh77WKhT0zN7PdY9cwn_t3lTA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpP2JClB1SIDr15WZ4AaABAg,▪︎▪︎▪︎ Go Russia !!!!,13 minutes ago,Global Minerals,UCB_pgLw4GIdtRiIQaTm3PHA,0,https://yt3.ggpht.com/ytc/AKedOLQoIqFU0xDqqRylhUs_NzHCm1r8Na_eiOB0Pilt=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVNTQanobzJKdsqeV4AaABAg,putin better watch it.  Ukraine army may just march to Moscow while they are at it.,16 minutes ago,dippin1,UCgHrNjkCZY6v8O1vxiMebCg,0,https://yt3.ggpht.com/ytc/AKedOLSn0dw_JDkziyD9y4UT7SGa3viouQNSdR90OQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyv5zP0rZV2stCu2iZ4AaABAg,🇺🇦🙏 Glory to Ukraine 🙏🇺🇦,22 minutes ago,Sniper 1s2k,UCL02e3ygqaDHLXWsDrcbd5w,5,https://yt3.ggpht.com/ytc/AKedOLQBYhM5mkBEpoxXYYbakHjAWye3OxL3sUQEdhXNeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxI_LMRYL69F-jADDR4AaABAg,💀 Putin the Butcher!💀,22 minutes ago,Sniper 1s2k,UCL02e3ygqaDHLXWsDrcbd5w,2,https://yt3.ggpht.com/ytc/AKedOLQBYhM5mkBEpoxXYYbakHjAWye3OxL3sUQEdhXNeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaS737-2DWjdmi0Wx4AaABAg,Ukraine has all the right to attack Russia after many city and town of Ukraine was flattened by them.,28 minutes ago,Alaric Chua,UC2Bu_v8A_j32iVIRWaP7wsw,1,https://yt3.ggpht.com/ytc/AKedOLQQMLBXqCRA9koXn1evVm0qle4tYdcWkluTdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYBs4Q33Xa58_xA_J4AaABAg,Ukraine is stepping up armed forces too,29 minutes ago,Patrick Fordyce,UCCFQc0WOhENSZ1U62kuqzkQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
UgzX-8DaPb4jrdcvuf94AaABAg,Puttin it’s war you are bombing Ukraine soil so it’s legal to send artillery into your country soil,29 minutes ago,Patrick Fordyce,UCCFQc0WOhENSZ1U62kuqzkQ,1,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
