cid,text,time,author,channel,votes,photo,heart
UgyaDzw64s2u4RHNolN4AaABAg,Thank you America and Thank you NATO,3 minutes ago,Prabhakaran M,UC-gh7I-5pFYtZ-MqgUWerhA,0,https://yt3.ggpht.com/ytc/AKedOLTvFjo15CNdgBgPmamuuj5mhNa0kvKe-zJix_WS8A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrY4ItXzxsTGTWwex4AaABAg,"In times of war,  the right thing for any nation to do is denied,  denied.",5 minutes ago,Tshav Feng Vang,UC_2E5-VKRj75W0pg41tgBNg,0,https://yt3.ggpht.com/ytc/AKedOLRV4RXPHnkNCRJ9zsxFokBSIT-AuV_C2IAQAEjZ1g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9MReLQVR_e4k1OR94AaABAg,You should point out that Ukraine has been making a graveyard in Donetsk region for 8 years. Your news is not accurate and one sided.,8 minutes ago,Larysa Golubovych,UCzrEw1SyGTMY7QpH6Rnd-8w,1,https://yt3.ggpht.com/ytc/AKedOLRia8uDR5wXsvNpOd-sqmiSfoBu5msYnY19JQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0FLwbVRZfN_3Bb9N4AaABAg,Only shitty comedian is responsible,11 minutes ago,mohit gupta,UCbjimBSW17GzDigm2KI9VGA,0,https://yt3.ggpht.com/ytc/AKedOLTUziBctqOyCxKDKFYcrTDCkH6LJGJp0d1HrY9ypA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCDbjbuBACniNAEjt4AaABAg,"As an Indian I am ashamed that Indian channel Wion is behaving like any other western channel by not showing Russian perspective on Donbass. Hundreds of Russian speaking civillians have been killed by Ukraininan neo Nazi military. See Patrick Lancaster videos and ground reporting. Where is the unbiased journalism of wion gone...? 

Has Wion surrendered to whims and wishes of YouTube after they got banned...?",17 minutes ago,Ashgarn Gorfel,UCYEOpiQYV1v6el-csCuHTdA,0,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzlt-nTm3Fdj845hCd4AaABAg,We are in new world now so understanding  these things will help because racism and war will only push the west away because of their history and experience of world domination,21 minutes ago,patrick dayton,UCF5FhR4yjGChdwzGfZsTnhg,0,https://yt3.ggpht.com/ytc/AKedOLRnB-os-yB9VHrUG3T821SxvoNDxSIA2KlR6w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6C3F-RsAq_tp3o4V4AaABAg,So sad for Ukraine but I pray that they will win this war against Russia,22 minutes ago,David Sunday,UCc90yK6U_hzsd41R8Xy0kgg,1,https://yt3.ggpht.com/ytc/AKedOLQCtimCVEb78j_uO2H2o3Jmnq-jPT-WwZ1F4Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0gQ5lPAyWUgJA_A14AaABAg,My advice to the west is that your ideology and principles of Government has not been the best and isn't the best for others. You can have peaceful competition of the system and ideology on equal footing and level plan field,23 minutes ago,patrick dayton,UCF5FhR4yjGChdwzGfZsTnhg,0,https://yt3.ggpht.com/ytc/AKedOLRnB-os-yB9VHrUG3T821SxvoNDxSIA2KlR6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQmZfDl01ImtjCNxp4AaABAg,Russia is not about establishing world domination but about world equivalent and Peace because we don't need a world of humanity were one group of humanity think and feel that it is the super human and better that all other of the humans races of God because we are all human matter the skin color and places of origin. Until the western world can accept these fact the world of humanity will be in war status for ever,25 minutes ago,patrick dayton,UCF5FhR4yjGChdwzGfZsTnhg,0,https://yt3.ggpht.com/ytc/AKedOLRnB-os-yB9VHrUG3T821SxvoNDxSIA2KlR6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuWCf3SQqUKUdKPRh4AaABAg,Russia is ruled by a war mongering madman. And his military turned out to be an undisciplined mob suited only to raping girls and killing old ladies,29 minutes ago,Raven Moon,UCGi15MyYD6jp4z0VhNyE3Jg,0,https://yt3.ggpht.com/32CZMzOjQniPei8VYmL5AEQ6GnmMCr8_27HA2RqWqDJvi9lLBZAZoQqhzPlThOFFe9MhCgiIIkc=s176-c-k-c0x00ffffff-no-rj,0.0
