cid,text,time,author,channel,votes,photo,heart
UgwXF5luK-iGpvHjJLt4AaABAg,"Phase 1 was setting up the conditions of the battlefield. Leading Ukrainian forces where Russia needed them to be, while destroying military infrastructure, equipment, fuel and ammunition storages. Now Phase 2, the actual demilitarization is on.",1 minute ago,Imre Kalman,UC8CVW-2LhcNn9MmdMEdXE0g,0,https://yt3.ggpht.com/ytc/AKedOLRLYy0QQBdn2HycRqAn3kHjZhFfHUojtVw7sLYaiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSjLs4m1PHYNIPBzt4AaABAg,Russia should bombard Ukrainian petro-chemical pipelines... Ukrainian puppet president don't want let this war stopped...,1 minute ago,surendar singh,UCfrdUZkPHetdfQtrrkXQGoQ,0,https://yt3.ggpht.com/ytc/AKedOLTBfdeH43jK_yGv5fk1D0qSaakk2NHjoWdGWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxutsAWuNm1HgIGh7Z4AaABAg,"Russia should just level the Azovstal factory with thermobaric bombs, destroy those scums hiding inside using civilians as human sheilds",1 minute ago,Micheal Tuiiv🇷🇺,UCLFpmGxGN4M82mOVo-_Lm6Q,0,https://yt3.ggpht.com/qBaFXvdXtYEb0DIienVK5PLi70PhMIZWbVtd0zOrwhD6eXdGdxOPTmHHmYu05NMw-vZtSTPE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlfgIlYUC9hXdNUmB4AaABAg,"No bully shouldn't face an attack on them. Ukraine has the right to a track to attack Russia. Ukraine didn't invade Russia, But PUTIN did to Ukraine killing close to 1 million people of Ukraine. It will take many years for the truth to come out. Putin will not stop, like Hitler.",2 minutes ago,Edward Krochmal,UCy4nD9934H-zhsmWQbhB44Q,0,https://yt3.ggpht.com/ytc/AKedOLSA9-7lYm2aJZgKL-w4qZ80xpKlR4FSPteIsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiKN8DG6kSN7M8-VN4AaABAg,Ukraine should start attacking in Russia itself too,2 minutes ago,Jeremy Van Briesies,UCOp6BNttTr7SR5qVHpfVqow,0,https://yt3.ggpht.com/ytc/AKedOLQCOG4K9SRgzOVI490-HH-pp4hIrhkEImh8WQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqcpCJcORomAGQOrp4AaABAg,Old war ship shunk. Or hide,2 minutes ago,Manish Marathe,UCs-0FWv5nWNdbSTOclHiO2A,0,https://yt3.ggpht.com/ytc/AKedOLSrJJQnSp1lB8B6JPaPPs7ebE03QULp1VH5wQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3PzRCoboHBbFAM_94AaABAg,they should just nuke Kyiv,2 minutes ago,Popeye,UCJiFld7Gr4MQPlYQ8oLT2mQ,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC4C6EOnD9bPQBjM94AaABAg,Please send all the heavy weapons to Ukraine so that they can burn the Russian into ashes. Russian are attacking freely  because of Ukraine doesn't have a heavy weapons to strike back. If Ukraine have all the weapons that Russ have then the war would have ended with Ukrainian defeating the second largest Military in the world Russ.,2 minutes ago,Teih Teih videos,UCQNt0Jh9zOOkiMq_DTv2h4g,0,https://yt3.ggpht.com/aWO5V6gXGsaZsO8WIXdI7m2Tk1ZjAq7Y7AvKJZ5mmeyIAWqfgy9aT4lPKHOZNDLtlXaCZvmQ0g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuHsbNFIZ_IYVGhXZ4AaABAg,May 9th will be a sad day,3 minutes ago,Throw Away,UCsbG5psS60sj7jAC6hPUe2Q,0,https://yt3.ggpht.com/ytc/AKedOLR2kNKwHC2qHA8qzEHwxVzMDLqB_MFKu2gxag=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyzbnfa1L2KYtaIT_14AaABAg,"So, what you're telling me is that the cook tried to make piroshki, the curtain caught fire and then the fire got to the main magazine and the ship exploded, right? So, why attack Kyiv?",3 minutes ago,nyyotam,UC8X0g72G-13oJfb0_qvGCtQ,0,https://yt3.ggpht.com/ytc/AKedOLRDkQP_VlBlrfOBCgZI-AD3Qb2KopEVSn1rSg=s176-c-k-c0x00ffffff-no-rj,0.0
