cid,text,time,author,channel,votes,photo,heart
Ugyz3PXtWRT5j46ZWT94AaABAg,The whole world is pissied off !,6 minutes ago,MARK BN,UCyk7gZNHupTeEeHL8RZYxwg,0,https://yt3.ggpht.com/ytc/AKedOLT0HMdwRffM71nsGJFMb-wN5bwbF8Fl_WKwQw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7hN9Uvg9jy0fEIDR4AaABAg,Stones are stored in mosque for what?,11 minutes ago,ASHWATH SAVANT,UCfAx_hvE_WUu-P5J0IC6b0w,0,https://yt3.ggpht.com/ytc/AKedOLSKc0cB-n5GAYmFY2ZhAz75Z2Fi5j0mPVJ79g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwG3kbqj5StB_r1mTh4AaABAg,Those throwing stones are the real freedom fighters,12 minutes ago,Ahmed Deedat Jalloh,UCyFtfxfJTq5j82GUtZzvuWA,0,https://yt3.ggpht.com/ytc/AKedOLR2S8Bx28_JIvQdbl1uDQYx_MJqo6bwzMkxBFvEzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDdVp5Bvc7GhMPANt4AaABAg,Unfortunate Politicians,38 minutes ago,FAVAS Vtr,UClPYL99A_gQIAP64qKs0Yrg,0,https://yt3.ggpht.com/ytc/AKedOLSRcLtnteoSTL2ghVGyHc8QXcd_oSrQhABxJWvhuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWWPAF9LhbqlVxaEN4AaABAg,This is inhumane... Coming inside with guns and shooting innocent people in a place of worship,1 hour ago,name me,UCv-ZM4ogFSFjzf4c7o6bZ-A,0,https://yt3.ggpht.com/ytc/AKedOLSa0sDn2dfxoGZmPutkzy2jCDC945K8UTft7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjBbqhIIQkJ0NNllZ4AaABAg,Peaceful stone pelting 😂😂😂.,1 hour ago,Raja Sekhara Reddy,UCOwcUOr2nUhUDfStjLkalDw,0,https://yt3.ggpht.com/ytc/AKedOLQceaQt1GvTlj2zHQFYltoggxpw9K_Nss6vASFg3CSjaHGUhwwCBRh3UCHFDMbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfiCxVIHE_DuiDZ8t4AaABAg,Palestinian should need a heart of Taliban .they are playing with stones .Talibans have weapons of America ..,1 hour ago,Zia Urrehman,UCEgjLhp5-DhMB6ZfjC-gIHA,0,https://yt3.ggpht.com/ytc/AKedOLQSNQyEEoTAHb0AadvWYRiEt4m72d0w7L8zkEe2g4JAoO650Rf2UOb5pdb6bbqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN2qKZWqq0L_BQ7HV4AaABAg,Israel is terrorist,1 hour ago,Bosco The bully,UCbbR3AA_KMmF2SuL7gHQdsQ,0,https://yt3.ggpht.com/ytc/AKedOLSb20uYu9SH_WYcFmenANTXRZtOzPbPQCwrxDKC=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdzkQAjFhQYClH3AF4AaABAg,Divided by country united by stone pelting,2 hours ago (edited),I am Legend,UC1Fr2trAkOwJooxWOfYhlCQ,0,https://yt3.ggpht.com/w8gazVkUCAXU4ioTpCCCeFGzNJ7WVkWfYjaXR_xEiGhedVXsLsC-cCBCvMHvyeca5OWIFMI1NA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5iIPPko7bV1L-Lr54AaABAg,I guess this means alot of dead Palestinias again.,2 hours ago,Oi!,UCYoaHUM3e8ae2lOi6gdacfQ,0,https://yt3.ggpht.com/ytc/AKedOLTcry9lSt64o_OHImdWlLLaeXMC70ra0a6SvB1Y=s176-c-k-c0x00ffffff-no-rj,0.0
