cid,text,time,author,channel,votes,photo,heart
UgxQ5WATzDwhInXH-X54AaABAg,"EV’s pollute more, require strip mining, enrich China and leave toxic waste via old batteries. Why are they being shoved down our throats via globalist governments again???",17 hours ago (edited),The Green Beret Life 01,UC-NhofDsN__wHDydERk42Zg,0,https://yt3.ggpht.com/ytc/AKedOLR01o16kvGi80XDhk5emzCLkOV97km0tWb5TQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOPrbiMOJdoSOwUb14AaABAg,Nice look Volvo,1 day ago,Ram Chary Vishwakrama'S,UCpcdr8siC8Ey2Bou5C821Cg,2,https://yt3.ggpht.com/ytc/AKedOLT-S1dtm0fHuOxKVh5NEtsOv7C1oo4m4uu2Kg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuRnGM4iQrirNj-Id4AaABAg,Impressive Geely Group looking to make serious inroads in the EV markets. Pricing will be Key,1 day ago,James Lovering,UC59Rw7syOjnCvwTOx7LTMIA,2,https://yt3.ggpht.com/ytc/AKedOLQmiqSYwTE6RlmLv3NzHSAbME4hOmZcYJXrwi0D-w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzytiq9_Ltu7Loghjx4AaABAg,wat yhe point fo talkin' about these electric cars when our indian govt charge triplex3 the price of the imported cars.,1 day ago (edited),An Based Sigma & Redpilled Indian Guy.,UChXEXPBGNLm3f9iVKi0dmTw,0,https://yt3.ggpht.com/U2WCEKwLk9GTcZe5nCYIpy_B4I-cbh-ObCdxHaJSWHdNw2Ud4y8bY2Qo7tnbemJa1j7Ujmvuxg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlLLf8uU5gu5NX24t4AaABAg,"Vasari asked himself why C15th Florence had been the birth of the Renaissance.
""The spirit of  criticism ; the air of Florence making minds naturally free, and not content with mediocrity"". Was his conclusion.
Compare Russia : beating women protestors, and sexually abusing them in police stations.
Russian barbarism, and the Florentine Renaissance : there is a thesis there for
some bright Moscow student.",1 day ago,vinm300,UC6lD2NFMaWFc0hNmkkrWCbw,0,https://yt3.ggpht.com/ytc/AKedOLQeAQD2VtNU61y8tKL-10Phv6tBuePyHKAfdA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRTauH57WGzqgg8SV4AaABAg,Gday from Australia. It's a nice car but Tesla shits all over it ..,1 day ago,Richard Prat,UCS2kVfNMZfeQ3LIGQVv4HTQ,2,https://yt3.ggpht.com/ytc/AKedOLQCsxlyvH5YsgATBMF02Ew65i_SJe-Klba1Ww=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrHBvsDDhBKGFmUWF4AaABAg,Price?,1 day ago,Dilan h,UCzwBp4Pa5hnMpvvq6spL8Cw,4,https://yt3.ggpht.com/ytc/AKedOLRK4Eq56AH5j92mJv4Eu-H2iZYEc5jlbKZO=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyjtt10TDr9LkXLhx54AaABAg,"I have upload new ideo on quran before fajr 
Respect Islam",1 day ago (edited),Invisble4567,UC6bUuuK-juKh84o_ZN5Y8-w,0,https://yt3.ggpht.com/qStQwfvyXXjT8LNIRDpiaHrxXXDJbaNeq9cK57US0tH-uVWBUZthprNcOBJqXvW5V6yf0ddkdP4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpE6xabc9AhqEH0Pt4AaABAg,Price?,1 day ago,boris 25,UC2pO1Euf26sHycjoXcPMbpg,5,https://yt3.ggpht.com/ytc/AKedOLTOIGd8vMYMPqf1vcSGwz6hGQif6Y3QMlOlqXWrVg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzytiq9_Ltu7Loghjx4AaABAg.9_q4xLlt4Dz9_q5uKOr8E9,"Tripled the price of imported cars?? Brands like Tata, Mahindra, Hyundai, Suzuki, and even luxury brands like Mercedes, bmw, Audi and manufacturing locally. Plus taxes of cars is same as global.",1 day ago,KD,UC4X1pe62mYJY4YIFex1j4bA,2,https://yt3.ggpht.com/RHF_BDVcxbtbGS13n2GHYD9A4LVMsCVIzu5T9Z1VJfguLEagyP5ac0KLcuo7_RsyxiU_hfai7nc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzytiq9_Ltu7Loghjx4AaABAg.9_q4xLlt4Dz9_q6ujF_81A,Made in india,1 day ago,Dushyant Netam,UCbAzowGnFJjiDxzJgodQraQ,1,https://yt3.ggpht.com/ytc/AKedOLS-gzqLO_2FCepzntaHkzxRnuT538T3v_Bx_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpE6xabc9AhqEH0Pt4AaABAg.9_q0eENCRAR9_qqmOkxDf6,75 L,1 day ago,Avinash Rodda,UCH4vY-RImbkpFamgvIApWlg,0,https://yt3.ggpht.com/ytc/AKedOLSz3bDPv6xbQ-8Gz6ziUuZy9EbqpD77HAxlRAJ3nQ=s176-c-k-c0x00ffffff-no-rj,0.0
