cid,text,time,author,channel,votes,photo,heart
UgxnM0h9Zlsa_GciFcJ4AaABAg,If gas goes up electricity goes up. The unwoke young generation.,38 minutes ago,Laurie Findley,UCthr0jwqL5a-PqH2YhBK4Ww,0,https://yt3.ggpht.com/ytc/AKedOLQRAarBcFm0oLHH9Mo9Z4DwfgkW0f9IWlLqTdM-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxM8n4e2Oo1MyycQ_p4AaABAg,Electric cars are are terrible on the environment. What do you think is going to happen to all those batteries.  They will be dumped and leak into our environment.  The best fishing we have is where electricity is generated.  The water stays warm and you can fish year round.,41 minutes ago,Laurie Findley,UCthr0jwqL5a-PqH2YhBK4Ww,0,https://yt3.ggpht.com/ytc/AKedOLQRAarBcFm0oLHH9Mo9Z4DwfgkW0f9IWlLqTdM-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCcIAmj2apG_NHG8N4AaABAg,"They asked for it, they got it.  They could have done things differently to save civilians and properties......instead the hired comedian chooses to follow orders from the de facto owner/employer......so be it.",49 minutes ago,Fadli Yaakob,UC152VorlzGw8feoKvmDguGA,1,https://yt3.ggpht.com/ytc/AKedOLQ_uAuoWsyDVP7opULquh4qucHQGPBVnh2Cw9Ji=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-Q5-HUq8OpOQ5ELF4AaABAg,The inmates are running the asylum.  These global  fascists who serve the prince of darkness have even taken over America.  Happy Easter.,1 hour ago,Tanvir Hafiz,UC5hsuhIDA9-w42FUuAlksKQ,0,https://yt3.ggpht.com/ytc/AKedOLTy6Ynkhuvxu-5LKCreK0ziVgy1KDKbez5YOggPkA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOuxCw_DxOMT_I8NZ4AaABAg,What's with the rainbow world???,1 hour ago,Caroline Roberts,UCwmpPs_r6uVvYcrFvBBNVUQ,0,https://yt3.ggpht.com/ytc/AKedOLTugBmoWf77fJ77UQcngtnQekIq71GCipt7jg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzPVHJVnB450uJ2fd4AaABAg,"Russia attacked Ukraine is noble, but Ukraine attacks on Russia is terrorism? Putin is mad",1 hour ago,John James,UCeavEsTZzukNvOPz5tSbLfA,0,https://yt3.ggpht.com/ytc/AKedOLQHVaURj_d9-Zs1ItKeXeiWL1LVglHrevIS1g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcQktzQ8nLmFKeyAh4AaABAg,Russian yacht's should come to Asia we will not do any harm leave Europe,1 hour ago,Maiz Abdulla,UCJZ6Jz5D1amW5M16LLLjBgg,0,https://yt3.ggpht.com/ytc/AKedOLQS-d-dO7E-Jq3E8_KHxp78DrN_C-QlWRJeCeXYRkAswWWKzHGaWFlqsIVY22b5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOrlAswvPyaPiIqCB4AaABAg,Apartheid Israel,1 hour ago,Maiz Abdulla,UCJZ6Jz5D1amW5M16LLLjBgg,0,https://yt3.ggpht.com/ytc/AKedOLQS-d-dO7E-Jq3E8_KHxp78DrN_C-QlWRJeCeXYRkAswWWKzHGaWFlqsIVY22b5=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYtEM_J7gjv88duPp4AaABAg,"It had nothing to do with the Moskva, which sank in a storm while being toed to port after a fire caused an explosion in an ammunition storage area. It was because of attacks on Russian territory adjacent to Ukraine.",2 hours ago,Elwood Anderson,UCerqxLkbvSXwIBnX4cCSrmA,2,https://yt3.ggpht.com/ytc/AKedOLSS51X9xN_f1LZenegOz-WAvfZURK2arKlqWL3yfNo=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhpENvuLmbu8dPoM14AaABAg,So russia is conducting terrorist attacks on Ukraine...,2 hours ago,Robert,UC2I_Q343wjj6PQlkr69InJQ,0,https://yt3.ggpht.com/ytc/AKedOLSXblS5lSsQPmGfHY1rPZXUN98X4Qan5jKZhQ=s176-c-k-c0x00ffffff-no-rj,0.0
