cid,text,time,author,channel,votes,photo,heart
UgyaP5WdwN4ljUICUC94AaABAg,"The economic hardship, recession, unemployment and the loss of job caused by covid pandemic is enough to push people into financial ventures I'm taking a trip into investment because i lost so much during the pandemic. Multi creation of wealth is the best strategy to ensure financial sustainability🧠💰",3 hours ago,furry blinds,UC6dXMI-n_BnT_nuuA0R8e5A,6,https://yt3.ggpht.com/n5afyrTNy9K1lW8gH4yGWDHV7l6XlDxE7RPB7PQxslDVRhI7pWdpsvd9wegol3IIm73fQLCs=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwi097jw7h6ZRe7JlR4AaABAg,"""The police killings of blacks"", so many that they can all be individually named.  She says all because, but doesn't point the finger at herself for rampantly propagandizing.  Wonder why WION doesn't talk about the DAILY killings blacks do to other blacks?  Many large city newpapers run daily or weekly homicide counts for their city.  

WION has become CNN.",4 hours ago,The Incantrix,UCL1WB9rXBIhNq7ciiB5Q-_g,0,https://yt3.ggpht.com/ytc/AKedOLQ96-EK18jBKk_QPih4XRZGZ9sS6qwSA-a3Cg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxD0Dm3OkpNNSr_PN4AaABAg,China must pay the price for wuhan virus that it created. We k ow that its a bio weapon.,4 hours ago,Dharma Varta धार्मिकवार्ता,UCnz35tHXJ9-IaDMdlYoavkw,1,https://yt3.ggpht.com/ytc/AKedOLSXKHB67C5Pl9NvghMqomp4lbfK2MLRQNIA9Qz1=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxkHjs0XvySLmUYNN4AaABAg,"People of China: 
RISE UP AGAINST YOUR OPPRESSORS!!!! ❤🙏",4 hours ago,NM C,UCecTQltFvS3nGA9nzR001Xg,0,https://yt3.ggpht.com/ytc/AKedOLREQfQjKGW9ZB2K7F7T-m756zQdUxdZdL0PZP4x=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8Hw0ucpIuYFLC4-Z4AaABAg,"The Russian Military style is the "" bomb, rob, rape and pillage"" strategy . It probably doesn't take long to force conscripts to carry out orders from chief mafioso Pootan",5 hours ago,India Burke,UCO4aUhvxS3aGBNXhpk-M7jA,0,https://yt3.ggpht.com/ytc/AKedOLSHUumylkfQQBZZbZTbFN35fVVkyJ9vcii21ftKDNYHln4WFQ015TCj4EM5QqH-=s176-c-k-c0x00ffffff-no-rj,0.0
UgzU1-g8Xln0jy39ByB4AaABAg,People will be kicking themselves in few weeks if they miss the opportunity to buy and invest in Bitcoin as it's retracing.....BE WISE,5 hours ago,Frank Wright,UCgFsv8_jTjVXzzCuFxAIYhQ,13,https://yt3.ggpht.com/ytc/AKedOLRNCIrUfJY_mBePZQ0E_PHlwGQ_dTKRGTEQ2rYiQqNut4Pal3GPI3WD4zb5hoKf=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIXEAbI58BmWlwkyV4AaABAg,"I just skipped through 2 hours worth of Indian filler fluff and commercial music, can't find the information about China that's in the headline.....",5 hours ago,Tom Jones,UCg9tdWJT2MLKQClWAGmRDgQ,4,https://yt3.ggpht.com/ytc/AKedOLQmgub8CyOC6x6Rfx4kR0AjD6XS4GI_M0v6GaSfIK4vlymPBFAlpJuZIawTr457=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbLBgr3CC0Jqg4cm14AaABAg,"It's not the ship, its the people inside you're celebrating killing😢 Stop the war, use your money to pay Reparations Now to the descendants of the transatlantic slave trade.",5 hours ago,Afua Warner,UCgslrFOQ4cv1CPhA0BiSVHw,0,https://yt3.ggpht.com/ytc/AKedOLRI7fiqNpmycusDZgA2yVnFquhuPHQEKIZ4Fg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwb1k32copM6lqjDcp4AaABAg,"Well if French people cant go to Muslim countries and change their culture,  muslims shouldn't be able to go to France and  change their culture.",5 hours ago,dopeydora81,UCl1nEdlo0-VbwdGMJFmJibw,0,https://yt3.ggpht.com/ytc/AKedOLRvH9pK_HOwM4yK6rjCr9zt_QxgBzPBOZgpQw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzq3fFJqf7ls9luFAh4AaABAg,This happens when all powers went into 1 person only.,5 hours ago,muonwant,UCUw2tYuIXpVF5ZrGFHE0U7A,1,https://yt3.ggpht.com/ytc/AKedOLR85HvA75IJ5mGoCAcZi_fxBEK3k9-Xn0XeaA=s176-c-k-c0x00ffffff-no-rj,0.0
