cid,text,time,author,channel,votes,photo,heart
Ugx-M-GJNfO43gcaD914AaABAg,Susan !!!!  Finally !!  Geez,3 minutes ago,Saul to Paul,UC7p2lo51AM8XWeKY1PKbJZA,0,https://yt3.ggpht.com/WP3Zwxsd5r_YPSWnfvkGKanp1d1to9G3wDtKSqbDv5pl8W5FT4H-0YKLvT0aGBLIlAkkEAraN4Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeRddExoGAPkLvlux4AaABAg,Tell him to Take the Money and go and feed The Hungry children in the world that don't have nothing to eat and he will be  always blessed💕,1 hour ago (edited),V B,UCxz9DQNxW_6rq-GF1hnJPJg,0,https://yt3.ggpht.com/ytc/AKedOLS781UpW3iw0I41kfO9J8MGSYT0AGhbzqTYXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXupNKPh4SvSzwBEd4AaABAg,Why is YouTube censoring the videos of Ukraine and the war there Fox News is showing by covering them up with a picture of Donald Trump?,3 hours ago,SCOTT MACKIE,UCkJxZ_V4szVArEcm9u_-5hg,0,https://yt3.ggpht.com/xzuRPQ9c9OofkQy250tTDT5a6qqYG5bETnSFWkst_lW8vnMUKV7liuNHhn37rPiUi-8MUjugDVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzlPEJ2Ge_q5Z8y4F4AaABAg,Twitter/Musk: How desperate are those in power to decapitate free speach?,3 hours ago,Paula Cassady,UC7kYwi4ZQtVEWHqzckybOxg,0,https://yt3.ggpht.com/ytc/AKedOLSt2O0ci7g7JuV3lNzSRoESkfTW_litwC6QS0MGi0LxKmEzrAC_sdiLutMkPCo3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjPS6yW1eh98403_t4AaABAg,"WHO is escalating this conflict????  Putin is the perfect example of ""The pot calling the kettle black.""",3 hours ago,Paula Cassady,UC7kYwi4ZQtVEWHqzckybOxg,0,https://yt3.ggpht.com/ytc/AKedOLSt2O0ci7g7JuV3lNzSRoESkfTW_litwC6QS0MGi0LxKmEzrAC_sdiLutMkPCo3=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1DTLt4DnBT5OPv2J4AaABAg,If you want to blame someone blame it on their people they did to their country. They kept silent bashing other countries they thought making tie with China make them rich. They voted their destruction.,3 hours ago,VOID Ninja,UCJ1vaWTtZx62FqIVkyx9YSQ,0,https://yt3.ggpht.com/ytc/AKedOLRTNTyU03MP_tYoDDch3vIvRmNDbndeL-87vXSUag=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLSZ3ozkvb6zXyzGB4AaABAg,Chinese should visit Sri Lanka more than others. They need support for their tourism sure Chinese fullfilled this problem.,3 hours ago,VOID Ninja,UCJ1vaWTtZx62FqIVkyx9YSQ,0,https://yt3.ggpht.com/ytc/AKedOLRTNTyU03MP_tYoDDch3vIvRmNDbndeL-87vXSUag=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEdzKz8bhybeWCY6Z4AaABAg,IMF is the source of all the economic woes.,4 hours ago,Warren Harrison,UCPpG8kHRNq5NaiWtm56oHng,0,https://yt3.ggpht.com/4T_VRybvUvZlklFb5kNRJN--HAhapckAnktMGbngFXKWr5t6xtvgYWoGdrBwdlrqqF9Mf0Omgw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWyYeIDH9R5UlvYi94AaABAg,GOD be with us all 🕯🙏🏻🕯✨,4 hours ago,angelpingz,UCOtPgbZcHX3rH59rsERlcWQ,1,https://yt3.ggpht.com/ytc/AKedOLTYa4G1K7lWZtu91MqDBEEygifcBGJ2E-EGeKrucGk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzUPwnnEz2hBitIuN4AaABAg,Net zero the greatest con job.,4 hours ago,Warren Harrison,UCPpG8kHRNq5NaiWtm56oHng,0,https://yt3.ggpht.com/4T_VRybvUvZlklFb5kNRJN--HAhapckAnktMGbngFXKWr5t6xtvgYWoGdrBwdlrqqF9Mf0Omgw=s176-c-k-c0x00ffffff-no-rj,0.0
