cid,text,time,author,channel,votes,photo,heart
UgxJczI-hIJ4ii82VBF4AaABAg,Seems like elections are coming in UK.,10 hours ago,azs 0004,UC619t09fSpTce11UD75axoA,0,https://yt3.ggpht.com/ytc/AKedOLSlkGj-QSbSUTGMN2Ls1NNbSlxkFZbG8LfGlQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJXCJ4znRHEyWCgWl4AaABAg,Useless guy coming here to poisoning someone,12 hours ago (edited),yushi gawa,UCh7nYVNe6cfpCQ5_uW8MSLA,0,https://yt3.ggpht.com/ytc/AKedOLSU7JIImA_4yUphIRazc3fHBp3ny6gWS52qcw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEyOhY2XyoYQ_OdG14AaABAg,Great leader❤,12 hours ago,Adriano Mazzanti,UC7S01CMIb9V7UctzsxS6Ckg,0,https://yt3.ggpht.com/ytc/AKedOLTu66TpK2HsjqN-Dwu6TmZqOm4TDJKHjz69dQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7imdKsDHtkB5oNBd4AaABAg,"Why not this “world fool leader” can’t figure how to fix his hair? If he can’t do it, how he gonna be a part to fix today’s world crisis😡?",16 hours ago,jt,UClzYV4-XuSDGCth6y305R-g,1,https://yt3.ggpht.com/ytc/AKedOLTOvfxk0sh_7e32J1wqiZzhV70zd4mqY-QkxqBOmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlzHjoyM9NV7jkFOZ4AaABAg,He was taken out a while ago.,20 hours ago,jean muise,UCEvStxtKo6zKaTr2WngQB-g,0,https://yt3.ggpht.com/ytc/AKedOLRWu0pC7S1BILP7Km14wfejUoyVt_SoS_0MTA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqVxg1D6AsD4KiJDx4AaABAg,No trade deal with criminal colonial monsters. They are war criminals who have destroyed middle East. Uk should attacked and looted of it's which is mostly looted.,21 hours ago,Gregory Jones,UCYZbDdeWaMd7fV6TYtsnzwg,0,https://yt3.ggpht.com/ytc/AKedOLTh4DkZQkcSwFX9B6g1s8bfo82qDj-T8Cgy0oTCVzL2fzlwqmAHfCAcpI1TaG45=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzm6UQmi2cc0rxXIMV4AaABAg,Why is he coming? 🤔 I mean for entertainment or political issues?,21 hours ago,DPal's Vlog,UCafrF4787DO-vQD3M25v6Aw,5,https://yt3.ggpht.com/FkWo9ve8l3N5ErQ6cWAnD0G7iW1mWcp3u46gY8ewYv8a-pf-E1GAB6nTaqX81vHp4j7wYoL-wg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8nodalunCMnSBrkJ4AaABAg,"British Agent Johnson... Boris Johnson... is coming to India with a message from his handlers in Washington. Trade Agreements WTF. As South African of Indian origin, I was proud of India standing its ground regarding the Ukrain conflict and prior to the 2x2 meeting, was proud to seeing India being the center of the world stage. But... I have just read various articles that India succumbed to the threat of sanctions and started buying oil  at record prices and ditching discounted oil from its Russia. All it tells me is that India is not, cannot and will not be a superpower. A superpower cannot be bullied. So discussion on Trade Agreement in these times..... I don't think so. My take is that Agent Johnson... Boris Johnson is just coming with more warnings and threats from Washington. Just last week and before the 2x2 meeting, India was all over the news but now......",23 hours ago,Anoj Kalikhan,UCeXmoNkmVVjisjSR4j-30Cg,0,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-luofWFp81QYgnoN4AaABAg,Your comment about Chanel bags is offensive. Discrimination based on nationality is not okay. Americans kiIIed millions and no one is treating their citizens in such way. Double standards. THUMBS DOWN,23 hours ago (edited),Rainbow Colours of life,UCN8b2fIO8_rB8XNUrv2h8Uw,1,https://yt3.ggpht.com/ytc/AKedOLQh-kquVQqNoIdmVY1tvxkk297_h1EZTQg6IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCoAdF5F6PpAy80Xx4AaABAg,"Poor Biden seems confused, good luck America.

Somebody is Rwanda is going to be rich, thanks to Boris.",23 hours ago (edited),mohan,UCh47wVR2GTmNA5LN0X53ecQ,1,https://yt3.ggpht.com/ytc/AKedOLQPFvE_9oqp4Isa-1u98BXrJFCeNbC9u0K_PQ=s176-c-k-c0x00ffffff-no-rj,0.0
