cid,text,time,author,channel,votes,photo,heart
UgxsI7C1mpaKBdqVQr14AaABAg,Honesty is such a lonely word.,13 minutes ago,George Einstein,UChqsmoCrIh9xwxFiJoCKEpQ,0,https://yt3.ggpht.com/ytc/AKedOLS59y4gURVJZPVW9TKFn95-4Bec-3YNspeLWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYJbjZJfyfIgzDruV4AaABAg,Non violence is a joke like a rabbit laying eggs.,14 minutes ago,George Einstein,UChqsmoCrIh9xwxFiJoCKEpQ,0,https://yt3.ggpht.com/ytc/AKedOLS59y4gURVJZPVW9TKFn95-4Bec-3YNspeLWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaZlRjdJvL_19XclB4AaABAg,"Russian revenge for ""fire at Moskva"" even others Russian warships moved further to Crimea... What for? :)",50 minutes ago,PLTommia,UC7NaqT_Aq5S2xzFMBgmd8mQ,0,https://yt3.ggpht.com/ytc/AKedOLSwh6LEvewkaXCrG8juTyeICugwoTWYdGV69g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxfBPqwbCnWJ_ZztR4AaABAg,"Z ✌️
Kiev Will Fall Very Soon !",1 hour ago,Saddam Hussein,UCvULcMRhRlPl9nJXZhQiVjw,0,https://yt3.ggpht.com/S6bttg5tLPMjFWRbN1krEH6Ygx4p5QE838GRyq38SXxOYh9IyVhI1bRRiQNAwSrx605r4X4J=s176-c-k-c0x00ffffff-no-rj,0.0
UgzE2qgb16xwS49FGIR4AaABAg,"వెస్ట్రన్ మీడియ ఎక్కడ చచ్చారు, ఉక్రీన్ ఉక్రీన్ అని వెస్ట్రన్ మీడియా ఉదార కొట్టేస్తారు.",1 hour ago,kamal. M,UCKeBeNT8S_lhrOKOUYhfRhA,0,https://yt3.ggpht.com/lowiSwtfd02NUiHLT8xh0UjwUB_9VY5HuLPlUDaMXX0zqP0oaf6P8XtSM1qWTHEe77_01JtL=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCjobOUJrGuAQjwyp4AaABAg,We have been staying with foreign nations for many years. The problem started when white people with big companies only employs foreigners. Another thing is drugs. Youth is being destroyed with  drugs. In the past there was no such a problem but now our nation is dieying. If you in the ground you will understand that most of South African are not xenophobic The problem is drugs and hunger and corruption. Some foregners thet can marrry a women without her knowing that she is married with some so that they can get citizenship.,1 hour ago,Nqobayo Bele,UCo6AqjHSFxnnznoja8l1LGg,0,https://yt3.ggpht.com/ytc/AKedOLQ-RcVumW99-WeFiCLgLDZT0QXxc1W4RLAi=s176-c-k-c0x00ffffff-no-rj,0.0
UgytuWf896gl3B5i29l4AaABAg,Yay we’re close to WW3 so much fun.,1 hour ago,Emma Frost,UCFJecLjI87D5ByafUZmk6yA,1,https://yt3.ggpht.com/ytc/AKedOLRUzumolQUUMpSpVLjETxL_pYUmDoOJTdodgg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZXaw9lRDheAbDxwV4AaABAg,"You do what you gotta do Russia.  I completely understand. My enemy is not Russia, it is the democrat party.",1 hour ago,Trist805,UCI2PbtR-Bk6l1dZAreOwErw,0,https://yt3.ggpht.com/ytc/AKedOLSRnkErUMGrA-MvoxbKgv3aihWdKeDwtDxdRw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1GWfepaa4s6XXxK94AaABAg,"Well..SEE WHAT YOU 🇬🇧 FOLK HAVE DONE TO THE WORLD IN THE NAME OF THE KING? (SOMETIMES QUEEN). ALL THIS..because 🇬🇧 WANTED TO CONQUER IT ALL, AND THIS ...is the result..UKRAINE being invaded, this is THE 🇬🇧 fault. Putins 6000 nukes, this is 🇬🇧 fault. BIDENS ""invisible cabinet"", with whom he shakes their hands after speeches, this is the 🇬🇧 fault. They are the big brother of 🇺🇸.  NOTICE the flag color allegiance, as well as the pseudo peerage, feudal styled social stratagem...yes.",1 hour ago,BERT,UCirFB5_F4exCSWk2IBhhILA,0,https://yt3.ggpht.com/ytc/AKedOLTNRL5ahmYBim0zWmTrZMTqIL77W8YIlL-EMJ7B=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGEUdhezeHPRT7meZ4AaABAg,STOP LIER ..RUSSIA IS NOT ATTACKING IS THE UKRAINIAN ARMY USING RUSSIA'S FLAGS AT BIDEN'S ORDER LISTEN TO WHAT UKRAINIANS WHO HAVE RUN FROM UKRAINE SAY..,1 hour ago,Alisya,UCWdI07crl1HTAyKT2KLotUA,0,https://yt3.ggpht.com/ytc/AKedOLRg28jXG8gHL4IwEg8mjTaAbj1s0dlVBmGowsnVQVUWXUPO4SkIxujnbzlr94ga=s176-c-k-c0x00ffffff-no-rj,0.0
UgzArR8aFhDsLqoNR_h4AaABAg,"The economic hardship, recession, unemployment and the loss of job caused by covid pandemic is enough to push people into financial ventures I'm taking a trip into investment because i lost so much during the pandemic. Multi creation of wealth is the best strategy to ensure financial sustainability🧠💰",1 hour ago,Sanchez vee,UChucn8ZMVz2CDi86uyqFWig,4,https://yt3.ggpht.com/NGLNp5FtqNdhLiz75E8CsqETUxu9xKu5yNcqNTpBITrDqpJrLBfa6ctNVgLh02pzgXbe-ebX=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQKXGWRGzd0-30PcV4AaABAg,"“I didn’t raise my boy to be a soldier,
I brought him up to be my pride and joy,
Who dares to place a musket on his shoulder,
To shoot some other mother’s darling boy?
Let nations arbitrate their future troubles,
It’s time to lay the sword and gun away,
There’d be no war today,
If mothers all would say,
“I didn’t raise my boy to be a soldier.”",1 hour ago,Vinland,UCP5_GJAH0X2C1may4eTH9xw,0,https://yt3.ggpht.com/ytc/AKedOLRiUXAiyOhEfTYGLshyHygj7RqyBydvlqV46nSveA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvpETJw2TPb80eURp4AaABAg,"Make it simple and explain Putin: ""1 long range missile onto Ukraine = 2 long range missiles onto Moscow!"" If he want's to escalate, just double down on Russian territory! 

Enough is Enough now! Stop this insanity NOW Putin!",1 hour ago,Vinland,UCP5_GJAH0X2C1may4eTH9xw,0,https://yt3.ggpht.com/ytc/AKedOLRiUXAiyOhEfTYGLshyHygj7RqyBydvlqV46nSveA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6Dx3TLBDVBXsH7jZ4AaABAg,"PatrikLankaster tells it all in his videos, how U is shelling its own people",1 hour ago,Findottier,UCEgM20tzeZFMUcV9EcxvAqQ,0,https://yt3.ggpht.com/ytc/AKedOLQNwe0fls-KPPHtMDC27UXDUBWiynUqd8Xxkw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZGIZxCDm5btTF4994AaABAg,"So long the clown and his master, ie. the United Sanctions of America go hand in hand, this war won’t end. Just a matter of time before Ukraine becomes Urine...after getting nuked.
Sad",2 hours ago,Jade M,UC5Kw_yM1GRs4pnE40XhaLXQ,0,https://yt3.ggpht.com/ytc/AKedOLRYusJvJzV67R_vcdYW8m9VSsVrp5vCvI-ZhA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPbmUUrmtaT-Ilsbh4AaABAg,Be blessed President Putin 🌹❤️ and Russian soldiers..may ELOHIM keep them all safe🌹❤️,2 hours ago,The Travel Agent,UCv3IX7Zg57kgvV7tz37gAUg,2,https://yt3.ggpht.com/ytc/AKedOLQ7PHLm4I8JcJ-mMIwhAjbghNEuAJGSiY437y__T9k=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH-MqQM_k4vMUqACF4AaABAg,"How cheap wion....

Advertising Chinese mobile",2 hours ago,Love & Story,UC-GVlZOXQQ6Luw9HqzhmdSA,1,https://yt3.ggpht.com/ytc/AKedOLRxNFAw6md16O68e6-w9nnVvn3aC5qqG9tBS3zdzAm81HkN0dwsPqVgi22MTLGW=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVyeG11_sdl7ZDHbZ4AaABAg,"Welcome WW3🥰
MESSIAH IS COMING BACK SOON❤️🌹😍",2 hours ago,The Travel Agent,UCv3IX7Zg57kgvV7tz37gAUg,0,https://yt3.ggpht.com/ytc/AKedOLQ7PHLm4I8JcJ-mMIwhAjbghNEuAJGSiY437y__T9k=s176-c-k-c0x00ffffff-no-rj,0.0
